dataset,problem_type,model,method,gate_family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,relative_task_difference,denominator_sensitive,raw_fallback
eeg-eye-state,classification,tabpfn_2_6,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,Raw+GramAnchor@0.5,fixed,0.5,0.4999999997761423,0.017879654076198074,0.007208558622433886,0.025321090096289516,False,False
eeg-eye-state,classification,tabpfn_2_6,Raw+GramAnchor@0.75,fixed,0.75,0.7499999998321065,0.03701031719216224,0.014887346487867409,0.052131396875160024,False,False
eeg-eye-state,classification,tabpfn_2_6,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
eeg-eye-state,classification,tabpfn_2_6,SafeGram-t02,SafeGram,0.125,0.12499999985093774,0.00012793610687059857,5.03674667563514e-05,0.0001711499920901973,False,True
house_16H,regression,catboost,G1-point-t01,G1,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,G2-oneSE-t01,G2,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,G3-validation-min,G3,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,G4-constrained-0.001,G4,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,G4-constrained-0.01,G4,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,G4-constrained-0.05,G4,1.0,1.0,0.017723557890419198,285.0710908172914,0.008310577979001414,False,False
house_16H,regression,catboost,GramAnchor,fixed,1.0,1.0,0.017723557890419198,285.0710908172914,0.008310577979001414,False,False
house_16H,regression,catboost,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.0064989255750513356,-98.96351313709238,-0.002813933390648568,False,False
house_16H,regression,catboost,Raw+GramAnchor@0.75,fixed,0.75,0.75,0.0018060047192929194,33.22040774965717,0.0010217572279865045,False,False
house_16H,regression,catboost,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,catboost,SafeGram-t02,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,G1-point-t01,G1,0.625,0.625,-0.030795354202938365,-476.33849370954704,-0.01363875715979338,False,False
house_16H,regression,controlled_mlp,G2-oneSE-t01,G2,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,G3-validation-min,G3,0.25,0.2500000000000001,-0.038807528609226136,-597.4142715489397,-0.017069915613570033,False,False
house_16H,regression,controlled_mlp,G4-constrained-0.001,G4,0.25,0.2500000000000001,-0.038807528609226136,-597.4142715489397,-0.017069915613570033,False,False
house_16H,regression,controlled_mlp,G4-constrained-0.01,G4,0.5,0.5,-0.04477066376047359,-689.6138636239266,-0.019709354000210094,False,False
house_16H,regression,controlled_mlp,G4-constrained-0.05,G4,0.75,0.75,-0.017597074885823294,-272.0778666633232,-0.007788880484458655,False,False
house_16H,regression,controlled_mlp,GramAnchor,fixed,1.0,1.0,0.04155185007417951,637.3300055583532,0.018181273043293224,False,False
house_16H,regression,controlled_mlp,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.04477066376047359,-689.6138636239266,-0.019709354000210094,False,False
house_16H,regression,controlled_mlp,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.017597074885823294,-272.0778666633232,-0.007788880484458655,False,False
house_16H,regression,controlled_mlp,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,controlled_mlp,SafeGram-t02,SafeGram,0.125,0.12500000000000006,-0.014774389172786766,-225.47001933035062,-0.006417701150887739,False,True
house_16H,regression,tabicl_v2,G1-point-t01,G1,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,G2-oneSE-t01,G2,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,G3-validation-min,G3,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,G4-constrained-0.001,G4,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,G4-constrained-0.01,G4,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,G4-constrained-0.05,G4,0.75,0.75,-0.047985556964052045,-921.0137097775041,-0.029519831942116062,False,False
house_16H,regression,tabicl_v2,GramAnchor,fixed,1.0,1.0,-0.02175522853711947,-417.5603037605724,-0.013383416405048722,False,False
house_16H,regression,tabicl_v2,Raw,fixed,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,Raw+GramAnchor@0.5,fixed,0.5,0.5,-0.053098815185500664,-1019.1553428341904,-0.032665414340729955,False,False
house_16H,regression,tabicl_v2,Raw+GramAnchor@0.75,fixed,0.75,0.75,-0.047985556964052045,-921.0137097775041,-0.029519831942116062,False,False
house_16H,regression,tabicl_v2,SafeGram-t0,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,SafeGram-t005,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,SafeGram-t01,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabicl_v2,SafeGram-t02,SafeGram,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,G1-point-t01,G1,0.875,0.875,-0.04796142261640167,-835.356648231802,-0.02533641234363518,False,False
house_16H,regression,tabm_d,G2-oneSE-t01,G2,0.0,0.0,0.0,0.0,0.0,False,True
house_16H,regression,tabm_d,G3-validation-min,G3,0.5,0.5,-0.05697253785709348,-996.2593727234089,-0.03028108688270973,False,False
