dataset,problem_type,model,seed,natural_pair,method,split,alpha,natural_reconstruction_error,gram_coordinate_error,rank_coordinate_error,raw_disagreement,method_disagreement,disagreement_reduction,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,SafeGram-t01,validation,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.006542273166791438,0.75,14.08768591703847,0.16274949857638632,0.15462888894920457,0.23379165870645927,-0.008120609627181752,-0.049896372635337805,0.07104216013007295,-0.1143069075083516,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,SafeGram-t01,test,0.75,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.006535139940935085,0.75,14.08768591703847,0.17077106567889078,0.17435594948897318,0.2354608217988546,0.003584883810082401,0.020992337289873417,0.06468975611996383,0.055416560907022405,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,0.25,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026169092667165748,0.01962681950037431,0.25,9.218646012013778,0.16274949857638632,0.16012812561693485,0.23379165870645927,-0.0026213729594514734,-0.016106795918766747,0.07104216013007295,-0.03689883520788125,False
ozone-level-8hr,classification,catboost,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,0.25,2.24748949488383e-16,3.541028787570542e-17,3.334616074511831e-17,0.026140559763740336,0.01960541982280525,0.2500000000000001,9.218646012013778,0.17077106567889078,0.16888685516898166,0.2354608217988546,-0.0018842105099091122,-0.011033546593028153,0.06468975611996383,-0.0291268760762514,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.02707486978901602,0.0,0.3652753857895732,0.23907192536641592,0.23907192536641592,1.186659531323706,0.0,0.0,0.9475876059572901,0.0,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw,test,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.022784109381493806,0.0,0.3652753857895732,0.22045624212115708,0.22045624212115708,1.1883474890774524,0.0,0.0,0.9678912469562952,0.0,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.0,1.0,0.21802826202474535,0.23907192536641592,0.27332413732428396,1.186659531323706,0.03425221195786804,0.1432715778122883,0.9475876059572901,0.03614674964354891,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.0,1.0,0.21802826202474535,0.22045624212115708,0.27610275207234214,1.1883474890774524,0.05564650995118506,0.25241521589850546,0.9678912469562952,0.05749252317982555,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.006768717740743292,0.749999989160085,0.5833036478143185,0.23907192536641592,0.22268249853538682,1.186659531323706,-0.01638942683102909,-0.06855437670445694,0.9475876059572901,-0.017295948921231246,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.0056960274115814245,0.7499999970941162,0.5833036478143185,0.22045624212115708,0.21489688449172445,1.1883474890774524,-0.005559357629432632,-0.02521751063132679,0.9678912469562952,-0.005743783350572714,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.0,1.0,0.12063329294323921,0.23907192536641592,0.27779569570238416,1.186659531323706,0.038723770335968244,0.16197539831001853,0.9475876059572901,0.04086563616125812,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.0,1.0,0.12063329294323921,0.22045624212115708,0.2916722553211002,1.1883474890774524,0.07121601319994311,0.3230392231797393,0.9678912469562952,0.07357852798431067,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeGram-t01,validation,0.5,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.01353743529285358,0.4999999852872581,0.5833036478143185,0.23907192536641592,0.21240454390615732,1.186659531323706,-0.0266673814602586,-0.11154543311343051,0.9475876059572901,-0.028142391576890843,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeGram-t01,test,0.5,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.011392054781909125,0.49999999599886835,0.5833036478143185,0.22045624212115708,0.1994674403305241,1.1883474890774524,-0.020988801790632977,-0.0952062032296553,0.9678912469562952,-0.02168508275763002,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.02707486978901602,0.020306152612735065,0.2499999899917137,0.4859086787328124,0.23907192536641592,0.22588638705213798,1.186659531323706,-0.013185538314277934,-0.05515301846533837,0.9475876059572901,-0.013914848855539206,False
wall-robot-navigation,classification,controlled_mlp,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.022784109381493806,0.017088081955261823,0.2500000035489003,0.4859086787328124,0.22045624212115708,0.21130056006187403,1.1883474890774524,-0.009155682059283049,-0.04153060930001393,0.9678912469562952,-0.009459411982570052,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.009248924158701852,0.0,0.6934341171290725,0.1511302431216851,0.1511302431216851,1.186659531323706,0.0,0.0,1.0355292882020208,0.0,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,Raw,test,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.00961578113739037,0.0,0.6934341171290725,0.12334090405730438,0.12334090405730438,1.1883474890774524,0.0,0.0,1.065006585020148,0.0,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.0,1.0,0.5148587359581143,0.1511302431216851,0.1138838531885313,1.186659531323706,-0.03724638993315381,-0.24645225974502166,1.0355292882020208,-0.03596845628366953,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.0,1.0,0.5148587359581143,0.12334090405730438,0.124449169358331,1.1883474890774524,0.0011082653010266175,0.008985383312187461,1.065006585020148,0.001040618261534647,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.002312231145070195,0.7499999886046496,1.2082928530871868,0.1511302431216851,0.11682285737939774,1.186659531323706,-0.034307385742287366,-0.22700542944713048,1.0355292882020208,-0.03313029011652093,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.002403945353770064,0.7499999927803607,1.2082928530871868,0.12334090405730438,0.11731831476586975,1.1883474890774524,-0.006022589291434635,-0.048828807746021795,1.065006585020148,-0.0056549784537911554,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.0,1.0,0.4123765821568668,0.1511302431216851,0.13368989858336067,1.186659531323706,-0.017440344538324437,-0.11539943414424368,1.0355292882020208,-0.016841961629695604,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.0,1.0,0.4123765821568668,0.12334090405730438,0.11664131896198293,1.1883474890774524,-0.006699585095321453,-0.054317625985689344,1.065006585020148,-0.006290651334512367,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,SafeGram-t01,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.0,1.0,1.2082928530871868,0.1511302431216851,0.1138838531885313,1.186659531323706,-0.03724638993315381,-0.24645225974502166,1.0355292882020208,-0.03596845628366953,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,SafeGram-t01,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.0,1.0,1.2082928530871868,0.12334090405730438,0.124449169358331,1.1883474890774524,0.0011082653010266175,0.008985383312187461,1.065006585020148,0.001040618261534647,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.009248924158701852,0.0,1.0,1.1058106992859393,0.1511302431216851,0.13368989858336067,1.186659531323706,-0.017440344538324437,-0.11539943414424368,1.0355292882020208,-0.016841961629695604,False
wall-robot-navigation,classification,tabm_d,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.00961578113739037,0.0,1.0,1.1058106992859393,0.12334090405730438,0.11664131896198293,1.1883474890774524,-0.006699585095321453,-0.054317625985689344,1.065006585020148,-0.006290651334512367,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.018553808419875313,0.0,22.38218972994946,0.07178199630847462,0.07178199630847462,1.186659531323706,0.0,0.0,1.1148775350152313,0.0,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,Raw,test,0.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.018222900369643615,0.0,22.38218972994946,0.08584347287128415,0.08584347287128415,1.1883474890774524,0.0,0.0,1.1025040162061681,0.0,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.0,1.0,19.711487056920305,0.07178199630847462,0.09434317018083525,1.186659531323706,0.022561173872360632,0.3143012876850995,1.1148775350152313,0.02023645930945447,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.0,1.0,19.711487056920305,0.08584347287128415,0.10662780346923527,1.1883474890774524,0.020784330597951123,0.24211893930614467,1.1025040162061681,0.018851931868214124,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.004638452104968826,0.7500000000000001,42.093676786869764,0.07178199630847462,0.08720345705105073,1.186659531323706,0.01542146074257611,0.21483744581725214,1.1148775350152313,0.013832425767163228,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,test,0.75,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.004555725092410902,0.7500000000000001,42.093676786869764,0.08584347287128415,0.09970181574489853,1.1883474890774524,0.013858342873614385,0.16143735114717378,1.1025040162061681,0.012569879719170906,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,RankAdaptiveGram,validation,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.0,1.0,10.667211125139147,0.07178199630847462,0.08816091055132147,1.186659531323706,0.016378914242846848,0.2281757973470173,1.1148775350152313,0.014691222783158046,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,RankAdaptiveGram,test,1.0,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.0,1.0,10.667211125139147,0.08584347287128415,0.09335682126560282,1.1883474890774524,0.007513348394318678,0.08752381681463867,1.1025040162061681,0.006814803650487276,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,SafeGram-t01,validation,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.013915356314906485,0.25,42.093676786869764,0.07178199630847462,0.07632709073004146,1.186659531323706,0.0045450944215668365,0.06331802757386172,1.1148775350152313,0.004076765634626176,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,SafeGram-t01,test,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.013667175277232711,0.25,42.093676786869764,0.08584347287128415,0.08975838842990214,1.1883474890774524,0.00391491555861799,0.04560527932610686,1.1025040162061681,0.003550930881947827,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,SafeRankGram-t01,validation,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018553808419875313,0.013915356314906485,0.25,33.04940085508861,0.07178199630847462,0.07471700074989485,1.186659531323706,0.0029350044414202248,0.040887751697617755,1.1148775350152313,0.0026325801258342938,False
wall-robot-navigation,classification,catboost,0,local_hat_to_spectral_hat,SafeRankGram-t01,test,0.25,2.180536448596691e-16,5.58159123370432e-17,5.282054726286733e-17,0.018222900369643615,0.013667175277232711,0.25,33.04940085508861,0.08584347287128415,0.08708347799980498,1.1883474890774524,0.0012400051285208352,0.01444495530114596,1.1025040162061681,0.0011247171078685254,False
quake,regression,controlled_mlp,0,local_hat_to_spectral_hat,Raw,validation,0.0,2.1448491364131036e-16,1.6108804734427072e-16,1.5626874098159124e-16,0.020081458362483127,0.020081458362483127,0.0,0.5146953379735351,0.21043121924571712,0.21043121924571712,0.21400691515008494,0.0,0.0,0.0035756959043678205,0.0,False
quake,regression,controlled_mlp,0,local_hat_to_spectral_hat,Raw,test,0.0,2.1448491364131036e-16,1.6108804734427072e-16,1.5626874098159124e-16,0.023139434188988423,0.023139434188988423,0.0,0.5146953379735351,0.17839845671530108,0.17839845671530108,0.1749474675336079,0.0,0.0,1e-08,0.0,True
quake,regression,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,validation,1.0,2.1448491364131036e-16,1.6108804734427072e-16,1.5626874098159124e-16,0.020081458362483127,0.0,1.0,0.13859380781650543,0.21043121924571712,0.21146488609816813,0.21400691515008494,0.001033666852451015,0.004912136403315798,0.0035756959043678205,0.28908130895257617,False
quake,regression,controlled_mlp,0,local_hat_to_spectral_hat,GramAnchor-m16,test,1.0,2.1448491364131036e-16,1.6108804734427072e-16,1.5626874098159124e-16,0.023139434188988423,0.0,1.0,0.13859380781650543,0.17839845671530108,0.1762698717730554,0.1749474675336079,-0.002128584942245687,-0.011931633162290244,1e-08,-212858.4942245687,True
quake,regression,controlled_mlp,0,local_hat_to_spectral_hat,Raw+GramAnchor@0.75,validation,0.75,2.1448491364131036e-16,1.6108804734427072e-16,1.5626874098159124e-16,0.020081458362483127,0.005020364590620782,0.75,0.6532891457900405,0.21043121924571712,0.21098544476783557,0.21400691515008494,0.0005542255221184511,0.002633760922476484,0.0035756959043678205,0.15499794639735665,False
