dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,original_task,rotated_task,task_effect,disagreement,fit_seconds,interface_location
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,1,0.04465766004705936,0.005661362238592578,-0.03899629780846678,0.07589671068600438,0.36818910599686205,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,2,0.04465766004705936,0.02497103858764778,-0.01968662145941158,0.08864119617816521,0.3563522878102958,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,3,0.04465766004705936,0.027926199007100822,-0.016731461039958536,0.020265595607075727,0.42836560402065516,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,4,0.04465766004705936,0.02489218974781155,-0.019765470299247807,0.013214284062144357,0.26627404312603176,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,5,0.04465766004705936,0.0004181647971885268,-0.04423949524987083,0.08588103515199218,0.5018631960265338,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,6,0.04465766004705936,0.04005399044216532,-0.004603669604894035,0.05191583720996951,0.2751770068425685,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,validation,rotated,7,0.04465766004705936,0.0334000842648102,-0.01125757578224916,0.10187329218973122,0.337776318192482,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,original,-1,0.03192017957512855,0.03192017957512855,0.0,0.0,0.5901685259304941,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,0,0.03192017957512855,0.03227908710400889,0.0003589075288803409,0.02857394053915878,0.26673468900844455,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,1,0.03192017957512855,0.017443959441823406,-0.014476220133305143,0.07517706686481442,0.36818910599686205,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,2,0.03192017957512855,0.04175534662147203,0.009835167046343483,0.08248018303113727,0.3563522878102958,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,3,0.03192017957512855,0.042000923611491096,0.010080744036362548,0.10010085481903187,0.42836560402065516,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,4,0.03192017957512855,0.029590719231825335,-0.002329460343303214,0.016984233081923584,0.26627404312603176,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,5,0.03192017957512855,0.014476514672809575,-0.017443664902318974,0.05033841887456408,0.5018631960265338,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,6,0.03192017957512855,0.04188089473102247,0.009960715155893918,0.09219538429449847,0.2751770068425685,embedding_to_backbone_boundary
steel-plates-fault,classification,resnet_tabular,1,RBF,8,test,rotated,7,0.03192017957512855,0.03633997498445442,0.004419795409325869,0.09464527333123593,0.337776318192482,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,original,-1,53431.594123795534,53431.594123795534,0.0,0.0,0.32664706418290734,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,0,53431.594123795534,54931.1041386089,1499.5100148133643,0.2174204791690722,0.5746397809125483,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,1,53431.594123795534,55486.338290892294,2054.74416709676,0.21744158893155158,0.4192236280068755,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,2,53431.594123795534,56146.227986049824,2714.63386225429,0.2195347771148534,0.3739050200674683,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,3,53431.594123795534,54854.80608293942,1423.2119591438895,0.19624126559296634,0.322455438086763,embedding_to_backbone_boundary
california_housing,regression,resnet_tabular,0,PLE,8,validation,rotated,4,53431.594123795534,56538.43056500672,3106.836441211184,0.19403631383505957,0.3214782371651381,embedding_to_backbone_boundary
