dataset,problem_type,model,method,seed,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
house_16H,regression,controlled_mlp,SafeRankGram-t01,0.5,0.0,1.0,0.19094539253446596,0.19094539253446596,0.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.15195119054988027,35024.80171011288,35024.80171011288,50393.3899336474,0.0,0.0,15368.58822353452,0.0,0.0
house_16H,regression,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.30454909483864084,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.2826538438675925,35527.81373897781,35106.09601392328,50393.3899336474,-421.7177250545319,-0.011439312380096914,14865.57619466959,-0.03096737284387644,0.0
house_16H,regression,resnet_tabular,SafeRankGram-t01,0.5,0.0,1.0,0.30454909483864084,0.30454909483864084,0.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.2826538438675925,35527.81373897781,35527.81373897781,50393.3899336474,0.0,0.0,14865.57619466959,0.0,0.0
house_16H,regression,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.24726305430139578,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.3100380499381572,32871.675738584316,32881.47400255593,50393.3899336474,9.798263971608321,0.00035135976066655956,17521.714195063083,0.00037184456774028585,0.0
house_16H,regression,tabm_d,SafeRankGram-t01,0.5,0.0,1.0,0.24726305430139578,0.24726305430139578,0.0,2.0872692133070318e-15,8.0,8.0,117.0,1.2945398699448497e-12,0.3100380499381572,32871.675738584316,32871.675738584316,50393.3899336474,0.0,0.0,17521.714195063083,0.0,0.0
phoneme,classification,controlled_mlp,RankAdaptiveGram,0.5,1.0,0.0,0.04443686171437325,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.22417979896999896,0.35462497219948774,0.372850124773772,0.6047907936193667,0.018225152574284226,0.05182772631913418,0.250165821419879,0.07200876430175818,0.0
phoneme,classification,controlled_mlp,SafeRankGram-t01,0.5,0.125,0.5,0.04443686171437325,0.0389148908445454,0.12499999984410054,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.22417979896999896,0.35462497219948774,0.3503696316004171,0.6047907936193667,-0.004255340599070595,-0.011868053624932274,0.250165821419879,-0.017281512548697375,0.0
phoneme,classification,resnet_tabular,RankAdaptiveGram,0.5,1.0,0.0,0.11719947797808022,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.20424681052099913,0.35739766806275275,0.37562890385268344,0.6047907936193667,0.01823123578993069,0.056286012099412704,0.24739312555661394,0.06452725327676077,0.0
phoneme,classification,resnet_tabular,SafeRankGram-t01,0.5,0.5,0.0,0.11719947797808022,0.058212319005441326,0.49999999622914365,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.20424681052099913,0.35739766806275275,0.3570256891762175,0.6047907936193667,-0.0003719788865352569,0.0014445179311064864,0.24739312555661394,-0.0067717772634079965,0.0
phoneme,classification,tabm_d,RankAdaptiveGram,0.5,1.0,0.0,0.09099163543723654,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40.0,4.862737674418721e-14,0.3125416800612584,0.33327664914542054,0.32443514739794255,0.6047907936193667,-0.008841501747477998,-0.026413966484699715,0.2715141444739462,-0.03274002395797612,0.0
