panel,dataset,problem_type,model,seed,method,split,alpha,raw_fallback,raw_disagreement,method_disagreement,disagreement_reduction,maximum_coordinate_error,median_empirical_rank,median_anchor_count,total_coordinate_dimension,maximum_reconstruction_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
development,eeg-eye-state,classification,resnet_tabular,0,SafeRankGram-t01,validation,0.75,False,0.20818025994265732,0.052045064586751295,0.7500000019161905,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.21232603606767952,0.48287555675918775,0.4166488728438308,0.6879808065690332,-0.06622668391535697,-0.1371506239823701,0.2051052498098454,-0.32289121793204323,False
development,eeg-eye-state,classification,resnet_tabular,0,SafeRankGram-t01,test,0.75,False,0.2101693320424841,0.05254233330322101,0.7499999986077894,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.21232603606767952,0.5127863754247235,0.41871737177506335,0.6879808065690332,-0.09406900364966014,-0.18344676878699437,0.17519443114430966,-0.5369406038492994,False
development,eeg-eye-state,classification,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.2557435702728416,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.1698385439813137,0.4838303437086888,0.41226710758713014,0.6879808065690332,-0.07156323612155868,-0.14790977261369628,0.20415046286034433,-0.3505416305154978,False
development,eeg-eye-state,classification,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.25043403258079977,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.1698385439813137,0.586457446793265,0.4321599525616862,0.6879808065690332,-0.15429749423157874,-0.26310092074927804,0.10152335977576821,-1.519822576522007,False
development,eeg-eye-state,classification,resnet_tabular,1,SafeRankGram-t01,validation,1.0,False,0.2557435702728416,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.1698385439813137,0.4838303437086888,0.41226710758713014,0.6879808065690332,-0.07156323612155868,-0.14790977261369628,0.20415046286034433,-0.3505416305154978,False
development,eeg-eye-state,classification,resnet_tabular,1,SafeRankGram-t01,test,1.0,False,0.25043403258079977,0.0,1.0,1.9416913985366906e-15,8.0,8.0,112,7.22888496361829e-14,0.1698385439813137,0.586457446793265,0.4321599525616862,0.6879808065690332,-0.15429749423157874,-0.26310092074927804,0.10152335977576821,-1.519822576522007,False
development,satimage,classification,resnet_tabular,0,RankAdaptiveGram,validation,1.0,False,0.07601386073906696,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.28753695799969137,0.21132831897316284,0.23548827175492595,1.7213411230528801,0.02415995278176311,0.11432425573229137,1.5100128040797172,0.015999833058692164,False
development,satimage,classification,resnet_tabular,0,RankAdaptiveGram,test,1.0,False,0.08166741594119528,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.28753695799969137,0.2766818846173601,0.265137168880583,1.7213411230528803,-0.011544715736777122,-0.041725593103946794,1.4446592384355204,-0.007991307174472065,False
development,satimage,classification,resnet_tabular,0,SafeRankGram-t01,validation,0.5,False,0.07601386073906696,0.03800693026574388,0.5000000013654036,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.28753695799969137,0.21132831897316284,0.2081305224403781,1.7213411230528801,-0.0031977965327847357,-0.015131888373137689,1.5100128040797172,-0.0021177280908777755,False
development,satimage,classification,resnet_tabular,0,SafeRankGram-t01,test,0.5,False,0.08166741594119528,0.04083370818288483,0.49999999740058887,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.28753695799969137,0.2766818846173601,0.25560061590420247,1.7213411230528803,-0.02108126871315763,-0.07619316581680863,1.4446592384355204,-0.014592554529320966,False
development,satimage,classification,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.07414672024204158,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.22003990202210844,0.2185059886450928,0.22234227593595865,1.7213411230528801,0.003836287290865853,0.017556897706345807,1.5028351344077873,0.0025527000287876517,False
development,satimage,classification,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.09000118409319353,0.0,1.0,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.22003990202210844,0.3053986991687167,0.2787137440216976,1.7213411230528803,-0.02668495514701913,-0.08737743552822763,1.4159424238841636,-0.01884607360927706,False
development,satimage,classification,resnet_tabular,1,SafeRankGram-t01,validation,0.75,False,0.07414672024204158,0.0185366803925488,0.7499999955218734,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.22003990202210844,0.2185059886450928,0.21010102868899067,1.7213411230528801,-0.008404959956102132,-0.03846558169054965,1.5028351344077873,-0.0055927358654775,False
development,satimage,classification,resnet_tabular,1,SafeRankGram-t01,test,0.75,False,0.09000118409319353,0.022500295999261764,0.75000000026707,1.1466622696044517e-15,8.0,8.0,288,1.187719813017248e-13,0.22003990202210844,0.3053986991687167,0.25744921249031594,1.7213411230528803,-0.047949486678400766,-0.1570061916076178,1.4159424238841636,-0.03386400878283413,False
development,space-ga,regression,resnet_tabular,0,RankAdaptiveGram,validation,1.0,False,0.24608592947984007,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.3211438988801092,0.11715646106435064,0.12311852713278446,0.19926366369044726,0.005962066068433816,0.050889776067570246,0.08210720262609662,0.07261319199466744,False
development,space-ga,regression,resnet_tabular,0,RankAdaptiveGram,test,1.0,False,0.2591538682517167,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.3211438988801092,0.10617413653685337,0.10506648030700984,0.18712234365541708,-0.0011076562298435316,-0.01043244867321394,0.08094820711856371,-0.013683517761192202,False
development,space-ga,regression,resnet_tabular,0,SafeRankGram-t01,validation,0.0,True,0.24608592947984007,0.24608592947984007,0.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.3211438988801092,0.11715646106435064,0.11715646106435064,0.19926366369044726,0.0,0.0,0.08210720262609662,0.0,False
development,space-ga,regression,resnet_tabular,0,SafeRankGram-t01,test,0.0,True,0.2591538682517167,0.2591538682517167,0.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.3211438988801092,0.10617413653685337,0.10617413653685337,0.18712234365541708,0.0,0.0,0.08094820711856371,0.0,False
development,space-ga,regression,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.20075049513647433,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.4113753337878734,0.12053736170153499,0.11939725486806527,0.19926366369044726,-0.0011401068334697256,-0.009458534825847336,0.07872630198891227,-0.014481905089741128,False
development,space-ga,regression,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.21605986476530747,0.0,1.0,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.4113753337878734,0.10425858719101228,0.09944952522106804,0.18712234365541708,-0.004809061969944239,-0.046126291363737276,0.0828637564644048,-0.058035770705254404,False
development,space-ga,regression,resnet_tabular,1,SafeRankGram-t01,validation,0.5,False,0.20075049513647433,0.10037525300825309,0.49999997290160647,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.4113753337878734,0.12053736170153499,0.11834641228380893,0.19926366369044726,-0.0021909494177260597,-0.018176517113018566,0.07872630198891227,-0.02782995469588589,False
development,space-ga,regression,resnet_tabular,1,SafeRankGram-t01,test,0.5,False,0.21605986476530747,0.10802992929349431,0.5000000142977015,2.1556352176276532e-15,8.0,8.0,48,1.2316270485308823e-14,0.4113753337878734,0.10425858719101228,0.09953656411935881,0.18712234365541708,-0.004722023071653467,-0.04529145463099594,0.0828637564644048,-0.05698538508427231,False
development,california_housing,regression,resnet_tabular,0,RankAdaptiveGram,validation,1.0,False,0.21902424445665708,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.24964245897717774,62892.00742381718,58391.85101168329,109670.020675679,-4500.156412133889,-0.07155370923062127,46778.01325186182,-0.09620238439593792,False
development,california_housing,regression,resnet_tabular,0,RankAdaptiveGram,test,1.0,False,0.23283410701300655,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.24964245897717774,65713.18727065451,64307.40264072016,113685.69177493482,-1405.784629934351,-0.021392732392423935,47972.50450428031,-0.029303965770828597,False
development,california_housing,regression,resnet_tabular,0,SafeRankGram-t01,validation,1.0,False,0.21902424445665708,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.24964245897717774,62892.00742381718,58391.85101168329,109670.020675679,-4500.156412133889,-0.07155370923062127,46778.01325186182,-0.09620238439593792,False
development,california_housing,regression,resnet_tabular,0,SafeRankGram-t01,test,1.0,False,0.23283410701300655,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.24964245897717774,65713.18727065451,64307.40264072016,113685.69177493482,-1405.784629934351,-0.021392732392423935,47972.50450428031,-0.029303965770828597,False
development,california_housing,regression,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.23190472554622785,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.22884566988795996,60734.29844135212,59151.69808768395,109670.020675679,-1582.6003536681674,-0.02605776956815267,48935.72223432688,-0.03234039023864703,False
development,california_housing,regression,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.2327121600822795,0.0,1.0,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.22884566988795996,64043.52235558815,63734.687954582616,113685.69177493482,-308.8344010055371,-0.0048222582026453695,49642.16941934667,-0.006221210809638335,False
development,california_housing,regression,resnet_tabular,1,SafeRankGram-t01,validation,0.5,False,0.23190472554622785,0.11595236371904408,0.4999999959210397,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.22884566988795996,60734.29844135212,58276.679327459446,109670.020675679,-2457.6191138926733,-0.04046509430360615,48935.72223432688,-0.050221372070988465,False
development,california_housing,regression,resnet_tabular,1,SafeRankGram-t01,test,0.5,False,0.2327121600822795,0.11635608210359544,0.4999999911373102,1.131946490583555e-15,8.0,8.0,69,4.714140584772471e-13,0.22884566988795996,64043.52235558815,62465.269021895736,113685.69177493482,-1578.253333692417,-0.024643449885993127,49642.16941934667,-0.031792593920710814,False
development,house_16H,regression,resnet_tabular,0,RankAdaptiveGram,validation,1.0,False,0.21110086526140182,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.27604097686707973,39320.49743640434,41055.069862862634,62672.055108214445,1734.5724264582968,0.04411369488048152,23351.557671810107,0.0742808017707643,False
development,house_16H,regression,resnet_tabular,0,RankAdaptiveGram,test,1.0,False,0.30735513898175804,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.27604097686707973,34679.15116233893,34907.81601146439,50393.3899336474,228.66484912546002,0.006593726820331947,15714.238771308468,0.014551442959041911,False
development,house_16H,regression,resnet_tabular,0,SafeRankGram-t01,validation,0.0,True,0.21110086526140182,0.21110086526140182,0.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.27604097686707973,39320.49743640434,39320.49743640434,62672.055108214445,0.0,0.0,23351.557671810107,0.0,False
development,house_16H,regression,resnet_tabular,0,SafeRankGram-t01,test,0.0,True,0.30735513898175804,0.30735513898175804,0.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.27604097686707973,34679.15116233893,34679.15116233893,50393.3899336474,0.0,0.0,15714.238771308468,0.0,False
development,house_16H,regression,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.20667548417465018,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.2892667108681053,38525.17066329403,45431.366041627865,62672.055108214445,6906.195378333832,0.17926449797440894,24146.88444492041,0.2860077205441149,False
development,house_16H,regression,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.30174305069552365,0.0,1.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.2892667108681053,36376.47631561669,35304.376016382164,50393.3899336474,-1072.1002992345238,-0.029472351580525774,14016.91361803071,-0.0764861886467948,False
development,house_16H,regression,resnet_tabular,1,SafeRankGram-t01,validation,0.0,True,0.20667548417465018,0.20667548417465018,0.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.2892667108681053,38525.17066329403,38525.17066329403,62672.055108214445,0.0,0.0,24146.88444492041,0.0,False
development,house_16H,regression,resnet_tabular,1,SafeRankGram-t01,test,0.0,True,0.30174305069552365,0.30174305069552365,0.0,2.0872692133070318e-15,8.0,8.0,117,1.2945398699448497e-12,0.2892667108681053,36376.47631561669,36376.47631561669,50393.3899336474,0.0,0.0,14016.91361803071,0.0,False
development,phoneme,classification,resnet_tabular,0,RankAdaptiveGram,validation,1.0,False,0.09859981770198466,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20057393005117774,0.30372807030733606,0.306373561092517,0.6047907936193666,0.0026454907851809484,0.008710063519990206,0.30106272331203054,0.008787174832133175,False
development,phoneme,classification,resnet_tabular,0,RankAdaptiveGram,test,1.0,False,0.11564979627498745,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20057393005117774,0.3879520246310316,0.3858510237484792,0.6047907936193667,-0.0021010008825524396,-0.005415620358085854,0.2168387689883351,-0.009689230815848542,False
development,phoneme,classification,resnet_tabular,0,SafeRankGram-t01,validation,0.25,False,0.09859981770198466,0.07394986375907017,0.2499999951056534,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20057393005117774,0.30372807030733606,0.29517349367788415,0.6047907936193666,-0.008554576629451915,-0.028165248673906625,0.30106272331203054,-0.02841459924145339,False
development,phoneme,classification,resnet_tabular,0,SafeRankGram-t01,test,0.25,False,0.11564979627498745,0.086737347625025,0.2499999963788574,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20057393005117774,0.3879520246310316,0.3772342682902468,0.6047907936193667,-0.010717756340784812,-0.02762649931000648,0.2168387689883351,-0.049427306707138595,False
development,phoneme,classification,resnet_tabular,1,RankAdaptiveGram,validation,1.0,False,0.12339931197587199,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20791969099082053,0.3180235102355305,0.30706512105617967,0.6047907936193666,-0.010958389179350825,-0.034457795812752844,0.2867672833838361,-0.038213526487549464,False
development,phoneme,classification,resnet_tabular,1,RankAdaptiveGram,test,1.0,False,0.118749159681173,0.0,1.0,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20791969099082053,0.32684331149447393,0.36540678395688775,0.6047907936193667,0.03856347246241382,0.11798764455691126,0.2779474821248928,0.1387437373693701,False
development,phoneme,classification,resnet_tabular,1,SafeRankGram-t01,validation,0.75,False,0.12339931197587199,0.030849828270150856,0.7499999977618769,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20791969099082053,0.3180235102355305,0.2942654970141364,0.6047907936193666,-0.023758013221394092,-0.07470521032799976,0.2867672833838361,-0.08284771170912879,False
development,phoneme,classification,resnet_tabular,1,SafeRankGram-t01,test,0.75,False,0.118749159681173,0.02968729038585765,0.7499999960794299,2.1278152783755705e-15,8.0,8.0,40,4.862737674418721e-14,0.20791969099082053,0.32684331149447393,0.33681711006218823,0.6047907936193667,0.009973798567714298,0.030515535172219454,0.2779474821248928,0.0358837521803226,False
