dataset,problem_type,model,method,seed,alpha,disagreement_reduction,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
house_16H,regression,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,31199.829036407562,30278.815326630058,50393.3899336474,-921.0137097775041,-0.029519831942116062,19193.560897239837,-0.047985556964052045,0.0
house_16H,regression,tabm_d,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,32871.675738584316,31868.892014151395,50393.3899336474,-1002.7837244329203,-0.030472139317376076,17521.714195063083,-0.05737117712288643,0.0
house_16H,regression,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,31626.156396559687,30593.015780847592,50393.3899336474,-1033.1406157120946,-0.032627599844618306,18767.23353708771,-0.055179353899797494,0.0
phoneme,classification,catboost,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.29929758847853355,0.29674129627671025,0.6047907936193667,-0.002556292201823296,-0.008538701700770143,0.30549320514083317,-0.00836993610012731,0.0
phoneme,classification,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.35462497219948774,0.34974336271316814,0.6047907936193667,-0.004881609486319605,-0.013630836882169373,0.250165821419879,-0.019792452613286902,0.0
phoneme,classification,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.27519762861127134,0.28015442227411347,0.6047907936193667,0.004956793662842129,0.01801176008621723,0.3295931650080954,0.015039127594531222,0.0
phoneme,classification,tabm_d,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.33327664914542054,0.3239112711437472,0.6047907936193667,-0.009365378001673336,-0.02799109584168103,0.2715141444739462,-0.03466177803700047,0.0
phoneme,classification,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,0.5,0.5,0.2727320533190123,0.2672136650496626,0.6047907936193667,-0.00551838826934975,-0.020230675949210665,0.3320587403003544,-0.016620918095425784,0.0
satimage,classification,catboost,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.3302322218058702,0.3370707732077972,1.7213411230528803,0.006838551401927018,0.02077322475180764,1.3911089012470101,0.00491232120115142,0.0
satimage,classification,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.3079084453901849,0.2646215305709052,1.7213411230528803,-0.04328691481927968,-0.14024280173480422,1.4134326776626955,-0.030645991260300594,0.0
satimage,classification,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.2123528461484074,0.21028124940677573,1.7213411230528803,-0.0020715967416316816,-0.009755446085162904,1.508988276904473,-0.001372838194529476,0.0
satimage,classification,tabm_d,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.25936549383375473,0.2534187341861426,1.7213411230528803,-0.005946759647612154,-0.02282826479834317,1.4619756292191257,-0.004070856060612171,0.0
satimage,classification,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.25041979433866435,0.24392666672550228,1.7213411230528803,-0.006493127613162036,-0.025975000199964512,1.470921328714216,-0.004413263356673955,0.0
space-ga,regression,catboost,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.10342524180242893,0.10384599006501327,0.18712234365541708,0.00042074826258434866,0.004069247022017079,0.08369710185298815,0.0050253606248646995,0.0
space-ga,regression,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.625,0.625,0.1076805839631978,0.09956384021384884,0.18712234365541708,-0.00811674374934896,-0.07035131723546964,0.07944175969221928,-0.11383113601817926,0.0
space-ga,regression,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.09679473764677436,0.09718106828320726,0.18712234365541708,0.00038633063643289667,0.003991235947585328,0.09032760600864272,0.00427699408302631,0.0
space-ga,regression,tabm_d,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.10514365936125539,0.10034906712661595,0.18712234365541708,-0.004794592234639433,-0.045617056741434125,0.08197868429416169,-0.05846389010977848,0.0
space-ga,regression,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.09218253583750882,0.09406231128833921,0.18712234365541708,0.0018797754508303802,0.020435303632201716,0.09493980781790826,0.019759871519869285,0.0
steel-plates-fault,classification,catboost,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.0016708936983682162,0.001951473986379146,0.6455976337440515,0.00028058028801092967,0.16860976947224177,0.6439267400456834,0.0004357288509807835,0.0
steel-plates-fault,classification,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.0007159471235178309,0.40930130730521264,0.6455976337440515,0.4085853601816948,8466.012292144125,0.6448816866205338,0.6336289967048432,0.0
steel-plates-fault,classification,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.0002682024523877627,0.0005801749063004824,0.6455976337440515,0.0003119724539127197,1.1631976185723873,0.6453294312916638,0.0004834313124202145,0.0
steel-plates-fault,classification,tabm_d,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.000929436312625209,0.10887037166227048,0.6455976337440515,0.10794093534964527,119.84203245188135,0.6446681974314263,0.16743269627665797,0.0
steel-plates-fault,classification,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.00027802101054398017,9.525038258427094e-05,0.6455976337440515,-0.00018277062795970923,-0.6456090314611012,0.6453196127335075,-0.00028323222576346404,0.0
wilt,classification,catboost,DescriptorGate-Ridge-LODO,0.5,1.0,1.0,0.053002657738693844,0.06005876457295179,0.21210188110406236,0.007056106834257947,0.13312013405472528,0.15909922336536853,0.04435122179521492,0.0
wilt,classification,controlled_mlp,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.05095283975105557,0.037507682065624395,0.21210188110406236,-0.01344515768543118,-0.2389559256361687,0.16114904135300678,-0.08677143123986408,0.0
wilt,classification,tabicl_v2,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.03106406641472565,0.0329127149166488,0.21210188110406236,0.0018486485019231502,0.059510834069258056,0.18103781468933672,0.010211394260892154,0.0
wilt,classification,tabm_d,DescriptorGate-Ridge-LODO,0.5,0.75,0.75,0.03146078625974328,0.037198608844389386,0.21210188110406236,0.005737822584646106,0.1851429207888891,0.1806410948443191,0.03169026139606263,0.0
wilt,classification,tabpfn_2_6,DescriptorGate-Ridge-LODO,0.5,0.875,0.875,0.04508706464041253,0.04193695529858278,0.21210188110406236,-0.00315010934182975,-0.07061283977779978,0.16701481646364982,-0.018809245077857,0.0
