dataset,task,seed,selected_arm,selected_relative_proper_loss_reduction,orbit_relative_proper_loss_reduction,selected_official_gain,validation_margin
heloc_credit_risk,binclass,2,measure_orbit_tabm,0.003560884098327754,0.003560884098327754,0.5645730416372619,0.0009713606326978708
jannis_extension,multiclass,0,measure_orbit_tabm,4.137708324268134e-05,4.137708324268134e-05,-0.011942437451473165,0.00017422098158992316
jannis_extension,multiclass,1,measure_orbit_tabm,0.0015223126778563102,0.0015223126778563102,0.0537409685316681,0.001824402736017361
jannis_extension,multiclass,2,measure_orbit_tabm,6.797828819153853e-07,6.797828819153853e-07,0.11345315578910053,0.0012510617279224423
kdd17_stock_direction,binclass,0,baseline_tabm,0.0,6.966734381229879e-05,0.0,-0.0003742009284138925
kdd17_stock_direction,binclass,1,measure_orbit_tabm,-0.00013616546607393465,-0.00013616546607393465,0.01630434782609047,0.00023650604646985318
kdd17_stock_direction,binclass,2,measure_orbit_tabm,0.00045790429074789134,0.00045790429074789134,-0.08695652173913437,6.732884706739384e-05
kdd17_stock_return,regression,0,baseline_tabm,0.0,-0.00018179139071857506,0.0,-0.0007578730583190918
kdd17_stock_return,regression,1,baseline_tabm,0.0,0.0002917875042602439,0.0,-0.00028371810913080386
kdd17_stock_return,regression,2,baseline_tabm,0.0,-0.00016513185549021144,0.0,-0.0001283586025238037
lendingclub_loan_default,binclass,0,measure_orbit_tabm,0.005411931321036617,0.005411931321036617,0.06958942240778976,0.00046171410050876993
lendingclub_loan_default,binclass,1,measure_orbit_tabm,0.004348583149151556,0.004348583149151556,0.13917884481559062,0.0001493605294636824
lendingclub_loan_default,binclass,2,measure_orbit_tabm,8.964745816061945e-05,8.964745816061945e-05,0.0,0.0002989964369707887
polish_bankruptcy_1year,binclass,0,baseline_tabm,0.0,-0.011973685757044382,0.0,-0.00040948699420750856
polish_bankruptcy_1year,binclass,1,baseline_tabm,0.0,-0.006374291497220951,0.0,-0.00356654489748591
polish_bankruptcy_1year,binclass,2,baseline_tabm,0.0,-0.006425694711460833,0.0,-0.0025615377147805984
polish_bankruptcy_2year,binclass,0,measure_orbit_tabm,0.07731215180966163,0.07731215180966163,-0.06561679790024755,0.00220797533088031
polish_bankruptcy_2year,binclass,1,measure_orbit_tabm,0.015120324392767663,0.015120324392767663,0.06561679790028085,0.0007506185411957078
polish_bankruptcy_2year,binclass,2,measure_orbit_tabm,0.04335225043438698,0.04335225043438698,0.1312335958005284,0.002685029906730696
polish_bankruptcy_3year,binclass,0,measure_orbit_tabm,0.08861782308125922,0.08861782308125922,0.18999366687776353,0.008317665522125095
polish_bankruptcy_3year,binclass,1,measure_orbit_tabm,0.10329601307978274,0.10329601307978274,0.37998733375553817,0.009366839261628901
polish_bankruptcy_3year,binclass,2,measure_orbit_tabm,0.09059730284374153,0.09059730284374153,0.18999366687776353,0.008474932283549508
polish_bankruptcy_4year,binclass,0,baseline_tabm,0.0,-0.03179351912423472,0.0,-0.003405394899975517
polish_bankruptcy_4year,binclass,1,baseline_tabm,0.0,-0.027501525191649938,0.0,-0.0032569475238274914
polish_bankruptcy_4year,binclass,2,measure_orbit_tabm,0.0008201001010840824,0.0008201001010840824,0.06775067750676156,0.0007881555971969989
polish_bankruptcy_5year,binclass,0,measure_orbit_tabm,-0.0020527075138413947,-0.0020527075138413947,0.2262443438914019,0.0009931884692680193
polish_bankruptcy_5year,binclass,1,baseline_tabm,0.0,-0.02320184445491426,0.0,-0.0036519882977973095
polish_bankruptcy_5year,binclass,2,measure_orbit_tabm,0.03893542979937702,0.03893542979937702,-0.2262443438914019,0.004893280307837783
santander_extension,binclass,0,baseline_tabm,0.0,0.0,0.0,0.0
santander_extension,binclass,1,baseline_tabm,0.0,0.0,0.0,0.0
santander_extension,binclass,2,baseline_tabm,0.0,0.0,0.0,0.0
