experiment,stage,dataset,task,split_fingerprint,arm,seed,failure,input_features,ensemble_size,member_specific_views,basis_relation_error,basis_transform_condition,all_orbit_transforms_full_rank,parameters,best_epoch,epochs_trained,train_seconds,peak_cuda_bytes,peak_memory_observation_valid,val_proper_loss,val_metric,val_member_loss_mean,val_member_loss_std,val_ensemble_gain_vs_mean_member,val_member_disagreement,val_member_prediction_correlation,val_roc_auc,val_accuracy,test_proper_loss,test_metric,test_member_loss_mean,test_member_loss_std,test_ensemble_gain_vs_mean_member,test_member_disagreement,test_member_prediction_correlation,test_roc_auc,test_accuracy,val_rmse,test_rmse
equivalent_basis_orbit_ensemble,confirmation,heloc_credit_risk,binclass,2f1b3021b9779b07,local,2,,138,8,False,1.4056829233069319e-14,1.0000000000017055,True,67784,15,21,1.660871272906661,135974912,True,0.5333962368044486,0.7367678193366267,0.5345900036260779,0.0019219949258854469,0.002233051148603767,0.0205106008797884,0.9939035412811775,0.8113931111421,0.7367678193366267,0.5491405238651743,0.7219477769936485,0.5503138337744913,0.0016320785355048658,0.002132074168060561,0.02106396108865738,0.9932408793694664,0.797486283931581,0.7219477769936485,,
equivalent_basis_orbit_ensemble,confirmation,heloc_credit_risk,binclass,2f1b3021b9779b07,orbit_natural,0,,138,8,True,1.4056829233069319e-14,1.0000000000017055,True,67784,22,28,1.9908456089906394,142528512,True,0.5329143702461925,0.7388849682427664,0.5357122655286204,0.0035185450530237626,0.0052227575556199985,0.03176949918270111,0.986079486600414,0.8118114628364244,0.7388849682427664,0.5493273060925012,0.7282992237120678,0.5522584782997949,0.002244288041530992,0.005307609249056146,0.032724469900131226,0.9843120056236454,0.7972532004159645,0.7282992237120678,,
equivalent_basis_orbit_ensemble,confirmation,heloc_credit_risk,binclass,2f1b3021b9779b07,orbit_natural,1,,138,8,True,1.4056829233069319e-14,1.0000000000017055,True,67784,16,22,1.5433527489658445,142528512,True,0.5329368942626799,0.7402964008468595,0.5345079094974444,0.0011825488974683963,0.0029391805188470487,0.023854905739426613,0.9918357934038589,0.8116182241966652,0.7402964008468595,0.5497118411990531,0.7311220889202541,0.551394240091277,0.0011333390344721785,0.0030511724096816423,0.02442200481891632,0.9910402036935702,0.7972691377503656,0.7311220889202541,,
equivalent_basis_orbit_ensemble,confirmation,heloc_credit_risk,binclass,2f1b3021b9779b07,orbit_natural,2,,138,8,True,1.4056829233069319e-14,1.0000000000017055,True,67784,15,21,1.5599077560473233,142528512,True,0.5334935990507793,0.7402964008468595,0.5351176125258743,0.0013715089631610112,0.00303487203014921,0.024450795724987984,0.9912236357872206,0.8110504611829392,0.7402964008468595,0.5476905377715136,0.7254763585038815,0.5493792990874586,0.0010432420631765413,0.0030739442107669285,0.02514602430164814,0.9902057071857326,0.7986736153444656,0.7254763585038815,,
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,cumulative,0,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,3.0954278570134193,341851648,True,0.36607131361961365,0.012825914201140654,0.36689719185233116,0.00048306366373591106,0.0022509799776551944,0.028737572953104973,0.5886124136619764,,,0.5709993839263916,0.016018553938461633,0.5718642622232437,0.0005846318360985134,0.0015123838889489506,0.029409106820821762,0.6429806408693352,,,0.012825914201140654,0.016018553938461633
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,cumulative,1,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.7120653679594398,341851648,True,0.36577412486076355,0.012820707193770153,0.36662470549345016,0.00039172801599083554,0.0023200308651916825,0.02916472963988781,0.5112617955048783,,,0.5702998638153076,0.016008738836968295,0.5711836591362953,0.0005112699717318593,0.0015473049812456399,0.029728522524237633,0.5948543340728264,,,0.012820707193770153,0.016008738836968295
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,cumulative,2,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.7086187961976975,341851648,True,0.3656134307384491,0.012817889521740011,0.36627403646707535,0.00039662028634424853,0.0018035832815183272,0.025702379643917084,0.4854906052590458,,,0.5710315704345703,0.016019005018692467,0.5717192217707634,0.000549510310193933,0.0012027780595923456,0.026223210617899895,0.5975174374940451,,,0.012817889521740011,0.016019005018692467
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,local,0,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.743099951185286,341851648,True,0.36606043577194214,0.012825723408101841,0.366860743612051,0.0005311107886933898,0.0021815030745158804,0.028289737179875374,0.5827642824059996,,,0.5706607103347778,0.016013801801912142,0.5715165734291077,0.0006458588692301998,0.001497529790246752,0.02925492823123932,0.6570551977602191,,,0.012825723408101841,0.016013801801912142
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,local,1,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.87119182292372,341851648,True,0.3648762106895447,0.012804961082182875,0.3657725788652897,0.0005451917068997371,0.0024506161137768986,0.02993990294635296,0.44677964946124343,,,0.5706426501274109,0.01601354909590047,0.5715568661689758,0.0004107764727930093,0.0015995189554676111,0.03023596480488777,0.5458890415191042,,,0.012804961082182875,0.01601354909590047
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,local,2,,244,8,False,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.826331182848662,341851648,True,0.36564090847969055,0.012818372190222305,0.3663290925323963,0.0005640984418141844,0.0018785951395462954,0.026232747361063957,0.47572424842104516,,,0.5706160068511963,0.016013175091003196,0.5713503435254097,0.0008407352886706847,0.001285265131166848,0.02709898352622986,0.5501589242149745,,,0.012818372190222305,0.016013175091003196
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,orbit_natural,0,,244,8,True,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.681386017939076,381173248,True,0.36542442440986633,0.012814576545926992,0.36641981080174446,0.00045657671374778477,0.002716519037822147,0.031549613922834396,0.3726318262463767,,,0.5704054236412048,0.016010219694196692,0.5714240372180939,0.0006315828016254542,0.001782587904156133,0.03191552683711052,0.45279748447992046,,,0.012814576545926992,0.016010219694196692
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,orbit_natural,1,,244,8,True,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.7720017300453037,381173248,True,0.3650539219379425,0.012808078210836848,0.3661169558763504,0.0007934078389745633,0.0029035364829344836,0.03260412812232971,0.36197844619987707,,,0.5701945424079895,0.016007260506800014,0.5712860897183418,0.00032685563109183675,0.0019106842088356909,0.03303885459899902,0.4911713385755587,,,0.012808078210836848,0.016007260506800014
equivalent_basis_orbit_ensemble,confirmation,kdd17_stock_return,regression,719f9adf74cde6d1,orbit_natural,2,,244,8,True,3.055587382462377e-14,1.0000000000053764,True,74568,1,7,2.8252724690828472,381173248,True,0.36538568139076233,0.012813896766755595,0.3662303350865841,0.000295123353402135,0.00230634552875602,0.029062556102871895,0.35478455225315175,,,0.5707466006278992,0.016015007209587817,0.5716422870755196,0.00039128317313840945,0.0015668652719914385,0.029927998781204224,0.46610478488867396,,,0.012813896766755595,0.016015007209587817
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,cumulative,0,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,26,30,1.1723868299741298,138556416,True,0.12946077523010943,0.9621212121212122,0.13085692241296154,0.003029934303622949,0.010669265004155552,0.011263081803917885,0.9526771103633022,0.8375492125984251,0.9621212121212122,0.13897861734784323,0.9609895337773549,0.14092436881057702,0.003602366414228109,0.013807061753451358,0.010620463639497757,0.967726343680796,0.800990099009901,0.9609895337773549,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,cumulative,1,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,26,30,1.2302351309917867,138556416,True,0.13184271890390825,0.9621212121212122,0.13378148139970494,0.0012637513644214468,0.014492009473300451,0.012281665578484535,0.9445722870066112,0.8285925196850393,0.9621212121212122,0.14277400529196319,0.9609895337773549,0.14599847411439237,0.0024667960108103394,0.02208563371630008,0.010789497755467892,0.9643622873166571,0.7953151412702245,0.9609895337773549,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,cumulative,2,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,28,30,1.3254307908937335,138556416,True,0.1289012851362207,0.9621212121212122,0.13105599730075926,0.002540501110453593,0.01644115652024472,0.014604493975639343,0.9443931635312497,0.8316190944881889,0.9621212121212122,0.143947152792134,0.9628924833491912,0.14800673885587806,0.003121547655774243,0.02742838667431962,0.012427187524735928,0.9656268945145703,0.7940835546969331,0.9628924833491912,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,local,0,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,29,30,1.2747356491163373,138556416,True,0.12698836797520882,0.9630681818181818,0.12912756708683976,0.0026293666012530983,0.016566556312427844,0.014627520926296711,0.9551109486104623,0.8452755905511812,0.9630681818181818,0.15021105999172482,0.966698382492864,0.15613582944416954,0.004607846848887844,0.0379462515012499,0.013605399988591671,0.9740845310365461,0.7942405216131369,0.966698382492864,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,local,1,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,26,30,1.1861898938659579,138556416,True,0.13254715196805517,0.9621212121212122,0.1345425973580573,0.002517259049010931,0.014831327989689846,0.011875147931277752,0.9430495839111395,0.8253937007874016,0.9621212121212122,0.1436876617846267,0.9609895337773549,0.14834249289632892,0.00544537592678328,0.03137894625348731,0.011283871717751026,0.9587528773534174,0.7885051919826129,0.9609895337773549,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,local,2,,255,8,False,4.6776809202979475e-14,1.000000000007243,True,75272,28,30,1.243854439817369,138556416,True,0.13050658569759435,0.9630681818181818,0.13195553717531672,0.0016664534117791186,0.010980603836254951,0.012840759009122849,0.96557453290159,0.8307824803149606,0.9630681818181818,0.1467503763599214,0.9657469077069457,0.15260845053789376,0.0028331349514296674,0.03838630270685945,0.011758561246097088,0.9756091366583652,0.8009659502535619,0.9657469077069457,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,orbit_natural,0,,255,8,True,4.6776809202979475e-14,1.000000000007243,True,75272,30,30,1.2784347508568317,148780032,True,0.12583663238519893,0.9621212121212122,0.12825096746362724,0.0009636416275007532,0.01882508277462335,0.014333395287394524,0.9291298284907937,0.8532972440944883,0.9621212121212122,0.14515092396203944,0.9609895337773549,0.14988540389785526,0.0043482315215811335,0.03158733147253155,0.012462519109249115,0.9511593485720995,0.7926346293165901,0.9609895337773549,,
equivalent_basis_orbit_ensemble,confirmation,polish_bankruptcy_1year,binclass,e7679523e2fe345e,orbit_natural,1,,255,8,True,4.6776809202979475e-14,1.000000000007243,True,75272,26,30,1.2244583379942924,148780032,True,0.1271087372028954,0.9621212121212122,0.1306860142621749,0.0013222522661768684,0.027373067267190382,0.014781517907977104,0.9109306708941364,0.8479576771653543,0.9621212121212122,0.14084069307655814,0.9609895337773549,0.145316685158248,0.004135049358413647,0.03080163903281694,0.012956648133695126,0.9416489084243966,0.7899782661192949,0.9609895337773549,,
