dataset,fold,kind,columns,cardinality,relative_gain,incremental_gain,fold_wins,incremental_fold_wins
heloc,0,pair,2;21,376,-0.08643552519107275,-0.05782065366025139,0,0
heloc,0,pair,4;5,327,-0.041774000706750275,-0.016401769797445225,1,2
heloc,0,pair,4;6,275,-0.04272805639118777,-0.013547254960137707,1,2
heloc,0,pair,4;9,360,-0.07185096102699833,-0.03804803605788096,0,1
heloc,0,pair,4;10,357,-0.07261077900203759,-0.037061154718417345,0,1
heloc,0,pair,4;12,469,-0.06411985452652567,-0.030647308738507278,0,1
heloc,0,pair,4;15,482,-0.072018241142985,-0.03836103216142129,0,0
heloc,0,pair,4;16,471,-0.06309310382214968,-0.03361230990440236,0,1
heloc,0,pair,4;20,446,-0.08468844914352375,-0.054684735004912055,0,0
heloc,0,pair,4;21,432,-0.08803448783693302,-0.048838192476887025,0,0
heloc,0,pair,5;6,52,-0.006457645406360751,-0.006983570098741293,1,2
heloc,0,pair,5;7,309,-0.02769964657959328,-0.022463461946452528,0,0
heloc,0,pair,5;8,418,-0.04265340045977194,-0.011181183208192122,0,1
heloc,0,pair,5;9,72,-0.03272538291495574,-0.030666735429029264,0,1
heloc,0,pair,5;10,57,-0.010302728697139394,-0.007799966844560252,2,2
heloc,0,pair,5;11,364,-0.04829195382735108,-0.02495222848495039,0,0
heloc,0,pair,5;12,82,-0.04412891526841799,-0.041389783030061605,0,0
heloc,0,pair,5;13,429,-0.07748433000998348,-0.050008950820395755,0,0
heloc,0,pair,5;14,142,-0.019576451217020823,-0.01000209092978495,0,1
heloc,0,pair,5;15,104,-0.01915912044364991,-0.016230631729894078,0,0
heloc,0,pair,5;16,103,-0.030695543881719828,-0.02636237679045007,0,0
heloc,0,pair,5;18,466,-0.04916177646206434,-0.01733356120968067,0,1
heloc,0,pair,5;19,131,-0.043862997793378836,-0.03937300177369612,0,0
heloc,0,pair,5;20,97,-0.03546928886522549,-0.03633807664156165,0,0
heloc,0,pair,5;21,86,-0.030071814473705133,-0.019056431885673023,0,0
heloc,0,pair,5;22,373,-0.05114529374876361,-0.03478818481322617,0,0
heloc,0,pair,6;7,265,-0.03465558554400275,-0.023434650615706765,0,0
heloc,0,pair,6;8,354,-0.05811150042019584,-0.024138865657041635,0,1
heloc,0,pair,6;9,60,-0.008668018881408812,-0.007899916436257497,1,1
heloc,0,pair,6;10,53,-0.011760894502244401,-0.008828437893616571,2,1
heloc,0,pair,6;11,312,-0.04922679677724449,-0.025456768830342254,0,0
heloc,0,pair,6;12,72,-0.042160971054106405,-0.03886957979589818,0,0
heloc,0,pair,6;13,364,-0.06352526171412903,-0.036113690943005095,0,1
heloc,0,pair,6;14,117,-0.018675813973473985,-0.008673223390230017,0,1
heloc,0,pair,6;15,88,-0.034153764399687474,-0.029164080802128525,0,0
heloc,0,pair,6;16,88,-0.027194150659055658,-0.022352714482702797,1,1
heloc,0,pair,6;17,448,-0.0667995564411306,-0.039413338037685174,0,0
heloc,0,pair,6;18,399,-0.05209842463295374,-0.021660642459446943,0,0
heloc,0,pair,6;19,113,-0.028616979949709232,-0.02358584300367419,0,0
heloc,0,pair,6;20,83,-0.015116936937871393,-0.015376661644361658,0,0
heloc,0,pair,6;21,72,-0.021550449057384163,-0.010241947320601345,1,1
heloc,0,pair,6;22,309,-0.04743937873650937,-0.030158633130342682,0,0
heloc,0,pair,7;9,278,-0.04476287467619868,-0.03109719272791462,0,0
heloc,0,pair,7;10,259,-0.03527859417317211,-0.021209733780996543,0,1
heloc,0,pair,7;12,323,-0.07453525922077467,-0.059612842038163714,0,0
heloc,0,pair,7;14,503,-0.03972770080635415,-0.02166727749209561,0,2
heloc,0,pair,7;15,365,-0.04861920490274798,-0.03499149430616354,0,0
heloc,0,pair,7;16,362,-0.05021117046578943,-0.03410662722688645,0,1
heloc,0,pair,7;20,362,-0.0502566080273491,-0.039392915350878396,0,0
heloc,0,pair,7;21,340,-0.05615127476626848,-0.03272887759542869,0,0
heloc,0,pair,8;9,206,-0.04433809059202647,-0.007663488917886709,0,1
heloc,0,pair,8;10,353,-0.06600153608427453,-0.02770513743082944,0,0
heloc,0,pair,8;21,499,-0.07786158210807574,-0.0320776216786425,0,1
heloc,0,pair,9;10,37,-0.013078779991321425,-0.004526532361106151,0,1
heloc,0,pair,9;11,409,-0.08786909219905152,-0.06435134057724658,0,0
heloc,0,pair,9;12,75,-0.06346183295581949,-0.05829903735628347,0,0
heloc,0,pair,9;13,471,-0.09522009512666252,-0.06807196083745033,0,0
heloc,0,pair,9;14,149,-0.030882471273691307,-0.015621041787539688,0,0
heloc,0,pair,9;15,89,-0.06311471731509916,-0.056264267452522894,0,0
heloc,0,pair,9;16,88,-0.05628580544816058,-0.04755277342054157,0,0
heloc,0,pair,9;19,138,-0.04050244127869339,-0.0322226396297811,1,1
heloc,0,pair,9;20,89,-0.04499892534544338,-0.041384377019406136,1,1
heloc,0,pair,9;21,85,-0.03413558327902009,-0.01708017431781481,0,1
heloc,0,pair,9;22,422,-0.07006878112814385,-0.04870217758561802,0,0
heloc,0,pair,10;11,405,-0.0920495220117757,-0.06341178492337284,0,0
heloc,0,pair,10;12,74,-0.04233467723675114,-0.03531333005842326,0,0
heloc,0,pair,10;13,487,-0.09214407363517686,-0.06353508468215867,0,0
heloc,0,pair,10;14,155,-0.026389398518814056,-0.01521194043142296,0,1
heloc,0,pair,10;15,87,-0.04664695255771547,-0.03823974297330571,0,0
heloc,0,pair,10;16,86,-0.04133529118843845,-0.03287670144898661,0,0
heloc,0,pair,10;19,126,-0.042133184642873925,-0.03348990270636577,1,1
heloc,0,pair,10;20,83,-0.03764919300409603,-0.03456721675648684,0,0
heloc,0,pair,10;21,74,-0.04805734562281252,-0.03297308301580316,0,0
heloc,0,pair,10;22,445,-0.06794952466238727,-0.046810203304458134,0,1
heloc,0,pair,11;20,507,-0.05015441428719258,-0.026148073757441426,0,1
heloc,0,pair,11;21,492,-0.06604182879479194,-0.034816659465587076,0,0
heloc,0,pair,12;14,182,-0.04722376651080819,-0.032633280823809646,0,0
heloc,0,pair,12;15,134,-0.04608927212012534,-0.03732072626816699,0,0
heloc,0,pair,12;16,132,-0.050283778697132735,-0.04150339416672997,0,0
heloc,0,pair,12;19,186,-0.052185741244838574,-0.04631048949752288,1,1
heloc,0,pair,12;20,125,-0.052553923805802746,-0.049019939705476585,0,0
heloc,0,pair,12;21,115,-0.04808132272769724,-0.032434291341585174,0,1
heloc,0,pair,14;15,107,-0.03236355612551648,-0.01895730670853459,0,0
heloc,0,pair,14;16,96,-0.032205001665847326,-0.01658114297098641,0,0
heloc,0,pair,14;19,325,-0.059986657781872274,-0.04209516292215998,0,0
heloc,0,pair,14;20,198,-0.03858376683831175,-0.029676158334040758,0,1
heloc,0,pair,14;21,193,-0.05572422390640533,-0.03254523366263763,0,0
heloc,0,pair,15;16,47,-0.005484664938942849,0.0002634672277833462,2,2
heloc,0,pair,15;19,204,-0.07044673188647753,-0.06070473991951869,0,0
heloc,0,pair,15;20,131,-0.04571358429631546,-0.04043612477891948,0,0
heloc,0,pair,15;21,132,-0.05978906278264991,-0.041987399032629553,0,0
heloc,0,pair,16;19,202,-0.07388654252504837,-0.06752526486733318,0,0
heloc,0,pair,16;20,132,-0.051848266285714005,-0.04657994415699887,0,0
heloc,0,pair,16;21,128,-0.05980608033941517,-0.044436171702556405,0,0
heloc,0,pair,19;20,191,-0.06546023952825292,-0.06018450044689426,0,0
heloc,0,pair,19;21,161,-0.04206708175467283,-0.03012814311004934,0,0
heloc,0,pair,20;21,122,-0.049367638971664435,-0.03732403546877758,0,0
heloc,0,pair,20;22,510,-0.07853862965924127,-0.058570392676552535,0,0
heloc,0,pair,21;22,468,-0.06463537239997459,-0.03674252364388982,0,1
credit_card_clients_default,0,singleton,0,78,-0.006906802875926725,-0.006906802875926725,1,1
credit_card_clients_default,0,singleton,1,55,-0.0006715000525023323,-0.0006715000525023323,1,1
credit_card_clients_default,0,singleton,2,11,-0.0017039428391964339,-0.0017039428391964339,2,2
credit_card_clients_default,0,singleton,3,11,-0.0006227628040203183,-0.0006227628040203183,3,3
credit_card_clients_default,0,singleton,4,11,-0.00013709215557887987,-0.00013709215557887987,1,1
credit_card_clients_default,0,singleton,5,11,-0.00272633445843441,-0.00272633445843441,3,3
credit_card_clients_default,0,singleton,6,10,-0.00026701572139127674,-0.00026701572139127674,1,1
credit_card_clients_default,0,singleton,7,10,-0.0015806913858950314,-0.0015806913858950314,1,1
credit_card_clients_default,0,pair,0;2,370,-0.04242120013170567,-0.033407059642406096,0,0
credit_card_clients_default,0,pair,0;3,334,-0.040903809003618154,-0.03314845771181327,0,0
credit_card_clients_default,0,pair,0;4,322,-0.03912219036849828,-0.031768482184709367,0,0
credit_card_clients_default,0,pair,0;5,315,-0.038162383319522326,-0.02826360326555889,0,0
credit_card_clients_default,0,pair,0;6,305,-0.04693824870204411,-0.03937995190940189,0,0
credit_card_clients_default,0,pair,0;7,305,-0.04718817812837571,-0.039408890906859714,0,0
credit_card_clients_default,0,pair,1;2,341,-0.04529620853208219,-0.04281579078484143,0,0
credit_card_clients_default,0,pair,1;3,307,-0.04373891137924714,-0.04237277033445327,0,0
credit_card_clients_default,0,pair,1;4,299,-0.04043571059169072,-0.039555623692531953,0,0
credit_card_clients_default,0,pair,1;5,303,-0.05492081355770573,-0.051346627289946295,0,0
credit_card_clients_default,0,pair,1;6,288,-0.04219191979078822,-0.04115452219181816,0,0
credit_card_clients_default,0,pair,1;7,280,-0.04257231012193355,-0.04149519167734398,0,0
credit_card_clients_default,0,pair,2;3,37,-0.009534224479191541,-0.007972928199507982,0,0
credit_card_clients_default,0,pair,2;4,54,-0.007177077252532308,-0.0052752049069577445,1,1
credit_card_clients_default,0,pair,2;5,59,-0.011708969587977241,-0.007487884835278451,2,2
credit_card_clients_default,0,pair,2;6,59,-0.010366340975740818,-0.00934619615134676,1,1
credit_card_clients_default,0,pair,2;7,61,-0.01288482400001638,-0.008466649974100474,0,0
credit_card_clients_default,0,pair,3;4,43,-0.0019457875947978933,5.791173161300599e-05,2,4
credit_card_clients_default,0,pair,3;5,49,-0.006808765961209002,-0.003399163430952374,1,3
credit_card_clients_default,0,pair,3;6,52,-0.00974623692632508,-0.007732061243743108,0,0
credit_card_clients_default,0,pair,3;7,57,-0.015965933808765265,-0.013609489483402869,0,0
credit_card_clients_default,0,pair,4;5,40,-0.003975214497294929,-0.00127340948074553,1,2
credit_card_clients_default,0,pair,4;6,50,-0.005825742153716721,-0.005335967093577169,0,0
credit_card_clients_default,0,pair,4;7,57,-0.013331190076230553,-0.011598069147199044,1,1
credit_card_clients_default,0,pair,5;6,41,-0.0055529329285293584,-0.002698571026895589,2,2
credit_card_clients_default,0,pair,5;7,47,-0.008814907159214489,-0.005262223268612378,1,1
credit_card_clients_default,0,pair,6;7,38,-0.006686929168906674,-0.006139272549504177,1,1
