dataset,K,parameterization,rank,regularization,val_mse,r2,spearman,mae,coefficient
credit-g,16,geometry + complementarity,,1.0,,0.2236282285130995,0.5185240915014203,0.0708171847234247,"[0.0, 0.0]"
credit-g,32,ID-factor joint,2.0,0.01,0.013075727778797916,0.11237785898598218,0.31575564046996696,0.08336238389322305,
credit-g,32,ID-factor residual,2.0,0.02,0.010364380177814018,0.1647088645068039,0.39857698557679344,0.08022212933721927,
credit-g,32,ID-factor joint,4.0,0.01,0.015065792876851333,0.10030795724762975,0.35139446274503405,0.08368481871825122,
credit-g,32,ID-factor residual,4.0,0.02,0.009751159181563083,0.1666214129999285,0.40276314531736346,0.0800685509497058,
credit-g,32,ID-factor joint,8.0,0.01,0.012944797236882525,0.16229699856372237,0.3945435476523401,0.08058960428775147,
credit-g,32,ID-factor residual,8.0,0.02,0.010659850402224152,0.1667974518239711,0.4040539184676027,0.08024130752975309,
credit-g,32,ID-factor joint,16.0,0.01,0.012781329705399986,0.11706643136327077,0.35860694825851797,0.08265303742286831,
credit-g,32,ID-factor residual,16.0,0.02,0.010436884605261735,0.16786564966926232,0.40428342710919324,0.08007295595712657,
credit-g,32,feature-bilinear MLP,4.0,0.01,0.013722289278528666,0.138815157956246,0.3893430960095128,0.08107721939214918,
credit-g,32,feature-bilinear MLP,8.0,0.01,0.017014959330348325,-0.17228053230660167,0.27017913874080746,0.09588807424944022,
credit-g,32,feature-bilinear MLP,16.0,0.01,0.015016731411846031,-0.2380623823738257,0.28639362399195234,0.09535471935166345,
credit-g,32,signed bilinear,4.0,0.02,0.012643408670577531,0.08278834036644289,0.31227930252494185,0.08328582624261632,
credit-g,32,signed bilinear,8.0,0.02,0.015159416766928117,0.057222741644852526,0.24366619732595657,0.08675081047343891,
credit-g,32,signed bilinear,16.0,0.02,0.014149461918515575,0.032078216237886314,0.20686948813427544,0.08769802971127547,
credit-g,32,DeepSets,,0.01,0.009575722602153886,0.06709973511933187,0.3660478471973812,0.08486428131409911,
credit-g,32,cosine_diversity,,1.0,,0.1663486866680005,0.40355462156598754,0.080309568053824,0.0
credit-g,32,rbf_diversity,,1.0,,0.1663486866680005,0.40355462156598754,0.080309568053824,0.0
credit-g,32,euclidean_neighbor_diversity,,1.0,,0.1663486866680005,0.40355462156598754,0.080309568053824,0.0
credit-g,32,label_target_complementarity,,1.0,,0.1663486866680005,0.40355462156598754,0.080309568053824,0.0
credit-g,32,geometry + complementarity,,1.0,,0.1663486866680005,0.40355462156598754,0.080309568053824,"[0.0, 0.0]"
credit-g,64,ID-factor joint,2.0,0.01,0.005668284917838599,0.054291783920026204,0.268922491609579,0.047001528998137754,
credit-g,64,ID-factor residual,2.0,0.02,0.0025831761268245183,0.13199067281362187,0.37668835945190754,0.045359423311926717,
credit-g,64,ID-factor joint,4.0,0.01,0.00456243119702826,0.08292434461468401,0.3238913932494888,0.046397546806480554,
credit-g,64,ID-factor residual,4.0,0.02,0.002768541639940894,0.1323874195887922,0.37654890192101526,0.04532304245216734,
credit-g,64,ID-factor joint,8.0,0.01,0.0035205053741354706,-0.05322121367192878,0.3299466002998093,0.050924314882320014,
credit-g,64,ID-factor residual,8.0,0.02,0.003382051745782085,0.12983048204963898,0.3766967561095267,0.04524939740565367,
credit-g,64,ID-factor joint,16.0,0.01,0.0034369151057010764,0.057718760077338116,0.3423118347055885,0.04655011535712408,
credit-g,64,ID-factor residual,16.0,0.02,0.0025831893108129215,0.13263087453934308,0.3770349345374059,0.04531083936432019,
credit-g,64,feature-bilinear MLP,4.0,0.01,0.0043631807202769435,-0.04926134696250273,0.28718529151355576,0.04987934020607067,
credit-g,64,feature-bilinear MLP,8.0,0.01,0.004464023531204665,-0.4823437903960388,0.24642151793194453,0.058184938362752944,
credit-g,64,feature-bilinear MLP,16.0,0.01,0.005815714288681633,-0.29521777509584934,0.235046115599706,0.05675229424548897,
credit-g,64,signed bilinear,4.0,0.02,0.004616612201533736,0.017912829207188397,0.25254360169954454,0.04825436092147256,
credit-g,64,signed bilinear,8.0,0.02,0.004620984695654938,-0.027854603328865357,0.15644451686392624,0.04891341873429057,
