seed,n_rows,gap_scale,model,mae,rmse,mean_effect_gap
11,160,0.6,ridge_3stats,0.29984619837869286,0.310195633315034,0.6
11,160,1.0,constant,0.5022313843671758,0.5167482580686611,1.0
11,160,1.0,ridge_full_summary,0.5022313843671758,0.5096475803064583,1.0
11,160,1.0,ridge_3stats,0.5022313843671758,0.5105276090834935,1.0
11,160,1.4,constant,0.7031771405017229,0.7162581401751631,1.4
11,160,1.4,ridge_full_summary,0.7031771405017228,0.7107911009033181,1.4
11,160,1.4,ridge_3stats,0.7031771405017229,0.7105267580895376,1.4
11,512,0.6,constant,0.29407407799113416,0.3115442636304456,0.6
11,512,0.6,ridge_full_summary,0.29407407799113416,0.29804585508152914,0.6
11,512,0.6,ridge_3stats,0.29407407799113416,0.2994374209619773,0.6
11,512,1.0,constant,0.5018261501377719,0.5138994292343214,1.0
11,512,1.0,ridge_full_summary,0.5018261501377719,0.5065966001478631,1.0
11,512,1.0,ridge_3stats,0.5018261501377719,0.506815009362243,1.0
11,512,1.4,constant,0.6953085804180498,0.7059738748500574,1.4
11,512,1.4,ridge_full_summary,0.6953085804180499,0.7000728522305246,1.4
11,512,1.4,ridge_3stats,0.6953085804180498,0.7006136052520555,1.4
29,32,0.6,constant,0.2984844767987817,0.3192787449727725,0.6
29,32,0.6,ridge_full_summary,0.2984844767987817,0.3146487410999067,0.6
29,32,0.6,ridge_3stats,0.2984844767987817,0.3152381854211637,0.6
29,32,1.0,constant,0.4896240579755001,0.5013708205721592,1.0
29,32,1.0,ridge_full_summary,0.4896240579755001,0.5016022496710713,1.0
29,32,1.0,ridge_3stats,0.4896240579755001,0.5006183697637326,1.0
29,32,1.4,constant,0.7011459179273635,0.7135669790766559,1.4
29,32,1.4,ridge_full_summary,0.7011459179273635,0.7112382238346303,1.4
29,32,1.4,ridge_3stats,0.7011459179273635,0.7116672252369355,1.4
29,160,0.6,constant,0.2971619568244394,0.3163610525430244,0.6
29,160,0.6,ridge_full_summary,0.2971619568244394,0.3047593898146796,0.6
29,160,0.6,ridge_3stats,0.29716195682443947,0.30665133922147003,0.6
29,160,1.0,constant,0.5175166075166876,0.5286558801664432,1.0
29,160,1.0,ridge_full_summary,0.5175166075166877,0.5225517844007126,1.0
29,160,1.0,ridge_3stats,0.5175166075166877,0.523638162551818,1.0
29,160,1.4,constant,0.7126893455113547,0.7246284980777749,1.4
29,160,1.4,ridge_full_summary,0.7126893455113548,0.7199130379387171,1.4
29,160,1.4,ridge_3stats,0.7126893455113547,0.7199653120044056,1.4
29,512,0.6,constant,0.29756401277450123,0.31380989769803913,0.6
29,512,0.6,ridge_full_summary,0.29756401277450123,0.3013137601726521,0.6
29,512,0.6,ridge_3stats,0.29756401277450123,0.30304928438344697,0.6
29,512,1.0,constant,0.5005407327116327,0.5152470563648984,1.0
29,512,1.0,ridge_full_summary,0.5005407327116327,0.5045552057026718,1.0
29,512,1.0,ridge_3stats,0.5005407327116327,0.5053392144744463,1.0
29,512,1.4,constant,0.6987243113718242,0.712008132951706,1.4
29,512,1.4,ridge_full_summary,0.6987243113718242,0.7048986713127533,1.4
29,512,1.4,ridge_3stats,0.6987243113718242,0.705127288482707,1.4
47,32,0.6,constant,0.30105225303713484,0.3169016569465259,0.6
47,32,0.6,ridge_full_summary,0.30105225303713484,0.31632536360774616,0.6
47,32,0.6,ridge_3stats,0.30105225303713484,0.3126274756173842,0.6
47,32,1.0,constant,0.48729317712771103,0.501952209587109,1.0
47,32,1.0,ridge_full_summary,0.4872931771277109,0.49945154533100566,1.0
47,32,1.0,ridge_3stats,0.48729317712771103,0.5004024438483551,1.0
47,32,1.4,constant,0.6984454347684946,0.7113606139859989,1.4
47,32,1.4,ridge_full_summary,0.6984454347684946,0.7097235571310017,1.4
47,32,1.4,ridge_3stats,0.6984454347684946,0.7100755013507717,1.4
47,160,0.6,constant,0.30263739587318583,0.32089745834428834,0.6
47,160,0.6,ridge_full_summary,0.30263739587318583,0.31072189893165736,0.6
47,160,0.6,ridge_3stats,0.3026373958731858,0.3136814004061526,0.6
47,160,1.0,constant,0.5037401640975676,0.5181484048034094,1.0
47,160,1.0,ridge_full_summary,0.5037401640975676,0.5099759418880134,1.0
47,160,1.0,ridge_3stats,0.5037401640975676,0.5121329110618016,1.0
47,160,1.4,constant,0.7018668159577969,0.7137665174391525,1.4
47,160,1.4,ridge_full_summary,0.7018668159577969,0.7091386971336674,1.4
47,160,1.4,ridge_3stats,0.7018668159577969,0.7098176620400986,1.4
47,512,0.6,constant,0.2998117213005628,0.3163741575714396,0.6
47,512,0.6,ridge_full_summary,0.2998117213005628,0.3033131878243954,0.6
47,512,0.6,ridge_3stats,0.2998117213005628,0.3042209042772335,0.6
47,512,1.0,constant,0.5013218208248,0.5149321849888236,1.0
47,512,1.0,ridge_full_summary,0.5013218208247999,0.506124055337083,1.0
47,512,1.0,ridge_3stats,0.5013218208248,0.5066025899050851,1.0
47,512,1.4,constant,0.7018519153672845,0.71529698975081,1.4
47,512,1.4,ridge_full_summary,0.7018519153672845,0.7081393723231312,1.4
47,512,1.4,ridge_3stats,0.7018519153672845,0.708682638638916,1.4
71,32,0.6,constant,0.30049689805323837,0.3222164084106914,0.6
71,32,0.6,ridge_full_summary,0.3004968980532384,0.3158919639081608,0.6
71,32,0.6,ridge_3stats,0.30049689805323837,0.3169326541940747,0.6
71,32,1.0,constant,0.49889939758971974,0.5128461300975949,1.0
71,32,1.0,ridge_full_summary,0.49889939758971974,0.5094720079548954,1.0
71,32,1.0,ridge_3stats,0.49889939758971974,0.510859752453373,1.0
71,32,1.4,constant,0.7034564861742247,0.7150771778924481,1.4
71,32,1.4,ridge_full_summary,0.7034564861742247,0.7134716771749836,1.4
71,32,1.4,ridge_3stats,0.7034564861742247,0.7133764023533348,1.4
71,160,0.6,constant,0.30971021323847936,0.32634261194861025,0.6
71,160,0.6,ridge_full_summary,0.30971021323847936,0.3160831510827602,0.6
71,160,0.6,ridge_3stats,0.30971021323847936,0.3170288812216748,0.6
71,160,1.0,constant,0.4979968870134933,0.5109308933120593,1.0
71,160,1.0,ridge_full_summary,0.4979968870134933,0.5050052859970053,1.0
71,160,1.0,ridge_3stats,0.4979968870134933,0.5064552323180651,1.0
71,160,1.4,constant,0.7033506862744814,0.714454307645074,1.4
71,160,1.4,ridge_full_summary,0.7033506862744815,0.7098603383322472,1.4
71,160,1.4,ridge_3stats,0.7033506862744815,0.7109789848565091,1.4
71,512,0.6,constant,0.29716010296674983,0.31910232518773535,0.6
71,512,0.6,ridge_full_summary,0.2971601029667498,0.3019235388277676,0.6
71,512,0.6,ridge_3stats,0.29716010296674983,0.30302734578380935,0.6
71,512,1.0,constant,0.5088330974283737,0.5230532619865493,1.0
71,512,1.0,ridge_full_summary,0.5088330974283738,0.5132652203928976,1.0
71,512,1.0,ridge_3stats,0.5088330974283737,0.5141649115558621,1.0
71,512,1.4,constant,0.6917114215510025,0.7042847711706293,1.4
71,512,1.4,ridge_full_summary,0.6917114215510025,0.6979115313756419,1.4
71,512,1.4,ridge_3stats,0.6917114215510024,0.6985347532091177,1.4
