scope,dataset,model,method,seeds,C_A_mean_per_seed_C,C_B_median_per_seed_C,C_C_ratio_of_mean_losses,C_D_ratio_of_median_losses,reported_unit_C,reported_raw_task_error,reported_method_task_error,displayed_loss_delta,reported_C_matches,apparent_sign_mismatch,diagnosis
general,eye_movements,tabpfn_2_6,PureGram,3,0.004811896413375409,0.006839640984885022,0.009960605579318035,-0.008060910846395763,0.006839640984885,0.8947599745191387,0.8932237541672527,-0.0015362203518859419,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,mozilla4,tabpfn_2_6,SafeRankGram-t01,3,-0.00927245999605975,-0.01197528007225206,-0.009082557277629176,0.004522840358581413,-0.011975280072252,0.1797911116664681,0.181840192266064,0.0020490805995958816,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,controlled_mlp,BlockGuard-Greedy-t01,3,-0.010567156079362603,-0.008084257718152887,-0.010612709102112924,0.0033817726966550127,-0.0080842577181528,3.22762759575608,3.2364722371888925,0.008844641432812494,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,catboost,PureGram,3,-0.004019001918845717,0.0004480783082594138,-0.003993859155296929,-0.0014010906362546898,0.0004480783082594,3.1168693019940323,3.1130497265575654,-0.0038195754364669376,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,catboost,BlockGuard-Greedy-t01,3,-0.004019001918845717,0.0004480783082594138,-0.003993859155296929,-0.0014010906362546898,0.0004480783082594,3.1168693019940323,3.1130497265575654,-0.0038195754364669376,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,tabpfn_2_6,Raw+Gram@0.5,3,0.0020631353311086876,0.0032238089381970954,0.0020652399096770385,-0.0013546771893546362,0.003223808938197,2.9643294615485285,2.9604297736295693,-0.003899687918959227,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,tabpfn_2_6,Raw+Gram@0.75,3,0.003818171787622461,0.005544284868192902,0.003821163246926813,-0.0016263547459247222,0.0055442848681929,2.9643294615485285,2.95964769972035,-0.004681761828178477,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,tabpfn_2_6,GuardedGram-G2-g0p0-t01,3,0.003818171787622461,0.005544284868192902,0.003821163246926813,-0.0016263547459247222,0.0055442848681929,2.9643294615485285,2.95964769972035,-0.004681761828178477,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,puma8NH,tabpfn_2_6,SafeGram-t01,3,0.0020631353311086876,0.0032238089381970954,0.0020652399096770385,-0.0013546771893546362,0.003223808938197,2.9643294615485285,2.9604297736295693,-0.003899687918959227,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,OnlineNewsPopularity,catboost,Raw+Gram@0.5,3,-0.34999806422664337,0.10289850224813621,-0.09705298954691377,-0.3330918712732748,0.1028985022481362,5254.3235099848525,5250.8499943000015,-3.4735156848510087,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,OnlineNewsPopularity,catboost,Raw+Gram@0.75,3,-0.39604065961541307,0.24694695217184615,-0.05214301905548114,-0.3570766736592318,0.2469469521718461,5254.3235099848525,5250.599878357612,-3.723631627240138,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,OnlineNewsPopularity,catboost,PureGram,3,-0.35603985316915443,0.4526652264905023,0.05506295555248636,-0.04509858683648925,0.4526652264905023,5254.3235099848525,5253.853217365155,-0.47029261969782965,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,OnlineNewsPopularity,catboost,GuardedGram-G2-g0p0-t01,3,-0.39604065961541307,0.24694695217184615,-0.05214301905548114,-0.3570766736592318,0.2469469521718461,5254.3235099848525,5250.599878357612,-3.723631627240138,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,SoilKsatDB,tabm_d,Raw+Gram@0.75,3,-0.006066132468493681,0.008510300188470878,-0.005991400037130376,-0.006689287507718166,0.0085103001884708,935.806734360256,934.382218939411,-1.4245154208449549,B: median of per-seed C,True,AGGREGATION-EXPLAINED
general,Brazilian_houses,tabpfn_2_6,SafeGram-t01,3,-0.001131034153826339,0.002910751054383045,-0.001021346367839421,-0.0007825898865855956,0.002910751054383,746.8160385624719,743.6991930931237,-3.116845469348277,B: median of per-seed C,True,AGGREGATION-EXPLAINED
embedding,waveform-5000,resnet_tabular,Gram-after-RBF-k16 embedding,3,-0.011761690268522926,0.03081044538474056,-0.011398869922564366,-0.011560053586767233,0.0308104453847405,0.4892662801511809,0.4822226803069832,-0.007043599844197723,B: median of per-seed C,True,AGGREGATION-EXPLAINED
embedding,ada_prior,resnet_tabular,Raw+Gram@0.75 RBF-k16 embedding,3,0.004022891810852626,0.016588758207168174,0.0037478768959345716,-0.007673435640766234,0.0165887582071681,0.3747307182205792,0.3733076910220578,-0.0014230271985213871,B: median of per-seed C,True,AGGREGATION-EXPLAINED
embedding,eye_movements,resnet_tabular,Gram-after-RBF-k16 embedding,3,-0.560707485470722,0.04212640130214736,-0.2830495092605252,-0.10607323235654727,0.0421264013021473,1.006612061435585,0.9982615061588864,-0.00835055527669848,B: median of per-seed C,True,AGGREGATION-EXPLAINED
