scope,dataset,model,method,seed,split,n_rows,training_classes,probability_columns,class_ordering,row_sum_min,row_sum_max,maximum_row_sum_deviation,minimum_probability,maximum_probability,entries_clipped_at_epsilon,entries_clipped_at_one,clipping_epsilon,renormalized_after_clipping,sample_weights_used
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,0,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997411614459,1.000000245807056,2.588385541457683e-07,1.4833315511216666e-14,0.9999991655349731,300,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998133499162,1.0000002441775564,2.4417755639660754e-07,5.2717373990999496e-15,1.0,285,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997364706452,1.000000243160865,2.635293547825768e-07,9.742627169427587e-15,1.0,433,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998730142554,1.0000001651375519,1.6513755185521006e-07,2.7783168772676906e-15,0.9999998807907104,286,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998136975906,1.0000001589148673,1.8630240938843912e-07,5.4645330563837834e-15,0.9999999403953552,449,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998800283336,1.000000159858331,1.598583310169488e-07,1.5316066163515612e-15,0.9999998807907104,302,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998289205934,1.0000001757487453,1.7574874533465845e-07,3.3254859998618818e-15,0.9999999105930328,470,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999838968975,1.0000001924248965,1.9242489646131844e-07,3.8728245555153033e-17,0.9999998807907104,393,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997555417625,1.0000002154455103,2.4445823754160045e-07,5.2696867720393163e-17,0.9999998807907104,600,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998800283336,1.000000159858331,1.598583310169488e-07,1.5316066163515612e-15,0.9999998807907104,302,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998289205934,1.0000001757487453,1.7574874533465845e-07,3.3254859998618818e-15,0.9999999105930328,470,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.999999845148527,1.000000204657554,2.046575540148865e-07,4.02502713818382e-15,0.9999999105930328,275,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997750841179,1.0000001948165067,2.249158821410191e-07,7.603580112905685e-15,0.9999999701976776,434,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeRankGram-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998601453273,1.0000001867189388,1.867189387549928e-07,1.349709728691326e-15,0.999999612569809,280,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeRankGram-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998376830803,1.000000162190048,1.623169196829366e-07,2.7371583883077466e-15,0.9999998211860657,416,0,1e-08,True,False
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,1,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997199364543,1.0000002662697192,2.8006354568788083e-07,1.0225112078374221e-17,1.0,515,0,1e-08,True,False
general,mfeat-fourier,tabm_d,BlockGuard-Greedy-t01,1,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997532539772,1.0000002000624593,2.467460228361418e-07,1.3862336901152579e-17,1.0,792,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998149099341,1.0000002057226993,2.0572269932017662e-07,3.286355359393735e-14,0.9999997615814209,308,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997603270003,1.000000209775628,2.396729996689828e-07,2.2768010147036256e-14,1.0,467,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998669254637,1.0000001346528933,1.3465289327996288e-07,2.6030035141470646e-14,0.999999463558197,209,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.5,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998574834237,1.000000167662904,1.676629040048283e-07,2.0500770609647827e-14,0.9999995231628418,316,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998500757101,1.000000142367612,1.499242898717057e-07,1.3766752005764344e-14,0.9999994337558746,208,0,1e-08,True,False
general,mfeat-fourier,tabm_d,Raw+Gram@0.75,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998107543231,1.0000001646286307,1.8924567690703498e-07,1.9367150840953612e-14,0.9999995827674866,311,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998332259565,1.0000002111868107,2.1118681070575462e-07,1.503468870058043e-15,0.9999994039535522,225,0,1e-08,True,False
general,mfeat-fourier,tabm_d,PureGram,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999997368013283,1.0000002103970473,2.631986717460677e-07,6.366876884516875e-15,0.9999996423721313,344,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998669254637,1.0000001346528933,1.3465289327996288e-07,2.6030035141470646e-14,0.999999463558197,209,0,1e-08,True,False
general,mfeat-fourier,tabm_d,GuardedGram-G2-g0p0-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998574834237,1.000000167662904,1.676629040048283e-07,2.0500770609647827e-14,0.9999995231628418,316,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,2,validation,256,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998675449264,1.0000001701877963,1.7018779630006975e-07,3.8293318277176947e-14,0.999999612569809,228,0,1e-08,True,False
general,mfeat-fourier,tabm_d,SafeGram-t01,2,test,400,10,10,training-only LabelEncoder sorted classes; encoded columns 0..K-1,0.9999998124468927,1.000000175437485,1.8755310726703556e-07,2.1634390378342042e-14,0.9999997317790985,333,0,1e-08,True,False
