system,family,seed,part,accuracy,auc,log_loss,brier,input_features,parameters
T-PLE,tple,0,val,0.8653462306156917,0.9243274230824786,0.28816621467022846,0.09232453498162183,252,1320541
T-PLE,tple,0,test,0.8640132669983416,0.9178945179520086,0.2958827598192706,0.09430102644981377,252,1320541
T-PLE,tple,1,val,0.8670351604483341,0.9240835414044284,0.2863569462939709,0.09230591168204214,252,1320541
T-PLE,tple,1,test,0.8647503224617652,0.919477204500323,0.2920434827391433,0.09307163757943558,252,1320541
T-PLE,tple,2,val,0.8661139259941655,0.9231263283877759,0.2884275467224597,0.0925572861504125,252,1320541
T-PLE,tple,2,test,0.8633990541121552,0.917538030833658,0.2951924680374813,0.09386168989167279,252,1320541
T-PLE,tple,3,val,0.8636573007830493,0.923824312333629,0.28703125443570804,0.09220881699670103,252,1320541
T-PLE,tple,3,test,0.8646889011731466,0.9176680673982085,0.293966762427262,0.09345103252993761,252,1320541
T-PLE + full identity,tple_full_identity,0,val,0.8713342545677875,0.930953498689668,0.27458314417972257,0.08823543342486523,549,1316509
T-PLE + full identity,tple_full_identity,0,test,0.8737792518887046,0.9277417924219984,0.2751672711656076,0.0877269135734737,549,1316509
T-PLE + full identity,tple_full_identity,1,val,0.8704130201136189,0.9306756979839458,0.27412134689765505,0.08866524578995474,549,1316509
T-PLE + full identity,tple_full_identity,1,test,0.8731650390025183,0.9270285672705557,0.2761148302323997,0.08805233929049547,549,1316509
T-PLE + full identity,tple_full_identity,2,val,0.8719484108705665,0.9306648645302408,0.2747732377251931,0.08817564825194044,549,1316509
T-PLE + full identity,tple_full_identity,2,test,0.8712609790553406,0.9264423258876474,0.2778877261966547,0.0883075432261936,549,1316509
T-PLE + full identity,tple_full_identity,3,val,0.8710271764163979,0.9304503879408184,0.2755299742948568,0.08855234019640998,549,1316509
T-PLE + full identity,tple_full_identity,3,test,0.8727350899821879,0.9257427964991539,0.2806538579147977,0.08866292305700359,549,1316509
Q-PLE + atom-only indicators,qple_atom_identity,0,val,0.8596652848149854,0.9178241266172799,0.2981205776761432,0.09610380073188311,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,0,test,0.8627234199373502,0.913398178066246,0.3016334186127549,0.09598613000285862,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,1,val,0.8564409642253954,0.9186749396421865,0.2964452437945692,0.09582229449181451,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,1,test,0.8587924574657576,0.9139447644652869,0.30057063823898905,0.09619701578457474,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,2,val,0.857976354982343,0.9190110346464166,0.2958345977585095,0.09552899677015295,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,2,test,0.858055402002334,0.9145783346412264,0.30089054694163797,0.0959804599436954,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,3,val,0.8576692768309535,0.9185208208662636,0.2967725685024224,0.09613002601610211,369,1320202
Q-PLE + atom-only indicators,qple_atom_identity,3,test,0.8576868742706222,0.9129072738301571,0.3044252805972288,0.09709493420644327,369,1320202
Atom-bracketed Q-PLE,atom_bracketed_ple,0,val,0.8595117457392907,0.9186227069189659,0.2972074220437416,0.09582499296157897,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,0,test,0.8618021006080707,0.9146950204505968,0.29887228504153995,0.0955500860538646,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,1,val,0.8618148318747121,0.918625286312705,0.2964670788035078,0.09572266544795342,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,1,test,0.8605122535470794,0.9135383034943433,0.30248220492329103,0.09636572019930156,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,2,val,0.857362198679564,0.9182052320422608,0.2965451439351452,0.0960328808223111,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,2,test,0.8579325594250967,0.912934863996892,0.302587841776039,0.09671037013129405,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,3,val,0.8575157377552587,0.9183109871855719,0.29811588473858885,0.09664896808717988,386,1320193
Atom-bracketed Q-PLE,atom_bracketed_ple,3,test,0.8595295129291812,0.9124197046691678,0.304329430700478,0.09699331490079612,386,1320193
