dataset,model,seed,cumulative_helmert,local_adjacent
polish_bankruptcy_2year,resnet,2,0.81117941712204,0.8170195810564663
polish_bankruptcy_2year,mlp,3,0.7661657559198543,0.7770150273224044
polish_bankruptcy_2year,resnet,3,0.8531420765027322,0.8713683970856102
polish_bankruptcy_2year,mlp,4,0.7818761384335156,0.8414162112932605
polish_bankruptcy_2year,resnet,4,0.8561703096539162,0.8217326958105646
polish_bankruptcy_2year,mlp,5,0.7645491803278687,0.8236338797814207
polish_bankruptcy_2year,resnet,5,0.8081967213114755,0.8146630236794172
polish_bankruptcy_2year,mlp,6,0.8274590163934424,0.7691370673952642
polish_bankruptcy_2year,resnet,6,0.8563524590163935,0.8736566484517304
polish_bankruptcy_2year,mlp,7,0.7727117486338798,0.7660063752276867
polish_bankruptcy_2year,resnet,7,0.8381716757741348,0.88716985428051
polish_bankruptcy_2year,mlp,8,0.7965391621129325,0.793488160291439
polish_bankruptcy_2year,resnet,8,0.8857126593806922,0.8342782331511839
polish_bankruptcy_2year,mlp,9,0.7831853369763204,0.7765938069216758
polish_bankruptcy_2year,resnet,9,0.8981102003642988,0.8266734972677596
polish_bankruptcy_2year,mlp,10,0.8210951730418944,0.7735655737704917
polish_bankruptcy_2year,resnet,10,0.8314890710382513,0.8790528233151185
polish_bankruptcy_2year,mlp,11,0.7665528233151184,0.7650614754098359
polish_bankruptcy_2year,resnet,11,0.883424408014572,0.8577413479052823
polish_bankruptcy_2year,mlp,12,0.7778574681238615,0.7832536429872495
polish_bankruptcy_2year,resnet,12,0.840733151183971,0.8345514571948999
polish_bankruptcy_2year,mlp,13,0.7695582877959927,0.8034266848816028
polish_bankruptcy_2year,resnet,13,0.8159722222222222,0.83650956284153
polish_bankruptcy_2year,mlp,14,0.7776297814207651,0.777049180327869
polish_bankruptcy_2year,resnet,14,0.8672244990892533,0.8954234972677595
polish_bankruptcy_2year,mlp,15,0.7533697632058289,0.7612021857923497
polish_bankruptcy_2year,resnet,15,0.8431010928961749,0.8669398907103825
