dataset,family,factor,applicable,view_count,expected_behavior,identity_selected_config,selected_configs,selection_switch_fraction,validation_maximum_loss_range,frozen_max_probability_deviation,frozen_schema_risk,frozen_hard_label_flip_fraction,selected_max_probability_deviation,selected_schema_risk,selected_hard_label_flip_fraction,selection_minus_frozen_schema_risk,selection_minus_frozen_orbit_mean_brier
churn,native_histgb,numeric_units,True,4,invariant_to_positive_affine_rank_preserving_changes_except_numerics,3,3;3;3;3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churn,catboost_native,feature_order,True,4,not_guaranteed_for_the_seeded_fitting_algorithm,1,1;2;1;2,0.5,0.00731592162797684,0.15917626296987591,0.0005511624237229844,0.02266666666666667,0.18512620481026365,0.0006907733695735511,0.018666666666666668,0.00013961094585056668,0.0009227773182947929
churn,catboost_native,category_ids,True,4,invariant_under_native_nominal_processing_except_hash_or_tie_details,1,1;1;1;1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churn,catboost_native,class_ids,True,2,not_guaranteed_for_the_seeded_fitting_algorithm,1,1;0,0.5,0.008287536860404704,0.1048732414019487,0.00018422804258833917,0.010666666666666666,0.18140039220366028,0.0005190600888562611,0.017333333333333333,0.00033483204626792197,0.0001554863225308456
churn,catboost_native,numeric_units,True,4,near_invariant_under_rank_based_quantization,1,1;1;1;1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,onehot_logistic,feature_order,True,4,invariant_up_to_solver_tolerance,0,0;0;0;0,0.0,4.967578193237898e-08,5.404018845467373e-07,2.891799094814972e-15,0.0,5.404018845467373e-07,2.891799094814972e-15,0.0,0.0,0.0
otto,onehot_logistic,category_ids,False,1,invariant_up_to_solver_tolerance,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,onehot_logistic,class_ids,True,4,invariant_up_to_solver_tolerance,0,0;0;0;0,0.0,1.3474796278778456e-07,4.854316291158511e-07,3.0503467932660393e-15,0.0,4.854316291158511e-07,3.0503467932660393e-15,0.0,0.0,0.0
otto,onehot_logistic,numeric_units,True,4,invariant_up_to_solver_tolerance_after_standardization,0,0;0;0;0,0.0,9.209422391354138e-08,5.837384941809187e-07,2.6479755656938474e-15,0.0,5.837384941809187e-07,2.6479755656938474e-15,0.0,0.0,0.0
otto,ordinal_forest_sqrt,feature_order,True,4,not_invariant_because_seeded_feature_subsampling_is_index_coupled,0,0;0;0;0,0.0,0.005746043105237797,0.20833333333333331,0.0032603125,0.14,0.20833333333333331,0.0032603125,0.14,0.0,0.0
otto,ordinal_forest_sqrt,category_ids,False,1,not_invariant_because_nominal_codes_are_treated_as_ordered_values,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,ordinal_forest_sqrt,class_ids,True,4,invariant_except_ties_or_numerics,0,0;0;0;0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,ordinal_forest_sqrt,numeric_units,True,4,invariant_to_positive_affine_per_feature_changes_except_numerics,0,0;0;0;0,0.0,0.001261666666666661,0.05000000000000002,9.922453703703704e-05,0.018666666666666668,0.05000000000000002,9.922453703703704e-05,0.018666666666666668,0.0,0.0
otto,ordinal_forest_full,feature_order,True,4,same_model_class_but_tie_breaking_may_be_position_sensitive,0,0;0;1;0,0.25,0.0035447222222221852,0.15833333333333333,0.0008456597222222223,0.06133333333333333,0.2963690476190476,0.0018391013252108941,0.08666666666666667,0.0009934416029886719,-0.0005258655103793641
otto,ordinal_forest_full,category_ids,False,1,not_invariant_because_nominal_codes_are_treated_as_ordered_values,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,ordinal_forest_full,class_ids,True,4,invariant_except_ties_or_numerics,0,0;0;0;0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,ordinal_forest_full,numeric_units,True,4,invariant_to_positive_affine_per_feature_changes_except_numerics,0,0;0;0;0,0.0,0.0010494444444444362,0.125,7.844907407407407e-05,0.014666666666666666,0.125,7.844907407407407e-05,0.014666666666666666,0.0,0.0
otto,onehot_forest_full,feature_order,True,4,same_model_class_but_tie_breaking_may_be_position_sensitive,0,0;0;1;0,0.25,0.004964166666666658,0.15833333333333333,0.0008527546296296296,0.064,0.2963690476190476,0.001862965418480481,0.08533333333333333,0.0010102107888508515,-0.0007078667348083822
otto,onehot_forest_full,category_ids,False,1,invariant_except_ties_or_numerics,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,onehot_forest_full,class_ids,True,4,invariant_except_ties_or_numerics,0,0;0;0;0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,onehot_forest_full,numeric_units,True,4,invariant_after_standardization_except_ties_or_numerics,0,0;0;0;0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,native_histgb,feature_order,True,4,same_model_class_but_histogram_ties_may_be_position_sensitive,3,3;3;3;3,0.0,0.012236006545581157,0.21366702653017922,0.0011582559907035383,0.05733333333333333,0.21366702653017922,0.0011582559907035383,0.05733333333333333,0.0,0.0
otto,native_histgb,category_ids,False,1,invariant_under_native_nominal_partitioning_except_ties_or_numerics,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,native_histgb,class_ids,True,4,invariant_except_ties_or_numerics,3,3;3;3;3,0.0,1.6464607455191071e-13,4.440892098500626e-16,7.661030136958754e-33,0.0,4.440892098500626e-16,7.661030136958754e-33,0.0,0.0,0.0
otto,native_histgb,numeric_units,True,4,invariant_to_positive_affine_rank_preserving_changes_except_numerics,3,3;3;3;3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,catboost_native,feature_order,True,4,not_guaranteed_for_the_seeded_fitting_algorithm,1,1;2;1;2,0.5,0.007080847607879248,0.2970271016746427,0.002443123603391639,0.10933333333333334,0.34056265909232447,0.002905751764753497,0.116,0.000462628161361858,-0.00618659833079338
otto,catboost_native,category_ids,False,1,invariant_under_native_nominal_processing_except_hash_or_tie_details,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
otto,catboost_native,class_ids,True,4,not_guaranteed_for_the_seeded_fitting_algorithm,1,1;1;1;1,0.0,5.551115123125783e-17,1.0547118733938987e-15,2.546065490177542e-32,0.0,1.0547118733938987e-15,2.546065490177542e-32,0.0,0.0,0.0
otto,catboost_native,numeric_units,True,4,near_invariant_under_rank_based_quantization,1,1;1;1;1,0.0,1.3607319953146124e-05,0.07335041117210245,2.2848634190155167e-06,0.0,0.07335041117210245,2.2848634190155167e-06,0.0,0.0,0.0
