backbone,source,task,split,operator,validation_gain,validation_se,test_gain,validation_states,test_states,ordinary_dimensions,oof_finite
tabm,NYC_TLC,tlc_pickup_zone,0,rbf_half,-0.0115848748428321,0.0100997328248837,-0.0008900833457937,18,19,258,True
tabm,NYC_TLC,tlc_pickup_zone,1,harmonic,0.0169928355657559,0.0136281487260697,0.0101247577791388,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,kernel_ridge,0.0353973767850662,0.0258189498054154,0.0409849355225548,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,knn_1,0.0078042805225467,0.0249004888795322,-0.0135478018698846,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,knn_10,0.0323717096908822,0.0209816796370731,0.0221047735031043,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,knn_3,0.0365700724229075,0.0261485019521121,0.0349390666611298,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,knn_5,0.0393718995788772,0.0235683419306335,0.0308362370742926,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,rbf,0.0140439261689369,0.0107152265222846,0.0096356330335148,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,rbf_double,0.0029705074031398,0.002045674935804,0.003585887046237,18,19,257,True
tabm,NYC_TLC,tlc_pickup_zone,1,rbf_half,0.0283010541854856,0.0212073519995571,0.0237037365406148,18,19,257,True
