dataset,task,model,method,cells,score_mean,score_sd,score_gain_vs_model_mean,score_gain_vs_proxy_mean,k_mean,k_16_fraction,k_32_fraction,k_64_fraction
bank-marketing,classification,ModernNCA,direct_proxy,9,0.8961588541666666,0.006161830793029276,0.005154079861111111,0.0,,,,
bank-marketing,classification,ModernNCA,distance_model,9,0.8910047743055556,0.003643980009316093,0.0,-0.005154079861111111,,,,
bank-marketing,classification,TabR,aggregate_full,9,0.8949110243055556,0.00470740718228504,0.0037434895833333335,-0.001247829861111111,64.0,0.0,0.0,1.0
bank-marketing,classification,TabR,aggregate_mismatch,9,0.89404296875,0.004448453896066587,0.002875434027777778,-0.0021158854166666665,64.0,0.0,0.0,1.0
bank-marketing,classification,TabR,aggregate_reliability,9,0.8929578993055556,0.004069010416666624,0.0017903645833333333,-0.003200954861111111,33.77777777777778,0.1111111111111111,0.7777777777777778,0.1111111111111111
bank-marketing,classification,TabR,direct_proxy,9,0.8961588541666666,0.006161830793029276,0.004991319444444444,0.0,,,,
bank-marketing,classification,TabR,distance_model,9,0.8911675347222222,0.0038790284140016204,0.0,-0.004991319444444444,,,,
covertype,classification,ModernNCA,aggregate_full,9,0.7800021701388888,0.010608496221154395,0.04823133680555555,0.002983940972222222,64.0,0.0,0.0,1.0
covertype,classification,ModernNCA,aggregate_mismatch,9,0.7811957465277778,0.010272619539614778,0.04942491319444445,0.004177517361111111,64.0,0.0,0.0,1.0
covertype,classification,ModernNCA,aggregate_reliability,9,0.73583984375,0.005264613928917901,0.004069010416666667,-0.041178385416666664,64.0,0.0,0.0,1.0
covertype,classification,ModernNCA,direct_proxy,9,0.7770182291666666,0.010506559956713882,0.045247395833333336,0.0,,,,
covertype,classification,ModernNCA,distance_model,9,0.7317708333333334,0.007279322029236105,0.0,-0.045247395833333336,,,,
covertype,classification,TabR,aggregate_full,9,0.79345703125,0.010057290001975522,-0.0020616319444444445,0.016438802083333332,64.0,0.0,0.0,1.0
covertype,classification,TabR,aggregate_mismatch,9,0.7944878472222222,0.010237746649940607,-0.0010308159722222222,0.017469618055555556,64.0,0.0,0.0,1.0
covertype,classification,TabR,aggregate_reliability,9,0.7632378472222222,0.011452366980633,-0.032280815972222224,-0.013780381944444444,40.888888888888886,0.1111111111111111,0.5555555555555556,0.3333333333333333
covertype,classification,TabR,direct_proxy,9,0.7770182291666666,0.010506559956713882,-0.018500434027777776,0.0,,,,
covertype,classification,TabR,distance_model,9,0.7955186631944444,0.009372513052661454,0.0,0.018500434027777776,,,,
cpu_act,regression,ModernNCA,aggregate_full,9,-0.13205689235942986,0.003347770922217314,0.025252196117694484,0.009168470945563476,53.333333333333336,0.0,0.3333333333333333,0.6666666666666666
cpu_act,regression,ModernNCA,aggregate_mismatch,9,-0.1310671018276227,0.0033266835605838025,0.026241986649501628,0.01015826147737062,60.44444444444444,0.0,0.1111111111111111,0.8888888888888888
cpu_act,regression,ModernNCA,aggregate_reliability,9,-0.1646314956705827,0.02019614026832156,-0.007322407193458367,-0.023406132365589374,21.333333333333332,0.6666666666666666,0.3333333333333333,0.0
cpu_act,regression,ModernNCA,direct_proxy,9,-0.14122536330499333,0.003974037383637376,0.016083725172131007,0.0,,,,
cpu_act,regression,ModernNCA,distance_model,9,-0.15730908847712433,0.018367925883624944,0.0,-0.016083725172131007,,,,
cpu_act,regression,TabR,aggregate_full,9,-0.13897542122155446,0.01004834577682479,0.015302600775937397,0.0022499420834388778,26.666666666666668,0.3333333333333333,0.6666666666666666,0.0
cpu_act,regression,TabR,aggregate_mismatch,9,-0.1376725884079216,0.010112059246706662,0.016605433589570267,0.0035527748970717466,35.55555555555556,0.2222222222222222,0.5555555555555556,0.2222222222222222
cpu_act,regression,TabR,aggregate_reliability,9,-0.16725492451093948,0.015245655895586085,-0.012976902513447661,-0.02602956120594618,21.333333333333332,0.8888888888888888,0.0,0.1111111111111111
cpu_act,regression,TabR,direct_proxy,9,-0.14122536330499333,0.003974037383637376,0.013052658692498519,0.0,,,,
cpu_act,regression,TabR,distance_model,9,-0.15427802199749185,0.012594399369227667,0.0,-0.013052658692498519,,,,
credit-g,classification,ModernNCA,aggregate_full,9,0.7377777777777778,0.02785129161178071,-0.010000000000000009,0.006111111111111117,53.333333333333336,0.0,0.3333333333333333,0.6666666666666666
credit-g,classification,ModernNCA,aggregate_mismatch,9,0.741111111111111,0.022329601678290442,-0.006666666666666672,0.009444444444444453,56.888888888888886,0.0,0.2222222222222222,0.7777777777777778
credit-g,classification,ModernNCA,aggregate_reliability,9,0.7294444444444445,0.041491297615015334,-0.018333333333333326,-0.0022222222222221997,48.0,0.1111111111111111,0.3333333333333333,0.5555555555555556
credit-g,classification,ModernNCA,direct_proxy,9,0.7316666666666667,0.017500000000000022,-0.016111111111111125,0.0,,,,
credit-g,classification,ModernNCA,distance_model,9,0.7477777777777779,0.027054471801246555,0.0,0.016111111111111125,,,,
credit-g,classification,TabR,aggregate_full,9,0.7566666666666667,0.025980762113533194,0.023888888888888897,0.025000000000000022,64.0,0.0,0.0,1.0
credit-g,classification,TabR,aggregate_mismatch,9,0.7538888888888889,0.02571208103423588,0.02111111111111112,0.02222222222222224,64.0,0.0,0.0,1.0
credit-g,classification,TabR,aggregate_reliability,9,0.7366666666666667,0.041533119314590396,0.00388888888888888,0.0050000000000000044,42.666666666666664,0.0,0.6666666666666666,0.3333333333333333
credit-g,classification,TabR,direct_proxy,9,0.7316666666666667,0.017500000000000022,-0.0011111111111111243,0.0,,,,
credit-g,classification,TabR,distance_model,9,0.7327777777777778,0.03123610802331886,0.0,0.0011111111111111243,,,,
electricity,classification,ModernNCA,aggregate_full,9,0.8194986979166666,0.0040925426304297356,0.024848090277777776,-0.0021158854166666665,64.0,0.0,0.0,1.0
electricity,classification,ModernNCA,aggregate_mismatch,9,0.8204210069444444,0.0043521295433336365,0.025770399305555556,-0.001193576388888889,64.0,0.0,0.0,1.0
electricity,classification,ModernNCA,aggregate_reliability,9,0.7970377604166666,0.005741199226711357,0.002387152777777778,-0.024576822916666668,64.0,0.0,0.0,1.0
electricity,classification,ModernNCA,direct_proxy,9,0.8216145833333334,0.0027186349427880977,0.026963975694444444,0.0,,,,
electricity,classification,ModernNCA,distance_model,9,0.7946506076388888,0.005895433032641549,0.0,-0.026963975694444444,,,,
electricity,classification,TabR,aggregate_full,9,0.8258463541666666,0.004055968683065475,0.017740885416666668,0.004231770833333333,64.0,0.0,0.0,1.0
electricity,classification,TabR,aggregate_mismatch,9,0.82666015625,0.0041287926087128285,0.0185546875,0.005045572916666667,64.0,0.0,0.0,1.0
electricity,classification,TabR,aggregate_reliability,9,0.7955186631944444,0.005506861058176172,-0.012586805555555556,-0.026095920138888888,56.888888888888886,0.0,0.2222222222222222,0.7777777777777778
electricity,classification,TabR,direct_proxy,9,0.8216145833333334,0.0027186349427880977,0.013509114583333334,0.0,,,,
electricity,classification,TabR,distance_model,9,0.80810546875,0.008155904828364308,0.0,-0.013509114583333334,,,,
elevators,regression,ModernNCA,aggregate_full,9,-0.3084587760249478,0.009598814181746367,0.0009121226379128181,0.16022291952860263,37.333333333333336,0.1111111111111111,0.6666666666666666,0.2222222222222222
elevators,regression,ModernNCA,aggregate_mismatch,9,-0.3077754590209506,0.009004098110954602,0.0015954396419100138,0.16090623653259983,40.888888888888886,0.1111111111111111,0.5555555555555556,0.3333333333333333
elevators,regression,ModernNCA,aggregate_reliability,9,-0.309817998038374,0.008717010411036851,-0.0004470993755133675,0.15886369751517643,33.77777777777778,0.1111111111111111,0.7777777777777778,0.1111111111111111
elevators,regression,ModernNCA,direct_proxy,9,-0.4686816955535504,0.009454264880594613,-0.1593107968906898,0.0,,,,
elevators,regression,ModernNCA,distance_model,9,-0.3093708986628606,0.010601987918443918,0.0,0.1593107968906898,,,,
elevators,regression,TabR,aggregate_full,9,-0.33184826542219814,0.011306411303006726,-0.003732548477961247,0.1368334301313523,16.0,1.0,0.0,0.0
elevators,regression,TabR,aggregate_mismatch,9,-0.32830203205090086,0.010550401877578287,-0.00018631510666400342,0.14037966350264952,17.77777777777778,0.8888888888888888,0.1111111111111111,0.0
elevators,regression,TabR,aggregate_reliability,9,-0.34480742548669135,0.012788690643175149,-0.016691708542454498,0.12387427006685904,16.0,1.0,0.0,0.0
elevators,regression,TabR,direct_proxy,9,-0.4686816955535504,0.009454264880594613,-0.14056597860931352,0.0,,,,
elevators,regression,TabR,distance_model,9,-0.3281157169442369,0.011065347249807022,0.0,0.14056597860931352,,,,
jannis,classification,ModernNCA,aggregate_full,9,0.6676432291666666,0.006578219524075909,0.014594184027777778,-0.020833333333333332,64.0,0.0,0.0,1.0
jannis,classification,ModernNCA,aggregate_mismatch,9,0.6678059895833334,0.0071304110676319865,0.014756944444444444,-0.020670572916666668,64.0,0.0,0.0,1.0
jannis,classification,ModernNCA,aggregate_reliability,9,0.6521267361111112,0.008697408634661181,-0.0009223090277777778,-0.03634982638888889,64.0,0.0,0.0,1.0
jannis,classification,ModernNCA,direct_proxy,9,0.6884765625,0.007693335574506221,0.03542751736111111,0.0,,,,
jannis,classification,ModernNCA,distance_model,9,0.6530490451388888,0.007831973072743878,0.0,-0.03542751736111111,,,,
jannis,classification,TabR,aggregate_full,9,0.6768120659722222,0.0033780139291206463,0.028971354166666668,-0.011664496527777778,64.0,0.0,0.0,1.0
jannis,classification,TabR,aggregate_mismatch,9,0.6780598958333334,0.0035210461674452928,0.030219184027777776,-0.010416666666666666,64.0,0.0,0.0,1.0
jannis,classification,TabR,aggregate_reliability,9,0.6342230902777778,0.009485246434294572,-0.013617621527777778,-0.054253472222222224,64.0,0.0,0.0,1.0
jannis,classification,TabR,direct_proxy,9,0.6884765625,0.007693335574506221,0.04063585069444445,0.0,,,,
jannis,classification,TabR,distance_model,9,0.6478407118055556,0.009988239578493686,0.0,-0.04063585069444445,,,,
sulfur,regression,ModernNCA,aggregate_full,9,-0.3830721229705085,0.07488216931775417,0.018574968141774326,0.03836854968897299,30.22222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222
sulfur,regression,ModernNCA,aggregate_mismatch,9,-0.3944442003356029,0.0772819680557606,0.007202890776680003,0.02699647232387867,35.55555555555556,0.4444444444444444,0.2222222222222222,0.3333333333333333
sulfur,regression,ModernNCA,aggregate_reliability,9,-0.39607349627629523,0.06975545400558039,0.005573594835987646,0.025367176383186314,16.0,1.0,0.0,0.0
sulfur,regression,ModernNCA,direct_proxy,9,-0.42144067265948154,0.08222187072911884,-0.019793581547198666,0.0,,,,
sulfur,regression,ModernNCA,distance_model,9,-0.4016470911122829,0.06122423880550012,0.0,0.019793581547198666,,,,
sulfur,regression,TabR,aggregate_full,9,-0.3722717937513775,0.06147897089996549,0.037124646331291984,0.04916887890810407,21.333333333333332,0.6666666666666666,0.3333333333333333,0.0
sulfur,regression,TabR,aggregate_mismatch,9,-0.37117768773821674,0.05906637460022924,0.03821875234445268,0.05026298492126477,19.555555555555557,0.7777777777777778,0.2222222222222222,0.0
sulfur,regression,TabR,aggregate_reliability,9,-0.44687362386918866,0.09343706933118162,-0.03747718378651918,-0.02543295120970709,16.0,1.0,0.0,0.0
sulfur,regression,TabR,direct_proxy,9,-0.42144067265948154,0.08222187072911884,-0.012044232576812086,0.0,,,,
sulfur,regression,TabR,distance_model,9,-0.40939644008266945,0.07810671634293875,0.0,0.012044232576812086,,,,
superconduct,regression,ModernNCA,aggregate_full,9,-0.3205234013190978,0.016311232672995345,0.07836135610341224,-0.0028067437091081307,64.0,0.0,0.0,1.0
superconduct,regression,ModernNCA,aggregate_mismatch,9,-0.3203254897580956,0.015740792672391753,0.07855926766441443,-0.0026088321481059465,64.0,0.0,0.0,1.0
superconduct,regression,ModernNCA,aggregate_reliability,9,-0.3762430881512028,0.022287201125650774,0.022641669271307223,-0.058526430541213155,16.0,1.0,0.0,0.0
superconduct,regression,ModernNCA,direct_proxy,9,-0.3177166576099897,0.014116045741951631,0.08116809981252038,0.0,,,,
superconduct,regression,ModernNCA,distance_model,9,-0.39888475742251006,0.022871875278205524,0.0,-0.08116809981252038,,,,
superconduct,regression,TabR,aggregate_full,9,-0.31856339435071124,0.014957715924455304,0.04432210264222715,-0.000846736740721585,64.0,0.0,0.0,1.0
superconduct,regression,TabR,aggregate_mismatch,9,-0.3182038909173579,0.014211903266071857,0.04468160607558044,-0.0004872333073682918,64.0,0.0,0.0,1.0
superconduct,regression,TabR,aggregate_reliability,9,-0.3719793242149303,0.016754665432361097,-0.00909382722199188,-0.05426266660494061,16.0,1.0,0.0,0.0
superconduct,regression,TabR,direct_proxy,9,-0.3177166576099897,0.014116045741951631,0.04516883938294873,0.0,,,,
superconduct,regression,TabR,distance_model,9,-0.3628854969929384,0.01610358925354666,0.0,-0.04516883938294873,,,,
