best_validation_loss,dataset,epochs,key_capacity,loss,metric,metric_name,model,parameters,prediction_representation,purpose,retrieval_representation,score,seed,status,task,wall_seconds,candidate_frequency_entropy,mean_selected_retrieval_distance,neighbor_label_entropy,neighbor_residual_consistency,neighbor_target_consistency,oracle_topk_overlap,risk_proxy_version,risk_spearman,topk_candidate_noise,topk_proxy_risk,topk_target_mismatch,within_neighborhood_target_variance,raw_score,score_delta_vs_raw
0.7516354134792386,black-friday,16.0,standard,0.7373191029232252,0.7373191029232252,standardized_rmse,ModernNCA,14049.0,raw,core_seeds,localwarp,-0.7373191029232252,20260833,complete,regression,1.7067135421093553,0.8739287895260904,0.10246618092060089,,1.000944428214301,0.9866216778755188,0.0185546875,2.0,0.42525472019540284,0.5377184077010557,0.6128655618556714,0.07514715415461584,0.4817240834236145,-0.7386703743043643,0.0013512713811391075
0.7965324351458374,black-friday,14.0,standard,0.7811170078983128,0.7811170078983128,standardized_rmse,ModernNCA,15809.0,raw,representation_screen,ple,-0.7811170078983128,20260831,complete,regression,1.25160400592722,0.8714250688050691,0.0413709320127964,,1.052339761951362,1.1797407865524292,0.01416015625,2.0,0.53273147024028,0.5371296707153236,0.6836688793064647,0.1465392085911411,0.5560283064842224,-0.7361499460818769,-0.04496706181643595
0.7414394435882797,black-friday,11.0,standard,0.7284519438353374,0.7284519438353374,standardized_rmse,ModernNCA,16065.0,raw,representation_screen,plr,-0.7284519438353374,20260831,complete,regression,0.9886460569687188,0.8826908574379068,0.06871217489242554,,1.0719023335001276,1.0381207466125488,0.01171875,2.0,0.6340019048070911,0.5306882178102588,0.5982564012909243,0.06756818348066554,0.48107531666755676,-0.7361499460818769,0.007698002246539493
0.7490374350476843,black-friday,13.0,standard,0.7361499460818769,0.7361499460818769,standardized_rmse,ModernNCA,14017.0,raw,core_seeds,raw,-0.7361499460818769,20260831,complete,regression,0.8527865640353411,0.8755728173578738,0.04342806711792946,,1.05261930418189,1.0094749927520752,0.017578125,2.0,0.41639332647512184,0.5349799074780204,0.6023589102091244,0.06737900273110409,0.4751042425632477,-0.7361499460818769,0.0
0.7458631698078383,black-friday,15.0,standard,0.7246421677881453,0.7246421677881453,standardized_rmse,ModernNCA,14017.0,raw,core_seeds,raw,-0.7246421677881453,20260832,complete,regression,1.227407265920192,0.8789150604196991,0.02887335792183876,,1.052506395309627,1.0106115341186523,0.01416015625,2.0,0.4168669229362404,0.5352592187159175,0.5940270182060683,0.058767799490150756,0.481469988822937,-0.7246421677881453,0.0
0.746668960363123,black-friday,18.0,standard,0.7386703743043643,0.7386703743043643,standardized_rmse,ModernNCA,14017.0,raw,core_seeds,raw,-0.7386703743043643,20260833,complete,regression,1.477655982133001,0.8821785653453862,0.04210890084505081,,1.031920820604857,0.9904143810272217,0.01318359375,2.0,0.41262814748323123,0.5398130258996682,0.6049627494773705,0.06514972357770234,0.44961047172546387,-0.7386703743043643,0.0
0.5236704139744595,california,18.0,standard,0.4560706145930118,0.4560706145930118,standardized_rmse,ModernNCA,13121.0,raw,core_seeds,localwarp,-0.4560706145930118,20260831,complete,regression,1.9096903218887746,0.8734196794011244,0.35634273290634155,,0.4638964710533673,0.4778437614440918,0.02978515625,2.0,0.8024595321900945,0.26171117292288143,0.34077650864802517,0.07906533572514376,0.1865784376859665,-0.4318630445642792,-0.024207570028732583
0.5232298047345297,california,18.0,standard,0.45411341423040846,0.45411341423040846,standardized_rmse,ModernNCA,13121.0,raw,core_seeds,localwarp,-0.45411341423040846,20260832,complete,regression,1.867657634196803,0.8767915878256286,0.3271993398666382,,0.4459879732215767,0.5018949508666992,0.03271484375,2.0,0.7454687777092316,0.2565018645552118,0.3329649152516716,0.07646305069645987,0.19666233658790588,-0.4359904566332558,-0.018122957597152656
0.5223742546604629,california,18.0,standard,0.46080826543363107,0.46080826543363107,standardized_rmse,ModernNCA,13121.0,raw,core_seeds,localwarp,-0.46080826543363107,20260833,complete,regression,1.8780594079289585,0.8758077798216929,0.39689499139785767,,0.4583912801547784,0.5180723667144775,0.0234375,2.0,0.7009872808318416,0.2645294523083669,0.3552614219986919,0.09073196969032497,0.20123383402824402,-0.4341374920410033,-0.026670773392627745
0.4935275823258454,california,18.0,standard,0.41980005405917475,0.41980005405917475,standardized_rmse,ModernNCA,16641.0,raw,representation_screen,ple,-0.41980005405917475,20260831,complete,regression,1.5521983068902045,0.8743030414594148,0.05068202316761017,,0.4957502600535092,0.4876473844051361,0.03076171875,2.0,0.8382472820470128,0.26970447273324094,0.35099662602880644,0.08129215329556541,0.19310367107391357,-0.4318630445642792,0.012062990505104454
0.48822480001916374,california,18.0,standard,0.41413230982619603,0.41413230982619603,standardized_rmse,ModernNCA,17153.0,raw,representation_screen,plr,-0.41413230982619603,20260831,complete,regression,1.5924467139411718,0.8686334214642653,0.10153134167194366,,0.4513009514308096,0.397804856300354,0.02978515625,2.0,0.7876632973795513,0.26456797256843423,0.36504250809415123,0.10047453552571693,0.1250486671924591,-0.4318630445642792,0.017730734738083176
0.4911146134692101,california,18.0,standard,0.4318630445642792,0.4318630445642792,standardized_rmse,ModernNCA,13057.0,raw,core_seeds,raw,-0.4318630445642792,20260831,complete,regression,1.4625872350297868,0.876073458736609,0.05481932684779167,,0.4702684049806198,0.4827120006084442,0.03564453125,2.0,0.8367638510511191,0.25960875870929045,0.31953358227990414,0.059924823570613586,0.18543246388435364,-0.4318630445642792,0.0
0.4959201190137854,california,18.0,standard,0.4359904566332558,0.4359904566332558,standardized_rmse,ModernNCA,13057.0,raw,core_seeds,raw,-0.4359904566332558,20260832,complete,regression,1.4642325439490378,0.8732874659159637,0.04747115075588226,,0.45674258419985186,0.4954432547092438,0.03271484375,2.0,0.8244045865826184,0.26325217910015586,0.3062509451999252,0.04299876609976933,0.20031122863292694,-0.4359904566332558,0.0
0.49554931546097186,california,18.0,standard,0.4341374920410033,0.4341374920410033,standardized_rmse,ModernNCA,13057.0,raw,core_seeds,raw,-0.4341374920410033,20260833,complete,regression,1.453892830060795,0.8732675186098248,0.07085567712783813,,0.45416469706465346,0.4879366159439087,0.0283203125,2.0,0.8267875151571777,0.2682091253962874,0.31371398380024973,0.04550485840396233,0.19763605296611786,-0.4341374920410033,0.0
0.3466812074184418,churn,14.0,standard,0.33684664964675903,0.8564453125,accuracy,ModernNCA,13625.0,raw,core_seeds,localwarp,0.8564453125,20260831,complete,classification,2.244463287992403,0.8763017155918514,0.11760684102773666,0.32352093642772106,0.441224364165089,0.77294921875,0.01171875,2.0,0.23261749854411612,0.24532229672330086,0.2724796232976092,0.027157326574308378,,0.8662109375,-0.009765625
0.3410554528236389,churn,17.0,standard,0.3352033495903015,0.8642578125,accuracy,ModernNCA,13625.0,raw,core_seeds,localwarp,0.8642578125,20260832,complete,classification,1.7304176229517907,0.8747614878271447,0.12089093029499054,0.3087412942664123,0.419045685516232,0.78125,0.0087890625,2.0,0.20238365463161762,0.24824188954100718,0.2775137529987644,0.029271863457757206,,0.8681640625,-0.00390625
0.3457326889038086,churn,12.0,standard,0.3408023715019226,0.8544921875,accuracy,ModernNCA,13625.0,raw,core_seeds,localwarp,0.8544921875,20260833,complete,classification,1.216777425026521,0.8833542592333087,0.15912529826164246,0.3418614357258991,0.4391139515410267,0.7666015625,0.0078125,2.0,0.29420623261075235,0.2444144154349958,0.26946333033971814,0.02504891490472234,,0.8662109375,-0.01171875
0.347320556640625,churn,9.0,standard,0.3288280963897705,0.865234375,accuracy,ModernNCA,16705.0,raw,representation_screen,ple,0.865234375,20260831,complete,classification,0.8448742169421166,0.8718072495892651,0.021488305181264877,0.32674006633106295,0.4247149047157671,0.775390625,0.0048828125,2.0,0.2523369104053565,0.24141937222992638,0.26470891154241527,0.02328953931248886,,0.8662109375,-0.0009765625
