dataset,model,seed,method,strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
uci-bike-hourly,resnet,20260844,hour_mass,1.0,155,152705,3,0.06143227964639664,0.06389675289392471,0.08932557702064514,0.3492672237889849,0.4129584167312146,2.4268085956573486,6.626620292663574,0.021669631823897362,0.9475121318828315
uci-bike-hourly,resnet,20260844,hour_path,1.0,155,152705,3,0.06391346454620361,0.07204607874155045,0.0959269255399704,0.37087163030491865,0.42794571581336527,2.7797768115997314,6.620704650878906,0.021668970584869385,1.045380373019725
uci-bike-hourly,resnet,20260844,hour_ring,1.0,155,152705,3,0.06272634863853455,0.06512539088726044,0.08853567391633987,0.3526091731157237,0.41112849378916394,2.914803981781006,6.608484268188477,0.021669678390026093,0.9494856100063771
uci-bike-hourly,resnet,20260844,hour_wrong_ring,1.0,155,152705,5,0.053637802600860596,0.06462881714105606,0.08958138525485992,0.35126227175629765,0.4135493254874518,2.6699881553649902,6.675495147705078,0.02166958898305893,1.153710690094158
uci-bike-hourly,resnet,20260845,quantile_ple,1.0,155,152705,12,0.04507279768586159,0.06827612221240997,0.09154320508241653,0.36103792032167803,0.4180531208460536,2.7177960872650146,6.723385810852051,0.02157355658710003,1.423751343972981
uci-bike-hourly,resnet,20260845,hour_mass,1.0,155,152705,16,0.03999844565987587,0.05758761242032051,0.08003531396389008,0.3315758891778131,0.39089421319980033,2.8507790565490723,6.8957200050354,0.021573074162006378,1.7474708440713584
uci-bike-hourly,resnet,20260845,hour_path,1.0,155,152705,4,0.05751916766166687,0.06333816051483154,0.08773723244667053,0.3477372024825911,0.40927044606101504,2.910114288330078,6.638235569000244,0.02157360501587391,0.7727683251723647
uci-bike-hourly,resnet,20260845,hour_ring,1.0,155,152705,16,0.04156987741589546,0.061846498399972916,0.07850389182567596,0.3436180537227358,0.38713640411492634,2.806945562362671,6.791090488433838,0.021573500707745552,1.7153662431519479
uci-bike-hourly,resnet,20260845,hour_wrong_ring,1.0,155,152705,12,0.04196438193321228,0.06299193203449249,0.09127680957317352,0.346785448191099,0.4174443818813529,2.8520658016204834,6.77547025680542,0.02157360501587391,1.4286183998920023
uci-bike-hourly,resnet,20260846,quantile_ple,1.0,155,152705,6,0.0564875490963459,0.07668378204107285,0.10319624096155167,0.38262223182206867,0.4438644271016017,4.920149803161621,6.690548419952393,0.02152690291404724,1.00850487081334
uci-bike-hourly,resnet,20260846,hour_mass,1.0,155,152705,4,0.056396108120679855,0.06295077502727509,0.08744224905967712,0.34667216665880574,0.40858186235217886,3.891641616821289,6.697617530822754,0.021526748314499855,0.7742032471578568
uci-bike-hourly,resnet,20260846,hour_path,1.0,155,152705,16,0.03778986260294914,0.05863604694604874,0.07875867187976837,0.3345806087303913,0.3877641262807856,4.145186424255371,6.862812519073486,0.021526427939534187,1.7142219319939613
uci-bike-hourly,resnet,20260846,hour_ring,1.0,155,152705,5,0.05221877992153168,0.06655703485012054,0.08495598286390305,0.3564637924086753,0.40273133034739317,4.296995162963867,6.673411846160889,0.02152678556740284,0.9321515390183777
uci-bike-hourly,resnet,20260846,hour_wrong_ring,1.0,155,152705,16,0.040580734610557556,0.0607718862593174,0.08244422823190689,0.3406197168082912,0.39673321527763505,4.268657207489014,6.909589767456055,0.02152681164443493,1.6990885611157864
