dataset,task,model,seed,method,strength,target_parameters,input_features,width,parameters,parameter_error_fraction,members,best_epoch,val_loss,test_loss,val_metric,test_metric,train_seconds
california,regression,tabm,20260851,anchor_riesz_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,25,0.14941920340061188,0.14464232325553894,0.448623628198078,0.44139419218533504,4.787739881081507
california,regression,tabm,20260851,anchor_wrong_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,25,0.14997422695159912,0.14534428715705872,0.4494560644775554,0.44246397328343434,5.8222284549847245
california,regression,tabm,20260852,quantile_ple,1.0,57080,254,128,57080,0.0,8,25,0.18149715662002563,0.17856808006763458,0.49444027491133014,0.49043432880186444,4.918564895167947
california,regression,tabm,20260852,raple_raw,1.0,57080,276,123,57197,0.0020497547302032234,8,23,0.15021158754825592,0.14551487565040588,0.44981159746948407,0.4427235583699627,4.868657041108236
california,regression,tabm,20260852,anchor_only,1.0,57080,255,128,57216,0.0023826208829712684,8,25,0.1502583771944046,0.14515529572963715,0.4498816387486606,0.4421761987438053,4.88921974808909
california,regression,tabm,20260852,anchor_mass_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,24,0.1508043110370636,0.14467410743236542,0.45069819900485797,0.4414426849623254,4.626635990105569
california,regression,tabm,20260852,anchor_riesz_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,25,0.15023621916770935,0.14396598935127258,0.44984846858237404,0.4403610400821236,6.242255883058533
california,regression,tabm,20260852,anchor_wrong_representer,1.0,57080,263,126,57174,0.0016468114926419062,8,25,0.15071652829647064,0.1447400003671646,0.45056700563601026,0.4415432331097655,5.365583084989339
tabred-weather,regression,tabm,20260850,quantile_ple,1.0,399528,2772,128,399528,0.0,8,14,0.1863117814064026,0.16527369618415833,1.6764940686612135,1.5790057973036937,27.96263065794483
tabred-weather,regression,tabm,20260850,raple_raw,1.0,399528,2794,127,399423,-0.00026281011593680544,8,14,0.18153849244117737,0.1599094420671463,1.6548789461241427,1.5531697443394705,30.96915538609028
tabred-weather,regression,tabm,20260850,anchor_only,1.0,399528,2773,128,399664,0.00034040167397529083,8,14,0.1832292377948761,0.16127799451351166,1.662567371186583,1.5598018082040994,32.09314624895342
tabred-weather,regression,tabm,20260850,anchor_mass_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.18072408437728882,0.16169767081737518,1.6511626984520262,1.5618299152112058,32.379402986960486
tabred-weather,regression,tabm,20260850,anchor_riesz_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.1803610622882843,0.16037288308143616,1.6495036117713084,1.5554188236812934,30.12936659785919
tabred-weather,regression,tabm,20260850,anchor_wrong_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,14,0.18066272139549255,0.16085287928581238,1.6508824606194707,1.5577447629656263,28.87050882796757
tabred-weather,regression,tabm,20260851,quantile_ple,1.0,399528,2772,128,399528,0.0,8,15,0.18766649067401886,0.1668606549501419,1.6825781581766819,1.586568514689077,28.00806104298681
tabred-weather,regression,tabm,20260851,raple_raw,1.0,399528,2794,127,399423,-0.00026281011593680544,8,6,0.18419821560382843,0.16703876852989197,1.6669576481436934,1.5874151315859422,16.917021438013762
tabred-weather,regression,tabm,20260851,anchor_only,1.0,399528,2773,128,399664,0.00034040167397529083,8,15,0.18070723116397858,0.160964697599411,1.6510857227565907,1.5582860236451097,29.75886661093682
tabred-weather,regression,tabm,20260851,anchor_mass_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.18039488792419434,0.16115939617156982,1.6496582576797323,1.5592282524584107,30.638590662973
tabred-weather,regression,tabm,20260851,anchor_riesz_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.18016988039016724,0.1607891321182251,1.6486290984194056,1.557436049913406,29.77664397493936
tabred-weather,regression,tabm,20260851,anchor_wrong_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,15,0.18167896568775177,0.16134043037891388,1.655519059801975,1.5601036918337172,23.619452527957037
tabred-weather,regression,tabm,20260852,quantile_ple,1.0,399528,2772,128,399528,0.0,8,17,0.18552154302597046,0.16771826148033142,1.6729348977089558,1.5906404711011533,26.795651206979528
tabred-weather,regression,tabm,20260852,raple_raw,1.0,399528,2794,127,399423,-0.00026281011593680544,8,17,0.17979808151721954,0.16097623109817505,1.646927183156265,1.5583419323081102,28.61078435392119
tabred-weather,regression,tabm,20260852,anchor_only,1.0,399528,2773,128,399664,0.00034040167397529083,8,17,0.17932647466659546,0.16159480810165405,1.6447658445319462,1.5613331036551017,19.08475832710974
tabred-weather,regression,tabm,20260852,anchor_mass_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.18168695271015167,0.16311751306056976,1.655555521973497,1.5686720706355572,13.131891206139699
tabred-weather,regression,tabm,20260852,anchor_riesz_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.1810465157032013,0.16285739839076996,1.6526350756639658,1.5674207815112595,10.647482672939077
tabred-weather,regression,tabm,20260852,anchor_wrong_representer,1.0,399528,2873,124,400572,0.0026130834384573798,8,8,0.18208235502243042,0.163312628865242,1.65735594297621,1.569610016590616,11.119222854962572
tabred-cooking-time,regression,tabm,20260850,quantile_ple,1.0,686080,4879,128,686080,0.0,8,19,0.5185598731040955,0.544532299041748,0.4740172188389451,0.4857429425047286,58.46359074511565
tabred-cooking-time,regression,tabm,20260850,raple_raw,1.0,686080,4901,127,683868,-0.0032241138059701494,8,16,0.519007682800293,0.5442007780075073,0.4742218298880623,0.4855950261758366,39.027774082962424
tabred-cooking-time,regression,tabm,20260850,anchor_only,1.0,686080,4880,128,686216,0.0001982276119402985,8,12,0.5202369093894958,0.5452016592025757,0.4747830880007413,0.4860414039142462,22.835314102005213
tabred-cooking-time,regression,tabm,20260850,anchor_mass_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,12,0.5212044715881348,0.5478544235229492,0.4752244044111862,0.48722241967445257,28.60858715698123
tabred-cooking-time,regression,tabm,20260850,anchor_riesz_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,19,0.5197509527206421,0.545442521572113,0.4745612919776043,0.4861487511492193,34.28977818787098
tabred-cooking-time,regression,tabm,20260850,anchor_wrong_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,11,0.5212075710296631,0.5449029803276062,0.47522581687480425,0.4859082399831429,21.80112439999357
tabred-cooking-time,regression,tabm,20260851,quantile_ple,1.0,686080,4879,128,686080,0.0,8,14,0.5198777318000793,0.5436646938323975,0.47461916375084456,0.4853558097680768,24.93565838690847
tabred-cooking-time,regression,tabm,20260851,raple_raw,1.0,686080,4901,127,683868,-0.0032241138059701494,8,14,0.5181530117988586,0.5439180731773376,0.4738312444625663,0.48546888532772314,26.156874517910182
tabred-cooking-time,regression,tabm,20260851,anchor_only,1.0,686080,4880,128,686216,0.0001982276119402985,8,14,0.5184659361839294,0.5432894229888916,0.47397429563899607,0.4851882758889339,19.529711643001065
tabred-cooking-time,regression,tabm,20260851,anchor_mass_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,14,0.5195306539535522,0.5425330400466919,0.47446069317991757,0.4848504224385124,24.558086956851184
tabred-cooking-time,regression,tabm,20260851,anchor_riesz_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,14,0.5175961256027222,0.5431094169616699,0.47357653019010826,0.48510788316800557,23.949399593984708
tabred-cooking-time,regression,tabm,20260851,anchor_wrong_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,14,0.5192744731903076,0.542432963848114,0.47434373334532154,0.4848056944239403,23.86699273996055
tabred-cooking-time,regression,tabm,20260852,quantile_ple,1.0,686080,4879,128,686080,0.0,8,14,0.519690215587616,0.5465459823608398,0.4745335527615495,0.48664024925320604,24.08747506700456
tabred-cooking-time,regression,tabm,20260852,raple_raw,1.0,686080,4901,127,683868,-0.0032241138059701494,8,11,0.5200299620628357,0.5420193076133728,0.47468864911383335,0.48462077939527504,20.401043484918773
tabred-cooking-time,regression,tabm,20260852,anchor_only,1.0,686080,4880,128,686216,0.0001982276119402985,8,11,0.5194763541221619,0.541602611541748,0.4744358965964004,0.4844344911380922,16.473283709958196
tabred-cooking-time,regression,tabm,20260852,anchor_mass_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,11,0.5186875462532043,0.5410504341125488,0.47407556143339136,0.48418746694533255,21.05026725004427
tabred-cooking-time,regression,tabm,20260852,anchor_riesz_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,14,0.519420325756073,0.5475264191627502,0.4744103153108732,0.48707654357078667,26.548324923962355
tabred-cooking-time,regression,tabm,20260852,anchor_wrong_representer,1.0,686080,5066,123,684687,-0.0020303754664179104,8,11,0.5192424058914185,0.5433086156845093,0.47432905941773384,0.4851968291408433,22.78888320690021
tabred-delivery-eta,regression,tabm,20260850,quantile_ple,1.0,812832,5811,128,812832,0.0,8,10,0.5943620204925537,0.5993486046791077,0.5626755750293952,0.565031009394442,17.32076423894614
tabred-delivery-eta,regression,tabm,20260850,raple_raw,1.0,812832,5833,128,815824,0.003680957442620369,8,5,0.592311441898346,0.599116861820221,0.5617041242064964,0.5649217750110154,11.72469791281037
tabred-delivery-eta,regression,tabm,20260850,anchor_only,1.0,812832,5812,128,812968,0.00016731624739183497,8,10,0.5930116176605225,0.6001480221748352,0.56203600358171,0.5654077396853516,16.403456303058192
tabred-delivery-eta,regression,tabm,20260850,anchor_mass_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,6,0.5946827530860901,0.5966612100601196,0.5628273982066787,0.5637628290895229,13.643326828023419
tabred-delivery-eta,regression,tabm,20260850,anchor_riesz_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,10,0.5949569940567017,0.6027078032493591,0.5629571221936871,0.5666122325600291,17.88782248296775
tabred-delivery-eta,regression,tabm,20260850,anchor_wrong_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,6,0.5933471322059631,0.5940446257591248,0.5621950046455986,0.562525317936462,13.504674384836107
tabred-delivery-eta,regression,tabm,20260851,quantile_ple,1.0,812832,5811,128,812832,0.0,8,8,0.5963579416275024,0.5863001346588135,0.5636195323714794,0.5588464987931516,14.27803314407356
tabred-delivery-eta,regression,tabm,20260851,raple_raw,1.0,812832,5833,128,815824,0.003680957442620369,8,6,0.5942777991294861,0.5867627859115601,0.5626357268831512,0.5590669686677856,12.482948002871126
tabred-delivery-eta,regression,tabm,20260851,anchor_only,1.0,812832,5812,128,812968,0.00016731624739183497,8,8,0.5945837497711182,0.5844123959541321,0.5627805461832018,0.5579461307988147,15.191471294965595
tabred-delivery-eta,regression,tabm,20260851,anchor_mass_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,8,0.5993741154670715,0.5874031782150269,0.5650430595434699,0.5593719635949874,16.811870445962995
tabred-delivery-eta,regression,tabm,20260851,anchor_riesz_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,12,0.5977096557617188,0.5873600244522095,0.564257929255902,0.5593514304890626,19.465665981872007
tabred-delivery-eta,regression,tabm,20260851,anchor_wrong_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,12,0.596721887588501,0.5861859917640686,0.5637914971336002,0.5587921208643252,20.685292983893305
tabred-delivery-eta,regression,tabm,20260852,quantile_ple,1.0,812832,5811,128,812832,0.0,8,15,0.5941623449325562,0.5887057185173035,0.5625810444379233,0.5599917849789229,25.620236824965104
tabred-delivery-eta,regression,tabm,20260852,raple_raw,1.0,812832,5833,128,815824,0.003680957442620369,8,15,0.5910673141479492,0.5844364762306213,0.5611138844158425,0.5579576154173829,23.741954384138808
tabred-delivery-eta,regression,tabm,20260852,anchor_only,1.0,812832,5812,128,812968,0.00016731624739183497,8,15,0.5923649668693542,0.5886934399604797,0.5617294860725011,0.5599859556649527,20.195819194894284
tabred-delivery-eta,regression,tabm,20260852,anchor_mass_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,9,0.5937113165855408,0.5898886322975159,0.5623674914358361,0.5605541397676745,16.77032842882909
tabred-delivery-eta,regression,tabm,20260852,anchor_riesz_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,9,0.5930995941162109,0.5908273458480835,0.5620777223287057,0.5609999517793653,17.102933087851852
tabred-delivery-eta,regression,tabm,20260852,anchor_wrong_representer,1.0,812832,6033,123,811364,-0.0018060312586118657,8,9,0.5948481559753418,0.5851300954818726,0.5629056589218457,0.5582886247457353,17.343260144116357
tabred-maps-routing,regression,tabm,20260850,quantile_ple,1.0,3311560,24184,128,3311560,0.0,8,15,0.19099794328212738,0.19454187154769897,0.16499440576626512,0.16651808729875484,52.980008285027
tabred-maps-routing,regression,tabm,20260850,raple_raw,1.0,3311560,24206,128,3314552,0.0009035016729275629,8,13,0.1907033920288086,0.19413013756275177,0.164867130393759,0.16634177850392007,90.28738567396067
tabred-maps-routing,regression,tabm,20260850,anchor_only,1.0,3311560,24185,128,3311696,4.106825786034377e-05,8,13,0.19069169461727142,0.19385606050491333,0.16486207853358792,0.16622431431642326,72.5489478171803
tabred-maps-routing,regression,tabm,20260850,anchor_mass_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,13,0.19591158628463745,0.19905532896518707,0.16710325922667835,0.1684386605184045,71.57135282503441
tabred-maps-routing,regression,tabm,20260850,anchor_riesz_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,13,0.19196267426013947,0.19513413310050964,0.16541057103131607,0.1667713666402051,66.64619780587964
tabred-maps-routing,regression,tabm,20260850,anchor_wrong_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,6,0.1951906830072403,0.20023678243160248,0.1667955345592418,0.16893778205303533,57.66963051701896
tabred-maps-routing,regression,tabm,20260851,quantile_ple,1.0,3311560,24184,128,3311560,0.0,8,5,0.19127044081687927,0.19678248465061188,0.16511206122686417,0.16747427278824034,30.34171631699428
tabred-maps-routing,regression,tabm,20260851,raple_raw,1.0,3311560,24206,128,3314552,0.0009035016729275629,8,5,0.18935658037662506,0.1951347291469574,0.16428392745365272,0.16677162542146107,43.93408502708189
tabred-maps-routing,regression,tabm,20260851,anchor_only,1.0,3311560,24185,128,3311696,4.106825786034377e-05,8,5,0.18999412655830383,0.19578349590301514,0.16456026082960307,0.1670486226275898,26.433723325142637
tabred-maps-routing,regression,tabm,20260851,anchor_mass_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,5,0.1919458657503128,0.19714251160621643,0.1654033364075076,0.1676274037836265,25.438471304951236
tabred-maps-routing,regression,tabm,20260851,anchor_riesz_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,5,0.1906580626964569,0.1949479877948761,0.16484753052645829,0.1666918082810298,26.18091945303604
tabred-maps-routing,regression,tabm,20260851,anchor_wrong_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,5,0.19264857470989227,0.1977989375591278,0.16570582919302979,0.16790624621262396,28.401638990966603
tabred-maps-routing,regression,tabm,20260852,quantile_ple,1.0,3311560,24184,128,3311560,0.0,8,3,0.19413653016090393,0.20053058862686157,0.16634452383550524,0.16906168201785476,19.464211161946878
tabred-maps-routing,regression,tabm,20260852,raple_raw,1.0,3311560,24206,128,3314552,0.0009035016729275629,8,3,0.19296151399612427,0.19859343767166138,0.16584035044070333,0.16824312315111456,28.84680437692441
tabred-maps-routing,regression,tabm,20260852,anchor_only,1.0,3311560,24185,128,3311696,4.106825786034377e-05,8,10,0.19140377640724182,0.19533522427082062,0.16516960067656328,0.1668572820171903,68.84437188995071
tabred-maps-routing,regression,tabm,20260852,anchor_mass_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,3,0.19388970732688904,0.1993308663368225,0.16623874980996334,0.16855520209446695,38.95547626004554
tabred-maps-routing,regression,tabm,20260852,anchor_riesz_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,3,0.19399769604206085,0.19904553890228271,0.16628502664934786,0.16843452001830883,33.27438759803772
tabred-maps-routing,regression,tabm,20260852,anchor_wrong_representer,1.0,3311560,25169,123,3318180,0.0019990578458490863,8,3,0.1941411793231964,0.19946682453155518,0.1663465153260404,0.16861267403601232,34.80080913286656
