dataset,model,seed,split,rank,qple,tple,rank_q,rank_t,q_t,all
delivery-eta,mlp,20260827,val,0.5653588976149848,0.5658007768925053,0.5662900112695688,0.5654432829211622,0.564860819553278,0.564996045154917,0.564860993813074
delivery-eta,mlp,20260827,test,0.5528093605865969,0.5527619183571559,0.5501388292140241,0.5526515247764365,0.5505972631721576,0.5504308015020989,0.551001502333758
delivery-eta,mlp,20260828,val,0.564981755851651,0.5649301313871078,0.5652780410696749,0.5647221958856186,0.5645756433972444,0.5643802546010619,0.5643913200981032
delivery-eta,mlp,20260828,test,0.5545313523249931,0.5534507673304532,0.5571312649152667,0.5537983720583775,0.5552813229217115,0.5546307675385691,0.5544139012225386
delivery-eta,mlp,20260829,val,0.565675832618826,0.5657995135089848,0.566630558475758,0.5651764476086498,0.5651400273113012,0.56538690987718,0.5649672487236401
delivery-eta,mlp,20260829,test,0.5534447118025447,0.5596380356446176,0.5587739684465163,0.5559163691830165,0.5551118117052241,0.5583543944228744,0.5561856876976208
delivery-eta,resnet,20260827,val,0.5671129531558314,0.5676129480752934,0.5681378621455728,0.566971759156182,0.5669372557165886,0.5674824710530935,0.5669667927519981
delivery-eta,resnet,20260827,test,0.5480137310027011,0.5520030605108452,0.5517297340209346,0.5496288579212454,0.5492236167658184,0.5514781464405658,0.5499529811416686
delivery-eta,resnet,20260828,val,0.565112058614055,0.5658869047966419,0.5664711978923833,0.5648510174397572,0.5646174221833178,0.5656301329873443,0.5647692460305187
delivery-eta,resnet,20260828,test,0.5557604937955603,0.5568608137119888,0.5576821436951391,0.5557249012322423,0.5556112402803493,0.5567239326422886,0.555770644428673
delivery-eta,resnet,20260829,val,0.5662548979206896,0.5658090106678628,0.5673145281747694,0.565867910478886,0.5654514295666218,0.565427207454988,0.5652893679564102
delivery-eta,resnet,20260829,test,0.5607571320540572,0.5596112867659429,0.5524010263197923,0.5600472847753508,0.5553158699262539,0.5548454120422015,0.5564538299586026
delivery-eta,ft_transformer,20260827,val,0.56701205673399,0.5674863483335528,0.5677534886007081,0.5665410760705498,0.5663868561511549,0.5666333466324929,0.5662210915202799
delivery-eta,ft_transformer,20260827,test,0.5529927254568605,0.5536201478520937,0.5534490682974429,0.5525137724077567,0.5521239532442692,0.5524421080666819,0.5520282410513566
delivery-eta,ft_transformer,20260828,val,0.5660083203094537,0.5676155184072833,0.5669548995209261,0.5654079953124871,0.5653025681359516,0.5654804002576945,0.5649084796074639
delivery-eta,ft_transformer,20260828,test,0.5556648687325456,0.5499800349749862,0.5587371996295758,0.5514036503778073,0.5559193315995472,0.552460753864846,0.552749894431237
delivery-eta,ft_transformer,20260829,val,0.568286810706141,0.5668729974168407,0.5679608577578605,0.5648968913310348,0.5672473074584907,0.564732956428017,0.5649317432902201
delivery-eta,ft_transformer,20260829,test,0.554268612117685,0.5591819106287801,0.5533708256490719,0.5542242629996217,0.5528747951399673,0.5538961753688412,0.5530146821911472
maps-routing,mlp,20260827,val,0.16516092151553075,0.16594701311468896,0.16535006713066913,0.16527554842413572,0.1645774122278425,0.16499887361185905,0.1647719751420862
maps-routing,mlp,20260827,test,0.165722649447396,0.1668316928279996,0.16610089581391208,0.16599923453215126,0.1652374366594156,0.1658229311685151,0.16550907551455296
maps-routing,mlp,20260828,val,0.16607269894030807,0.1660145106426718,0.16537288035298836,0.1658148220437674,0.16538570017261023,0.1653743945049122,0.1654265710586138
maps-routing,mlp,20260828,test,0.16697793747196243,0.1663275699648814,0.16573624316689006,0.1664113530380007,0.16599521922556804,0.16569782857178517,0.16593061541015075
maps-routing,mlp,20260829,val,0.16529385283850395,0.1659402723346428,0.16566778106805202,0.16527218364208274,0.16455913024535462,0.1644309096172556,0.16446022808487726
maps-routing,mlp,20260829,test,0.16610953208784807,0.16689840524017008,0.16625858071685506,0.16614491837910528,0.16527621016460614,0.1652072209165798,0.1652492358284814
maps-routing,resnet,20260827,val,0.16623009222880647,0.16666401452235924,0.16548610526907126,0.16603773885477757,0.16558250627488924,0.16551195801117835,0.16557181748390093
maps-routing,resnet,20260827,test,0.16704267587866184,0.16749140321324774,0.16627428303310232,0.1668527339317709,0.16639541518700973,0.16631946084013371,0.16638442356563665
maps-routing,resnet,20260828,val,0.16575959475433777,0.16668640153895176,0.16500615275703368,0.16574320826573974,0.1650449374781644,0.16508533729468056,0.16511531750277264
maps-routing,resnet,20260828,test,0.1660563797473511,0.16792274584055988,0.16565658755975576,0.1664916367377849,0.16551936053169491,0.16603380205977558,0.16583743337916346
maps-routing,resnet,20260829,val,0.1663685305784064,0.16604094661366808,0.16516344510207048,0.16561016478336477,0.1651612243459155,0.1652353280626624,0.16516107853869322
maps-routing,resnet,20260829,test,0.16662129300622652,0.16657640681363972,0.16559238751818484,0.16599400790402896,0.1655191249969512,0.16570973990025273,0.16556637775291527
