dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
higgs-small,binclass,mlp,20260826,support_ple,32,0.35,1.0,773,115713,10,0.5135746690609254,0.5447411754548317,0.5502815266112759,0.7136,0.7151333333333333,0.05125010013580322,13.293083190917969,0.04792628437280655,13.345478304894641
higgs-small,binclass,mlp,20260826,support_spectral,32,0.35,1.0,773,115713,2,0.5134334022167228,0.5844600729063177,0.5877766595126523,0.6867333333333333,0.6864,0.0795135498046875,8.442611694335938,0.04796865954995155,6.566242825007066
higgs-small,binclass,mlp,20260826,support_heat,32,0.35,1.0,773,115713,4,0.4728741382810048,0.5684939874764146,0.578847796890399,0.6976666666666667,0.6939333333333333,0.04944401606917381,10.684051513671875,0.04474472254514694,8.577591100009158
higgs-small,binclass,resnet,20260826,quantile_ple,32,0.35,1.0,776,232193,8,0.503284203525756,0.5415893433035518,0.5462160390601457,0.7204,0.7144666666666667,0.5395875573158264,11.844979286193848,0.048081960529088974,12.185343031072989
higgs-small,binclass,resnet,20260826,support_ple,32,0.35,1.0,773,231809,9,0.5110926051614534,0.5426790187081444,0.5483233739764231,0.715,0.7119333333333333,1.2064670324325562,13.461990356445312,0.04798554256558418,13.429896034067497
higgs-small,binclass,resnet,20260826,support_spectral,32,0.35,1.0,773,231809,2,0.4775028545934046,0.5929394471262971,0.5970865573945787,0.6826,0.6806,0.45201951265335083,7.905547142028809,0.04798578470945358,7.203667371999472
higgs-small,binclass,resnet,20260826,support_heat,32,0.35,1.0,773,231809,2,0.49282511211341495,0.5716600797956153,0.5737907336846994,0.6982,0.6983333333333334,0.4809304177761078,7.805091857910156,0.04534250125288963,6.767163851996884
house,regression,mlp,20260826,quantile_ple,32,0.35,1.0,439,72961,23,0.18598304688930511,0.34737294912338257,0.3874047100543976,30713.216137016425,32434.690501447534,0.3282628059387207,11.188809394836426,0.03614623472094536,4.213025113800541
house,regression,mlp,20260826,support_ple,32,0.35,1.0,459,75521,22,0.19755899906158447,0.3492821455001831,0.3819495439529419,30797.50170656503,32205.51736693969,0.3414173126220703,10.98827838897705,0.036961592733860016,3.927875880151987
house,regression,mlp,20260826,support_spectral,32,0.35,1.0,459,75521,8,0.07714145630598068,0.45606371760368347,0.48057031631469727,35191.68527221121,36124.8243053325,0.33508607745170593,8.35213851928711,0.03696658834815025,1.947387616848573
house,regression,mlp,20260826,support_heat,32,0.35,1.0,459,75521,8,0.1487381011247635,0.4188924729824066,0.43620067834854126,33727.06509313616,34416.79910496925,0.2683839201927185,8.987261772155762,0.035459987819194794,2.430429966887459
house,regression,resnet,20260826,quantile_ple,32,0.35,1.0,439,189057,13,0.22809292376041412,0.35056087374687195,0.4089268147945404,30853.823575397022,33323.45971731492,4.07865571975708,7.774020671844482,0.0361587293446064,3.7626580398064107
house,regression,resnet,20260826,support_ple,32,0.35,1.0,459,191617,10,0.2525968849658966,0.35642242431640625,0.4000955820083618,31110.70260909316,32961.66788576194,5.304870128631592,7.396146297454834,0.03697079047560692,3.133741317084059
house,regression,resnet,20260826,support_spectral,32,0.35,1.0,459,191617,6,0.08811633288860321,0.4775698781013489,0.5459034442901611,36011.87617550255,38502.170606153784,1.7920286655426025,7.231029033660889,0.03697061538696289,2.203523450065404
house,regression,resnet,20260826,support_heat,32,0.35,1.0,459,191617,6,0.11550166457891464,0.4366118311882019,0.48234933614730835,34433.01264687092,36191.6290676354,2.1495916843414307,7.399785041809082,0.03579610213637352,2.203976862831041
microsoft,regression,mlp,20260826,quantile_ple,32,0.35,1.0,2305,311809,8,0.8056168556213379,0.853054940700531,0.8719363808631897,0.7570530632079908,0.7653855031898686,0.34189969301223755,12.828250885009766,0.08283204585313797,14.416318897157907
microsoft,regression,mlp,20260826,support_ple,32,0.35,1.0,2905,388609,11,0.7894472479820251,0.8482779860496521,0.8661435842514038,0.7549304164929751,0.7628387863782677,0.7057269811630249,14.625405311584473,0.09090020507574081,19.466899499995634
microsoft,regression,mlp,20260826,support_spectral,32,0.35,1.0,2905,388609,1,0.758042573928833,0.8790041208267212,0.8931247591972351,0.7684812637509424,0.7746292541753874,0.6268573999404907,8.79992389678955,0.09307022392749786,8.318788873031735
microsoft,regression,mlp,20260826,support_heat,32,0.35,1.0,2905,388609,1,0.7913250923156738,0.8703628778457642,0.8840538859367371,0.764694581610847,0.770685499989149,0.4063708484172821,8.612924575805664,0.08605878800153732,9.022066903999075
microsoft,regression,resnet,20260826,quantile_ple,32,0.35,1.0,2305,427905,12,0.7930256128311157,0.8540059328079224,0.869295597076416,0.75747493478449,0.764225563992504,9.282696723937988,15.800765991210938,0.08301176875829697,21.771089263958856
microsoft,regression,resnet,20260826,support_ple,32,0.35,1.0,2905,504705,7,0.8139649033546448,0.8502647280693054,0.8662583231925964,0.7558139284315288,0.7628893034842434,9.252269744873047,12.967954635620117,0.09117675572633743,18.577304037055
microsoft,regression,resnet,20260826,support_spectral,32,0.35,1.0,2905,504705,1,0.72823166847229,0.8861579298973083,0.8974559307098389,0.7716020874409963,0.7765052269367558,4.008238315582275,8.228109359741211,0.09320617467164993,9.028479935834184
microsoft,regression,resnet,20260826,support_heat,32,0.35,1.0,2905,504705,1,0.7714446187019348,0.8759512305259705,0.887863278388977,0.7671455895147048,0.7723441612540185,4.532701015472412,7.95587158203125,0.08721484243869781,10.129846636904404
otto,multiclass,mlp,20260826,quantile_ple,32,0.35,1.0,390,67721,16,0.3986840365306865,0.5119210502534353,0.5076460441325974,0.8057771942228058,0.8062378797672916,0.10491029173135757,26.988819122314453,0.03398817777633667,10.12123827286996
otto,multiclass,mlp,20260826,support_ple,32,0.35,1.0,1680,232841,14,0.37402509942892737,0.508110297552811,0.5046115378143897,0.8078981921018079,0.8054298642533937,0.09867864847183228,29.973894119262695,0.054118990898132324,12.6400067480281
otto,multiclass,mlp,20260826,support_spectral,32,0.35,1.0,1680,232841,3,0.4435647877814969,0.5919181489130833,0.5796246808167654,0.7826482173517827,0.7832094376212023,0.26739153265953064,11.118237495422363,0.07027161121368408,5.760659207124263
otto,multiclass,mlp,20260826,support_heat,32,0.35,1.0,1680,232841,4,0.4086038771066505,0.556520595131849,0.545884298858399,0.7929502070497929,0.7928248222365869,0.18162399530410767,12.156376838684082,0.06531168520450592,6.389492881018668
otto,multiclass,resnet,20260826,quantile_ple,32,0.35,1.0,390,183817,5,0.41972249864954136,0.5237657374755437,0.5205567465413543,0.8043631956368044,0.7937944408532643,1.6983253955841064,10.528253555297852,0.034045055508613586,6.04661631397903
otto,multiclass,resnet,20260826,support_ple,32,0.35,1.0,1680,348937,5,0.405432509365281,0.5235921764049516,0.5153981548156269,0.8024441975558024,0.8013089851325146,3.050260305404663,11.589821815490723,0.05482698231935501,7.698852495988831
otto,multiclass,resnet,20260826,support_spectral,32,0.35,1.0,1680,348937,3,0.4430944754075621,0.5706163635435368,0.5723256553043113,0.7860822139177861,0.7826438267614738,1.6680420637130737,8.386610984802246,0.07071378827095032,6.995794100919738
otto,multiclass,resnet,20260826,support_heat,32,0.35,1.0,1680,348937,3,0.44480218296201146,0.553367995354644,0.5518864639178983,0.7895162104837895,0.7882191338073691,1.7852270603179932,8.722579956054688,0.06685759127140045,6.508383662207052
