dataset,task,model,seed,method,bins,spike_fraction,heat_strength,input_size,width,parameter_count,baseline_parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
adult,binclass,resnet,20260840,adaptive_support_mass50,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,6,0.2738632499813827,0.2965192410494921,0.2985220302569404,0.8608935974205435,0.8636666666666667,1.8065333366394043,7.416817665100098,0.02460443787276745,14.443364029983059
adult,binclass,resnet,20260840,adaptive_support_mass75,32,0.35,1.0,204,127,156719,157185,-0.0029646594776855297,204,156719,4,0.28211840338661137,0.2950494479341684,0.29772225175124994,0.857362198679564,0.8622,1.7064659595489502,7.059321880340576,0.024603789672255516,12.024453167105094
california,regression,mlp,20260840,quantile_ple,32,0.35,1.0,254,128,49281,49281,0.0,254,49281,25,0.15835322439670563,0.18336990475654602,0.18062449991703033,0.4969846238187401,0.49325019575447726,0.3055843114852905,9.32357406616211,0.027566146105527878,15.612098727142438
california,regression,mlp,20260840,adaptive_support_ple,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,25,0.16314977407455444,0.18519052863121033,0.18566100299358368,0.4994457533100025,0.5000797565926227,0.3735566735267639,9.391395568847656,0.027287878096103668,15.64686503703706
california,regression,mlp,20260840,adaptive_support_whitened,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,12,0.09589137136936188,0.17468143999576569,0.1721310317516327,0.4850676449323572,0.4815135601913667,0.2573069632053375,8.019242286682129,0.027291692793369293,10.837743136100471
california,regression,mlp,20260840,adaptive_support_mass25,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,24,0.11333976686000824,0.16588051617145538,0.16278371214866638,0.4726902267825679,0.46825714992912637,0.24263963103294373,11.237672805786133,0.027278199791908264,11.518011960899457
california,regression,mlp,20260840,adaptive_support_mass50,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,24,0.09163162112236023,0.1664574146270752,0.1643034815788269,0.473511456457377,0.4704379067739666,0.2298005372285843,10.449189186096191,0.027285149320960045,11.351044760784134
california,regression,mlp,20260840,adaptive_support_mass75,32,0.35,1.0,249,129,49150,49281,-0.00265822527951949,249,49150,17,0.09002237766981125,0.17020732164382935,0.1639525294303894,0.47881532799948445,0.46993523521333813,0.2297690063714981,8.990584373474121,0.02728881500661373,8.653557039797306
california,regression,resnet,20260840,quantile_ple,32,0.35,1.0,254,128,165377,165377,0.0,254,165377,20,0.10430264472961426,0.17154067754745483,0.17429573833942413,0.4806871422736556,0.4845318377937282,4.946077823638916,7.462005138397217,0.02757824957370758,11.114218284143135
california,regression,resnet,20260840,adaptive_support_ple,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,20,0.10652747005224228,0.17418117821216583,0.1790202260017395,0.48437255873663787,0.4910548426529395,4.235610485076904,7.380332946777344,0.027300825342535973,13.138654001057148
california,regression,resnet,20260840,adaptive_support_whitened,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,10,0.06595433503389359,0.1828450858592987,0.18356430530548096,0.49627293524573446,0.4972480136167299,2.083509922027588,6.898381233215332,0.02729961648583412,8.999529087916017
california,regression,resnet,20260840,adaptive_support_mass25,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,11,0.08356191217899323,0.17536616325378418,0.1745254397392273,0.48601740467799104,0.48485101849705714,4.031078815460205,7.498688220977783,0.02729988656938076,7.320748121943325
california,regression,resnet,20260840,adaptive_support_mass50,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,7,0.10076168179512024,0.17331044375896454,0.17158243060112,0.4831603776650226,0.48074563106530377,3.421083450317383,6.95861291885376,0.02730001136660576,6.224191771121696
california,regression,resnet,20260840,adaptive_support_mass75,32,0.35,1.0,249,128,164737,165377,-0.003869945639357347,249,164737,7,0.08971559256315231,0.17718037962913513,0.17306123673915863,0.48852495164908305,0.48281286915544896,2.732755422592163,6.838884353637695,0.027300389483571053,5.55987858097069
churn,binclass,mlp,20260840,quantile_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,23,0.3232097637805009,0.344882956338529,0.35986221774526767,0.86,0.8525,0.19901582598686218,8.599102973937988,0.022073714062571526,5.14098409912549
churn,binclass,mlp,20260840,adaptive_support_ple,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,23,0.3234173837668598,0.345765437212844,0.36003807344897387,0.8575,0.8515,0.19977915287017822,8.591816902160645,0.022074637934565544,5.440656668040901
churn,binclass,mlp,20260840,adaptive_support_whitened,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,14,0.3206160470221374,0.3552115137423191,0.3732087336683075,0.8525,0.8465,0.16499164700508118,8.045534133911133,0.0220740158110857,3.3403373560868204
churn,binclass,mlp,20260840,adaptive_support_mass25,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,23,0.3108370163388801,0.34703322516916885,0.3647347740226876,0.86,0.851,0.16399219632148743,9.038593292236328,0.022063132375478745,3.066681824857369
churn,binclass,mlp,20260840,adaptive_support_mass50,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,21,0.30841303013393057,0.34738558808402487,0.3644809944885086,0.8575,0.856,0.16403967142105103,8.748310089111328,0.022067736834287643,3.59625492291525
churn,binclass,mlp,20260840,adaptive_support_mass75,32,0.35,1.0,163,128,37633,37633,0.0,163,37633,17,0.3125675558729406,0.34965859310341835,0.366921184106803,0.855,0.8485,0.16422858834266663,8.352771759033203,0.022072063758969307,2.9746964289806783
churn,binclass,resnet,20260840,quantile_ple,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.3294397875141651,0.3539338100145092,0.3643743603684301,0.854375,0.8535,1.9726457595825195,6.832914352416992,0.02209150791168213,2.354089325061068
churn,binclass,resnet,20260840,adaptive_support_ple,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,10,0.31882254634665513,0.34799562735763045,0.3699734157137807,0.860625,0.8535,1.9523522853851318,6.899528503417969,0.022091610357165337,2.3508455760311335
churn,binclass,resnet,20260840,adaptive_support_whitened,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.30907398371020256,0.369335368522827,0.3839083803015967,0.844375,0.8455,1.47087824344635,6.86273193359375,0.022090760990977287,1.8559512780047953
churn,binclass,resnet,20260840,adaptive_support_mass25,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.3194308080585001,0.3578120823383945,0.37085242412784636,0.853125,0.8515,1.7594175338745117,6.903597831726074,0.0220909733325243,1.3066129959188402
churn,binclass,resnet,20260840,adaptive_support_mass50,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.31384639742365145,0.3571505288508414,0.3710990505587205,0.858125,0.8515,1.7365156412124634,6.8654961585998535,0.022091012448072433,1.9537138189189136
churn,binclass,resnet,20260840,adaptive_support_mass75,32,0.35,1.0,163,128,153729,153729,0.0,163,153729,8,0.31500510030961804,0.36580152325107845,0.3797446071139452,0.845,0.8465,1.6566721200942993,6.875542640686035,0.022091111168265343,2.3489098520949483
