dataset,model,seed,method,strength,width,baseline_parameter_count,parameter_count,parameter_error_fraction,input_features,parameters,best_epoch,train_loss,val_loss,test_loss,val_metric,test_metric,first_gradient_norm,first_weight_norm,first_update_ratio,train_seconds
tabred-cooking-time,mlp,20260850,anchor_riesz_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,8,0.468613862991333,0.5274841785430908,0.5520807504653931,0.47807867950249516,0.48909809288904427,1.8798953294754028,10.758752822875977,0.1209164708852768,21.262904970906675
tabred-cooking-time,mlp,20260850,anchor_wrong_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,8,0.468613862991333,0.5274841785430908,0.5520807504653931,0.47807867950249516,0.48909809288904427,1.8798953294754028,10.758752822875977,0.1209164708852768,20.19790357304737
tabred-cooking-time,mlp,20260851,anchor_riesz_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,13,0.45960527658462524,0.5257076025009155,0.5557247400283813,0.47727290824348856,0.4907095569368565,2.122917413711548,13.364651679992676,0.12089270353317261,26.62234971788712
tabred-cooking-time,mlp,20260851,anchor_wrong_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,13,0.45960527658462524,0.5257076025009155,0.5557247400283813,0.47727290824348856,0.4907095569368565,2.122917413711548,13.364651679992676,0.12089270353317261,20.98080718400888
tabred-cooking-time,mlp,20260852,anchor_riesz_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,13,0.4526645243167877,0.5274432301521301,0.5520725250244141,0.4780601212999578,0.4890944440246976,2.599874258041382,12.806413650512695,0.12099781632423401,20.366032491903752
tabred-cooking-time,mlp,20260852,anchor_wrong_representer,1.0,128,641281,641409,0.00019960048714993896,4880,641409,13,0.4526645243167877,0.5274432301521301,0.5520725250244141,0.4780601212999578,0.4890944440246976,2.599874258041382,12.806413650512695,0.12099781632423401,19.623008107068017
tabred-cooking-time,resnet,20260850,anchor_riesz_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,19,0.4641231298446655,0.5199998021125793,0.5415451526641846,0.4746748775935572,0.4844087921472635,47.072914123535156,17.577468872070312,0.12094590067863464,25.878180623985827
tabred-cooking-time,resnet,20260850,anchor_wrong_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,19,0.4641231298446655,0.5199998021125793,0.5415451526641846,0.4746748775935572,0.4844087921472635,47.072914123535156,17.577468872070312,0.12094590067863464,24.781639602966607
tabred-cooking-time,resnet,20260851,anchor_riesz_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,17,0.4683683216571808,0.5207229256629944,0.5501217842102051,0.4750048055536773,0.4882295847043352,62.0825080871582,17.378734588623047,0.12091999500989914,22.923080512089655
tabred-cooking-time,resnet,20260851,anchor_wrong_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,17,0.4683683216571808,0.5207229256629944,0.5501217842102051,0.4750048055536773,0.4882295847043352,62.0825080871582,17.378734588623047,0.12091999500989914,24.301634402945638
tabred-cooking-time,resnet,20260852,anchor_riesz_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,17,0.47088852524757385,0.5200997591018677,0.5445998311042786,0.47472050801544086,0.4857730358268135,70.1889877319336,14.7125825881958,0.12101779133081436,22.369038176955655
tabred-cooking-time,resnet,20260852,anchor_wrong_representer,1.0,128,757377,757505,0.0001690043399786368,4880,757505,17,0.47088852524757385,0.5200997591018677,0.5445998311042786,0.47472050801544086,0.4857730358268135,70.1889877319336,14.7125825881958,0.12101779133081436,23.359123945934698
tabred-delivery-eta,mlp,20260850,anchor_riesz_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,10,0.49630770087242126,0.5964924097061157,0.5951358079910278,0.5636830892946918,0.5630417342509411,1.0803769826889038,10.830999374389648,0.13196130096912384,20.266952136997133
tabred-delivery-eta,mlp,20260850,anchor_wrong_representer,1.0,128,760577,760961,0.0005048798477997625,5814,760961,10,0.5018935799598694,0.5975875854492188,0.5940811038017273,0.564200332153689,0.5625425883666573,1.0792924165725708,10.8485689163208,0.13196100294589996,19.119845745852217
