dataset,model,seed,val_rmse,test_rmse,parameters,val_disagreement,test_disagreement,val_qple,val_tple,test_qple,test_tple,val_rank,test_rank,val_gain_vs_qple_pct,val_gain_vs_tple_pct,val_gain_vs_rank_pct,val_best_typed,val_gain_vs_best_typed_pct,test_gain_vs_qple_pct,test_gain_vs_tple_pct,test_gain_vs_rank_pct,test_best_typed,test_gain_vs_best_typed_pct,val_beats_both_typed
delivery-eta,mlp,20260828,0.5652232947995574,0.5527514032112598,886879,0.0009707933058962,0.0009394609951414,0.5649301104800178,0.5652780492586548,0.5534507820008714,0.5571312566285054,0.564981737281855,0.5545313432932636,-0.0518974496314935,0.009686287866515562,-0.042754924940499,0.5649301104800178,-0.0518974496314935,0.12636693493920656,0.7861439050737092,0.3209809695215825,0.5534507820008714,0.12636693493920656,False
delivery-eta,resnet,20260828,0.5648913872822561,0.5577593251789338,1002975,0.0011370771098881,0.0011002942919731,0.5658868915614832,0.5664711906036295,0.5568608301255161,0.5576821649394956,0.5651120796013438,0.5557605058739498,0.17591930367571715,0.27888502497187656,0.03905284049907579,0.5658868915614832,0.17591930367571715,-0.16135001867794113,-0.013835880773868364,-0.3596547944407854,0.5568608301255161,-0.16135001867794113,True
delivery-eta,ft_transformer,20260828,0.565842831677317,0.5549367572517804,420031,0.0030617909505963,0.0032420933712273,0.5676155179178388,0.5669548992089872,0.5499800509998951,0.5587371906180665,0.5660083339040982,0.5556648745126902,0.3123040481741094,0.1961474419255939,0.029240245570180314,0.5669548992089872,0.1961474419255939,-0.9012520077544073,0.6801826386538049,0.13103532260310136,0.5499800509998951,-0.9012520077544073,True
delivery-eta,mlp,20260829,0.5648819738185613,0.5532571503461033,886879,0.0009245775872841,0.000903868349269,0.5657994999649704,0.5666305527076646,0.559638021482401,0.5587739754424078,0.5656758456508776,0.5534447122599923,0.16216453822703256,0.3085924118894832,0.1403404155259323,0.5657994999649704,0.16216453822703256,1.1401782744131093,0.9873088831555793,0.03388990982007984,0.5587739754424078,0.9873088831555793,True
delivery-eta,resnet,20260829,0.5659544096315252,0.5610403329578242,1002975,0.0010918459156528,0.0010476750321686,0.5658090107159504,0.5673145335192968,0.5596113078426521,0.5524010215050806,0.5662548798833578,0.560757141708328,-0.025697525635174214,0.23974776026522526,0.053062721842581824,0.5658090107159504,-0.025697525635174214,-0.25536030011278305,-1.5639564585171732,-0.0505015858796607,0.5524010215050806,-1.5639564585171732,False
delivery-eta,ft_transformer,20260829,0.5653292500188803,0.5553180799416748,420031,0.002381922211498,0.002437544753775,0.5668729804031148,0.5679608585235909,0.559181893869657,0.553370834437882,0.5682867990557608,0.5542686102211503,0.27232386047694856,0.4633432859354782,0.5204324720888519,0.5668729804031148,0.27232386047694856,0.690976222646226,-0.35188798950179534,-0.18934316343583324,0.553370834437882,-0.35188798950179534,True
maps-routing,mlp,20260827,0.1650941327758001,0.1657933762485104,3867573,0.000471093255328,0.0004691054928116,0.1659470182806116,0.1653500704065739,0.1668316895452014,0.1661008930312086,0.1651609209605628,0.1657226530817112,0.5139504847078911,0.15478531708180665,0.040438249178003136,0.1653500704065739,0.15478531708180665,0.6223717445537645,0.18513854867740692,-0.042675618259826756,0.1661008930312086,0.18513854867740692,True
maps-routing,resnet,20260827,0.1654459385656076,0.165446302128489,3983669,0.0023684748448431,0.0023690324742347,0.1666640095155742,0.1654861042434383,0.1674914004308378,0.166274288070188,0.1662300913247671,0.1670426764430537,0.7308542219205212,0.024271329616656772,0.4717273225985783,0.1654861042434383,0.024271329616656772,1.2210168982337037,0.4979639072936454,0.9556685444446509,0.166274288070188,0.4979639072936454,True
maps-routing,mlp,20260828,0.1653806118439064,0.1661119916183697,3867573,0.0004388736851979,0.0004466191167011,0.1660145121638785,0.1653728844871403,0.1663275713248569,0.1657362410962317,0.1660727016998246,0.166977942814688,0.38183428165987854,-0.0046726866922991266,0.41673908404835397,0.1653728844871403,-0.0046726866922991266,0.12961152788442007,-0.22671596728191445,0.5186021469190878,0.1657362410962317,-0.22671596728191445,False
maps-routing,resnet,20260828,0.1655767696175498,0.1660676055281509,3983669,0.0009758924716152,0.0009528847876936,0.166686403188306,0.1650061568607198,0.1679227443554911,0.1656565882484992,0.1657595940873902,0.1660563768773215,0.6657013106837728,-0.3458130094573759,0.11029495508054873,0.1650061568607198,-0.3458130094573759,1.1047573301999452,-0.24811405570851355,-0.006761950995527173,0.1656565882484992,-0.24811405570851355,False
maps-routing,mlp,20260829,0.165507669024028,0.1662481700579179,3867573,0.0009473845129832,0.0009295369964092,0.1659402775572979,0.1656677802986332,0.1668984020410855,0.1662585796724208,0.165293848181297,0.1661095267414902,0.2607013436629483,0.09664599496448449,-0.12935801609293854,0.1656677802986332,0.09664599496448449,0.3895974887809507,0.0062610991405194485,-0.08346499995960416,0.1662585796724208,0.0062610991405194485,True
maps-routing,resnet,20260829,0.1661052639428307,0.1669404812589244,3983669,0.000525340437889,0.0005184042383916,0.1660409465701616,0.1651634447188049,0.1665764065967664,0.1655923833765386,0.1663685263388988,0.1666212904797283,-0.03873585040176852,-0.5702346700441373,0.15824050489682537,0.1651634447188049,-0.5702346700441373,-0.21856316245273258,-0.8141062136417226,-0.19156662289502258,0.1655923833765386,-0.8141062136417226,False
weather,mlp,20260827,1.6667864412627773,1.588161450327403,417647,0.0014834760222584,0.0013528236886486,1.677555348321022,1.683721016559098,1.6190741111704274,1.6332156200312158,1.668308439044329,1.5874328984980413,0.641940492098974,1.0057827353683917,0.09122999955713033,1.677555348321022,0.641940492098974,1.909280163875736,2.7586173651064874,-0.04589496854015982,1.6190741111704274,1.909280163875736,True
weather,resnet,20260827,1.6633404410846733,1.600072547088083,533743,0.001740280422382,0.0017799691995605,1.6662249213642086,1.6700276777048275,1.6053225459629823,1.6043191449902594,1.6695429156236798,1.6030435667310277,0.1731147003355175,0.4004266940859765,0.37150734377436223,1.6662249213642086,0.1731147003355175,0.3270370112287926,0.2646978262047849,0.18533617579734588,1.6043191449902594,0.2646978262047849,True
weather,ft_transformer,20260827,1.6516018574731928,1.582596956360917,196559,0.0048412666656076,0.0048880372196435,1.674052870804097,1.6799797000563412,1.6070798126916994,1.6249385139304475,1.6891641960128114,1.6199840950024906,1.3411173399870144,1.6891777074566292,2.223723343667993,1.674052870804097,1.3411173399870144,1.5234374881342103,2.6057329066017116,2.3078707227379374,1.6070798126916994,1.5234374881342103,True
weather,mlp,20260828,1.6658483820300622,1.5919484486979874,417647,0.0013082569930702,0.001111825578846,1.6660244104676731,1.6634783554363124,1.595481907168068,1.600317461055639,1.671139355387884,1.593276682611122,0.010565777818433849,-0.14247414677831619,0.31660874604880684,1.6634783554363124,-0.14247414677831619,0.22146653335307054,0.522959510304354,0.08336492510251739,1.595481907168068,0.22146653335307054,False
weather,resnet,20260828,1.6586331807323196,1.589375769861982,533743,0.0016109884018078,0.0016214805655181,1.66333478246618,1.6628788936342578,1.603498645758062,1.5921768778526852,1.6795971971758898,1.6031120419589435,0.2826611806247103,0.2553230375459939,1.2481573843311722,1.6628788936342578,0.2553230375459939,0.8807538399512285,0.17592944789407325,0.8568504095432022,1.5921768778526852,0.17592944789407325,True
weather,ft_transformer,20260828,1.6535611603967282,1.5867670464224892,196559,0.0033906397875398,0.0031421589665114,1.672455686300606,1.6714068974544662,1.6135902894792125,1.6059211786203584,1.6788848859131862,1.6189778033361697,1.1297474760405495,1.067707515442046,1.5083658045252948,1.6714068974544662,1.067707515442046,1.6623329497961008,1.1927193222723709,1.9895737203626211,1.6059211786203584,1.1927193222723709,True
weather,mlp,20260829,1.6673028834292516,1.595649565819853,417647,0.0012916279956698,0.0010568191064521,1.6597983346595484,1.6664785541806055,1.592547052958965,1.5964145735608168,1.674461156201126,1.5964621657163942,-0.452136179016139,-0.04946533794738073,0.42749709334043284,1.6597983346595484,-0.452136179016139,-0.19481451773268785,0.04792036815708955,0.05090004097757613,1.592547052958965,-0.19481451773268785,False
weather,resnet,20260829,1.660417758457993,1.5970040479821914,533743,0.0013805782655254,0.0013063648948445,1.6663423172574658,1.6779789334848507,1.599865446479758,1.6078227369263811,1.6751226137724162,1.6097221898244245,0.3555427200110728,1.046567074020787,0.87783755013058,1.6663423172574658,0.3555427200110728,0.17885244686436239,0.672878215721181,0.7900830293965364,1.599865446479758,0.17885244686436239,True
weather,ft_transformer,20260829,1.6630430307381088,1.5930303302632152,196559,0.0028663952834904,0.0027736781630665,1.6830272279874894,1.679275384434719,1.6090016387018462,1.6072535287079548,1.685951745569552,1.6205510709289253,1.187395956349267,0.9666284545744361,1.3588001490341721,1.679275384434719,0.9666284545744361,0.9926222605662975,0.884938075461774,1.6982334688122336,1.6072535287079548,0.884938075461774,True
