domain,regime,seed,interface,chart,test_mse,seen_mse,held_mse,initial_native_cka,final_native_cka,final_corrupt_cka,orbit_damage
cycle16,interpolation,7302,random_fixed,3,0.01705950853017743,0.01705950853017743,,0.41568744289594867,0.41568744289594867,0.44287590539331373,7.02147114593505e-16
cycle16,interpolation,7302,random_fixed,4,0.01705950853017743,0.01705950853017743,,0.41568744289594867,0.41568744289594867,0.44287590539331373,7.02147114593505e-16
cycle16,interpolation,7302,native_fixed,0,0.014200107280004112,0.014200107280004112,,0.9999999999999993,0.9999999999999993,0.47525102114367357,7.78850394890355e-16
cycle16,interpolation,7302,native_fixed,1,0.014200107280004112,0.014200107280004112,,0.9999999999999993,0.9999999999999993,0.47525102114367357,7.78850394890355e-16
cycle16,interpolation,7302,native_fixed,2,0.014200107280004112,0.014200107280004112,,0.9999999999999993,0.9999999999999993,0.47525102114367357,7.78850394890355e-16
cycle16,interpolation,7302,native_fixed,3,0.014200107280004112,0.014200107280004112,,0.9999999999999993,0.9999999999999993,0.47525102114367357,7.78850394890355e-16
cycle16,interpolation,7302,native_fixed,4,0.014200107280004112,0.014200107280004112,,0.9999999999999993,0.9999999999999993,0.47525102114367357,7.78850394890355e-16
cycle16,interpolation,7302,native_tuned,0,0.01524847163244068,0.01524847163244068,,0.9999999999999993,0.9965429508758111,0.46407621867595056,5.575179329157277e-16
cycle16,interpolation,7302,native_tuned,1,0.01524847163244068,0.01524847163244068,,0.9999999999999993,0.9965429508758111,0.46407621867595056,5.575179329157277e-16
cycle16,interpolation,7302,native_tuned,2,0.01524847163244068,0.01524847163244068,,0.9999999999999993,0.9965429508758111,0.46407621867595056,5.575179329157277e-16
cycle16,interpolation,7302,native_tuned,3,0.01524847163244068,0.01524847163244068,,0.9999999999999993,0.9965429508758111,0.46407621867595056,5.575179329157277e-16
cycle16,interpolation,7302,native_tuned,4,0.01524847163244068,0.01524847163244068,,0.9999999999999993,0.9965429508758111,0.46407621867595056,5.575179329157277e-16
cycle16,interpolation,7302,corrupt_fixed,0,0.014655541624567548,0.014655541624567548,,0.4752510265130261,0.4752510265130261,0.9999999999999992,8.93010742664211e-16
cycle16,interpolation,7302,corrupt_fixed,1,0.014655541624567548,0.014655541624567548,,0.4752510265130261,0.4752510265130261,0.9999999999999992,8.93010742664211e-16
cycle16,interpolation,7302,corrupt_fixed,2,0.014655541624567548,0.014655541624567548,,0.4752510265130261,0.4752510265130261,0.9999999999999992,8.93010742664211e-16
cycle16,interpolation,7302,corrupt_fixed,3,0.014655541624567548,0.014655541624567548,,0.4752510265130261,0.4752510265130261,0.9999999999999992,8.93010742664211e-16
cycle16,interpolation,7302,corrupt_fixed,4,0.014655541624567548,0.014655541624567548,,0.4752510265130261,0.4752510265130261,0.9999999999999992,8.93010742664211e-16
cycle16,interpolation,7303,label,0,0.030474799507230543,0.030474799507230543,,0.4179633562379269,0.41796335804823675,0.0973038145493295,0.24491062760353088
cycle16,interpolation,7303,label,1,0.6625572334920564,0.6625572334920564,,0.24905719925999034,0.2490572014465082,0.19641180883676115,0.33745652437210083
cycle16,interpolation,7303,label,2,1.217744966677909,1.217744966677909,,0.25013805282486706,0.25013805608493783,0.10975728533313935,0.590484619140625
cycle16,interpolation,7303,label,3,0.5185960230058576,0.5185960230058576,,0.14762229705832283,0.1476222977674977,0.22947650512263448,0.24360662698745728
cycle16,interpolation,7303,label,4,0.7458288063052898,0.7458288063052898,,0.19164420921577893,0.19164420966392923,0.12923147112106392,0.3789014220237732
cycle16,interpolation,7303,learned,0,0.01407060449427734,0.01407060449427734,,0.5217347624170154,0.5582551826167993,0.549014801499547,0.0006509908707812428
cycle16,interpolation,7303,learned,1,0.014657615920571465,0.014657615920571465,,0.46102896570776847,0.5076408738329407,0.5811704625958155,0.0006471336237154901
cycle16,interpolation,7303,learned,2,0.01626657402675092,0.01626657402675092,,0.5015031796978612,0.5511109421626803,0.588881388499999,0.000723731704056263
cycle16,interpolation,7303,learned,3,0.01596144887524991,0.01596144887524991,,0.49552123611120813,0.5372231648690153,0.5799508808470607,0.0011190975783392787
cycle16,interpolation,7303,learned,4,0.01506402666232237,0.01506402666232237,,0.42737938287557115,0.46713811183763987,0.5107024561919382,0.0010620465036481619
cycle16,interpolation,7303,random_fixed,0,0.017872962972077612,0.017872962972077612,,0.4066886764037804,0.4066886764037804,0.4892949076778504,6.826001352697175e-16
cycle16,interpolation,7303,random_fixed,1,0.017872962972077612,0.017872962972077612,,0.4066886764037804,0.4066886764037804,0.4892949076778504,6.826001352697175e-16
cycle16,interpolation,7303,random_fixed,2,0.017872962972077612,0.017872962972077612,,0.4066886764037804,0.4066886764037804,0.4892949076778504,6.826001352697175e-16
cycle16,interpolation,7303,random_fixed,3,0.017872962972077612,0.017872962972077612,,0.4066886764037804,0.4066886764037804,0.4892949076778504,6.826001352697175e-16
cycle16,interpolation,7303,random_fixed,4,0.017872962972077612,0.017872962972077612,,0.4066886764037804,0.4066886764037804,0.4892949076778504,6.826001352697175e-16
cycle16,interpolation,7303,native_fixed,0,0.014570821346988349,0.014570821346988349,,0.9999999999999993,0.9999999999999993,0.4869360306909288,6.56294680059788e-16
cycle16,interpolation,7303,native_fixed,1,0.014570821346988349,0.014570821346988349,,0.9999999999999993,0.9999999999999993,0.4869360306909288,6.56294680059788e-16
cycle16,interpolation,7303,native_fixed,2,0.014570821346988349,0.014570821346988349,,0.9999999999999993,0.9999999999999993,0.4869360306909288,6.56294680059788e-16
cycle16,interpolation,7303,native_fixed,3,0.014570821346988349,0.014570821346988349,,0.9999999999999993,0.9999999999999993,0.4869360306909288,6.56294680059788e-16
cycle16,interpolation,7303,native_fixed,4,0.014570821346988349,0.014570821346988349,,0.9999999999999993,0.9999999999999993,0.4869360306909288,6.56294680059788e-16
cycle16,interpolation,7303,native_tuned,0,0.0157100149564904,0.0157100149564904,,0.9999999999999993,0.9971948080496417,0.47383727179307633,6.530725667284326e-16
cycle16,interpolation,7303,native_tuned,1,0.0157100149564904,0.0157100149564904,,0.9999999999999993,0.9971948080496417,0.47383727179307633,6.530725667284326e-16
cycle16,interpolation,7303,native_tuned,2,0.0157100149564904,0.0157100149564904,,0.9999999999999993,0.9971948080496417,0.47383727179307633,6.530725667284326e-16
cycle16,interpolation,7303,native_tuned,3,0.0157100149564904,0.0157100149564904,,0.9999999999999993,0.9971948080496417,0.47383727179307633,6.530725667284326e-16
cycle16,interpolation,7303,native_tuned,4,0.0157100149564904,0.0157100149564904,,0.9999999999999993,0.9971948080496417,0.47383727179307633,6.530725667284326e-16
cycle16,interpolation,7303,corrupt_fixed,0,0.015663833610359425,0.015663833610359425,,0.48693603205310476,0.48693603205310476,0.9999999999999993,8.571772255888547e-16
cycle16,interpolation,7303,corrupt_fixed,1,0.015663833610359425,0.015663833610359425,,0.48693603205310476,0.48693603205310476,0.9999999999999993,8.571772255888547e-16
cycle16,interpolation,7303,corrupt_fixed,2,0.015663833610359425,0.015663833610359425,,0.48693603205310476,0.48693603205310476,0.9999999999999993,8.571772255888547e-16
cycle16,interpolation,7303,corrupt_fixed,3,0.015663833610359425,0.015663833610359425,,0.48693603205310476,0.48693603205310476,0.9999999999999993,8.571772255888547e-16
cycle16,interpolation,7303,corrupt_fixed,4,0.015663833610359425,0.015663833610359425,,0.48693603205310476,0.48693603205310476,0.9999999999999993,8.571772255888547e-16
cycle16,category_holdout,7301,label,0,0.03010604831905784,0.023678055524954143,0.04939002670136891,0.41796335708402454,0.41796335813669555,0.15494990411604323,0.4452047348022461
cycle16,category_holdout,7301,label,1,0.6887025188627699,0.10345905955210412,2.4444328967947673,0.2758753762546954,0.2758753746706408,0.18427964713860856,1.1461238861083984
