domain,seed,interface,alpha,chart_mean_held_mse,chart_sd_held_mse
ordinal16,7301,native_tuned,0.75,0.7547488959757065,0.0
ordinal16,7301,native_tuned,1.0,2.6231752947686524,0.0
ordinal16,7302,learned,0.0,0.08407101449902842,0.04186889122905063
ordinal16,7302,learned,0.25,0.15798007664621777,0.0307263020534284
ordinal16,7302,learned,0.5,0.35967605425912064,0.09809238972673417
ordinal16,7302,learned,0.75,0.6874586863191438,0.18198261208437197
ordinal16,7302,learned,1.0,1.366847245986231,0.31815446926425445
ordinal16,7302,native_tuned,0.0,0.036315908245787856,0.0
ordinal16,7302,native_tuned,0.25,0.12056184631079507,0.0
ordinal16,7302,native_tuned,0.5,0.2797190448869399,0.0
ordinal16,7302,native_tuned,0.75,0.5757013547016377,0.0
ordinal16,7302,native_tuned,1.0,1.3143498599458536,0.0
ordinal16,7303,learned,0.0,0.06942938343789909,0.03939624405381433
ordinal16,7303,learned,0.25,0.17438004714489982,0.06913145389035899
ordinal16,7303,learned,0.5,0.34661991634867795,0.08600343476987848
ordinal16,7303,learned,0.75,0.7466617981674168,0.11556668510960748
ordinal16,7303,learned,1.0,2.2264967305581767,0.12294116206045569
ordinal16,7303,native_tuned,0.0,0.033333884220301965,0.0
ordinal16,7303,native_tuned,0.25,0.10776382325361547,1.3877787807814457e-17
ordinal16,7303,native_tuned,0.5,0.27858948521409493,0.0
ordinal16,7303,native_tuned,0.75,0.692776630322987,0.0
ordinal16,7303,native_tuned,1.0,2.2318139698719928,0.0
tree16,7301,learned,0.0,0.22801062421206492,0.07059843844900404
tree16,7301,learned,0.25,0.405689984529495,0.10584514553810151
tree16,7301,learned,0.5,0.6623181914196046,0.13741860429006025
tree16,7301,learned,0.75,1.063663462102015,0.14890114284944034
tree16,7301,learned,1.0,1.8161860457979402,0.09515657967356561
tree16,7301,native_tuned,0.0,0.16564180812743717,0.0
tree16,7301,native_tuned,0.25,0.2720211159875829,0.0
tree16,7301,native_tuned,0.5,0.46112113487454504,0.0
tree16,7301,native_tuned,0.75,0.818315883474716,0.0
tree16,7301,native_tuned,1.0,1.6519706167004937,0.0
tree16,7302,learned,0.0,0.31439220620597164,0.07818337492704469
tree16,7302,learned,0.25,0.41372190091216626,0.1004987761369972
tree16,7302,learned,0.5,0.5389097556512461,0.11205846410816815
tree16,7302,learned,0.75,0.715656956125717,0.1101207482518369
tree16,7302,learned,1.0,0.9947155321016357,0.08659977008910816
tree16,7302,native_tuned,0.0,0.24102453099918023,0.0
tree16,7302,native_tuned,0.25,0.3685935436942016,0.0
tree16,7302,native_tuned,0.5,0.538289593442521,0.0
tree16,7302,native_tuned,0.75,0.7606712739371454,0.0
tree16,7302,native_tuned,1.0,1.0523380137224536,0.0
tree16,7303,learned,0.0,0.2596941498463963,0.03331727810637155
tree16,7303,learned,0.25,0.3669412459155418,0.04207582244332224
tree16,7303,learned,0.5,0.5205015609195102,0.04541108684996002
tree16,7303,learned,0.75,0.7620732990750039,0.04195262119533135
tree16,7303,learned,1.0,1.2569454275307812,0.01469534594400417
tree16,7303,native_tuned,0.0,0.20203418053690908,0.0
tree16,7303,native_tuned,0.25,0.3033185550531231,0.0
tree16,7303,native_tuned,0.5,0.4581655580274869,0.0
tree16,7303,native_tuned,0.75,0.708880907508683,0.0
tree16,7303,native_tuned,1.0,1.2394205979091382,0.0
nominal16,7301,learned,0.0,1.1262269444258761,0.07640254540836189
nominal16,7301,learned,0.25,1.1262269452085085,0.07640254598996588
nominal16,7301,learned,0.5,1.1262269403043768,0.0764025427048898
nominal16,7301,learned,0.75,1.1262269444426998,0.0764025448548797
nominal16,7301,learned,1.0,1.1262269411170382,0.07640254438601894
nominal16,7301,native_tuned,0.0,1.1333023059844518,0.0
nominal16,7301,native_tuned,0.25,1.1333023059844518,0.0
nominal16,7301,native_tuned,0.5,1.1333023059844518,0.0
nominal16,7301,native_tuned,0.75,1.1333023059844518,0.0
nominal16,7301,native_tuned,1.0,1.1333023059844518,0.0
nominal16,7302,learned,0.0,0.48973488082843264,0.08910868106367568
nominal16,7302,learned,0.25,0.4897348807904519,0.08910868055455477
nominal16,7302,learned,0.5,0.4897348809945493,0.089108681316954
nominal16,7302,learned,0.75,0.48973488079880695,0.08910868120149995
nominal16,7302,learned,1.0,0.48973488076790367,0.08910868119130765
nominal16,7302,native_tuned,0.0,0.35253778314505413,0.0
nominal16,7302,native_tuned,0.25,0.35253778314505413,0.0
nominal16,7302,native_tuned,0.5,0.35253778314505413,0.0
nominal16,7302,native_tuned,0.75,0.35253778314505413,0.0
nominal16,7302,native_tuned,1.0,0.35253778314505413,0.0
nominal16,7303,learned,0.0,1.335240133850715,0.050858649131350034
nominal16,7303,learned,0.25,1.335240133625577,0.05085864922031568
nominal16,7303,learned,0.5,1.3352401333975505,0.05085864929363656
nominal16,7303,learned,0.75,1.335240133278878,0.050858649300832594
nominal16,7303,learned,1.0,1.3352401338763564,0.05085864912606808
nominal16,7303,native_tuned,0.0,1.3387461274078596,0.0
nominal16,7303,native_tuned,0.25,1.3387461276945862,0.0
nominal16,7303,native_tuned,0.5,1.3387461274078596,0.0
nominal16,7303,native_tuned,0.75,1.338746127544576,0.0
nominal16,7303,native_tuned,1.0,1.3387461276945862,0.0
