git_commit,git_dirty,task_id,task_seed,seed,model,split,training_seconds,operator_accuracy,post_change_train_rows,mae,rmse,r2,nrmse,relative_error
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609308,202609308,4,SharedStructureCoefficients,future,0.10077059012837708,0.3333333333333333,68,0.11601759057258665,0.13787724186892375,0.9999989933559755,0.0010033165126298305,0.0009901278320916316
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609308,202609308,4,ContextCoefficients,future,1.8718584149610251,0.3333333333333333,68,1.7469513788819313,2.359481981462664,0.9997052023100892,0.01716967355283027,0.01565565081564782
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609308,202609308,4,MLP,future,1.520257812924683,-1.0,68,97.22518842674617,117.6172642929491,0.26745738706467803,0.8558870328117619,0.8337560086609879
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609308,202609308,4,NeuralMoE,future,1.8942930190823972,-1.0,68,97.50048178966972,118.64384923276405,0.2546140499836621,0.8633573709746954,0.8422967635643995
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,GlobalProgram,iid,0.10380069585517049,1.0,55,0.5761700586135703,0.9899102042051144,0.4259340160803079,0.7576714221347484,0.3344254586084774
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,IndependentPrograms,iid,0.1267264320049435,1.0,55,0.003724179790879134,0.004411335963523942,0.9999885998522346,0.003376410485313873,0.002449088510151064
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,SharedStructureCoefficients,iid,0.10019898996688426,1.0,55,0.0037241812813055574,0.004411345192232675,0.9999885998045354,0.003376417548913016,0.00244910721973296
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,ContextCoefficients,iid,2.1264386761467904,1.0,55,0.05240447389223846,0.22031653305080154,0.9715642695266076,0.16862897281722522,0.006981776771391515
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,MLP,iid,1.4162203799933195,-1.0,55,0.19729749755788362,0.5154193169703288,0.8443706177179124,0.39449890022924977,0.06618095004888858
c000f06e0b8c6989d62ece8a769bbf269910a9b8,True,temporal-202609309,202609309,0,NeuralMoE,iid,1.6852773639839143,-1.0,55,0.24756637505925028,0.5323890157039871,0.8339540128211191,0.4074874073868798,0.09961551174966207
