task,dataset,model,alternate_view,seed_a,seed_b,seed_c,anchor_parameters,t1_parameters,t2_parameters,alternate_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,relative_val_log_loss_gain_pct,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,relative_test_log_loss_gain_pct,heterobag_val_loss,heterobag_val_rmse,ttt_val_loss,ttt_val_rmse,relative_val_rmse_gain_pct,heterobag_test_loss,heterobag_test_rmse,ttt_test_loss,ttt_test_rmse,relative_test_rmse_gain_pct,primary_metric,relative_test_gain_pct,relative_val_gain_pct,test_win,parameter_relative_mismatch
classification,openml-qsar-biodeg-1494,resnet,qple,20260931,20261032,20261133,233453,233453,233453,233453,0.2885613663936276,0.9428068410462777,0.8625592417061612,0.3046011470858388,0.9371227364185112,0.8483412322274881,5.265830692256407,0.3914286210472426,0.8888832997987929,0.8199052132701422,0.4112632683424281,0.8763581488933602,0.8151658767772512,4.822858937810779,,,,,,,,,,,log_loss,4.822858937810779,5.265830692256407,True,0.0
classification,openml-qsar-biodeg-1494,ft_transformer,qple,20260931,20261032,20261133,23321,23321,23321,23321,0.3361054861486737,0.937927565392354,0.8720379146919431,0.3518112858410192,0.9285211267605634,0.8530805687203792,4.464268295088978,0.3842936020225859,0.891599597585513,0.8388625592417062,0.3877267326496025,0.8789738430583501,0.8388625592417062,0.8854511020056888,,,,,,,,,,,log_loss,0.8854511020056888,4.464268295088978,True,0.0
regression,openml-abalone-183,mlp,midrank,20260931,20261032,20261133,37479,37479,37479,37289,,,,,,,,,,,,,,,0.4057433307170868,2.069672254050949,0.4070074558258056,2.072893859672696,0.155415850489133,0.4440718293190002,2.165222315325466,0.4489153921604156,2.176998505174347,0.5409369745036982,rmse,0.5409369745036982,0.155415850489133,True,0.005069505589796953
regression,openml-abalone-183,resnet,midrank,20260931,20261032,20261133,153415,153415,153415,153623,,,,,,,,,,,,,,,0.4062298536300659,2.0709127443125044,0.4079354703426361,2.07525570866958,0.2092736976427639,0.4457735419273376,2.1693669859886917,0.4536495804786682,2.1884475345651526,0.8718759885761979,rmse,0.8718759885761979,0.2092736976427639,True,0.0013557996284587557
regression,openml-abalone-183,ft_transformer,midrank,20260931,20261032,20261133,11167,11167,11167,11177,,,,,,,,,,,,,,,0.4230641722679138,2.113386878338153,0.4214786291122436,2.109422927030179,-0.1879163849591373,0.4575807154178619,2.197909160439956,0.453595757484436,2.1883177071630646,-0.4383025940655298,rmse,-0.4383025940655298,-0.1879163849591373,False,0.0008954956568460643
regression,openml-kin8nm-189,mlp,midrank,20260931,20261032,20261133,35329,35329,35329,35329,,,,,,,,,,,,,,,0.1103051528334617,0.0872811916150756,0.1190623864531517,0.090679696544455,3.7478124198544105,0.1121349483728408,0.088002145464087,0.1211187019944191,0.0914594047443274,3.780102538284704,rmse,3.780102538284704,3.7478124198544105,True,0.0
regression,openml-kin8nm-189,resnet,midrank,20260931,20261032,20261133,151425,151425,151425,151425,,,,,,,,,,,,,,,0.0767256990075111,0.0727935992449229,0.0777858793735504,0.0732947975193947,0.6838115274677384,0.0804452672600746,0.074537189969478,0.0833841636776924,0.0758865056220187,1.77807060883971,rmse,1.77807060883971,0.6838115274677384,True,0.0
regression,openml-kin8nm-189,ft_transformer,midrank,20260931,20261032,20261133,8801,8801,8801,8801,,,,,,,,,,,,,,,0.1257851272821426,0.0932046142376865,0.1316803097724914,0.0953637205186267,2.2640751317147614,0.128533199429512,0.0942172503459846,0.1365763694047927,0.0971204192243677,2.9892466502602537,rmse,2.9892466502602537,2.2640751317147614,True,0.0
regression,openml-pol-201,mlp,midrank,20260931,20261032,20261133,159839,159839,159839,159839,,,,,,,,,,,,,,,0.0087136384099721,3.901798230588611,0.0102137755602598,4.224333483546693,7.635174974095217,0.009528748691082,4.080214331817503,0.0111949006095528,4.422574540828616,7.741197030157186,rmse,7.741197030157186,7.635174974095217,True,0.0
regression,openml-pol-201,resnet,midrank,20260931,20261032,20261133,276323,276323,276323,276323,,,,,,,,,,,,,,,0.0055079013109207,3.1021165839180638,0.0063547510653734,3.332071498055208,6.901259900075961,0.0056142713874578,3.131927797960939,0.0061299726366996,3.27261041639638,4.298789056301822,rmse,4.298789056301822,6.901259900075961,True,0.0
regression,openml-pol-201,ft_transformer,midrank,20260931,20261032,20261133,32353,32353,32353,32353,,,,,,,,,,,,,,,0.0074019189924001,3.5961450806770148,0.0082031870260834,3.78578849465356,5.009350475980546,0.0074028535746037,3.596372102015388,0.0085915746167302,3.874372946776685,7.175376469438308,rmse,7.175376469438308,5.009350475980546,True,0.0
regression,openml-puma32h-308,mlp,midrank,20260931,20261032,20261133,91009,91009,91009,91009,,,,,,,,,,,,,,,0.0660854801535606,0.007746642348354,0.0663871169090271,0.007764301384675,0.2274388312116094,0.066337414085865,0.0077613943450698,0.0670890808105468,0.0078052425170284,0.5617784695725794,rmse,0.5617784695725794,0.2274388312116094,True,0.0
regression,openml-puma32h-308,resnet,midrank,20260931,20261032,20261133,207105,207105,207105,207105,,,,,,,,,,,,,,,0.0671111866831779,0.0078065283260159,0.0689670071005821,0.0079137289370905,1.3546156549813062,0.0678181424736976,0.0078475379746863,0.0695705637335777,0.0079482815389789,1.267488623780854,rmse,1.267488623780854,1.3546156549813062,True,0.0
regression,openml-puma32h-308,ft_transformer,midrank,20260931,20261032,20261133,15329,15329,15329,15329,,,,,,,,,,,,,,,0.0640163272619247,0.0076244032514,0.0647014379501342,0.0076650933290175,0.5308490825994088,0.0633933246135711,0.00758721245236,0.0651260837912559,0.0076902058062085,1.3392795517298874,rmse,1.3392795517298874,0.5308490825994088,True,0.0
