dataset,model,budget,selected_factors,heldout_validation_oracle_factors,development_expected_residual_fraction,test_action_residual,test_iid_schema_residual,test_seed_ensemble_residual,action_vs_iid_residual_reduction,action_vs_seed_residual_reduction,action_expected_proper_loss,iid_expected_proper_loss,seed_ensemble_proper_loss,action_relative_loss_vs_iid,action_relative_loss_vs_seed,material_cell
lendingclub_loan_default,ordinal_forest,2,iid,iid,0.5,0.0006240898833336239,0.0006240898833336239,0.0007013503533067188,0.0,0.11015959371636175,0.25974279770516284,0.25974279770516284,0.2597540447930192,0.0,-4.319707456101942e-05,False
lendingclub_loan_default,ordinal_forest,4,iid,iid,0.25,0.00031204494166681195,0.00031204494166681195,0.0004269850744491606,0.0,0.269190048225056,0.25943075276349603,0.25943075276349603,0.2594489745310683,0.0,-6.998496521979982e-05,False
australian_credit_approval,native_histgb,2,class,class,0.3333333333333333,0.0,0.0005122530515943537,0.0010245061031887075,1.0,1.0,0.24506284041912504,0.2455750934707194,0.24608734652231373,-0.0020815903736355248,-0.004163180747270936,False
australian_credit_approval,native_histgb,4,class,class,0.16666666666666666,0.0,0.00025612652579717687,0.0010245061031887075,1.0,1.0,0.24506284041912504,0.24531896694492222,0.24608734652231373,-0.0010407951868177624,-0.004163180747270936,False
bank_marketing_subscription,native_histgb,2,class,class,0.3333333333333333,0.0,0.0002249671686704704,0.00021580542818187045,1.0,1.0,0.15917711273382004,0.1594020799024905,0.15917449236893216,-0.0014093298898786855,1.6415544457891896e-05,False
bank_marketing_subscription,native_histgb,4,class,class,0.16666666666666666,0.0,0.0001124835843352352,0.00010624078953813555,1.0,1.0,0.15917711273382004,0.15928959631815526,0.1589431398779092,-0.0007046649449392559,0.0014657469407833947,False
german_credit_risk,native_histgb,2,class,iid,0.0,0.0005762129959490435,0.0025148974631553716,0.005029794926310743,0.7708801235871918,0.8854400617935959,0.3642256783126793,0.3661643627798856,0.3686792602430411,-0.005258458167482154,-0.01207982767304534,True
german_credit_risk,native_histgb,4,class,iid,0.0,0.00028810649797452175,0.0012574487315776858,0.005029794926310743,0.7708801235871918,0.942720030896798,0.36393757181470476,0.36490691404830794,0.3686792602430411,-0.002629229083741152,-0.012861283342085781,True
lendingclub_loan_default,native_histgb,2,class,class,0.3333333333333333,0.0,0.0005233000796296267,0.0010466001592592533,1.0,1.0,0.26670848113276685,0.2672317812123965,0.26775508129202613,-0.0019543983147005343,-0.0039087966294010686,False
lendingclub_loan_default,native_histgb,4,class,class,0.16666666666666666,0.0,0.00026165003981481333,0.0010466001592592533,1.0,1.0,0.26670848113276685,0.26697013117258167,0.26775508129202613,-0.0009771991573502671,-0.0039087966294010686,False
australian_credit_approval,catboost_native,2,iid,iid,0.5,0.00029657401820047235,0.00029657401820047235,0.00029073943005999525,0.0,-0.020068100633179098,0.19519938682848337,0.19519938682848337,0.1950191501595713,0.0,0.000921945743182971,False
australian_credit_approval,catboost_native,4,iid,iid,0.25,0.00014828700910023617,0.00014828700910023617,0.0001580645137593575,0.0,0.061857683464657476,0.19505109981938315,0.19505109981938315,0.19481813320415847,0.0,0.001191669711311223,False
bank_marketing_subscription,catboost_native,2,iid,iid,0.5,0.00010696273209445813,0.00010696273209445813,0.00010388623988432519,0.0,-0.02961404911332388,0.16136986262195788,0.16136986262195788,0.16133749452297247,0.0,0.0002004504294312085,False
bank_marketing_subscription,catboost_native,4,iid,iid,0.25,5.3481366047229066e-05,5.3481366047229066e-05,5.4563257610925795e-05,0.0,0.019828206948554472,0.16131638125591063,0.16131638125591063,0.16127804000798163,0.0,0.00023744117984076876,False
german_credit_risk,catboost_native,2,iid,iid,0.5,0.0026743071286725317,0.0026743071286725317,0.0024771361767239024,0.0,-0.07959633136091648,0.3191952786277808,0.3191952786277808,0.31792678951160086,0.0,0.00394100335140008,True
german_credit_risk,catboost_native,4,iid,iid,0.25,0.0013371535643362659,0.0013371535643362659,0.001201286570146471,0.0,-0.11310123459819321,0.3178581250634446,0.3178581250634446,0.31622396427847593,0.0,0.005077089781962653,True
lendingclub_loan_default,catboost_native,2,iid,iid,0.5,0.00018490471204736557,0.00018490471204736557,0.0001865712537127268,0.0,0.0089324675275394,0.2571651225421597,0.2571651225421597,0.25711182108058583,0.0,0.00020711659579965703,False
lendingclub_loan_default,catboost_native,4,iid,iid,0.25,9.245235602368279e-05,9.245235602368279e-05,9.584457394655653e-05,0.0,0.035392905233897376,0.25707267018613594,0.25707267018613594,0.2569945307933893,0.0,0.0003036307925837542,False
australian_credit_approval,onehot_adam_mlp,2,iid,iid,0.5,0.0129115074646645,0.0129115074646645,0.01455953982471175,0.0,0.11319261322051277,0.24491809590836502,0.24491809590836502,0.24370537766310094,0.0,0.004703564793952383,True
australian_credit_approval,onehot_adam_mlp,4,iid,iid,0.25,0.00645575373233225,0.00645575373233225,0.0067014581242406755,0.0,0.03666431802649894,0.2384623421760328,0.2384623421760328,0.23384293854826765,0.0,0.017916498211734657,True
bank_marketing_subscription,onehot_adam_mlp,2,iid,iid,0.5,0.0015338244622019649,0.0015338244622019649,0.0015826180602173025,0.0,0.03083093719317087,0.16488144041869185,0.16488144041869185,0.1647604932658445,0.0,0.0007267791986145017,True
bank_marketing_subscription,onehot_adam_mlp,4,iid,iid,0.25,0.0007669122311009824,0.0007669122311009824,0.0008309718067969083,0.0,0.07708995079249681,0.16411452818759087,0.16411452818759087,0.1639302559519471,0.0,0.0011073036826017993,True
german_credit_risk,onehot_adam_mlp,2,iid,iid,0.5,0.00780959710734793,0.00780959710734793,0.008294879565175287,0.0,0.058503858195209646,0.3199940703997073,0.3199940703997073,0.3198880282597881,0.0,0.00032349284169274256,True
german_credit_risk,onehot_adam_mlp,4,iid,iid,0.25,0.003904798553673965,0.003904798553673965,0.0035996958982489743,0.0,-0.08475789734721872,0.31608927184603336,0.31608927184603336,0.31473485735545736,0.0,0.004131785653517266,True
lendingclub_loan_default,onehot_adam_mlp,2,iid,iid,0.5,0.0017487178625067656,0.0017487178625067656,0.0018022968367058427,0.0,0.02972816303501169,0.2575817579484977,0.2575817579484977,0.25683589846705684,0.0,0.0028760965293736502,True
lendingclub_loan_default,onehot_adam_mlp,4,iid,iid,0.25,0.0008743589312533828,0.0008743589312533828,0.0009092803338848155,0.0,0.03840554043683564,0.25670739901724426,0.25670739901724426,0.2556301092426768,0.0,0.004154119453945541,True
