dataset,task,model,alternate_view,seed_a,seed_b,seed_c,target_parameters,maximum_alternate_parameter_relative_mismatch,transformed_t_parameters,heterobag_val_log_loss,heterobag_val_auc,heterobag_val_accuracy,heterobag_test_log_loss,heterobag_test_auc,heterobag_test_accuracy,ttt_val_log_loss,ttt_val_auc,ttt_val_accuracy,ttt_test_log_loss,ttt_test_auc,ttt_test_accuracy,alternate_homogeneous_val_log_loss,alternate_homogeneous_val_auc,alternate_homogeneous_val_accuracy,alternate_homogeneous_test_log_loss,alternate_homogeneous_test_auc,alternate_homogeneous_test_accuracy,transformed_t_placebo_val_log_loss,transformed_t_placebo_val_auc,transformed_t_placebo_val_accuracy,transformed_t_placebo_test_log_loss,transformed_t_placebo_test_auc,transformed_t_placebo_test_accuracy,same_representation_prediction_correlation,same_representation_error_correlation,same_representation_mean_absolute_disagreement,same_representation_mean_squared_disagreement,cross_representation_prediction_correlation,cross_representation_error_correlation,cross_representation_mean_absolute_disagreement,cross_representation_mean_squared_disagreement,coordinate_placebo_prediction_correlation,coordinate_placebo_error_correlation,coordinate_placebo_mean_absolute_disagreement,coordinate_placebo_mean_squared_disagreement,heterobag_relative_test_gain_vs_ttt_pct,alternate_homogeneous_relative_test_gain_vs_ttt_pct,transformed_t_placebo_relative_test_gain_vs_ttt_pct,semantic_minus_coordinate_pct
openml-blood-transfusion-1464,classification,ft_transformer,qple,20261840,20261941,20262042,10155,0.0,10155,0.5034615005324252,0.7356237816764133,0.7733333333333333,0.4778500902317193,0.7715643274853802,0.8,0.5059306341607707,0.7038255360623781,0.78,0.4802606495763685,0.7425682261208577,0.8,0.5022271113857032,0.7245370370370371,0.76,0.4776943770326304,0.7598684210526316,0.7733333333333333,0.5081148943104435,0.7057748538011697,0.7866666666666666,0.4883604786294129,0.7557261208576999,0.7733333333333333,0.8302494581308667,0.9788642158227532,0.089483805000782,0.0097124120220541,0.8058014640446427,0.9822923187722638,0.0744460523128509,0.0072155762463808,0.7795599475776428,0.9869404520319062,0.0576671585440635,0.0054300781339406,0.501927306927082,0.5343499505949041,-1.6865485565367797,2.1884758634638617
openml-ilpd-1480,classification,mlp,qple,20261840,20261941,20262042,47611,0.0,47611,0.5115144497044798,0.7386363636363636,0.717948717948718,0.5225375254290766,0.746987951807229,0.7264957264957265,0.5124601964329311,0.7373737373737373,0.7094017094017094,0.5220378663391566,0.7391920623671154,0.717948717948718,0.5121612266229952,0.7368326118326118,0.6837606837606838,0.5272717766780873,0.7420269312544294,0.717948717948718,0.5116248921974094,0.7366522366522366,0.7094017094017094,0.5218548769251279,0.7383061658398299,0.7264957264957265,0.9925691883490834,0.9984819580844988,0.0186469741165637,0.0005974998348392,0.9825671388430066,0.9940546156781536,0.0376073084771633,0.0022260472178459,0.9903959592435356,0.9982603310374176,0.0177490953356027,0.0006323655252344,-0.0957131890496587,-1.0025920869752325,0.035052900532284,-0.1307660895819427
openml-ilpd-1480,classification,resnet,qple,20261840,20261941,20262042,162579,0.0,162579,0.5229770444377468,0.7323232323232324,0.7094017094017094,0.5519297977719549,0.7159815733522324,0.6837606837606838,0.5177957380169802,0.7366522366522367,0.717948717948718,0.5513766930773853,0.7177533664068038,0.6837606837606838,0.5240339343628535,0.7312409812409811,0.7094017094017094,0.5447881754300014,0.7248405386250886,0.7094017094017094,0.515927551773333,0.7436868686868686,0.7264957264957265,0.5519305502783488,0.7158043940467753,0.717948717948718,0.9668036027121484,0.9893119532801904,0.0540386512875556,0.0041303317993879,0.969915466653258,0.9939603057677452,0.0351218283176422,0.0023098012898117,0.9411723358022532,0.989059794828089,0.0602711290121078,0.0055486350320279,-0.1003133976306769,1.1949213178764706,-0.1004498753605687,0.00013647772989179574
openml-ilpd-1480,classification,ft_transformer,qple,20261840,20261941,20262042,16843,0.0,16843,0.5179164129866455,0.7536075036075037,0.7435897435897436,0.5706685983894746,0.6833805811481218,0.7008547008547008,0.5232754591317429,0.7507215007215008,0.7521367521367521,0.5651376550493067,0.6778880226789511,0.7094017094017094,0.5251539280579383,0.7532467532467533,0.7264957264957265,0.5652783118602193,0.6782423812898654,0.7094017094017094,0.5252651308251912,0.7431457431457432,0.7606837606837606,0.5668014426877157,0.6869241672572644,0.6752136752136753,0.9361204135992598,0.9888588687374512,0.0451466739177703,0.004835067782551,0.8286703749624648,0.9719125866117068,0.0698230266571044,0.0121251875534653,0.8902434292876439,0.9783437598886666,0.0555862039327621,0.0086475862190127,-0.9786895795654148,-0.0248889469062726,-0.2944039604410821,-0.6842856191243327
openml-wdbc-1510,classification,mlp,qple,20261840,20261941,20262042,86369,0.0,86369,0.0613131821916635,0.99737962659679,0.9824561403508772,0.1645535522025141,0.9854497354497356,0.9298245614035088,0.0619504657928513,0.99737962659679,0.9824561403508772,0.1686589395275509,0.9851190476190474,0.9210526315789472,0.0655944106007331,0.9977071732721912,0.9824561403508772,0.1758515555458863,0.9833002645502644,0.9298245614035088,0.0590826656453046,0.99737962659679,0.9824561403508772,0.1663953474483493,0.9854497354497356,0.9298245614035088,0.995787817320784,0.9835485423630188,0.0189313422888517,0.0017581889405846,0.9903783078549832,0.96151052704161,0.0244632065296173,0.0042647924274206,0.9951218421369192,0.9801802909070936,0.0195460803806781,0.0020184929016977,2.4341356209975404,-4.264592222910567,1.3421121261300764,1.092023494867464
openml-wdbc-1510,classification,resnet,qple,20261840,20261941,20262042,202465,0.0,202465,0.0757588087802673,0.998362266622994,0.9824561403508772,0.1512908830108245,0.9909060846560848,0.9473684210526316,0.0733443109966664,0.9990173599737964,0.9824561403508772,0.1574881952304605,0.9897486772486772,0.956140350877193,0.0762488242648297,0.998689813298395,0.9824561403508772,0.1558719327235552,0.9917328042328042,0.9473684210526316,0.062613591831996,0.9996724533245988,0.9824561403508772,0.1606839095423297,0.9890873015873016,0.9385964912280702,0.9883016990458082,0.9448627084854064,0.0176691114902496,0.0047823954373598,0.9652027937198808,0.8209554931582418,0.0370513945817947,0.015001424588263,0.9236370616962706,0.7580435417937215,0.0665754154324531,0.0333183333277702,3.935096348375264,1.026275337361056,-2.0291770485989518,5.964273396974216
openml-wdbc-1510,classification,ft_transformer,qple,20261840,20261941,20262042,14785,0.0,14785,0.1507023805003436,0.9913200131018668,0.9824561403508772,0.2147392126520311,0.9927248677248676,0.9385964912280702,0.1466164429404994,0.9872256796593516,0.9824561403508772,0.2056293029478338,0.9897486772486772,0.956140350877193,0.149912611651975,0.9980347199475924,0.9824561403508772,0.1904534722030897,0.994378306878307,0.9473684210526316,0.1471139424460731,0.989190959711759,0.9824561403508772,0.208373218182028,0.99239417989418,0.9385964912280702,0.9357665723795834,0.8497033303007425,0.0670554563403129,0.0187941137701272,0.949714448991452,0.8953299792911604,0.0564029552042484,0.0140611547976732,0.9592702606089414,0.9102590878106532,0.0633004680275917,0.0128723205998539,-4.430258515493946,7.380188780095287,-1.3343989377283847,-3.0958595777655606
openml-mammography-310,classification,mlp,qple,20261840,20261941,20262042,30689,0.0,30689,0.0505060192558241,0.962876254180602,0.9848010728654448,0.0578638754033132,0.9032080619609224,0.9848010728654448,0.0509603573768714,0.9560112656222496,0.985248100134108,0.0588564593940512,0.902715190987502,0.9848010728654448,0.0495596473596802,0.9647553247667664,0.9856951274027717,0.0584349733695787,0.9116616792818164,0.9821189092534643,0.0503009982895336,0.9558924485125858,0.9848010728654448,0.0563825112013184,0.9101390600246434,0.9856951274027717,0.9754734016059188,0.9819438796586172,0.0050581214018166,0.0004929283750243,0.9745659069525896,0.981259369769383,0.0050788815133273,0.0005073365755379,0.95200371304551,0.9591935067909186,0.0066068838350474,0.0010336532723158,1.686448693919113,0.716125347688005,4.203358846595666,-2.5169101526765534
openml-mammography-310,classification,resnet,qple,20261840,20261941,20262042,146785,0.0,146785,0.046716046339696,0.9589464882943144,0.9865891819400984,0.0553850314417456,0.8986358035557119,0.9865891819400984,0.0460856209871755,0.9583171976764654,0.9879302637460884,0.0561512198617383,0.8968183418412252,0.986142154671435,0.0476778100841123,0.9623569794050344,0.9843540455967814,0.0545836087586533,0.900158422812885,0.9865891819400984,0.0450119599613796,0.9598882239042422,0.988377291014752,0.0562246964124241,0.8974520330927653,0.9865891819400984,0.9429012157282264,0.9361575228709664,0.0060486160218715,0.0015357319498434,0.9301617395306596,0.9258139811677668,0.0092711774632334,0.0018416512757539,0.971013768416332,0.9681374119247425,0.0050080846995115,0.0007561015081591,1.3645089490116968,2.791766780748402,-0.1308547719297567,1.4953637209414534
openml-mammography-310,classification,ft_transformer,qple,20261840,20261941,20262042,8257,0.0,8257,0.0524835162967766,0.9457797922900898,0.986142154671435,0.0571757587709193,0.8974476324590741,0.985248100134108,0.0523193488874768,0.9468755500792114,0.9856951274027717,0.0562041157101542,0.90028164055624,0.9865891819400984,0.0542603610807234,0.9599586340433024,0.9848010728654448,0.0591764957091605,0.9053643724696356,0.983907018328118,0.0524817611677152,0.947518042598134,0.9856951274027717,0.0569250792003846,0.892598134131315,0.9870362092087618,0.9400271659610622,0.9474985742414606,0.0058763921260833,0.0013254100922495,0.8630178389593534,0.8998816275086449,0.0184013321995735,0.0027919989079236,0.9392136472913936,0.9489151158390924,0.0058812289498746,0.0012871153885498,-1.7287756394493792,-5.288545085087589,-1.2827592448005634,-0.4460163946488158
