dataset,model,rows,strength2_mean,strength2_median,strength2_p95,strength2_p99,strength2_max,iid16_mean,iid16_median,iid16_p95,iid16_p99,iid16_max,fraction_rows_strength2_lower_than_iid16,p95_reduction_vs_iid16,p99_reduction_vs_iid16,max_reduction_vs_iid16,four_strength1_mean,four_strength1_median,four_strength1_p95,four_strength1_p99,four_strength1_max,fraction_rows_strength2_lower_than_four_strength1,p95_reduction_vs_four_strength1,p99_reduction_vs_four_strength1,max_reduction_vs_four_strength1,four_seed_blocks_mean,four_seed_blocks_median,four_seed_blocks_p95,four_seed_blocks_p99,four_seed_blocks_max,fraction_rows_strength2_lower_than_four_seed_blocks,p95_reduction_vs_four_seed_blocks,p99_reduction_vs_four_seed_blocks,max_reduction_vs_four_seed_blocks
kdd17_stock_return,onehot_adam_mlp,3000,0.0004826308630860926,0.0003254695295168516,0.0012129152686222821,0.003335889752635848,0.020109525209193315,0.001519469170546655,0.0008746703073864278,0.004466693532306108,0.01089437347637872,0.07294718790259838,1.0,0.7284534388021766,0.6937970081649252,0.724327615808244,0.0010842213796078961,0.0006664274809289071,0.0030546273273235626,0.007740783125609443,0.04095583127598726,0.9936666666666667,0.6029252872280731,0.5690500949962722,0.5089948224055778,0.0010994584442388826,0.0006505515111538132,0.0033520751940395136,0.007921807198279191,0.02794406235203875,0.8926666666666667,0.63815988651477,0.5788978866639819,0.28036500363283223
polish_bankruptcy_1year,ordinal_forest,1051,4.0748145387083596e-22,8.682492933812428e-23,2.9737957670476294e-21,6.1616747237876236e-21,2.158258614633604e-20,2.2329685081347892e-05,1.0166374417392663e-05,8.865823290121877e-05,0.00018270959590276932,0.0003029516790285496,0.9952426260704091,1.0,1.0,0.9999999999999999,1.739296059004474e-05,7.345797151840083e-06,6.934292702074558e-05,0.00014268363723124355,0.0003116285435809268,0.9952426260704091,1.0,1.0,0.9999999999999999,1.8056930401319808e-05,6.099223172761164e-06,6.50563618730384e-05,0.00017500973515523384,0.0005027638549384419,0.9952426260704091,1.0,1.0,1.0
polish_bankruptcy_1year,catboost_native,1051,5.017050367032021e-22,1.5720340701919848e-24,9.171090541429441e-22,1.9158038959143378e-20,6.36307916669594e-20,1.716165692019728e-05,4.1725752933537243e-07,2.927879928905508e-05,0.0006149620702319612,0.0012860792518452795,1.0,1.0,1.0,1.0,1.4719438818936652e-05,3.154635817505644e-07,2.2445678637962625e-05,0.0005175359377174669,0.0012439932534661594,1.0,1.0,1.0,1.0,9.173612597465858e-06,2.73812075907886e-07,2.6287026927185045e-05,0.0001356914317558178,0.001070601453611937,1.0,1.0,0.9999999999999999,0.9999999999999999
polish_bankruptcy_1year,onehot_adam_mlp,1051,0.00015464200790749443,0.00015952827099013044,0.00025046444722248067,0.0002789465504200577,0.000410198018331601,0.0016165891328591886,0.0016673816924148036,0.0023311375474339294,0.0024672066253499138,0.002583385281169029,1.0,0.8925569846797813,0.8869383100896562,0.8412168632678828,0.0012421366950192345,0.0012969119354011205,0.0017985977684441565,0.0019036109088645947,0.002025383421981864,0.9990485252140818,0.8607446024804422,0.8534645136140584,0.7974714249758118,0.0014283119198833366,0.0015092895952105482,0.001930209463718254,0.002015578540200981,0.0020577276362840993,1.0,0.8702397579483425,0.8616047229832865,0.8006548529073809
polish_bankruptcy_2year,ordinal_forest,1524,4.1492418084721053e-22,1.3750497158022125e-22,2.8495015195887057e-21,5.8427429556145244e-21,1.2068623216998744e-20,2.235607348670702e-05,1.2293082630294667e-05,7.712495744019984e-05,0.00014070893448687563,0.00022851002089354505,1.0,1.0,1.0,1.0,1.740232734078404e-05,9.293813960125198e-06,6.18526318869754e-05,0.00011338167997442352,0.00018798715713285355,1.0,1.0,1.0,0.9999999999999999,1.8730636647000006e-05,7.977233381063286e-06,7.727323125585252e-05,0.00017166240993768986,0.00042347016305605055,1.0,1.0,1.0,1.0
polish_bankruptcy_2year,catboost_native,1524,7.802099253713291e-22,1.2711757897463544e-23,1.6166676724389943e-21,2.2046120812745986e-20,1.3733112118102896e-19,3.3449671753863314e-05,1.4541241178518071e-06,8.12597893965104e-05,0.0010010491912472413,0.0029866942025371223,1.0,1.0,1.0,1.0,2.667171473476429e-05,1.1268883641526073e-06,5.957601557449433e-05,0.0008638481235377885,0.0020198898309706894,1.0,1.0,1.0,0.9999999999999999,2.394000572362894e-05,8.429656340461073e-07,5.542579807901833e-05,0.0006999636483395275,0.0020581232386154475,1.0,1.0,1.0,0.9999999999999999
polish_bankruptcy_2year,onehot_adam_mlp,1524,1.3849325852650027e-05,1.1888824792366504e-05,3.2368018976892126e-05,4.523258750041826e-05,8.628293421999737e-05,0.00017809330185752372,0.00018650179206671126,0.00023196732901321934,0.0002636884885299395,0.000344111505786735,0.9986876640419947,0.8604630267780187,0.8284620320265422,0.7492587932428167,0.00011823291266476636,0.00011824998665877103,0.00016993150288465827,0.00020632716786100246,0.00024920231441803915,0.9986876640419947,0.8095231406335407,0.7807725081997425,0.6537635117013522,0.0002380711577556754,0.0002508028950407439,0.0003597929248764508,0.0004172527776999759,0.0005095091058711615,0.9973753280839895,0.9100370887281706,0.8915942806905828,0.8306547749083496
polish_bankruptcy_3year,ordinal_forest,1579,4.780078932812539e-22,8.571978387942873e-23,3.564612169156457e-21,6.485342412606296e-21,1.6485634896633632e-20,2.7427282546640473e-05,1.4431430822711691e-05,0.00010197589879156831,0.00017207196151462054,0.00028518841315821307,0.9949335022165928,1.0,1.0,0.9999999999999999,2.1334510675848213e-05,1.0320145580303842e-05,8.13000221295043e-05,0.0001394222002464098,0.0002617258890161503,0.9949335022165928,1.0,1.0,0.9999999999999999,2.147779384407803e-05,8.009802364611911e-06,8.463004615262538e-05,0.00016385540493179108,0.00039593372380891667,0.9949335022165928,1.0,1.0,1.0
polish_bankruptcy_3year,catboost_native,1579,7.142699274948644e-22,6.1182653349369965e-24,3.1955509870437274e-21,2.8947304040224143e-20,2.267543573615461e-19,4.144173054101001e-05,1.1536125885365575e-06,0.00014935792006943137,0.0009470743816572556,0.00386805437323261,1.0,1.0,1.0,0.9999999999999999,3.2662301624100716e-05,9.262209790406006e-07,0.00012012879423753381,0.0007202685985338375,0.0039645114893765475,1.0,1.0,1.0,0.9999999999999999,3.313884323420055e-05,7.250655390239419e-07,0.00011380541724465922,0.0007466577522452954,0.005252132438233382,1.0,1.0,1.0,1.0
polish_bankruptcy_3year,onehot_adam_mlp,1579,1.3119202818296274e-05,1.1496266267529596e-05,2.842109273457117e-05,3.7274330974829855e-05,7.010186757520319e-05,0.0001681181655580876,0.00017952221304749986,0.00020941647286614753,0.0002227247912292067,0.0002804774473635557,0.9981000633312223,0.864284350005565,0.8326439963458279,0.7500623731635117,9.715019870543817e-05,9.877877775246787e-05,0.00014107874693909564,0.0001623520372428122,0.0001979675250046838,0.9981000633312223,0.7985444771008585,0.7704104512154492,0.6458920847065971,0.00023695698600809012,0.00025650015463383346,0.00033661201025962705,0.0003735856649987134,0.00042341677898048886,0.9968334388853705,0.9155672053630821,0.9002254784723653,0.8344376721583971
polish_bankruptcy_4year,ordinal_forest,1476,5.973359663423675e-22,1.3297287080041438e-22,3.828252022480783e-21,8.651953940136321e-21,2.4320438251799135e-20,3.055299360988616e-05,1.4871114257876881e-05,0.00010992714822208454,0.00019409426424523362,0.0002765552968444538,0.9986449864498645,1.0,1.0,0.9999999999999999,2.4008077257730247e-05,1.1215463541872415e-05,8.919470420613371e-05,0.0001550749092847876,0.0002883960627127156,0.9986449864498645,1.0,0.9999999999999999,0.9999999999999999,2.4710130995300662e-05,9.003415557287073e-06,0.00010130825169102505,0.00020501963138434587,0.00041057056772689574,0.9986449864498645,1.0,1.0,0.9999999999999999
polish_bankruptcy_4year,catboost_native,1476,8.132553985156145e-22,9.098599075613241e-24,3.46031225034366e-21,2.826627542664435e-20,1.5576299445438685e-19,5.095222321067308e-05,1.2489860504337734e-06,0.00018520278675390725,0.0012565522921537317,0.0024506750685147614,1.0,1.0,1.0,0.9999999999999999,3.958498587526815e-05,9.228688167504164e-07,0.00015545771811548056,0.0008968132042754332,0.0025322342180416433,1.0,1.0,1.0,0.9999999999999999,4.189968361362123e-05,7.406863919064945e-07,0.00014317840794927548,0.0012241996647004562,0.0035505257475292725,1.0,1.0,1.0,1.0
polish_bankruptcy_4year,onehot_adam_mlp,1476,0.000221971628674865,0.0002237018965616799,0.00040884972010746186,0.0005514040743519035,0.0021490614401155216,0.00039107402531915,0.00039914824060165974,0.0006614558335431283,0.0007176995989375783,0.002664065699940929,0.9986449864498645,0.38189415018470163,0.23170630836612505,0.1933151497865938,0.0002727396263814816,0.0002831797367060073,0.0004406148624690133,0.0004895701774511114,0.002093026386713292,0.9254742547425474,0.07209276188177915,-0.12630241740361492,-0.026772263244240424,0.00037138306684083477,0.0003757514354398804,0.00066771345481722,0.000727828664186989,0.0016938756866347127,0.948509485094851,0.3876868630430992,0.24239851838228732,-0.26872441529941526
polish_bankruptcy_5year,catboost_native,884,1.3482325720859213e-21,5.033140113720889e-24,5.159722089496764e-21,4.432689986805547e-20,1.698634537620704e-19,6.43919142737689e-05,6.609066976487845e-07,0.00030751156185632,0.001475824935460136,0.004040802218208352,1.0,1.0,1.0,1.0,5.113320547833661e-05,5.178542403428611e-07,0.00021575326740328656,0.0011223906979411218,0.002983150136330264,1.0,1.0,1.0,0.9999999999999999,5.2506580368937474e-05,3.6495128843965045e-07,0.00021364669946050423,0.0014134727798887508,0.006528400496096425,1.0,1.0,1.0,1.0
polish_bankruptcy_5year,onehot_adam_mlp,884,0.00025466675776904935,0.0002471103868797782,0.00030954423380981973,0.0005795089251550535,0.007551972920984923,0.0015968449940842386,0.001627002686614639,0.0021705682036328275,0.0022506051570726354,0.022406988985226934,0.998868778280543,0.8573902292995249,0.7425097319563502,0.6629635099136262,0.0010505329056642535,0.0010941049379478668,0.0013385714473967008,0.0013874081985337204,0.01781276741842342,0.997737556561086,0.7687503088372071,0.5823082739690406,0.5760359553578376,0.000522048410516386,0.0005015189725945084,0.0007880256401355866,0.001411876418004734,0.010491450290289209,0.9570135746606335,0.6071901496040661,0.5895469902571101,0.28017836314060784
