panel,dataset,method,loss_std,loss_q90,loss_q95,loss_cvar95
confirmation,polish_bankruptcy_5year,four_strength1,0.00028081291867788856,0.05987511778696729,0.060002709797150916,0.06015470375997192
confirmation,polish_bankruptcy_5year,iid16,0.0003922400872030635,0.06002346099916899,0.06018531182984463,0.0604188721891705
confirmation,polish_bankruptcy_5year,strength2,7.216449660063518e-16,0.0594551809216515,0.0594551809216515,0.05945518092165148
menu_repeat,compustat_kor_direction,four_seed_blocks,0.0002351120345326044,0.4957478713883527,0.4958835305955513,0.49602497066528656
menu_repeat,compustat_kor_direction,four_strength1,0.00023149681054797334,0.49574370896423015,0.4958262450235658,0.4959180666582987
menu_repeat,compustat_kor_direction,iid16,0.00027272909622345134,0.4958026712068826,0.4959310397408612,0.4960808610764962
menu_repeat,compustat_kor_direction,strength2,0.00020666767289147898,0.4956950957385311,0.49579889363714014,0.49589053614383355
menu_repeat,credit_card_default,four_seed_blocks,4.8762956890784835e-05,0.2724100695500972,0.2725103132446644,0.27251114324992004
menu_repeat,credit_card_default,four_strength1,0.00011375181601031535,0.272515673849727,0.2726004140337747,0.2726171403008114
menu_repeat,credit_card_default,iid16,0.0001350954961555982,0.2725664889641242,0.272623846565526,0.2726865526306535
menu_repeat,credit_card_default,strength2,2.9600592155723147e-07,0.2723323344557636,0.2723323344557636,0.2723325262622628
menu_repeat,credit_card_fraud,four_seed_blocks,7.59721858364955e-12,0.0025672747459291,0.0025672747475663,0.0025672747476838003
menu_repeat,credit_card_fraud,four_strength1,5.256619153110747e-13,0.0025672747362623,0.0025672747365148,0.0025672747366848416
menu_repeat,credit_card_fraud,iid16,3.874434480293024e-12,0.0025672747405227603,0.002567274741802005,0.002567274743189708
menu_repeat,credit_card_fraud,strength2,1.6046192152785466e-17,0.0025672747356887,0.0025672747356887,0.0025672747356886997
menu_repeat,heloc_credit_risk,four_seed_blocks,0.00030118510790290084,0.3589104299042619,0.3590341033182961,0.35913818952999116
menu_repeat,heloc_credit_risk,four_strength1,0.0001964201897245859,0.35875718245575544,0.35882845719194545,0.35890325776465964
menu_repeat,heloc_credit_risk,iid16,0.00024585526373954855,0.35881896337954977,0.35890564141968107,0.3590460460223516
menu_repeat,heloc_credit_risk,strength2,0.00012985665514416884,0.3586317500047856,0.3586596497310149,0.3586596497310149
menu_repeat,kdd17_stock_return,four_seed_blocks,5.662137425588298e-15,0.5606952462756983,0.5606952462756983,0.5606952462756983
menu_repeat,kdd17_stock_return,four_strength1,0.00011183366896065872,0.5606952462756983,0.5606952462756983,0.5606952462756984
menu_repeat,kdd17_stock_return,iid16,0.0011014355709732784,0.5619625608884269,0.5623318412359312,0.5627902667638268
menu_repeat,kdd17_stock_return,strength2,5.662137425588298e-15,0.5606952462756983,0.5606952462756983,0.5606952462756983
menu_repeat,polish_bankruptcy_3year,four_seed_blocks,0.001043109118234732,0.0498830999000313,0.0500125425897977,0.050102611406148564
menu_repeat,polish_bankruptcy_3year,four_strength1,0.00025060891430930506,0.0467294085636323,0.0467294085636323,0.04675019339391954
menu_repeat,polish_bankruptcy_3year,iid16,0.0007899561842723431,0.0468802314346841,0.049797931256177964,0.049982095310224676
menu_repeat,polish_bankruptcy_3year,strength2,8.257283745649602e-16,0.0467294085636323,0.0467294085636323,0.04672940856363229
subsample_repeat,compustat_kor_direction,four_seed_blocks,0.000499421827502477,0.49712424150601303,0.4973742132819679,0.49752198574418105
subsample_repeat,compustat_kor_direction,four_strength1,0.00042644025577098695,0.4967484986182508,0.4970376245305307,0.4971881892701028
subsample_repeat,compustat_kor_direction,iid16,0.000478784056663058,0.4969996585207932,0.49722159292657286,0.4973460898413832
subsample_repeat,compustat_kor_direction,strength2,0.0003579563225241695,0.49653981399386554,0.4967116777570523,0.4969342644856551
subsample_repeat,credit_card_default,four_seed_blocks,0.0006667503381467699,0.2711302560828911,0.2712517840351013,0.2713701620784887
subsample_repeat,credit_card_default,four_strength1,0.0005939478126176143,0.2710593283879582,0.2711624987182413,0.27125168653240295
subsample_repeat,credit_card_default,iid16,0.0006713913443244197,0.2711161645578518,0.2712174392486245,0.2713334505955446
subsample_repeat,credit_card_default,strength2,4.417102716317824e-07,0.2694665692918328,0.2694666203836183,0.2694666203836183
subsample_repeat,credit_card_fraud,four_seed_blocks,3.4123014366853246e-05,0.0024320168764294403,0.00243995611225572,0.002446932704024925
subsample_repeat,credit_card_fraud,four_strength1,1.956746920732824e-05,0.00240930896820787,0.00241614141379901,0.0024224767295783285
subsample_repeat,credit_card_fraud,iid16,2.7539659696884327e-05,0.0024198212198816103,0.002432715798494555,0.002444290334663254
subsample_repeat,credit_card_fraud,strength2,7.438584364006523e-06,0.0023945023991824,0.0023957101649167,0.002395710164916699
subsample_repeat,heloc_credit_risk,four_seed_blocks,0.0002373446292893534,0.3582546552385455,0.35830886247669524,0.3585344603489128
subsample_repeat,heloc_credit_risk,four_strength1,0.00026852810956427896,0.35831027799829424,0.35840170585028247,0.3585290352690454
subsample_repeat,heloc_credit_risk,iid16,0.00026533281600590945,0.35831046666564637,0.3584296695325577,0.35855334699156843
subsample_repeat,heloc_credit_risk,strength2,5.622443008789301e-05,0.3579476204057161,0.3579476408852083,0.3579476408852083
subsample_repeat,kdd17_stock_return,four_seed_blocks,0.0008831798461140282,0.5942325523569801,0.5945961444082388,0.5949930776855852
subsample_repeat,kdd17_stock_return,four_strength1,0.0007438160964959159,0.5940274698980962,0.5943174048539014,0.5946473018035373
subsample_repeat,kdd17_stock_return,iid16,0.0008176199337945023,0.5941584858493653,0.5945056306776274,0.5949231203049765
subsample_repeat,kdd17_stock_return,strength2,0.0004897835062414299,0.5936573678159655,0.5937984121906245,0.5938354420103865
subsample_repeat,polish_bankruptcy_3year,four_seed_blocks,0.0005426668357340391,0.0478971159877275,0.0479142015018939,0.0491532740136195
subsample_repeat,polish_bankruptcy_3year,four_strength1,5.828670879282072e-16,0.0471866622062624,0.0471866622062624,0.04718666220626241
subsample_repeat,polish_bankruptcy_3year,iid16,0.0002599815536458308,0.047409867196902,0.04748584990574341,0.047903480450361066
subsample_repeat,polish_bankruptcy_3year,strength2,5.828670879282072e-16,0.0471866622062624,0.0471866622062624,0.04718666220626241
