dataset,split,estimators,internal_shift_policy,schema_risk,mean_member_brier,quotient_brier,reference_brier,hard_flip_fraction,identity_error,anova_total,anova_feature,anova_category,anova_class,anova_feature:category,anova_feature:class,anova_category:class,anova_feature:category:class
bank_marketing_subscription,validation,1,default,0.0011624343897671619,0.1753726107767272,0.17421017638696007,0.1738914434650396,0.016,3.664603343001005e-17,0.0011624343897671619,0.00017972749861614457,0.00045523459867348665,3.108766226594498e-05,0.0003231383774338028,3.7757616705700895e-05,4.744093852957717e-05,8.804769754250475e-05
bank_marketing_subscription,test,1,default,0.00142167266114046,0.1847634171075349,0.18334174444639445,0.1845643187231291,0.013,6.505213034913027e-19,0.00142167266114046,0.00021307557938808345,0.0005401501800753412,2.512801803460469e-05,0.00040429238665298155,5.671675008785957e-05,6.378409985165949e-05,0.00011852564704992977
bank_marketing_subscription,validation,8,none,0.0007106738507766861,0.17440959748870888,0.17369892363793218,0.17187913241694835,0.01,8.023096076392733e-18,0.0007106738507766861,0.00016746583660303375,0.00037990394128769076,1.7067039639061132e-05,9.951908053259602e-05,1.3491444272728703e-05,1.1494051440938318e-05,2.1732457000637397e-05
bank_marketing_subscription,test,8,none,0.000907615975507601,0.18449630425039681,0.1835886882748892,0.18415429493643387,0.013,1.8648277366750676e-17,0.000907615975507601,0.0002141952963739664,0.0004933868552233781,1.7391243598212684e-05,0.00012336494473701596,1.4881660819716429e-05,1.6154860391157224e-05,2.8241114364154194e-05
bank_marketing_subscription,validation,8,default,0.00041889679323688577,0.17311685235977747,0.1726979555665406,0.1716851524215169,0.003,1.8756697583999227e-17,0.00041889679323688577,3.035124714736582e-05,0.00032679524244176144,2.331027272470391e-06,4.448299055733859e-05,3.751916167219087e-06,3.745615404684683e-06,7.438754246045739e-06
bank_marketing_subscription,test,8,default,0.000548124346788791,0.18369978527228042,0.18315166092549162,0.18302053835837576,0.003,1.2034644114589099e-17,0.000548124346788791,3.698017794657409e-05,0.00043734834811439457,3.3832279101550696e-06,5.2639462191227445e-05,4.267280051207006e-06,4.5269612749375265e-06,8.978889300295372e-06
german_credit_risk,validation,1,none,0.005624351341420588,0.2890373642385465,0.2834130128971259,0.28974566861970724,0.25333333333333335,1.734723475976807e-18,0.005624351341420588,0.001955209678241474,0.0012517938496983108,0.00017052834340806135,0.0016890686898932102,0.00017474231897621507,9.786344978112801e-05,0.0002851450114221884
german_credit_risk,test,1,none,0.005498906338077821,0.32870607797734186,0.323207171639264,0.33499280772757895,0.2733333333333333,4.7704895589362195e-17,0.005498906338077821,0.0018309070102788835,0.0011299556382278033,0.00016026582225463017,0.0018039939076301278,0.00016700343972460245,0.00010132598068484504,0.00030545453927692876
german_credit_risk,validation,1,default,0.006265655476195215,0.29742098011890106,0.2911553246427059,0.2864336195172311,0.26666666666666666,3.9898639947466563e-17,0.006265655476195215,0.0016235632091229377,0.0019799224363469285,0.00012213392316058136,0.0019736300649157478,0.00015412330719930052,0.00010142146530269627,0.0003108610701470238
german_credit_risk,test,1,default,0.00670143232244975,0.3355983726558225,0.32889694033337274,0.32776988012820274,0.31333333333333335,9.540979117872439e-18,0.00670143232244975,0.002011603121776293,0.0019880887305484636,0.00013612044206104732,0.00201189723111019,0.00014492923153037324,9.655349237985731e-05,0.0003122400730435265
german_credit_risk,validation,8,none,0.0033567724931131454,0.2869885748716661,0.28363180237855296,0.28616248885777634,0.18,2.3852447794681098e-17,0.0033567724931131454,0.0012518343645715124,0.0011056411299008872,0.00011123277691796558,0.0005924593381476694,0.00011655718763173016,5.5737193414372814e-05,0.0001233105025290078
german_credit_risk,test,8,none,0.0031343527729737236,0.330395973688947,0.32726162091597333,0.33222355202842746,0.19333333333333333,3.165870343657673e-17,0.0031343527729737236,0.001127127198215661,0.0009325037544668676,0.00011759745297039316,0.000639309972254151,0.00011899481663710305,6.010654560812399e-05,0.00013871303282142394
german_credit_risk,validation,8,default,0.0017260115292434808,0.2906264201648844,0.2889004086356409,0.29677346647744834,0.12,2.667137344314341e-17,0.0017260115292434808,0.0002230845937466593,0.0011791890895897143,1.3728433903587734e-05,0.00023677049645897142,2.0541489413204308e-05,1.5600198200215625e-05,3.709722793112782e-05
german_credit_risk,test,8,default,0.0015508576820635741,0.3287964964745216,0.327245638792458,0.33575948568028885,0.12666666666666668,1.474514954580286e-17,0.0015508576820635741,0.00020542703411674962,0.0010019812208332084,1.4026719121315214e-05,0.0002582465255251121,1.8897933361145986e-05,1.6509548816709293e-05,3.576870028933338e-05
lendingclub_loan_default,validation,1,none,0.00040549833440183545,0.261380056501321,0.26097455816691917,0.2644039034734098,0.017,8.239936510889834e-18,0.00040549833440183545,0.00015626295159147112,9.010795580553771e-05,3.58563839867356e-05,7.695166102061149e-05,2.687773249803019e-05,5.262974292270471e-06,1.4178675207178874e-05
lendingclub_loan_default,test,1,none,0.00040364914080361715,0.26630301036575843,0.2658993612249549,0.26708019404646915,0.023,7.573152174811248e-17,0.00040364914080361715,0.00014487998709849836,9.584515797652427e-05,3.5244003892658775e-05,7.975690285504852e-05,2.803213768781576e-05,5.604308757851478e-06,1.4286642535219971e-05
lendingclub_loan_default,validation,1,default,0.0004411243929941069,0.2613512629098196,0.26091013851682543,0.2610932088858475,0.018,4.526544070126981e-17,0.0004411243929941069,0.00016990447417723994,0.00011869134858051393,3.17497710392699e-05,6.80858971705377e-05,3.6943608764135715e-05,6.8038475071688565e-06,8.945445755240889e-06
lendingclub_loan_default,test,1,default,0.00044848526144371877,0.26588472127271573,0.265436236011272,0.26636725635512876,0.028,3.5236570605778894e-17,0.00044848526144371877,0.00017491114682065154,0.00011833894773046873,3.3990107893586994e-05,6.924723991469118e-05,3.602427537792936e-05,6.68173388330579e-06,9.291809823085136e-06
lendingclub_loan_default,validation,8,none,0.00026354062345532826,0.26122740107783415,0.26096386045437886,0.261992917161139,0.019,3.4314998759166215e-17,0.00026354062345532826,0.00010222169935938554,7.975000798616216e-05,3.6090673028000927e-05,2.27273643260091e-05,1.7271258387764795e-05,1.8509776932712397e-06,3.6286426747344867e-06
lendingclub_loan_default,test,8,none,0.0002667824271091743,0.2658703785067528,0.2656035960796437,0.2659106471181319,0.022,2.7484525072507537e-17,0.0002667824271091743,0.0001021825214202727,8.134016798998202e-05,3.604215108909404e-05,2.3817800099649338e-05,1.7643171437918366e-05,1.9016347596792333e-06,3.8549803125785854e-06
lendingclub_loan_default,validation,8,default,0.00013868064839159217,0.2612211365949835,0.26108245594659196,0.2612537536355982,0.009,2.7376104855258987e-17,0.00013868064839159217,2.8951447059003963e-05,8.834775884915219e-05,2.0131005683667333e-06,1.2684125489309476e-05,4.4930604717514475e-06,6.64097799353188e-07,1.5270581546551529e-06
lendingclub_loan_default,test,8,default,0.000139132629594077,0.2654475017456961,0.26530836911610206,0.26568377372824886,0.013,4.716279450311944e-17,0.000139132629594077,2.7314140479932825e-05,8.973590196959383e-05,2.077984437774279e-06,1.3281822047986912e-05,4.409996362400062e-06,6.667612099542563e-07,1.6460230864348257e-06
