panel,dataset,left_model,right_model,coupling,gap_multiplier,disjoint_pack_cross128,independent_cover_u128,pack_lower,difference
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.25,0.357421875,0.3974609375,True,-0.0400390625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.5,0.2412109375,0.306640625,True,-0.0654296875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,1.0,0.076171875,0.1474609375,True,-0.0712890625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,2.0,0.001953125,0.025390625,True,-0.0234375
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.25,0.357421875,0.3974609375,True,-0.0400390625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.5,0.2412109375,0.306640625,True,-0.0654296875
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,1.0,0.076171875,0.1474609375,True,-0.0712890625
confirmation,compustat_kor_direction,onehot_linear,ordinal_forest,common,2.0,0.001953125,0.025390625,True,-0.0234375
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,0.25,0.3623046875,0.3955078125,True,-0.033203125
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,0.5,0.25390625,0.3095703125,True,-0.0556640625
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,1.0,0.08984375,0.166015625,True,-0.076171875
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,2.0,0.001953125,0.0263671875,True,-0.0244140625
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,common,0.25,0.3671875,0.3876953125,True,-0.0205078125
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,common,0.5,0.2509765625,0.3037109375,True,-0.052734375
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,common,1.0,0.0859375,0.1552734375,True,-0.0693359375
confirmation,compustat_kor_direction,ordinal_forest,catboost_native,common,2.0,0.0029296875,0.025390625,True,-0.0224609375
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,candidate_independent,0.25,0.3486328125,0.3876953125,True,-0.0390625
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,candidate_independent,0.5,0.244140625,0.2900390625,True,-0.0458984375
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,candidate_independent,1.0,0.083984375,0.1376953125,True,-0.0537109375
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,candidate_independent,2.0,0.001953125,0.01953125,True,-0.017578125
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,common,0.25,0.3623046875,0.3984375,True,-0.0361328125
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,common,0.5,0.236328125,0.30078125,True,-0.064453125
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,common,1.0,0.08203125,0.150390625,True,-0.068359375
confirmation,compustat_kor_direction,ordinal_forest,native_histgb,common,2.0,0.001953125,0.0244140625,True,-0.0224609375
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,0.25,0.361328125,0.3798828125,True,-0.0185546875
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,0.5,0.24609375,0.2705078125,True,-0.0244140625
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,1.0,0.083984375,0.130859375,True,-0.046875
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,2.0,0.0,0.01953125,True,-0.01953125
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,common,0.25,0.375,0.3984375,True,-0.0234375
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,common,0.5,0.2587890625,0.29296875,True,-0.0341796875
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,common,1.0,0.1064453125,0.1572265625,True,-0.05078125
confirmation,compustat_kor_direction,ordinal_forest,onehot_adam_mlp,common,2.0,0.0029296875,0.017578125,True,-0.0146484375
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.25,0.3681640625,0.40234375,True,-0.0341796875
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.5,0.2529296875,0.3115234375,True,-0.05859375
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,candidate_independent,1.0,0.0986328125,0.1611328125,True,-0.0625
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,candidate_independent,2.0,0.005859375,0.01953125,True,-0.013671875
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,common,0.25,0.373046875,0.3916015625,True,-0.0185546875
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,common,0.5,0.251953125,0.3076171875,True,-0.0556640625
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,common,1.0,0.0947265625,0.16796875,True,-0.0732421875
confirmation,kdd17_stock_direction,catboost_native,onehot_adam_mlp,common,2.0,0.00390625,0.0224609375,True,-0.0185546875
confirmation,kdd17_stock_direction,native_histgb,catboost_native,candidate_independent,0.25,0.3544921875,0.3984375,True,-0.0439453125
confirmation,kdd17_stock_direction,native_histgb,catboost_native,candidate_independent,0.5,0.21875,0.3154296875,True,-0.0966796875
confirmation,kdd17_stock_direction,native_histgb,catboost_native,candidate_independent,1.0,0.064453125,0.150390625,True,-0.0859375
confirmation,kdd17_stock_direction,native_histgb,catboost_native,candidate_independent,2.0,0.0009765625,0.0234375,True,-0.0224609375
confirmation,kdd17_stock_direction,native_histgb,catboost_native,common,0.25,0.3544921875,0.3984375,True,-0.0439453125
confirmation,kdd17_stock_direction,native_histgb,catboost_native,common,0.5,0.21875,0.3154296875,True,-0.0966796875
confirmation,kdd17_stock_direction,native_histgb,catboost_native,common,1.0,0.064453125,0.150390625,True,-0.0859375
confirmation,kdd17_stock_direction,native_histgb,catboost_native,common,2.0,0.0009765625,0.0234375,True,-0.0224609375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.25,0.3681640625,0.3984375,True,-0.0302734375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.5,0.2548828125,0.3115234375,True,-0.056640625
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,candidate_independent,1.0,0.1015625,0.1630859375,True,-0.0615234375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,candidate_independent,2.0,0.0048828125,0.01953125,True,-0.0146484375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,common,0.25,0.3681640625,0.3984375,True,-0.0302734375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,common,0.5,0.2548828125,0.3115234375,True,-0.056640625
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,common,1.0,0.1015625,0.1630859375,True,-0.0615234375
confirmation,kdd17_stock_direction,native_histgb,onehot_adam_mlp,common,2.0,0.0048828125,0.01953125,True,-0.0146484375
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,candidate_independent,0.25,0.3544921875,0.3984375,True,-0.0439453125
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,candidate_independent,0.5,0.21875,0.3154296875,True,-0.0966796875
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,candidate_independent,1.0,0.064453125,0.150390625,True,-0.0859375
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,candidate_independent,2.0,0.0009765625,0.0234375,True,-0.0224609375
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,common,0.25,0.3544921875,0.3984375,True,-0.0439453125
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,common,0.5,0.21875,0.3154296875,True,-0.0966796875
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,common,1.0,0.064453125,0.150390625,True,-0.0859375
confirmation,kdd17_stock_direction,onehot_linear,catboost_native,common,2.0,0.0009765625,0.0234375,True,-0.0224609375
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,candidate_independent,0.25,0.3544921875,0.3916015625,True,-0.037109375
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,candidate_independent,0.5,0.240234375,0.310546875,True,-0.0703125
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,candidate_independent,1.0,0.0859375,0.1650390625,True,-0.0791015625
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,candidate_independent,2.0,0.0087890625,0.017578125,True,-0.0087890625
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,common,0.25,0.3671875,0.404296875,True,-0.037109375
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,common,0.5,0.240234375,0.306640625,True,-0.06640625
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,common,1.0,0.0771484375,0.162109375,True,-0.0849609375
confirmation,kdd17_stock_direction,onehot_linear,native_histgb,common,2.0,0.005859375,0.017578125,True,-0.01171875
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.25,0.3681640625,0.3984375,True,-0.0302734375
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.5,0.2548828125,0.3115234375,True,-0.056640625
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,candidate_independent,1.0,0.1015625,0.1630859375,True,-0.0615234375
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,candidate_independent,2.0,0.0048828125,0.01953125,True,-0.0146484375
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,common,0.25,0.3681640625,0.3984375,True,-0.0302734375
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,common,0.5,0.2548828125,0.3115234375,True,-0.056640625
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,common,1.0,0.1015625,0.1630859375,True,-0.0615234375
confirmation,kdd17_stock_direction,onehot_linear,onehot_adam_mlp,common,2.0,0.0048828125,0.01953125,True,-0.0146484375
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,candidate_independent,0.25,0.3662109375,0.4072265625,True,-0.041015625
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,candidate_independent,0.5,0.2451171875,0.3056640625,True,-0.060546875
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,candidate_independent,1.0,0.0791015625,0.1611328125,True,-0.08203125
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,candidate_independent,2.0,0.0048828125,0.0244140625,True,-0.01953125
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,common,0.25,0.3662109375,0.4072265625,True,-0.041015625
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,common,0.5,0.2451171875,0.3056640625,True,-0.060546875
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,common,1.0,0.0791015625,0.1611328125,True,-0.08203125
confirmation,kdd17_stock_direction,onehot_linear,ordinal_forest,common,2.0,0.0048828125,0.0244140625,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,candidate_independent,0.25,0.3466796875,0.408203125,True,-0.0615234375
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,candidate_independent,0.5,0.2255859375,0.3203125,True,-0.0947265625
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,candidate_independent,1.0,0.09375,0.1611328125,True,-0.0673828125
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,candidate_independent,2.0,0.001953125,0.021484375,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,common,0.25,0.3671875,0.41796875,True,-0.05078125
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,common,0.5,0.2568359375,0.3193359375,True,-0.0625
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,common,1.0,0.0810546875,0.162109375,True,-0.0810546875
confirmation,kdd17_stock_direction,ordinal_forest,catboost_native,common,2.0,0.001953125,0.0283203125,True,-0.0263671875
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,candidate_independent,0.25,0.3662109375,0.4072265625,True,-0.041015625
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,candidate_independent,0.5,0.2451171875,0.3056640625,True,-0.060546875
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,candidate_independent,1.0,0.0791015625,0.1611328125,True,-0.08203125
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,candidate_independent,2.0,0.0048828125,0.0244140625,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,common,0.25,0.3662109375,0.4072265625,True,-0.041015625
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,common,0.5,0.2451171875,0.3056640625,True,-0.060546875
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,common,1.0,0.0791015625,0.1611328125,True,-0.08203125
confirmation,kdd17_stock_direction,ordinal_forest,native_histgb,common,2.0,0.0048828125,0.0244140625,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,0.25,0.375,0.400390625,True,-0.025390625
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,0.5,0.2568359375,0.3134765625,True,-0.056640625
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,1.0,0.1015625,0.16015625,True,-0.05859375
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,candidate_independent,2.0,0.00390625,0.0234375,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,common,0.25,0.373046875,0.392578125,True,-0.01953125
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,common,0.5,0.259765625,0.31640625,True,-0.056640625
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,common,1.0,0.095703125,0.1591796875,True,-0.0634765625
confirmation,kdd17_stock_direction,ordinal_forest,onehot_adam_mlp,common,2.0,0.005859375,0.0205078125,True,-0.0146484375
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.25,0.3720703125,0.388671875,True,-0.0166015625
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,0.5,0.265625,0.3154296875,True,-0.0498046875
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,1.0,0.103515625,0.1630859375,True,-0.0595703125
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,candidate_independent,2.0,0.0048828125,0.0322265625,True,-0.02734375
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,0.25,0.369140625,0.3955078125,True,-0.0263671875
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,0.5,0.23828125,0.2978515625,True,-0.0595703125
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,1.0,0.076171875,0.1484375,True,-0.072265625
menu_repeat,compustat_kor_direction,catboost_native,onehot_adam_mlp,common,2.0,0.0009765625,0.0283203125,True,-0.02734375
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,0.25,0.3701171875,0.4111328125,True,-0.041015625
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,0.5,0.2578125,0.3134765625,True,-0.0556640625
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,1.0,0.08984375,0.16015625,True,-0.0703125
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,candidate_independent,2.0,0.001953125,0.013671875,True,-0.01171875
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,common,0.25,0.365234375,0.3994140625,True,-0.0341796875
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,common,0.5,0.2470703125,0.2998046875,True,-0.052734375
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,common,1.0,0.0908203125,0.15234375,True,-0.0615234375
menu_repeat,compustat_kor_direction,native_histgb,catboost_native,common,2.0,0.00390625,0.0234375,True,-0.01953125
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.25,0.373046875,0.4140625,True,-0.041015625
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,0.5,0.25,0.291015625,True,-0.041015625
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,1.0,0.08984375,0.15234375,True,-0.0625
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,candidate_independent,2.0,0.005859375,0.0234375,True,-0.017578125
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,0.25,0.36328125,0.4091796875,True,-0.0458984375
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,0.5,0.232421875,0.3134765625,True,-0.0810546875
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,1.0,0.0732421875,0.1591796875,True,-0.0859375
menu_repeat,compustat_kor_direction,native_histgb,onehot_adam_mlp,common,2.0,0.0009765625,0.025390625,True,-0.0244140625
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,0.25,0.3583984375,0.4169921875,True,-0.05859375
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,0.5,0.23828125,0.3232421875,True,-0.0849609375
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,1.0,0.095703125,0.1669921875,True,-0.0712890625
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,candidate_independent,2.0,0.00390625,0.0205078125,True,-0.0166015625
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,common,0.25,0.3583984375,0.4169921875,True,-0.05859375
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,common,0.5,0.23828125,0.3232421875,True,-0.0849609375
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,common,1.0,0.095703125,0.1669921875,True,-0.0712890625
menu_repeat,compustat_kor_direction,onehot_linear,catboost_native,common,2.0,0.00390625,0.0205078125,True,-0.0166015625
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.25,0.365234375,0.40625,True,-0.041015625
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,0.5,0.259765625,0.3125,True,-0.052734375
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,1.0,0.09765625,0.162109375,True,-0.064453125
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,candidate_independent,2.0,0.0087890625,0.01953125,True,-0.0107421875
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,common,0.25,0.365234375,0.40625,True,-0.041015625
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,common,0.5,0.259765625,0.3125,True,-0.052734375
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,common,1.0,0.09765625,0.162109375,True,-0.064453125
menu_repeat,compustat_kor_direction,onehot_linear,native_histgb,common,2.0,0.0087890625,0.01953125,True,-0.0107421875
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.25,0.3662109375,0.3974609375,True,-0.03125
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,0.5,0.2373046875,0.306640625,True,-0.0693359375
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,1.0,0.0849609375,0.1533203125,True,-0.068359375
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,candidate_independent,2.0,0.0029296875,0.02734375,True,-0.0244140625
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,0.25,0.3662109375,0.3974609375,True,-0.03125
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,0.5,0.2373046875,0.306640625,True,-0.0693359375
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,1.0,0.0849609375,0.1533203125,True,-0.068359375
menu_repeat,compustat_kor_direction,onehot_linear,onehot_adam_mlp,common,2.0,0.0029296875,0.02734375,True,-0.0244140625
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.25,0.3408203125,0.40625,True,-0.0654296875
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,0.5,0.2158203125,0.3115234375,True,-0.095703125
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,1.0,0.0703125,0.1474609375,True,-0.0771484375
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,candidate_independent,2.0,0.0,0.01953125,True,-0.01953125
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.25,0.3408203125,0.40625,True,-0.0654296875
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,common,0.5,0.2158203125,0.3115234375,True,-0.095703125
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,common,1.0,0.0703125,0.1474609375,True,-0.0771484375
menu_repeat,compustat_kor_direction,onehot_linear,ordinal_forest,common,2.0,0.0,0.01953125,True,-0.01953125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,0.25,0.3349609375,0.39453125,True,-0.0595703125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,0.5,0.2265625,0.3046875,True,-0.078125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,1.0,0.0771484375,0.1591796875,True,-0.08203125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,candidate_independent,2.0,0.0009765625,0.0302734375,True,-0.029296875
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,common,0.25,0.3720703125,0.3955078125,True,-0.0234375
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,common,0.5,0.2294921875,0.2939453125,True,-0.064453125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,common,1.0,0.0810546875,0.15625,True,-0.0751953125
menu_repeat,compustat_kor_direction,ordinal_forest,catboost_native,common,2.0,0.0029296875,0.0283203125,True,-0.025390625
