panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,family,mean_pack_sampling_attempts
late_source_c,openml-churn-40701,binclass,catboost_native,mutually_disjoint_pack64,128.0,-1.7244958129131183e-06,8.43707158786269e-05,3.527244954138963e-06,0.000300958580742694,pack64,1.0
late_source_c,openml-churn-40701,binclass,catboost_native,two_disjoint_pairs64,128.0,6.070641663497023e-06,0.00010608719036556331,5.542930530748188e-06,0.00038201447200185423,pack64,1.0
late_source_c,openml-churn-40701,binclass,catboost_native,independent_four64,128.0,1.3074769901755268e-05,0.00011723189158307097,6.694320896906582e-06,0.0003889752931217211,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,mutually_disjoint_pack64,128.0,3.190019778559483e-05,0.00045516263826349057,4.781489631769139e-05,0.0015037230242556099,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,two_disjoint_pairs64,128.0,7.479673717131208e-05,0.0005513821502225805,7.150582666075753e-05,0.002029184922938493,pack64,1.0
late_source_c,openml-churn-40701,binclass,onehot_adam_mlp,independent_four64,128.0,8.87540992417779e-05,0.000621968059971262,8.638345826148772e-05,0.002611626687574045,pack64,1.0
late_source_c,openml-adult-1590,binclass,onehot_linear,disjoint_pair_cross64,,-1.825120610199349e-11,4.309808872777389e-10,-1.824929096727601e-11,,pair_cross64,
late_source_c,openml-adult-1590,binclass,onehot_linear,independent_block_u64,,8.789635685957364e-13,4.668296005472462e-10,8.812950369474493e-13,,pair_cross64,
late_source_c,openml-adult-1590,binclass,ordinal_forest,disjoint_pair_cross64,,3.2926953827394634e-07,3.1795515695249005e-05,5.959416651574179e-06,,pair_cross64,
late_source_c,openml-adult-1590,binclass,ordinal_forest,independent_block_u64,,-3.737576634299522e-07,3.3323908977647674e-05,6.347488224173192e-06,,pair_cross64,
late_source_c,openml-adult-1590,binclass,native_histgb,disjoint_pair_cross64,,-1.6150936144043726e-10,1.1076670918787027e-07,-1.2089845791152243e-10,,pair_cross64,
late_source_c,openml-adult-1590,binclass,native_histgb,independent_block_u64,,4.5187482089481534e-09,1.2040572529202208e-07,4.5670056625368716e-09,,pair_cross64,
late_source_c,openml-adult-1590,binclass,catboost_native,disjoint_pair_cross64,,1.047975368151377e-07,3.544365578581167e-05,1.3537570142108102e-06,,pair_cross64,
late_source_c,openml-adult-1590,binclass,catboost_native,independent_block_u64,,4.858910697680408e-07,3.869844687357252e-05,1.9519410285606664e-06,,pair_cross64,
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,disjoint_pair_cross64,,-2.9381347265156066e-06,8.2933518743447e-05,2.833557110415441e-05,,pair_cross64,
late_source_c,openml-adult-1590,binclass,onehot_adam_mlp,independent_block_u64,,2.3300957197047723e-07,8.391941187558023e-05,3.62641487991755e-05,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,disjoint_pair_cross64,,-7.292472181674725e-12,2.4210607158154873e-10,-7.2922501370698e-12,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,onehot_linear,independent_block_u64,,6.978029265525265e-13,2.5091272684420626e-10,6.981359934599141e-13,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,disjoint_pair_cross64,,2.8562237824880654e-08,3.0240199729615037e-05,5.9030992534125915e-06,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,ordinal_forest,independent_block_u64,,-6.275280485246171e-07,3.28800976217068e-05,6.289029398476309e-06,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,disjoint_pair_cross64,,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,native_histgb,independent_block_u64,,2.7755575615628914e-17,2.7755575615628914e-17,2.7755575615628914e-17,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,disjoint_pair_cross64,,5.068380616313206e-07,4.6637938077968095e-05,2.33623448830933e-06,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,catboost_native,independent_block_u64,,4.6770319289679563e-07,5.178404875255856e-05,2.6127155286492787e-06,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,disjoint_pair_cross64,,2.767278047460797e-06,0.00012252350866291076,4.043161916134075e-05,,pair_cross64,
late_source_c,openml-bank-marketing-1461,binclass,onehot_adam_mlp,independent_block_u64,,-6.365253005236049e-08,0.00012616395417346395,4.359101321924075e-05,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,onehot_linear,disjoint_pair_cross64,,0.0,1.6305257501092993e-15,0.0,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,onehot_linear,independent_block_u64,,-8.326672684688674e-17,1.7281861831288258e-15,-8.326672684688674e-17,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,ordinal_forest,disjoint_pair_cross64,,-1.383970088854325e-05,0.0003740825081250079,-4.360408502740443e-06,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,ordinal_forest,independent_block_u64,,5.136912983177977e-07,0.00041693271817070467,1.1844987977349675e-05,,pair_cross64,
late_source_c,openml-titanic-40945,binclass,native_histgb,disjoint_pair_cross64,,-1.6835283167537796e-12,4.8990949665756925e-11,-1.6835213778598757e-12,,pair_cross64,
