dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
credit_card_fraud,onehot_linear,binclass,validation,144,1152,3.5234203095855724e-19,0.8398947408026516,1.0,0.0014017227620486427,0.0014017227620486423,2.2021376934909828e-20,4.7009843493949996e-21,8.808550773963931e-20,-1.3870833339702993e-36,3.009265538105056e-36,2.0315342872945465e-37,0.0014017227620486423,1.0,1.0000000000000002,1.0,False,8.133883803564453e-20
credit_card_fraud,onehot_linear,binclass,test,144,1152,1.3292946674349469e-18,0.9015889716339915,1.0,0.002567274734391756,0.002567274734391755,8.308091671468418e-20,1.0901437935310371e-20,3.323236668587367e-19,-5.266214691683848e-36,1.2037062152420224e-35,1.372489080663706e-36,0.002567274734391755,1.0,1.0000000000000004,1.0,False,2.8252060452341536e-20
credit_card_fraud,ordinal_forest,binclass,validation,144,1152,5.189699789838941e-06,0.3957528845459952,1.0,0.0015606845791268122,0.0015554948793369732,3.243562368649338e-07,2.6132176067353624e-07,2.517915793953497e-07,0.0,2.117582368135751e-22,3.638930053267554e-24,0.0015554948793369732,1.0,1.0,1.0,False,4.404571325722362e-20
credit_card_fraud,ordinal_forest,binclass,test,144,1152,7.683323540449734e-06,0.47897817724474795,1.0,0.0018298117550104656,0.0018221284314700159,4.802077212781084e-07,3.33598269655288e-07,4.25500531871712e-07,0.0,4.235164736271502e-22,1.1696697614318226e-25,0.0018221284314700159,1.0,1.0,1.0,False,1.1858461261560205e-20
credit_card_fraud,native_histgb,binclass,validation,144,1152,2.1253737339370893e-05,0.9009962309683137,0.9923915643576643,0.0018757588361604511,0.0018545050988210802,1.3283585837106808e-06,1.7085812819766384e-07,5.142490063158022e-07,1.7967521411745437e-08,7.411538288475128e-22,1.1249656330721176e-22,0.001854523066342492,0.9864738921914034,0.8948395279681455,0.9650606589588401,True,3.049318610115481e-20
credit_card_fraud,native_histgb,binclass,test,144,1152,7.620984389249685e-05,0.6834106668136725,0.9899970508990029,0.0015843435982117837,0.0015081337543192868,4.763115243281053e-06,1.9894263275285387e-06,4.265983798195097e-06,8.470257660572782e-08,8.470329472543003e-21,5.161607022330893e-22,0.0015082184568958924,0.9822169793760058,0.9574236173344737,0.9801446558138442,True,9.486769009248164e-20
credit_card_fraud,catboost_native,binclass,validation,144,1152,1.0244262709685864e-05,0.5851028479969509,0.9294486208968484,0.0019048247545412067,0.0018945804918315207,6.402664193553665e-07,3.341166501609939e-07,1.4031980142261571e-06,8.030520689592518e-08,2.117582368135751e-22,3.970466940254533e-23,0.0018946607970384167,0.8745753260388416,0.7596491918100156,0.942769868484875,True,1.3721933745519665e-19
credit_card_fraud,catboost_native,binclass,test,144,1152,1.4227853846280084e-05,0.33297849121989587,0.9482820929594813,0.0014528271314557112,0.0014385992776094311,8.892408653925052e-07,7.70417188753822e-07,1.0364525720379014e-06,8.175942473422183e-08,4.658681209898652e-21,6.485096002415737e-22,0.0014386810370341653,0.9080570541501893,0.89387642704796,0.9211160964428269,True,4.2351647362715017e-20
credit_card_fraud,onehot_adam_mlp,binclass,validation,144,1152,3.105823413261715e-05,0.39270260319385036,0.838099912645527,0.0016830208105925975,0.0016519625764599805,1.941139633288572e-06,1.4321228720904582e-06,1.4343797820425623e-06,5.587034243495985e-07,1.6940658945086007e-21,3.1763735522036263e-22,0.0016525212798843302,0.7121776224809372,0.6098774516923512,0.6104912859591463,True,1.6940658945086007e-19
credit_card_fraud,onehot_adam_mlp,binclass,test,144,1152,7.425264908604805e-05,0.44162854592413125,0.7640228221315158,0.001636204865595775,0.0015619522165097272,4.640790567878003e-06,2.9683263426916952e-06,3.727483173345364e-06,1.946881175620496e-06,1.6940658945086007e-21,1.6940658945086007e-21,0.0015638990976853478,0.5804850171226956,0.344114847609696,0.4776955159603853,True,2.0328790734103208e-19
heloc_credit_risk,onehot_linear,binclass,validation,144,1152,5.951574553898664e-14,0.5669491626380451,1.0,0.3692202505741622,0.3692202505741027,3.719734096186665e-15,2.1477786201565998e-15,1.487893638474666e-14,2.568227580840379e-31,1.5777218104420236e-30,1.469604696675299e-32,0.3692202505741027,0.9999999999999999,0.9999999999999999,1.0,False,7.791419078245827e-18
heloc_credit_risk,onehot_linear,binclass,test,144,1152,5.3539606314485225e-14,0.5730916000592274,0.9999999999999999,0.37730866463629953,0.37730866463624585,3.3462253946553265e-15,1.9047089720979806e-15,1.3384901578621306e-14,4.670380115139047e-32,0.0,1.9162595069296967e-31,0.37730866463624585,1.0,1.0,1.0,False,1.396769261410941e-16
heloc_credit_risk,ordinal_forest,binclass,validation,144,1152,0.0017781004127634952,0.4119718886953851,1.0,0.35352347013702956,0.35174536972426607,0.00011113127579771845,8.713108561893938e-05,8.806220958719463e-05,1.6940658945086007e-21,4.336808689942018e-19,6.9198890335016e-22,0.35174536972426607,1.0,1.0,1.0,True,4.336808689942018e-19
heloc_credit_risk,ordinal_forest,binclass,test,144,1152,0.0018582723746051618,0.41484199379159836,1.0,0.36411819590321454,0.3622599235286094,0.00011614202341282261,9.061524647634222e-05,9.116008259761274e-05,3.3881317890172014e-21,4.336808689942018e-19,2.378814261437528e-21,0.3622599235286094,1.0,1.0,1.0,True,4.2934406030425976e-17
heloc_credit_risk,native_histgb,binclass,validation,144,1152,1.1995235536207978e-06,1.0,1.0,0.351975289339317,0.3519740898157633,7.497022210129986e-08,-9.926167350636332e-24,2.9988088840519944e-07,-8.737095220091355e-24,5.080249163429531e-23,2.234465006175348e-24,0.3519740898157633,1.0000000000000002,0.11979166666666663,1.0,False,8.687318137805874e-17
heloc_credit_risk,native_histgb,binclass,test,144,1152,4.107361599143828e-07,1.0,1.0,0.36502378243582306,0.36502337169966315,2.5671009994648924e-08,-8.271806125530277e-25,1.026840399785957e-07,-1.5057272087879332e-24,7.108795298404343e-24,7.208779756997039e-25,0.36502337169966315,1.0,-0.8203125,1.0,False,2.6639186191147746e-18
heloc_credit_risk,catboost_native,binclass,validation,144,1152,0.0016185141396793089,0.3726817894757504,0.9483342134455884,0.35006322041155363,0.34844470627187435,0.0001011571337299568,8.228745487109693e-05,8.282881660954547e-05,9.291311786218672e-06,1.6263032587282567e-19,1.6940658945086007e-21,0.3484539975836606,0.9081497127921574,0.8870871410377987,0.8878251293868189,False,2.5370330836160804e-17
heloc_credit_risk,catboost_native,binclass,test,144,1152,0.0017482317608534144,0.3759765383146504,0.9475722526887224,0.35960952731255735,0.35786129555170393,0.0001092644850533384,8.836547368634704e-05,8.977951654661021e-05,1.0183983666619168e-05,2.710505431213761e-19,1.6940658945086007e-21,0.3578714795353706,0.9067951158910622,0.884751552367985,0.886566735282741,False,1.0408340855860843e-17
heloc_credit_risk,onehot_adam_mlp,binclass,validation,144,1152,0.003923922872014719,0.27590249137271644,0.7869845333092361,0.36179546677970226,0.35787154390768755,0.00024524517950091993,0.00021355700181037906,0.00021607811686092038,9.287291798230877e-05,6.505213034913027e-19,4.0657581468206416e-20,0.3579644168256699,0.6213058369941971,0.5651141512804518,0.570188229462927,True,1.214306433183765e-17
