panel,dataset,task,model,method,score_bias,score_rmse,prediction_residual
confirmation,heloc_credit_risk,binclass,onehot_linear,independent_block_u64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_cross64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,ordinal_forest,independent_block_u64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,native_histgb,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,native_histgb,independent_block_u64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,catboost_native,disjoint_pair_cross64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,catboost_native,independent_block_u64,-1.1252154691887561e-06,0.00010241529066748243,1.1864331980748766e-06
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,independent_block_u64,1.5913754545793246e-06,0.00017002466193179644,2.4932924100051768e-05
confirmation,kdd17_stock_direction,binclass,onehot_linear,disjoint_pair_cross64,7.893019571270088e-12,2.82463386260622e-09,7.897127396461201e-12
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_block_u64,1.566938800934281e-10,3.0069144462575236e-09,1.5669887609703892e-10
confirmation,kdd17_stock_direction,binclass,ordinal_forest,disjoint_pair_cross64,-4.812952891397604e-06,0.0001482196459849917,2.3385870137671017e-05
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_block_u64,1.9101491137152316e-06,0.0001564953201728609,3.554129872979095e-05
confirmation,kdd17_stock_direction,binclass,native_histgb,disjoint_pair_cross64,3.6691205629324486e-12,5.014897126248133e-10,3.670230785957074e-12
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_block_u64,-9.43511935247443e-12,5.188779735790401e-10,-9.434064640601036e-12
confirmation,kdd17_stock_direction,binclass,catboost_native,disjoint_pair_cross64,3.324958889772134e-06,7.908430942953697e-05,8.887146935199208e-06
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_block_u64,1.2614785513398452e-06,8.114123811376972e-05,7.844107630772257e-06
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,disjoint_pair_cross64,1.9333469145510485e-05,0.0010924784808061133,0.00017114103587367868
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_block_u64,-7.35829439379998e-06,0.0011720015149167488,0.0001679181585615419
confirmation,kdd17_stock_return,regression,onehot_linear,disjoint_pair_cross64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
confirmation,kdd17_stock_return,regression,onehot_linear,independent_block_u64,1.1102230246251565e-16,1.241388406673936e-16,5.551115123125783e-17
confirmation,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_cross64,3.162583410876163e-06,0.0001190766090014371,2.25374573885051e-05
confirmation,kdd17_stock_return,regression,ordinal_forest,independent_block_u64,-2.567148895959992e-06,0.00014556546520383648,2.6371233061039945e-05
confirmation,kdd17_stock_return,regression,native_histgb,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,kdd17_stock_return,regression,native_histgb,independent_block_u64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
confirmation,kdd17_stock_return,regression,catboost_native,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
confirmation,kdd17_stock_return,regression,catboost_native,independent_block_u64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_cross64,1.3051261611440879e-06,0.0003384584116550081,5.9839214618440106e-05
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,independent_block_u64,3.6489793460992015e-05,0.00039863732307509226,0.00012330253003445257
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_block_u64,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,disjoint_pair_cross64,-2.0816681711721685e-17,2.9446427060073916e-17,-2.0816681711721685e-17
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_block_u64,-2.0816681711721685e-17,2.9446427060073916e-17,-2.0816681711721685e-17
confirmation,polish_bankruptcy_1year,binclass,native_histgb,disjoint_pair_cross64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_block_u64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
confirmation,polish_bankruptcy_1year,binclass,catboost_native,disjoint_pair_cross64,6.938893903907228e-18,9.815475686691304e-18,6.938893903907228e-18
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_block_u64,6.938893903907228e-18,9.815475686691304e-18,6.938893903907228e-18
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_block_u64,2.1842028499224897e-05,0.002955393225442798,6.531820150476597e-05
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_block_u64,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_block_u64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_2year,binclass,native_histgb,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_block_u64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_2year,binclass,catboost_native,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_block_u64,6.938893903907228e-18,6.938893903907228e-18,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_block_u64,5.707428210599552e-08,0.00016240602055429883,3.5659826514156112e-06
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_block_u64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_block_u64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_cross64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_block_u64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
confirmation,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_cross64,-1.3877787807814457e-17,1.963095137338261e-17,-1.3877787807814457e-17
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_block_u64,-1.3877787807814457e-17,1.963095137338261e-17,-1.3877787807814457e-17
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_block_u64,-1.0055156281413291e-05,0.0002107360656368393,-6.864818196367084e-06
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,disjoint_pair_cross64,-2.7755575615628914e-17,3.926190274676522e-17,-2.7755575615628914e-17
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_block_u64,-2.7755575615628914e-17,3.926190274676522e-17,-2.7755575615628914e-17
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_block_u64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_4year,binclass,native_histgb,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_block_u64,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_block_u64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_block_u64,-4.298303226218936e-05,0.0024745378394639118,1.2308891066487027e-05
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,independent_block_u64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,independent_block_u64,1.3877787807814457e-17,3.1043808142370027e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_5year,binclass,native_histgb,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_5year,binclass,native_histgb,independent_block_u64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_5year,binclass,catboost_native,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_5year,binclass,catboost_native,independent_block_u64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,disjoint_pair_cross64,0.0,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,independent_block_u64,3.6192981926447265e-05,0.0012471012207450516,0.00010030973119676267
menu_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_cross64,2.410903698901734e-10,2.503000992276874e-09,2.4109791940674086e-10
menu_repeat,compustat_kor_direction,binclass,onehot_linear,independent_block_u64,-7.518030642472695e-11,2.6734372573881797e-09,-7.517109157362256e-11
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_cross64,-4.7358487211823785e-06,0.00012874490255913252,1.641598942114797e-05
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_block_u64,4.323796731542373e-06,0.00013536167501981765,2.9237545456695102e-05
menu_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_cross64,2.268905755775652e-06,9.29973875804436e-05,5.125464038302496e-06
menu_repeat,compustat_kor_direction,binclass,native_histgb,independent_block_u64,-1.408979423966894e-06,0.00010311771022940819,2.122784904912134e-06
menu_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_cross64,-3.245825367426125e-06,8.33842954270851e-05,2.4027878930965585e-06
menu_repeat,compustat_kor_direction,binclass,catboost_native,independent_block_u64,-2.3241812185381683e-06,9.147866971721981e-05,4.557371151792111e-06
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_cross64,2.338145958902249e-06,0.0001273600979421178,1.7585438105427453e-05
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_block_u64,-1.7102204992180958e-06,0.00013630282320234997,1.6503091677666504e-05
menu_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
menu_repeat,credit_card_default,binclass,onehot_linear,independent_block_u64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
menu_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_cross64,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,independent_block_u64,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_cross64,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,independent_block_u64,-9.965458069860489e-09,4.98043587138298e-07,-9.509643239535848e-09
menu_repeat,credit_card_default,binclass,catboost_native,disjoint_pair_cross64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,credit_card_default,binclass,catboost_native,independent_block_u64,-5.819480070612393e-07,3.651743086119815e-05,1.573724201064941e-06
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_cross64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_block_u64,-3.3096515871244847e-06,0.00010516432265561083,1.4416951456930338e-05
menu_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pair_cross64,-2.168404344971009e-19,3.0673361520910326e-19,-2.168404344971009e-19
menu_repeat,credit_card_fraud,binclass,onehot_linear,independent_block_u64,-2.168404344971009e-19,3.0673361520910326e-19,-2.168404344971009e-19
menu_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_cross64,4.336808689942018e-19,6.134672304182065e-19,4.336808689942018e-19
menu_repeat,credit_card_fraud,binclass,ordinal_forest,independent_block_u64,4.336808689942018e-19,6.134672304182065e-19,4.336808689942018e-19
menu_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pair_cross64,-2.168404344971009e-19,3.0673361520910326e-19,-2.168404344971009e-19
menu_repeat,credit_card_fraud,binclass,native_histgb,independent_block_u64,7.317837640366531e-08,1.0774856516452354e-06,7.719043533874204e-08
menu_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pair_cross64,8.673617379884035e-19,1.226934460836413e-18,8.673617379884035e-19
menu_repeat,credit_card_fraud,binclass,catboost_native,independent_block_u64,-1.4458627525175231e-07,2.1333999435976627e-06,-1.2821267741805822e-07
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_cross64,2.168404344971009e-19,3.0673361520910326e-19,2.168404344971009e-19
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_block_u64,-2.1763084652047689e-07,3.8771103035315525e-06,-8.23693575254577e-08
menu_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
menu_repeat,heloc_credit_risk,binclass,onehot_linear,independent_block_u64,-2.220446049250313e-16,2.482776813347872e-16,-5.551115123125783e-17
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_cross64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_block_u64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pair_cross64,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,independent_block_u64,5.551115123125783e-17,5.551115123125783e-17,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,disjoint_pair_cross64,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,independent_block_u64,-5.032870882992757e-06,8.392053283911813e-05,3.8906920613035467e-07
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair_cross64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,independent_block_u64,-7.28488202356159e-06,0.00010088670950037918,2.028285993932455e-05
menu_repeat,kdd17_stock_return,regression,onehot_linear,disjoint_pair_cross64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,kdd17_stock_return,regression,onehot_linear,independent_block_u64,1.1102230246251565e-16,1.241388406673936e-16,5.551115123125783e-17
menu_repeat,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_cross64,2.1211783458596756e-06,9.71514129750585e-05,2.1466524288416e-05
menu_repeat,kdd17_stock_return,regression,ordinal_forest,independent_block_u64,7.230437511496213e-07,0.00011343564382816324,2.9371625502372378e-05
menu_repeat,kdd17_stock_return,regression,native_histgb,disjoint_pair_cross64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,kdd17_stock_return,regression,native_histgb,independent_block_u64,5.551115123125783e-17,7.852380549353044e-17,5.551115123125783e-17
menu_repeat,kdd17_stock_return,regression,catboost_native,disjoint_pair_cross64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
menu_repeat,kdd17_stock_return,regression,catboost_native,independent_block_u64,1.1102230246251565e-16,1.5704761098706087e-16,1.1102230246251565e-16
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_cross64,-1.7078744273979485e-05,0.00032044448161455143,5.1648205288634674e-05
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,independent_block_u64,-9.093975908480711e-06,0.0004053350641468426,9.130004991225737e-05
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_cross64,2.7755575615628914e-17,3.926190274676522e-17,2.7755575615628914e-17
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,independent_block_u64,4.163336342344337e-17,5.004459990338686e-17,2.7755575615628914e-17
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_cross64,-1.3877787807814457e-17,1.963095137338261e-17,-1.3877787807814457e-17
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,independent_block_u64,-1.3877787807814457e-17,1.963095137338261e-17,-1.3877787807814457e-17
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_cross64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,independent_block_u64,-6.938893903907228e-18,9.815475686691304e-18,-6.938893903907228e-18
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_cross64,1.3877787807814457e-17,1.963095137338261e-17,1.3877787807814457e-17
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,independent_block_u64,-1.2630444982952849e-07,1.1578272032252637e-05,1.3869821126333282e-07
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_cross64,-2.7755575615628914e-17,3.926190274676522e-17,-2.7755575615628914e-17
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_block_u64,3.809003478863482e-06,0.00022432022394841626,7.040997366716817e-06
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_cross64,4.319089530469e-11,3.4939135052297947e-09,4.3196335397510666e-11
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,independent_block_u64,-5.4998228193881005e-11,3.844563397853836e-09,-5.4991677878035716e-11
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_cross64,-7.394432870455603e-07,0.00018935788028199375,2.0522943550815853e-05
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_block_u64,3.189623648092166e-06,0.00020338947371511168,2.806336861949088e-05
subsample_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_cross64,-5.810308023601607e-07,4.691293660484002e-05,1.35809989404434e-06
subsample_repeat,compustat_kor_direction,binclass,native_histgb,independent_block_u64,1.214632791513015e-06,5.659020059830223e-05,3.599074737736796e-06
subsample_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_cross64,4.925756094120715e-07,7.121607845202334e-05,6.008193492057501e-06
subsample_repeat,compustat_kor_direction,binclass,catboost_native,independent_block_u64,1.1517458290977167e-06,7.821700614543579e-05,7.691189828684664e-06
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_cross64,-7.478096098911813e-06,0.00014562366028087883,1.1618070154595372e-05
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_block_u64,-8.329567422471484e-06,0.00015989950616622064,1.3918215696850922e-05
subsample_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_cross64,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_linear,independent_block_u64,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_cross64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
subsample_repeat,credit_card_default,binclass,ordinal_forest,independent_block_u64,-1.1102230246251565e-16,1.5704761098706087e-16,-1.1102230246251565e-16
subsample_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_cross64,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,independent_block_u64,5.139497494255352e-09,5.477558238826982e-07,5.830472327161829e-09
subsample_repeat,credit_card_default,binclass,catboost_native,disjoint_pair_cross64,-5.551115123125783e-17,7.852380549353044e-17,-5.551115123125783e-17
subsample_repeat,credit_card_default,binclass,catboost_native,independent_block_u64,5.345964418368432e-07,3.5100110971121296e-05,1.6658614666043015e-06
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_cross64,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_block_u64,-3.0141598388877533e-06,0.00017638115171869016,1.550253636523058e-05
subsample_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pair_cross64,-6.505213034913027e-19,9.202008456273099e-19,-6.505213034913027e-19
subsample_repeat,credit_card_fraud,binclass,onehot_linear,independent_block_u64,-6.505213034913027e-19,9.202008456273099e-19,-6.505213034913027e-19
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_cross64,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,independent_block_u64,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pair_cross64,2.168404344971009e-19,3.0673361520910326e-19,2.168404344971009e-19
subsample_repeat,credit_card_fraud,binclass,native_histgb,independent_block_u64,-1.1616462871700053e-07,3.94427934240487e-06,-8.265230606397181e-08
subsample_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pair_cross64,-1.0842021724855044e-19,1.5336680760455163e-19,-1.0842021724855044e-19
subsample_repeat,credit_card_fraud,binclass,catboost_native,independent_block_u64,-5.626526229922813e-08,2.0762687826557043e-06,-3.671045034462934e-08
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_cross64,2.168404344971009e-19,3.0673361520910326e-19,2.168404344971009e-19
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_block_u64,-8.132567811040912e-07,2.004547415856058e-05,-3.1576206766165994e-07
