panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error
confirmation,heloc_credit_risk,binclass,onehot_linear,independent_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_mean32,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,ordinal_forest,independent_pair_mean32,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,native_histgb,disjoint_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,native_histgb,independent_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,catboost_native,disjoint_pair_mean32,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,catboost_native,independent_pair_mean32,32,9.142204138612442e-06,0.00013858147743816643,4.661713203062146e-06,0.00031785886998547674
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,independent_pair_mean32,32,4.149775043049697e-05,0.00024826686096221246,4.735832589723899e-05,0.0008046284849192453
confirmation,kdd17_stock_direction,binclass,onehot_linear,disjoint_pair_mean32,128,8.612599522450637e-11,3.731147385548491e-09,8.24741357183546e-15,1.3079320959619167e-08
confirmation,kdd17_stock_direction,binclass,onehot_linear,independent_pair_mean32,128,2.2582491432387997e-11,4.22125151013302e-09,9.719458698761403e-15,1.3079320959619167e-08
confirmation,kdd17_stock_direction,binclass,ordinal_forest,disjoint_pair_mean32,128,5.333742553437215e-05,0.0002153569137412593,5.637865758148546e-05,0.0006557473863413876
confirmation,kdd17_stock_direction,binclass,ordinal_forest,independent_pair_mean32,128,6.54271497307346e-05,0.00023472307339763185,6.76770385485874e-05,0.0006198640373850095
confirmation,kdd17_stock_direction,binclass,native_histgb,disjoint_pair_mean32,128,9.436951220465062e-12,7.032320071985016e-10,2.0032262013087383e-15,1.073509947602247e-09
confirmation,kdd17_stock_direction,binclass,native_histgb,independent_pair_mean32,128,-3.142819338108893e-12,7.660995680228728e-10,2.377405127293514e-15,1.073509947602247e-09
confirmation,kdd17_stock_direction,binclass,catboost_native,disjoint_pair_mean32,128,1.015583259489361e-05,0.00011281190833092574,1.1247773477299958e-05,0.00038978474319945056
confirmation,kdd17_stock_direction,binclass,catboost_native,independent_pair_mean32,128,1.1289087158916633e-05,0.000122276452692396,1.3099610912130455e-05,0.00038978474319945056
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32,128,0.0003145810651322689,0.0015240812377565658,0.00030017533937464716,0.006316387197158213
confirmation,kdd17_stock_direction,binclass,onehot_adam_mlp,independent_pair_mean32,128,0.0002953305481097068,0.0016477961421383993,0.00034633676759018904,0.006823495789422429
confirmation,kdd17_stock_return,regression,onehot_linear,disjoint_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_linear,independent_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_mean32,64,5.0660304681537927e-05,0.00017181452344498853,3.853077650866589e-05,0.0005433596425496456
confirmation,kdd17_stock_return,regression,ordinal_forest,independent_pair_mean32,64,7.099016290523785e-05,0.00021968763018882908,5.863154345967746e-05,0.0007930101640891141
confirmation,kdd17_stock_return,regression,native_histgb,disjoint_pair_mean32,64,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,native_histgb,independent_pair_mean32,64,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,disjoint_pair_mean32,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,catboost_native,independent_pair_mean32,64,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_mean32,64,0.00012045042668201722,0.0005034908512937526,0.00011576094497442545,0.0014870071902363113
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,independent_pair_mean32,64,0.0001638554709980089,0.0005946825096793922,0.00017542540107300325,0.0018188586013009322
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,disjoint_pair_mean32,32,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_pair_mean32,32,-2.0816681711721685e-17,2.9446427060073916e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,disjoint_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,disjoint_pair_mean32,32,6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_pair_mean32,32,6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,3.856422944118211e-37,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_pair_mean32,32,8.165690882971921e-05,0.004145268736845187,8.662170388108253e-05,0.012943057129085805
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,0.0,0.0,7.351415705558101e-52,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_pair_mean32,32,8.122875300539678e-06,0.00023090746782525,7.025777758945701e-06,0.0005386638009722694
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_mean32,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_pair_mean32,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,0.0,0.0,3.489602360936838e-60,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_pair_mean32,32,1.790382121211187e-06,0.0003163153995031791,6.573056273283404e-06,0.0009781949579159566
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,disjoint_pair_mean32,32,-2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_pair_mean32,32,-2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_pair_mean32,32,0.0,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,3.130769159623136e-38,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_pair_mean32,32,0.00013760539903337476,0.0035737595427771268,0.00011508531393873006,0.009878496115350521
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,independent_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,independent_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,0.0,0.0,1.090098044937115e-35,0.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,independent_pair_mean32,32,0.0001526938289501678,0.0018674979378745184,0.00013272473654660943,0.005130064034356119
menu_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32,128,1.0164313835048233e-10,3.4861093869879616e-09,1.5249984363398654e-14,8.809527773934178e-09
menu_repeat,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32,128,7.539069368789342e-11,3.868596557981457e-09,1.8338501781640984e-14,8.809577844992589e-09
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32,128,4.343939438133937e-05,0.0001845279666570795,4.17058032557859e-05,0.0005842146877732546
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32,128,4.500072487934048e-05,0.00020533661396392533,4.9654522774591624e-05,0.0007317702942395421
menu_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32,128,3.1893957060935563e-06,0.00013036225578850008,5.907816149633464e-06,0.00037078798950512804
menu_repeat,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32,128,-2.443010490016384e-07,0.0001445892574260363,7.044721879372834e-06,0.0004039949245244201
menu_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32,128,1.8851979359413296e-05,0.00011927268919704842,1.1529440454783632e-05,0.0004527539446779194
menu_repeat,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32,128,2.0151980510862977e-05,0.00012850901263256975,1.3484010420355e-05,0.0004527539446779194
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32,128,3.611305191303371e-05,0.0001842983739616692,3.110443988297718e-05,0.0006696635156682174
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32,128,3.8961747487853415e-05,0.0002118062583928065,3.6047711917467986e-05,0.0007781628793259165
menu_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_linear,independent_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,ordinal_forest,independent_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,credit_card_default,binclass,native_histgb,independent_pair_mean32,32,1.0868343280900916e-08,6.858386793372321e-07,8.710597228174155e-10,1.921849218211591e-06
menu_repeat,credit_card_default,binclass,catboost_native,disjoint_pair_mean32,32,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,credit_card_default,binclass,catboost_native,independent_pair_mean32,32,4.627393499379018e-06,4.8502464054864906e-05,4.292738072914905e-06,0.00017378498956505117
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_pair_mean32,32,4.002346111575683e-05,0.00015667733552764967,3.5352894221433835e-05,0.00047519808751844694
menu_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pair_mean32,32,-2.168404344971009e-19,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,onehot_linear,independent_pair_mean32,32,-2.168404344971009e-19,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_mean32,32,4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,ordinal_forest,independent_pair_mean32,32,4.336808689942018e-19,6.134672304182065e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pair_mean32,32,-2.168404344971009e-19,3.0673361520910326e-19,0.0,0.0
menu_repeat,credit_card_fraud,binclass,native_histgb,independent_pair_mean32,32,1.9078982274904274e-08,1.6075468395240528e-06,7.966837246879461e-09,3.1573247378405105e-06
menu_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pair_mean32,32,8.673617379884035e-19,1.226934460836413e-18,0.0,0.0
menu_repeat,credit_card_fraud,binclass,catboost_native,independent_pair_mean32,32,-8.585689907723154e-08,3.025903435119601e-06,3.247480450613258e-08,7.993745716442565e-06
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,2.168404344971009e-19,3.0673361520910326e-19,8.947902841067475e-89,0.0
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair_mean32,32,1.0704033578988817e-08,5.490257610108524e-06,2.661472773390006e-07,1.3476854020301422e-05
menu_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_linear,independent_pair_mean32,32,-5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_mean32,32,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_pair_mean32,32,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,native_histgb,independent_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,catboost_native,independent_pair_mean32,32,3.2823594204312023e-06,0.00011734799603550805,1.0778958285371702e-05,0.0003628907095308276
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,independent_pair_mean32,32,4.391644100304459e-05,0.00014795724186434056,5.485460076218587e-05,0.00047304857840524406
menu_repeat,kdd17_stock_return,regression,onehot_linear,disjoint_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_linear,independent_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,disjoint_pair_mean32,64,3.72624085255846e-05,0.00013649529028197726,3.832113631362622e-05,0.00043185094477193875
menu_repeat,kdd17_stock_return,regression,ordinal_forest,independent_pair_mean32,64,5.291525135203701e-05,0.00016666924600277472,5.8167173556474226e-05,0.0005484747025160108
menu_repeat,kdd17_stock_return,regression,native_histgb,disjoint_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,native_histgb,independent_pair_mean32,64,5.551115123125783e-17,7.852380549353044e-17,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,disjoint_pair_mean32,64,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,catboost_native,independent_pair_mean32,64,1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pair_mean32,64,0.00013736321928264905,0.00047937121923026114,0.0001340346093384336,0.001440805690774427
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,independent_pair_mean32,64,0.00024203144296708334,0.0006143149876159401,0.00020684082875033005,0.001975535979251153
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,independent_pair_mean32,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pair_mean32,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,independent_pair_mean32,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,independent_pair_mean32,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pair_mean32,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,independent_pair_mean32,32,1.8944723424035859e-06,1.6624386925652555e-05,5.18060578579661e-07,2.4539169198520283e-05
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pair_mean32,32,-2.7755575615628914e-17,3.926190274676522e-17,2.4125759564694076e-54,0.0
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_pair_mean32,32,2.0923925039786906e-05,0.0003083979685592866,6.40513154722281e-06,0.0009118354472112539
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,disjoint_pair_mean32,128,-2.0697588087870145e-10,4.914068330619868e-09,1.1233222464858617e-14,1.3363848139213985e-08
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32,128,-1.8886803232476268e-10,5.464327679868022e-09,1.3065312991444745e-14,1.3363848139213985e-08
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32,128,4.3150264996238974e-05,0.0002605431342912464,4.1583900962527726e-05,0.0008028023172444998
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32,128,4.7905516649682234e-05,0.0002844835563570882,4.998313726796285e-05,0.0010091592894754253
subsample_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32,128,3.968144243970961e-06,7.001169580689027e-05,4.052414386319321e-06,0.0002650727358834981
subsample_repeat,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32,128,3.2235230845722995e-07,7.11410811843128e-05,4.753382598304897e-06,0.0002630637963894622
subsample_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32,128,6.006823476290002e-06,0.00010040985433951633,1.0936728497683928e-05,0.00027724409540763606
subsample_repeat,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32,128,1.1757187541761027e-05,0.00011098884064876866,1.3022896919712324e-05,0.00027724409540763606
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32,128,3.628698812657705e-05,0.00021969767957357044,3.815377771122407e-05,0.0006808507203600045
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32,128,4.3696968668516245e-05,0.00023867392739688895,4.4609538995079905e-05,0.0007820121350567977
subsample_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_linear,independent_pair_mean32,32,0.0,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,independent_pair_mean32,32,-1.1102230246251565e-16,1.5704761098706087e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_mean32,32,0.0,0.0,0.0,0.0
