dataset,model,task,split,strength1_design_count,strength2_design_count,joint_risk,main_fraction,main_plus_pair_fraction,mean_member_loss,quotient_loss,iid16_residual,four_strength1_residual,four_seed_blocks_residual,strength2_residual,strength1_component_reconstruction_error,strength2_component_reconstruction_error,strength2_expected_loss,strength2_vs_iid16_reduction,strength2_vs_four_strength1_reduction,strength2_vs_seed_blocks_reduction,material,ambiguity_error
openml-bank-marketing-1461,onehot_linear,binclass,validation,3456,27648,4.7604538077778773e-14,0.2753472628249563,0.6996902564134986,0.14259464953831896,0.1425946495382714,2.9752836298611733e-15,2.477615828787677e-15,1.1901134519444693e-14,1.5884562915212887e-15,9.466330862652142e-30,3.944304526105059e-31,0.14259464953827297,0.46611601140177483,0.35887708131952945,0.8665290028504438,False,3.148147259081564e-17
openml-bank-marketing-1461,onehot_linear,binclass,test,3456,27648,4.965171528299275e-14,0.28011482878711635,0.6969234081958876,0.13813923563938513,0.13813923563933547,3.103232205187047e-15,2.5606202229815055e-15,1.2412928820748194e-14,1.6720302939108458e-15,7.888609052210118e-30,1.9721522630525295e-31,0.13813923563933714,0.4611971701260221,0.3470213665797006,0.8652992925315056,False,3.0094933673751625e-18
openml-bank-marketing-1461,ordinal_forest,binclass,validation,3456,27648,0.0012330404228584977,0.578787210341218,0.7918721070750595,0.12858644307440792,0.12735340265154946,7.70650264286561e-05,3.615241899227776e-05,0.00018939165377519575,2.8514456122312956e-05,5.421010862427522e-20,1.0164395367051604e-20,0.12738191710767177,0.6299948570223282,0.21127114264736446,0.8494418547284082,True,3.642919299551295e-17
openml-bank-marketing-1461,ordinal_forest,binclass,test,3456,27648,0.0012642008741189906,0.5925320843913859,0.7983188159744515,0.12776495035253888,0.12650074947841988,7.901255463243691e-05,3.584439878125298e-05,0.00019818740688031918,2.8329503237605683e-05,0.0,6.776263578034403e-21,0.1265290789816575,0.6414556728434697,0.20965327357025365,0.8570569962867862,True,1.951563910473908e-18
openml-bank-marketing-1461,native_histgb,binclass,validation,3456,27648,0.0011837239782898127,0.5720172475717582,0.9999999999999997,0.12401772556259973,0.12283400158430993,7.398274864311329e-05,4.221778719531515e-05,4.4140048969762714e-05,2.536962938700136e-21,8.131516293641283e-20,1.3332031629732518e-21,0.12283400158430993,1.0,0.9999999999999999,0.9999999999999999,True,1.8648277366750676e-17
openml-bank-marketing-1461,native_histgb,binclass,test,3456,27648,0.0012043178891119886,0.5686594618354728,0.9999999999999998,0.12213666338655504,0.12093234549744304,7.526986806949929e-05,4.328926053422768e-05,4.389865155929245e-05,2.8004199637982752e-21,5.421010862427522e-20,1.5562932103702569e-21,0.12093234549744304,1.0,0.9999999999999999,0.9999999999999999,True,1.4094628242311558e-17
openml-bank-marketing-1461,catboost_native,binclass,validation,3456,27648,0.00037880526480120697,0.2969354375881473,0.785423500349471,0.1263569512968698,0.1259781460320686,2.3675329050075435e-05,1.9935860151112904e-05,1.8016514809064127e-05,9.031411974470531e-06,1.3552527156068805e-20,1.6940658945086007e-21,0.12598717744404309,0.6185306672879483,0.5469765585225397,0.49871481414780516,False,1.6154612370034016e-17
openml-bank-marketing-1461,catboost_native,binclass,test,3456,27648,0.0003870629697670418,0.2963898140550381,0.7891887081705806,0.12576417452536798,0.12537711155560094,2.4191435610440114e-05,2.042853054762973e-05,1.791035040676642e-05,9.066360519546844e-06,1.3552527156068805e-20,3.3881317890172014e-21,0.1253861779161205,0.6252243700810322,0.5561912542652858,0.4937921194371704,False,3.7947076036992655e-18
openml-bank-marketing-1461,onehot_adam_mlp,binclass,validation,3456,27648,0.0050922780814630884,0.16238793686624386,0.4976713243013175,0.13266992129122768,0.1275776432097646,0.00031826738009144303,0.0002916898332851805,0.00029672965830381594,0.00022582844418964909,6.505213034913027e-19,1.6263032587282567e-19,0.12780347165395425,0.2904442669406926,0.22579254255714754,0.238942121658673,True,2.42861286636753e-17
openml-bank-marketing-1461,onehot_adam_mlp,binclass,test,3456,27648,0.005136097869638927,0.16174964524283916,0.500919139897744,0.13063052396636737,0.12549442609672845,0.00032100611685243293,0.0002949180718251262,0.00029650154399761146,0.0002260650948884579,1.0842021724855044e-18,8.131516293641283e-20,0.1257204911916169,0.29576078766006686,0.23346476026567542,0.2375584563894243,True,4.336808689942018e-18
openml-titanic-40945,onehot_linear,binclass,validation,3456,27648,1.6035432894585228e-21,0.22580645161290322,0.7096774193548387,0.035630336112647806,0.03563033611264781,1.0022145559115768e-22,9.05226050500779e-23,4.008858223646307e-22,5.172720288575881e-23,2.350988701644575e-37,5.877471754111438e-39,0.03563033611264781,0.4838709677419354,0.4285714285714285,0.8709677419354839,False,6.940497447196688e-18
openml-titanic-40945,onehot_linear,binclass,test,3456,27648,3.1941547781956057e-21,0.12550607287449395,0.6720647773279353,0.03410323289283805,0.03410323289283805,1.9963467363722536e-22,2.0367586136267521e-22,7.985386945489014e-22,1.1638620649295728e-22,4.70197740328915e-37,2.350988701644575e-38,0.03410323289283805,0.417004048582996,0.4285714285714285,0.854251012145749,False,3.1941547781956057e-21
openml-titanic-40945,ordinal_forest,binclass,validation,3456,27648,0.005877752392223833,0.8493590587568027,0.9305199905368631,0.07433442210426294,0.06845666971203909,0.0003673595245139896,6.24417824012076e-05,0.0012632819845121589,4.537625464818769e-05,2.710505431213761e-19,0.0,0.06850204596668728,0.876479983176645,0.2733030207781172,0.9640806603715555,True,1.734723475976807e-17
openml-titanic-40945,ordinal_forest,binclass,test,3456,27648,0.0059714036296435015,0.8578215759546909,0.9338948349561723,0.07508490695034684,0.06911350332070333,0.00037321272685271885,5.9785379158960045e-05,0.0012950678325769117,4.386006916454398e-05,2.439454888092385e-19,4.0657581468206416e-20,0.06915736338986787,0.8824797065887506,0.2663746591298374,0.9661329946885703,True,2.6020852139652106e-18
openml-titanic-40945,native_histgb,binclass,validation,3456,27648,0.0017781418567959367,0.9823674505322884,1.0000000000000002,0.04574221684969529,0.04396407499289936,0.00011113386604974605,2.6127645208802585e-06,0.00044453546419898424,6.776263578034403e-21,1.7279472123987727e-19,2.800407472523468e-21,0.04396407499289936,0.9999999999999999,0.9999999999999974,1.0,True,6.938893903907228e-18
openml-titanic-40945,native_histgb,binclass,test,3456,27648,0.0010290112164546565,0.9699875740016517,1.0000000000000002,0.05700440967473075,0.05597539845827611,6.431320102841603e-05,2.573593582109667e-06,0.0002572528041136642,-8.523269031746397e-21,7.792703114739563e-20,1.0949340786772256e-20,0.05597539845827611,1.0000000000000002,1.0000000000000033,1.0,True,1.431146867680866e-17
