panel,dataset,task,model,method,product_cells,score_bias,absolute_bias,score_rmse,max_absolute_score_error,clip_epsilon
confirmation,credit_card_fraud,binclass,native_histgb,independent_pair32,32,7.910242790822031e-07,7.910242790822031e-07,1.5712893244578745e-05,3.513256033031535e-05,1e-12
confirmation,credit_card_fraud,binclass,native_histgb,mutually_disjoint_pack64,32,8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,native_histgb,two_disjoint_pairs64,32,8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,catboost_native,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,catboost_native,independent_pair32,32,9.432902172016103e-07,9.432902172016103e-07,1.5539939801725558e-05,3.9245885137365565e-05,1e-12
confirmation,credit_card_fraud,binclass,catboost_native,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,catboost_native,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair32,32,-8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair32,32,3.2715079541847936e-06,3.2715079541847936e-06,6.303307064347756e-05,0.00019599822549854883,1e-12
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,-8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
confirmation,credit_card_fraud,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,-8.673617379884035e-19,8.673617379884035e-19,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_linear,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_linear,independent_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_linear,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_linear,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair32,32,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,ordinal_forest,independent_pair32,32,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,ordinal_forest,mutually_disjoint_pack64,32,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,ordinal_forest,two_disjoint_pairs64,32,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,native_histgb,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,native_histgb,independent_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,native_histgb,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,native_histgb,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,catboost_native,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,catboost_native,independent_pair32,32,1.0593504835343381e-05,1.0593504835343381e-05,0.00017350897706035567,0.0003805575699475927,1e-12
confirmation,heloc_credit_risk,binclass,catboost_native,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,catboost_native,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,disjoint_pair32,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,independent_pair32,32,5.751477183868481e-05,5.751477183868481e-05,0.0003080219876200468,0.0009603734072841652,1e-12
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,heloc_credit_risk,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1e-12
confirmation,kdd17_stock_direction,binclass,onehot_linear,disjoint_pair32,128,-1.4321333008382453e-10,1.4321333008382453e-10,3.911295316220977e-09,1.3230890383297833e-08,1e-12
