panel,dataset,task,model,method,score_bias,score_rmse,mc_standard_error
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,strength2_mean32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,iid_mean32,4.3896340059662586e-05,0.0002977969041661415,9.20449679187861e-06
confirmation,polish_bankruptcy_4year,binclass,native_histgb,strength2_jackknife32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_4year,binclass,native_histgb,iid_jackknife32,-1.2060721032991495e-09,2.1059961043296262e-07,6.581129903388229e-09
confirmation,polish_bankruptcy_4year,binclass,native_histgb,strength2_mean32,-2.7755575615628914e-17,3.926190274676522e-17,8.677855649074118e-19
confirmation,polish_bankruptcy_4year,binclass,native_histgb,iid_mean32,-1.1267416027971322e-09,2.1059540091849421e-07,6.581012084774135e-09
confirmation,polish_bankruptcy_4year,binclass,catboost_native,strength2_jackknife32,1.3877787807814457e-17,1.963095137338261e-17,4.338927824537059e-19
confirmation,polish_bankruptcy_4year,binclass,catboost_native,iid_jackknife32,-8.361478753340923e-06,0.00028722791317910745,8.972068189658674e-06
confirmation,polish_bankruptcy_4year,binclass,catboost_native,strength2_mean32,1.3877787807814457e-17,1.963095137338261e-17,4.338927824537059e-19
confirmation,polish_bankruptcy_4year,binclass,catboost_native,iid_mean32,3.9457864990613545e-05,0.0002888782705316545,8.942837789550757e-06
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,strength2_jackknife32,-0.0009255644447617173,0.008261154633462036,0.00025653567600443213
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,iid_jackknife32,-1.544907635697701e-05,0.010346946382534855,0.0003233417140307066
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,strength2_mean32,0.0014576412219736712,0.008949512208689692,0.0002759377669192667
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,iid_mean32,0.0024244577627125508,0.010788196998330163,0.00032850751369534854
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,strength2_jackknife32,-1.1102230246251565e-16,1.5704761098706087e-16,3.471142259629647e-18
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,iid_jackknife32,-9.834472125547222e-11,4.7815079592579375e-09,1.493905152776771e-10
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,strength2_mean32,-1.1102230246251565e-16,1.5704761098706087e-16,3.471142259629647e-18
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,iid_mean32,-9.833289738025996e-11,4.781507151686627e-09,1.4939049763657882e-10
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,strength2_jackknife32,-5.551115123125783e-17,7.852380549353044e-17,1.7355711298148236e-18
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,iid_jackknife32,6.800669533624237e-07,0.0003290614721856397,1.0283149045070022e-05
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,strength2_mean32,-5.551115123125783e-17,7.852380549353044e-17,1.7355711298148236e-18
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,iid_mean32,4.477372210209829e-05,0.0003318416530197856,1.0275226031958601e-05
confirmation,polish_bankruptcy_5year,binclass,native_histgb,strength2_jackknife32,0.0,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,iid_jackknife32,-1.092843914110575e-05,0.0003383805758916607,1.0568876743710341e-05
confirmation,polish_bankruptcy_5year,binclass,native_histgb,strength2_mean32,0.0,0.0,0.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,iid_mean32,3.630478781835311e-05,0.0003394041015504966,1.0545525679000045e-05
confirmation,polish_bankruptcy_5year,binclass,catboost_native,strength2_jackknife32,4.163336342344337e-17,5.889285412014783e-17,1.3016783473611178e-18
