panel,dataset,task,model,method,product_cells,score_bias,score_rmse,max_absolute_score_error
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,disjoint_pack_cross128,64,0.0,0.0,0.0
confirmation,kdd17_stock_return,regression,onehot_adam_mlp,independent_cover_u128,64,1.1319619125371716e-05,0.0002829054776177796,0.0008962571256089236
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_linear,independent_cover_u128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,disjoint_pack_cross128,32,-2.0816681711721685e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,ordinal_forest,independent_cover_u128,32,-2.0816681711721685e-17,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,disjoint_pack_cross128,32,-6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,native_histgb,independent_cover_u128,32,-6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,disjoint_pack_cross128,32,6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,catboost_native,independent_cover_u128,32,6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17
confirmation,polish_bankruptcy_1year,binclass,onehot_adam_mlp,independent_cover_u128,32,-1.0792554795219234e-05,0.00208767651780372,0.007595197003496729
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_linear,independent_cover_u128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_cover_u128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_cover_u128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_cover_u128,32,4.2279243936821365e-06,0.00012174266424492675,0.00040857554918047323
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_cover_u128,32,1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,disjoint_pack_cross128,32,-6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_cover_u128,32,-6.938893903907228e-18,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,disjoint_pack_cross128,32,-1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_cover_u128,32,-1.3877787807814457e-17,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_cover_u128,32,-1.2067380878916234e-05,0.0001494700796225885,0.00046670097530664145
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,disjoint_pack_cross128,32,-2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_cover_u128,32,-2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,disjoint_pack_cross128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_cover_u128,32,2.7755575615628914e-17,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,disjoint_pack_cross128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_cover_u128,32,0.0,0.0,0.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,disjoint_pack_cross128,32,1.3877787807814457e-17,0.0,0.0
