panel,dataset,metric,strength2_minus_iid_u32,favorable
openml_taskbalanced,openml-spambase-44,selected_quotient_test_loss,-0.00039115772203281163,True
openml_taskbalanced,openml-abalone-183,selected_realized_test_loss,-0.00012932684739286326,True
openml_taskbalanced,openml-banknote-1462,selected_realized_test_loss,-1.57386173317009e-05,True
openml_taskbalanced,openml-credit-g-31,selected_realized_test_loss,-0.00010827564675180978,True
openml_taskbalanced,openml-kin8nm-189,selected_realized_test_loss,-0.00040309583156229734,True
openml_taskbalanced,openml-pol-201,selected_realized_test_loss,-7.467083697659978e-05,True
openml_taskbalanced,openml-puma32h-308,selected_realized_test_loss,-0.003944274970368089,True
openml_taskbalanced,openml-qsar-biodeg-1494,selected_realized_test_loss,-0.0012686911137382018,True
openml_taskbalanced,openml-spambase-44,selected_realized_test_loss,-0.00014212894803308784,True
subsample_repeat,compustat_kor_direction,selection_agreement,0.0283203125,True
subsample_repeat,credit_card_default,selection_agreement,0.095703125,True
subsample_repeat,credit_card_fraud,selection_agreement,0.0,False
subsample_repeat,heloc_credit_risk,selection_agreement,0.0,False
subsample_repeat,kdd17_stock_return,selection_agreement,0.0,False
subsample_repeat,polish_bankruptcy_3year,selection_agreement,0.0,False
subsample_repeat,compustat_kor_direction,validation_quotient_regret,-2.165303699108186e-05,True
subsample_repeat,credit_card_default,validation_quotient_regret,-1.4345596786561276e-05,True
subsample_repeat,credit_card_fraud,validation_quotient_regret,0.0,False
subsample_repeat,heloc_credit_risk,validation_quotient_regret,0.0,False
subsample_repeat,kdd17_stock_return,validation_quotient_regret,0.0,False
subsample_repeat,polish_bankruptcy_3year,validation_quotient_regret,0.0,False
subsample_repeat,compustat_kor_direction,selected_quotient_test_loss,-3.223285078807203e-05,True
subsample_repeat,credit_card_default,selected_quotient_test_loss,-0.00015357500958890213,True
subsample_repeat,credit_card_fraud,selected_quotient_test_loss,0.0,False
subsample_repeat,heloc_credit_risk,selected_quotient_test_loss,0.0,False
subsample_repeat,kdd17_stock_return,selected_quotient_test_loss,0.0,False
subsample_repeat,polish_bankruptcy_3year,selected_quotient_test_loss,0.0,False
subsample_repeat,compustat_kor_direction,selected_realized_test_loss,-5.4356535535482475e-05,True
subsample_repeat,credit_card_default,selected_realized_test_loss,-0.00019365886462940907,True
subsample_repeat,credit_card_fraud,selected_realized_test_loss,4.7076811730004456e-07,False
subsample_repeat,heloc_credit_risk,selected_realized_test_loss,-4.82987478125918e-05,True
subsample_repeat,kdd17_stock_return,selected_realized_test_loss,-2.1631518992482057e-05,True
subsample_repeat,polish_bankruptcy_3year,selected_realized_test_loss,-5.802156734298347e-06,True
