panel,dataset,task,model,method,product_cells,score_rmse,prediction_residual,max_absolute_score_error
subsample_repeat,compustat_kor_direction,binclass,onehot_linear,independent_pair_mean32_independent,128,5.305910559310937e-09,1.3106417451966984e-14,1.3363848139213985e-08
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,disjoint_pair_mean32_independent,128,0.00025799243337426244,4.259550318480381e-05,0.0009133268904437664
subsample_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_pair_mean32_independent,128,0.0003009265017590019,4.978307455701977e-05,0.0010348895690101
subsample_repeat,compustat_kor_direction,binclass,native_histgb,disjoint_pair_mean32_independent,128,6.889110958269048e-05,4.116534469124056e-06,0.00026409717406916666
subsample_repeat,compustat_kor_direction,binclass,native_histgb,independent_pair_mean32_independent,128,7.390098358478077e-05,4.800612274809461e-06,0.00026578546168881667
subsample_repeat,compustat_kor_direction,binclass,catboost_native,disjoint_pair_mean32_independent,128,0.00010220570843215749,1.1030378390006519e-05,0.00027724409540763606
subsample_repeat,compustat_kor_direction,binclass,catboost_native,independent_pair_mean32_independent,128,0.00011482668152367407,1.3065242883515788e-05,0.00027724409540763606
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,128,0.0002193108903256254,3.8576625013603445e-05,0.0008338234859585625
subsample_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,independent_pair_mean32_independent,128,0.00023848921177606266,4.544801168045169e-05,0.0008738971452428856
subsample_repeat,credit_card_default,binclass,onehot_linear,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_linear,independent_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,ordinal_forest,independent_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,native_histgb,independent_pair_mean32_independent,32,7.466456498609978e-07,1.3622635574075584e-09,1.629096857191925e-06
subsample_repeat,credit_card_default,binclass,catboost_native,disjoint_pair_mean32_independent,32,7.852380549353044e-17,0.0,0.0
subsample_repeat,credit_card_default,binclass,catboost_native,independent_pair_mean32_independent,32,5.121439964540183e-05,2.197226410210091e-06,0.0001334858605700484
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_default,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,0.0002572865016245918,3.639467909589044e-05,0.0008637104363005688
subsample_repeat,credit_card_fraud,binclass,onehot_linear,disjoint_pair_mean32_independent,32,9.202008456273099e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,onehot_linear,independent_pair_mean32_independent,32,9.202008456273099e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,ordinal_forest,independent_pair_mean32_independent,32,0.0,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,native_histgb,disjoint_pair_mean32_independent,32,3.0673361520910326e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,native_histgb,independent_pair_mean32_independent,32,5.6960373551644195e-06,6.828752932912224e-08,1.429141858105506e-05
subsample_repeat,credit_card_fraud,binclass,catboost_native,disjoint_pair_mean32_independent,32,1.5336680760455163e-19,0.0,0.0
subsample_repeat,credit_card_fraud,binclass,catboost_native,independent_pair_mean32_independent,32,2.9443555454926637e-06,3.9414498805424854e-08,7.997152511254315e-06
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,disjoint_pair_mean32_independent,32,3.0673361520910326e-19,1.1335333996500762e-67,0.0
subsample_repeat,credit_card_fraud,binclass,onehot_adam_mlp,independent_pair_mean32_independent,32,2.8522280293341996e-05,9.49268690377745e-07,7.803054775967137e-05
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,onehot_linear,independent_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,ordinal_forest,independent_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,native_histgb,disjoint_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
subsample_repeat,heloc_credit_risk,binclass,native_histgb,independent_pair_mean32_independent,32,1.5704761098706087e-16,0.0,0.0
