dataset,split_seed,model,method,target_loss,mean_score,bias,rmse,ordinary_bias
heloc_credit_risk,2026082821,tabm,iid_cross32,0.365986761344936,0.36600914316790834,2.2381822972317167e-05,0.00030949551771925713,6.0205268056168215e-05
heloc_credit_risk,2026082821,mlp,strength2_cross32,0.3664586028357787,0.36646507016432,6.467328541315265e-06,0.00010338706628634301,1.138612388429383e-05
heloc_credit_risk,2026082821,resnet,strength2_cross32,0.408316409874389,0.40830490600146685,-1.1503872922147274e-05,0.0012194837251590436,0.0003816346928371406
heloc_credit_risk,2026082821,ft_transformer,strength2_cross32,0.39177455675205497,0.3915913827433106,-0.00018317400874434675,0.0024146327682666112,0.001054323699514137
heloc_credit_risk,2026082821,tabm,strength2_cross32,0.365986761344936,0.3659881037641881,1.3424192520927747e-06,7.78009846423101e-05,6.604653756236978e-06
lendingclub_loan_default,2026082801,mlp,iid_cross32,0.257183564023915,0.2571881465515844,4.582527669383385e-06,0.0003392812775607091,2.991174145189346e-05
lendingclub_loan_default,2026082801,resnet,iid_cross32,0.280706283936019,0.28070323301392225,-3.050922096736741e-06,0.00136384191606702,0.00029406465620168687
lendingclub_loan_default,2026082801,ft_transformer,iid_cross32,0.27292210977876796,0.27295375273556777,3.1642956799804445e-05,0.0016816496299406666,0.001048137923344572
lendingclub_loan_default,2026082801,tabm,iid_cross32,0.2602963871979934,0.26029752276748064,1.1355694872206001e-06,0.0003823713264791913,2.2910844585111168e-05
lendingclub_loan_default,2026082801,mlp,strength2_cross32,0.257183564023915,0.257176729298276,-6.834725639004446e-06,0.00014703454196319775,4.6127976988108443e-07
lendingclub_loan_default,2026082801,resnet,strength2_cross32,0.280706283936019,0.28075760236454256,5.131842852357238e-05,0.000734374713084598,0.00021123959825791738
lendingclub_loan_default,2026082801,ft_transformer,strength2_cross32,0.27292210977876796,0.27288596093982237,-3.614883894559329e-05,0.001675180412535324,0.0007594213032021679
lendingclub_loan_default,2026082801,tabm,strength2_cross32,0.2602963871979934,0.2602895848620036,-6.802335989819497e-06,0.00011826715512999163,-1.7248279053916349e-06
lendingclub_loan_default,2026082811,mlp,iid_cross32,0.2587682936529919,0.25877198442910376,3.690776111842098e-06,0.00020773629116097768,2.099905978730776e-05
lendingclub_loan_default,2026082811,resnet,iid_cross32,0.2993656674181008,0.2993079634273569,-5.770399074389587e-05,0.0015885619126157497,0.00023169438694353728
lendingclub_loan_default,2026082811,ft_transformer,iid_cross32,0.3001416574653531,0.300098038271125,-4.361919422807281e-05,0.0020988319855018804,0.0008147876927839803
lendingclub_loan_default,2026082811,tabm,iid_cross32,0.2616558067628175,0.2616376110914719,-1.819567134564437e-05,0.0002453260589628368,-3.569162643213275e-06
lendingclub_loan_default,2026082811,mlp,strength2_cross32,0.2587682936529919,0.2587756570208547,7.363367862778247e-06,0.00010475957773569101,1.2167976265686775e-05
lendingclub_loan_default,2026082811,resnet,strength2_cross32,0.2993656674181008,0.29936522918789993,-4.382302008498762e-07,0.0007480831767670466,0.00014469226328917006
lendingclub_loan_default,2026082811,ft_transformer,strength2_cross32,0.3001416574653531,0.30004223369417016,-9.942377118293821e-05,0.0017377349582800062,0.000573672480504106
lendingclub_loan_default,2026082811,tabm,strength2_cross32,0.2616558067628175,0.26165708969782353,1.282935006008401e-06,0.00014816911290870455,6.2857316448505784e-06
lendingclub_loan_default,2026082821,mlp,iid_cross32,0.2559013766258108,0.2559084586049488,7.081979138012784e-06,0.00026904428236455233,2.7832886804524115e-05
lendingclub_loan_default,2026082821,resnet,iid_cross32,0.29386753487420864,0.29400306637010987,0.00013553149590123104,0.0013267846508941005,0.0004835886604491191
lendingclub_loan_default,2026082821,ft_transformer,iid_cross32,0.30502419796056923,0.3048091608386142,-0.00021503712195503066,0.0026489040869624413,0.001043570289703033
lendingclub_loan_default,2026082821,tabm,iid_cross32,0.2549405941553538,0.25493589018954865,-4.7039658051528654e-06,0.00020910503828884783,9.67288575964842e-06
lendingclub_loan_default,2026082821,mlp,strength2_cross32,0.2559013766258108,0.25590154617410077,1.6954828996329496e-07,0.0001420757143321913,6.2207727959395775e-06
lendingclub_loan_default,2026082821,resnet,strength2_cross32,0.29386753487420864,0.29391353731357683,4.600243936819792e-05,0.0008872010360681789,0.00024008526434055044
lendingclub_loan_default,2026082821,ft_transformer,strength2_cross32,0.30502419796056923,0.30502787925409264,3.6812935234054045e-06,0.0026724317187121023,0.0009986709952640171
