panel,dataset,task,model,component,cover_minus_iid
menu_repeat,heloc_credit_risk,binclass,native_histgb,residual_aligned_variance,-6.086457657152115e-11
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,residual_aligned_variance,-7.119300914014214e-08
menu_repeat,heloc_credit_risk,binclass,onehot_linear,residual_aligned_variance,-4.704991961894435e-18
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,residual_aligned_variance,-3.96971303383909e-08
menu_repeat,kdd17_stock_return,regression,catboost_native,residual_aligned_variance,-4.187966137750143e-08
menu_repeat,kdd17_stock_return,regression,native_histgb,residual_aligned_variance,-6.566048389079587e-08
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,residual_aligned_variance,-7.685988303438179e-07
menu_repeat,kdd17_stock_return,regression,onehot_linear,residual_aligned_variance,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,residual_aligned_variance,-3.3247643319578235e-08
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,residual_aligned_variance,-2.728270491835528e-08
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,residual_aligned_variance,-6.0378280747799685e-09
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,residual_aligned_variance,-1.0739202418796555e-05
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,residual_aligned_variance,-1.9159628999001277e-19
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,residual_aligned_variance,-5.396291096122961e-09
menu_repeat,compustat_kor_direction,binclass,catboost_native,covariance_self_interaction_variance,-3.7215412423169074e-11
menu_repeat,compustat_kor_direction,binclass,native_histgb,covariance_self_interaction_variance,-2.1734210720212236e-10
menu_repeat,compustat_kor_direction,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-9.74828566025944e-10
menu_repeat,compustat_kor_direction,binclass,onehot_linear,covariance_self_interaction_variance,-1.891950949783675e-28
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,covariance_self_interaction_variance,3.950089397420006e-11
menu_repeat,credit_card_default,binclass,catboost_native,covariance_self_interaction_variance,-4.575842069196457e-11
menu_repeat,credit_card_default,binclass,native_histgb,covariance_self_interaction_variance,-6.338551135500078e-10
menu_repeat,credit_card_default,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.663076763105479e-09
menu_repeat,credit_card_default,binclass,onehot_linear,covariance_self_interaction_variance,-7.675088405266322e-40
menu_repeat,credit_card_default,binclass,ordinal_forest,covariance_self_interaction_variance,-3.7675225272107857e-10
menu_repeat,credit_card_fraud,binclass,catboost_native,covariance_self_interaction_variance,-1.4040771545207538e-13
menu_repeat,credit_card_fraud,binclass,native_histgb,covariance_self_interaction_variance,-1.1630872410246504e-12
menu_repeat,credit_card_fraud,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.6455791538221282e-12
menu_repeat,credit_card_fraud,binclass,onehot_linear,covariance_self_interaction_variance,-2.01761044253758e-40
menu_repeat,credit_card_fraud,binclass,ordinal_forest,covariance_self_interaction_variance,-1.6678577578887932e-14
menu_repeat,heloc_credit_risk,binclass,catboost_native,covariance_self_interaction_variance,-5.661809445343697e-10
menu_repeat,heloc_credit_risk,binclass,native_histgb,covariance_self_interaction_variance,-1.3830046503086796e-15
menu_repeat,heloc_credit_risk,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.784119935907275e-09
menu_repeat,heloc_credit_risk,binclass,onehot_linear,covariance_self_interaction_variance,-2.9255355891555393e-30
menu_repeat,heloc_credit_risk,binclass,ordinal_forest,covariance_self_interaction_variance,-9.626618766074043e-10
menu_repeat,kdd17_stock_return,regression,catboost_native,covariance_self_interaction_variance,-1.2358517405238264e-10
menu_repeat,kdd17_stock_return,regression,native_histgb,covariance_self_interaction_variance,-2.8992709400691956e-10
menu_repeat,kdd17_stock_return,regression,onehot_adam_mlp,covariance_self_interaction_variance,-8.588288315975579e-08
menu_repeat,kdd17_stock_return,regression,onehot_linear,covariance_self_interaction_variance,0.0
menu_repeat,kdd17_stock_return,regression,ordinal_forest,covariance_self_interaction_variance,5.327867629702451e-11
menu_repeat,polish_bankruptcy_3year,binclass,catboost_native,covariance_self_interaction_variance,-1.175512659574326e-10
menu_repeat,polish_bankruptcy_3year,binclass,native_histgb,covariance_self_interaction_variance,-6.704902084878525e-11
menu_repeat,polish_bankruptcy_3year,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.776499830217541e-08
menu_repeat,polish_bankruptcy_3year,binclass,onehot_linear,covariance_self_interaction_variance,-1.857075570987624e-31
menu_repeat,polish_bankruptcy_3year,binclass,ordinal_forest,covariance_self_interaction_variance,-4.532183870127159e-11
openml_external,openml-blood-transfusion-1464,binclass,native_histgb,residual_aligned_variance,-5.353637900149193e-10
openml_external,openml-blood-transfusion-1464,binclass,onehot_adam_mlp,residual_aligned_variance,-0.00021098715108781648
openml_external,openml-blood-transfusion-1464,binclass,onehot_linear,residual_aligned_variance,0.0
openml_external,openml-blood-transfusion-1464,binclass,ordinal_forest,residual_aligned_variance,-1.548891852713751e-07
openml_external,openml-breast-w-15,binclass,native_histgb,residual_aligned_variance,0.0
openml_external,openml-breast-w-15,binclass,onehot_adam_mlp,residual_aligned_variance,-0.00035335376553659
openml_external,openml-breast-w-15,binclass,onehot_linear,residual_aligned_variance,-5.687332869645347e-27
openml_external,openml-breast-w-15,binclass,ordinal_forest,residual_aligned_variance,-1.5377242753000357e-07
openml_external,openml-ilpd-1480,binclass,native_histgb,residual_aligned_variance,-6.8759904607944085e-09
openml_external,openml-ilpd-1480,binclass,onehot_adam_mlp,residual_aligned_variance,-6.507898538603745e-06
openml_external,openml-ilpd-1480,binclass,onehot_linear,residual_aligned_variance,-1.1135870494347231e-20
openml_external,openml-ilpd-1480,binclass,ordinal_forest,residual_aligned_variance,-6.077550265839706e-07
openml_external,openml-kc1-1067,binclass,native_histgb,residual_aligned_variance,-6.628440944093123e-09
openml_external,openml-kc1-1067,binclass,onehot_adam_mlp,residual_aligned_variance,-1.992514167907397e-07
openml_external,openml-kc1-1067,binclass,onehot_linear,residual_aligned_variance,-2.6221753900451117e-18
openml_external,openml-kc1-1067,binclass,ordinal_forest,residual_aligned_variance,-5.256183140673896e-08
openml_external,openml-mammography-310,binclass,native_histgb,residual_aligned_variance,0.0
openml_external,openml-mammography-310,binclass,onehot_adam_mlp,residual_aligned_variance,-6.421013336278952e-08
openml_external,openml-mammography-310,binclass,onehot_linear,residual_aligned_variance,-2.804817889818139e-28
openml_external,openml-mammography-310,binclass,ordinal_forest,residual_aligned_variance,-1.6787074423206476e-09
openml_external,openml-pc4-1049,binclass,native_histgb,residual_aligned_variance,-2.8978946418955846e-10
openml_external,openml-pc4-1049,binclass,onehot_adam_mlp,residual_aligned_variance,-6.803192621623442e-07
openml_external,openml-pc4-1049,binclass,onehot_linear,residual_aligned_variance,-2.0584678981256731e-25
openml_external,openml-pc4-1049,binclass,ordinal_forest,residual_aligned_variance,-6.782987052281443e-08
openml_external,openml-sonar-40,binclass,native_histgb,residual_aligned_variance,-3.614949630271185e-13
openml_external,openml-sonar-40,binclass,onehot_adam_mlp,residual_aligned_variance,-0.00011479565978361129
openml_external,openml-sonar-40,binclass,onehot_linear,residual_aligned_variance,-2.6602138935845636e-61
openml_external,openml-sonar-40,binclass,ordinal_forest,residual_aligned_variance,-2.459463335218466e-06
openml_external,openml-wdbc-1510,binclass,native_histgb,residual_aligned_variance,-1.7599142886389317e-08
openml_external,openml-wdbc-1510,binclass,onehot_adam_mlp,residual_aligned_variance,-0.00011750946174338027
openml_external,openml-wdbc-1510,binclass,onehot_linear,residual_aligned_variance,-7.303058900568248e-59
openml_external,openml-wdbc-1510,binclass,ordinal_forest,residual_aligned_variance,-1.6049339117083537e-07
openml_external,openml-blood-transfusion-1464,binclass,native_histgb,covariance_self_interaction_variance,-4.080670252686088e-15
openml_external,openml-blood-transfusion-1464,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.7080771434763325e-06
openml_external,openml-blood-transfusion-1464,binclass,onehot_linear,covariance_self_interaction_variance,0.0
openml_external,openml-blood-transfusion-1464,binclass,ordinal_forest,covariance_self_interaction_variance,-2.271452517713642e-10
openml_external,openml-breast-w-15,binclass,native_histgb,covariance_self_interaction_variance,0.0
openml_external,openml-breast-w-15,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-3.178483828941059e-06
openml_external,openml-breast-w-15,binclass,onehot_linear,covariance_self_interaction_variance,-5.420519878457963e-43
openml_external,openml-breast-w-15,binclass,ordinal_forest,covariance_self_interaction_variance,-3.897887148685397e-11
openml_external,openml-ilpd-1480,binclass,native_histgb,covariance_self_interaction_variance,-3.2941582248534745e-14
openml_external,openml-ilpd-1480,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-2.7828430726600487e-08
openml_external,openml-ilpd-1480,binclass,onehot_linear,covariance_self_interaction_variance,-1.1199576007427617e-36
openml_external,openml-ilpd-1480,binclass,ordinal_forest,covariance_self_interaction_variance,-8.076460636183953e-10
openml_external,openml-kc1-1067,binclass,native_histgb,covariance_self_interaction_variance,-5.40752684646424e-10
openml_external,openml-kc1-1067,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-1.246355050980393e-07
openml_external,openml-kc1-1067,binclass,onehot_linear,covariance_self_interaction_variance,-2.536528018203577e-31
openml_external,openml-kc1-1067,binclass,ordinal_forest,covariance_self_interaction_variance,-2.061913830759883e-10
openml_external,openml-mammography-310,binclass,native_histgb,covariance_self_interaction_variance,0.0
openml_external,openml-mammography-310,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-6.49992605375893e-09
openml_external,openml-mammography-310,binclass,onehot_linear,covariance_self_interaction_variance,-5.960126411843161e-45
openml_external,openml-mammography-310,binclass,ordinal_forest,covariance_self_interaction_variance,-3.207445990392187e-12
openml_external,openml-pc4-1049,binclass,native_histgb,covariance_self_interaction_variance,-1.1128083918203599e-11
openml_external,openml-pc4-1049,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.901762495974408e-08
openml_external,openml-pc4-1049,binclass,onehot_linear,covariance_self_interaction_variance,-4.893380163770163e-43
openml_external,openml-pc4-1049,binclass,ordinal_forest,covariance_self_interaction_variance,-2.172841282097923e-10
openml_external,openml-sonar-40,binclass,native_histgb,covariance_self_interaction_variance,-3.97415909094594e-18
openml_external,openml-sonar-40,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-9.52684016972531e-07
openml_external,openml-sonar-40,binclass,onehot_linear,covariance_self_interaction_variance,-3.5745875666494066e-74
openml_external,openml-sonar-40,binclass,ordinal_forest,covariance_self_interaction_variance,-1.5732681755098463e-09
openml_external,openml-wdbc-1510,binclass,native_histgb,covariance_self_interaction_variance,-2.056556816559672e-12
openml_external,openml-wdbc-1510,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-3.049825569042896e-06
openml_external,openml-wdbc-1510,binclass,onehot_linear,covariance_self_interaction_variance,-2.0619624685926558e-72
openml_external,openml-wdbc-1510,binclass,ordinal_forest,covariance_self_interaction_variance,-7.791552513965326e-11
openml_taskbalanced,openml-abalone-183,regression,onehot_adam_mlp,residual_aligned_variance,-2.7141075335706597e-06
openml_taskbalanced,openml-abalone-183,regression,onehot_linear,residual_aligned_variance,0.0
openml_taskbalanced,openml-abalone-183,regression,ordinal_forest,residual_aligned_variance,-1.4699575199737851e-07
openml_taskbalanced,openml-banknote-1462,binclass,onehot_adam_mlp,residual_aligned_variance,-5.344443768324816e-05
openml_taskbalanced,openml-banknote-1462,binclass,onehot_linear,residual_aligned_variance,0.0
openml_taskbalanced,openml-banknote-1462,binclass,ordinal_forest,residual_aligned_variance,-2.297706988176375e-08
openml_taskbalanced,openml-credit-g-31,binclass,onehot_adam_mlp,residual_aligned_variance,-6.940204024684113e-07
openml_taskbalanced,openml-credit-g-31,binclass,onehot_linear,residual_aligned_variance,-5.759887091983398e-19
openml_taskbalanced,openml-credit-g-31,binclass,ordinal_forest,residual_aligned_variance,-2.4566684145119142e-06
openml_taskbalanced,openml-kin8nm-189,regression,onehot_adam_mlp,residual_aligned_variance,-1.784322696562159e-07
openml_taskbalanced,openml-kin8nm-189,regression,onehot_linear,residual_aligned_variance,0.0
openml_taskbalanced,openml-kin8nm-189,regression,ordinal_forest,residual_aligned_variance,-2.345315338682823e-07
openml_taskbalanced,openml-pol-201,regression,onehot_adam_mlp,residual_aligned_variance,-7.740336985121345e-09
openml_taskbalanced,openml-pol-201,regression,onehot_linear,residual_aligned_variance,0.0
openml_taskbalanced,openml-pol-201,regression,ordinal_forest,residual_aligned_variance,-2.5756589105186343e-08
openml_taskbalanced,openml-puma32h-308,regression,onehot_adam_mlp,residual_aligned_variance,-0.0001463470638155
openml_taskbalanced,openml-puma32h-308,regression,onehot_linear,residual_aligned_variance,0.0
openml_taskbalanced,openml-puma32h-308,regression,ordinal_forest,residual_aligned_variance,-1.116157141580166e-05
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,onehot_adam_mlp,residual_aligned_variance,-1.2544813307052933e-05
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,onehot_linear,residual_aligned_variance,-3.3039602867506787e-22
openml_taskbalanced,openml-qsar-biodeg-1494,binclass,ordinal_forest,residual_aligned_variance,-1.2509825387863965e-07
openml_taskbalanced,openml-spambase-44,binclass,onehot_adam_mlp,residual_aligned_variance,-2.969240847725421e-06
openml_taskbalanced,openml-spambase-44,binclass,onehot_linear,residual_aligned_variance,-2.745662260342848e-31
openml_taskbalanced,openml-spambase-44,binclass,ordinal_forest,residual_aligned_variance,-2.487165493841623e-08
openml_taskbalanced,openml-abalone-183,regression,onehot_adam_mlp,covariance_self_interaction_variance,-7.256398042225921e-07
openml_taskbalanced,openml-abalone-183,regression,onehot_linear,covariance_self_interaction_variance,0.0
openml_taskbalanced,openml-abalone-183,regression,ordinal_forest,covariance_self_interaction_variance,-1.204622760761102e-09
openml_taskbalanced,openml-banknote-1462,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-9.231175968424472e-07
openml_taskbalanced,openml-banknote-1462,binclass,onehot_linear,covariance_self_interaction_variance,0.0
openml_taskbalanced,openml-banknote-1462,binclass,ordinal_forest,covariance_self_interaction_variance,-5.2425881486256695e-11
openml_taskbalanced,openml-credit-g-31,binclass,onehot_adam_mlp,covariance_self_interaction_variance,-4.7475375464862014e-07
openml_taskbalanced,openml-credit-g-31,binclass,onehot_linear,covariance_self_interaction_variance,-5.654234339397363e-32
openml_taskbalanced,openml-credit-g-31,binclass,ordinal_forest,covariance_self_interaction_variance,-1.913884897372473e-08
openml_taskbalanced,openml-kin8nm-189,regression,onehot_adam_mlp,covariance_self_interaction_variance,-4.493419912741367e-08
openml_taskbalanced,openml-kin8nm-189,regression,onehot_linear,covariance_self_interaction_variance,0.0
openml_taskbalanced,openml-kin8nm-189,regression,ordinal_forest,covariance_self_interaction_variance,-2.987369626020644e-09
