factor_shape,strength,design_count,component,component_order,coefficient
4x1x2x4,1,144,feature:category:seed,3,0.0
4x1x2x4,1,144,feature:class:seed,3,0.2222222222222222
4x1x2x4,1,144,category:class:seed,3,0.0
4x1x2x4,1,144,feature:category:class:seed,4,0.0
4x1x2x4,2,1152,feature,1,-5.421010862427522e-18
4x1x2x4,2,1152,category,1,0.0
4x1x2x4,2,1152,class,1,3.491130995403324e-17
4x1x2x4,2,1152,seed,1,-3.903127820947816e-18
4x1x2x4,2,1152,feature:category,2,0.0
4x1x2x4,2,1152,feature:class,2,-6.179952383167375e-18
4x1x2x4,2,1152,feature:seed,2,4.2042950910826784e-18
4x1x2x4,2,1152,category:class,2,0.0
4x1x2x4,2,1152,category:seed,2,0.0
4x1x2x4,2,1152,class:seed,2,1.0625181290357943e-17
4x1x2x4,2,1152,feature:category:class,3,0.0
4x1x2x4,2,1152,feature:category:seed,3,0.0
4x1x2x4,2,1152,feature:class:seed,3,0.1111111111111111
4x1x2x4,2,1152,category:class:seed,3,0.0
4x1x2x4,2,1152,feature:category:class:seed,4,0.0
4x1x2x4,3,1152,feature,1,0.0
4x1x2x4,3,1152,category,1,0.0
4x1x2x4,3,1152,class,1,0.0
4x1x2x4,3,1152,seed,1,0.0
4x1x2x4,3,1152,feature:category,2,0.0
4x1x2x4,3,1152,feature:class,2,0.0
4x1x2x4,3,1152,feature:seed,2,0.0
4x1x2x4,3,1152,category:class,2,0.0
4x1x2x4,3,1152,category:seed,2,0.0
4x1x2x4,3,1152,class:seed,2,0.0
4x1x2x4,3,1152,feature:category:class,3,0.0
4x1x2x4,3,1152,feature:category:seed,3,0.0
4x1x2x4,3,1152,feature:class:seed,3,0.0
4x1x2x4,3,1152,category:class:seed,3,0.0
4x1x2x4,3,1152,feature:category:class:seed,4,0.0
4x4x1x4,1,576,feature,1,8.673617379884035e-18
4x4x1x4,1,576,category,1,-7.574959178432057e-17
4x4x1x4,1,576,class,1,0.0
4x4x1x4,1,576,seed,1,-6.938893903907228e-17
4x4x1x4,1,576,feature:category,2,0.3333333333333332
4x4x1x4,1,576,feature:class,2,0.0
4x4x1x4,1,576,feature:seed,2,0.3333333333333332
4x4x1x4,1,576,category:class,2,0.0
4x4x1x4,1,576,category:seed,2,0.3333333333333332
4x4x1x4,1,576,class:seed,2,0.0
4x4x1x4,1,576,feature:category:class,3,0.0
4x4x1x4,1,576,feature:category:seed,3,0.22222222222222227
4x4x1x4,1,576,feature:class:seed,3,0.0
4x4x1x4,1,576,category:class:seed,3,0.0
4x4x1x4,1,576,feature:category:class:seed,4,0.0
4x4x1x4,2,13824,feature,1,2.638225286381394e-18
4x4x1x4,2,13824,category,1,2.0961242001386418e-18
4x4x1x4,2,13824,class,1,0.0
4x4x1x4,2,13824,seed,1,5.945041912462183e-18
4x4x1x4,2,13824,feature:category,2,2.5960618685625132e-18
4x4x1x4,2,13824,feature:class,2,0.0
4x4x1x4,2,13824,feature:seed,2,1.4456028966473392e-19
4x4x1x4,2,13824,category:class,2,0.0
4x4x1x4,2,13824,category:seed,2,-5.806504968200146e-18
4x4x1x4,2,13824,class:seed,2,0.0
4x4x1x4,2,13824,feature:category:class,3,0.0
4x4x1x4,2,13824,feature:category:seed,3,0.11111111111111113
4x4x1x4,2,13824,feature:class:seed,3,0.0
4x4x1x4,2,13824,category:class:seed,3,0.0
4x4x1x4,2,13824,feature:category:class:seed,4,0.0
4x4x1x4,3,13824,feature,1,0.0
4x4x1x4,3,13824,category,1,0.0
4x4x1x4,3,13824,class,1,0.0
4x4x1x4,3,13824,seed,1,0.0
4x4x1x4,3,13824,feature:category,2,0.0
4x4x1x4,3,13824,feature:class,2,0.0
4x4x1x4,3,13824,feature:seed,2,0.0
4x4x1x4,3,13824,category:class,2,0.0
4x4x1x4,3,13824,category:seed,2,0.0
4x4x1x4,3,13824,class:seed,2,0.0
4x4x1x4,3,13824,feature:category:class,3,0.0
4x4x1x4,3,13824,feature:category:seed,3,0.0
4x4x1x4,3,13824,feature:class:seed,3,0.0
4x4x1x4,3,13824,category:class:seed,3,0.0
4x4x1x4,3,13824,feature:category:class:seed,4,0.0
4x1x1x4,1,24,feature,1,9.25185853854297e-18
4x1x1x4,1,24,category,1,0.0
4x1x1x4,1,24,class,1,0.0
4x1x1x4,1,24,seed,1,1.9081958235744878e-17
4x1x1x4,1,24,feature:category,2,0.0
4x1x1x4,1,24,feature:class,2,0.0
4x1x1x4,1,24,feature:seed,2,0.3333333333333334
4x1x1x4,1,24,category:class,2,0.0
4x1x1x4,1,24,category:seed,2,0.0
4x1x1x4,1,24,class:seed,2,0.0
4x1x1x4,1,24,feature:category:class,3,0.0
4x1x1x4,1,24,feature:category:seed,3,0.0
4x1x1x4,1,24,feature:class:seed,3,0.0
4x1x1x4,1,24,category:class:seed,3,0.0
4x1x1x4,1,24,feature:category:class:seed,4,0.0
4x1x1x4,2,576,feature,1,0.0
4x1x1x4,2,576,category,1,0.0
4x1x1x4,2,576,class,1,0.0
4x1x1x4,2,576,seed,1,0.0
4x1x1x4,2,576,feature:category,2,0.0
4x1x1x4,2,576,feature:class,2,0.0
4x1x1x4,2,576,feature:seed,2,0.0
4x1x1x4,2,576,category:class,2,0.0
4x1x1x4,2,576,category:seed,2,0.0
4x1x1x4,2,576,class:seed,2,0.0
4x1x1x4,2,576,feature:category:class,3,0.0
4x1x1x4,2,576,feature:category:seed,3,0.0
4x1x1x4,2,576,feature:class:seed,3,0.0
4x1x1x4,2,576,category:class:seed,3,0.0
4x1x1x4,2,576,feature:category:class:seed,4,0.0
4x1x1x4,3,576,feature,1,0.0
4x1x1x4,3,576,category,1,0.0
4x1x1x4,3,576,class,1,0.0
4x1x1x4,3,576,seed,1,0.0
4x1x1x4,3,576,feature:category,2,0.0
4x1x1x4,3,576,feature:class,2,0.0
4x1x1x4,3,576,feature:seed,2,0.0
4x1x1x4,3,576,category:class,2,0.0
4x1x1x4,3,576,category:seed,2,0.0
4x1x1x4,3,576,class:seed,2,0.0
4x1x1x4,3,576,feature:category:class,3,0.0
4x1x1x4,3,576,feature:category:seed,3,0.0
4x1x1x4,3,576,feature:class:seed,3,0.0
4x1x1x4,3,576,category:class:seed,3,0.0
4x1x1x4,3,576,feature:category:class:seed,4,0.0
