dataset,model,method,metric,exact_metric,bias,rmse
openml-credit-approval-29,ordinal_forest,disjoint_pair32,roc_auc,0.9278262720885672,-0.00021581261975727795,0.0005640706406809206
openml-credit-approval-29,ordinal_forest,disjoint_pair32,accuracy,0.8695652173913043,0.0,0.0
openml-credit-approval-29,ordinal_forest,independent_pair32,brier,0.20658467340549097,2.0065467986401982e-05,0.0004234989379039292
openml-credit-approval-29,ordinal_forest,independent_pair32,log_loss,0.3604870604498831,8.014275731220899e-05,0.0008394861903027821
openml-credit-approval-29,ordinal_forest,independent_pair32,roc_auc,0.9278262720885672,-0.00019231856770277728,0.0005789033791095016
openml-credit-approval-29,ordinal_forest,independent_pair32,accuracy,0.8695652173913043,0.0,0.0
openml-credit-approval-29,ordinal_forest,mutually_disjoint_pack64,brier,0.20658467340549097,1.521388458779462e-05,0.00021038820039427967
openml-credit-approval-29,ordinal_forest,mutually_disjoint_pack64,log_loss,0.3604870604498831,4.310121252508719e-05,0.00044488697409032286
openml-credit-approval-29,ordinal_forest,mutually_disjoint_pack64,roc_auc,0.9278262720885672,-0.00023972249574194656,0.0004219922526053519
openml-credit-approval-29,ordinal_forest,mutually_disjoint_pack64,accuracy,0.8695652173913043,0.0,0.0
openml-credit-approval-29,ordinal_forest,two_disjoint_pairs64,brier,0.20658467340549097,8.372940802758947e-06,0.0002741867686337649
openml-credit-approval-29,ordinal_forest,two_disjoint_pairs64,log_loss,0.3604870604498831,3.02460578258744e-05,0.0005793204703414857
openml-credit-approval-29,ordinal_forest,two_disjoint_pairs64,roc_auc,0.9278262720885672,-0.0002488706222056479,0.0004778727051270742
openml-credit-approval-29,ordinal_forest,two_disjoint_pairs64,accuracy,0.8695652173913043,0.0,0.0
openml-credit-approval-29,onehot_adam_mlp,disjoint_pair32,brier,0.23104613662345397,0.0003020521224372379,0.005565045084718567
openml-credit-approval-29,onehot_adam_mlp,disjoint_pair32,log_loss,0.3885918750510283,0.00026434581149622355,0.008148232874218113
openml-credit-approval-29,onehot_adam_mlp,disjoint_pair32,roc_auc,0.9178198850329998,-0.0005156216734085988,0.0015592596761080473
openml-credit-approval-29,onehot_adam_mlp,disjoint_pair32,accuracy,0.8478260869565217,0.0009411798007246468,0.006990647210341111
openml-credit-approval-29,onehot_adam_mlp,independent_pair32,brier,0.23104613662345397,0.0007036090486144469,0.0060427835370365085
openml-credit-approval-29,onehot_adam_mlp,independent_pair32,log_loss,0.3885918750510283,0.0008271980181512883,0.008752178002290778
openml-credit-approval-29,onehot_adam_mlp,independent_pair32,roc_auc,0.9178198850329998,-0.0006491011549925878,0.0017903862243511075
openml-credit-approval-29,onehot_adam_mlp,independent_pair32,accuracy,0.8478260869565217,0.0008774909420289945,0.0071609548463958065
openml-credit-approval-29,onehot_adam_mlp,mutually_disjoint_pack64,brier,0.23104613662345397,1.7145930469318008e-05,0.003268780930525426
openml-credit-approval-29,onehot_adam_mlp,mutually_disjoint_pack64,log_loss,0.3885918750510283,-5.290597586473159e-05,0.004830460034941813
openml-credit-approval-29,onehot_adam_mlp,mutually_disjoint_pack64,roc_auc,0.9178198850329998,-0.00024138579146267556,0.0009254622828415937
openml-credit-approval-29,onehot_adam_mlp,mutually_disjoint_pack64,accuracy,0.8478260869565217,0.001061480978260877,0.006484520409092574
openml-credit-approval-29,onehot_adam_mlp,two_disjoint_pairs64,brier,0.23104613662345397,0.0001331633781510377,0.0038666732069227738
openml-credit-approval-29,onehot_adam_mlp,two_disjoint_pairs64,log_loss,0.3885918750510283,0.00013290514668238434,0.005660775882052213
openml-credit-approval-29,onehot_adam_mlp,two_disjoint_pairs64,roc_auc,0.9178198850329998,-0.00032060025015971953,0.0011689170874704757
openml-credit-approval-29,onehot_adam_mlp,two_disjoint_pairs64,accuracy,0.8478260869565217,0.001040251358695661,0.006894627421937671
openml-sick-38,onehot_linear,disjoint_pair32,brier,0.04890711227679456,-8.99538937397049e-12,8.213217009303255e-10
openml-sick-38,onehot_linear,disjoint_pair32,log_loss,0.09163043196156902,3.276137092731238e-13,1.0873173264352118e-09
openml-sick-38,onehot_linear,disjoint_pair32,roc_auc,0.9635739253081499,0.0,0.0
openml-sick-38,onehot_linear,disjoint_pair32,accuracy,0.9682119205298013,0.0,0.0
openml-sick-38,onehot_linear,independent_pair32,brier,0.04890711227679456,1.6589196284570208e-11,9.184220541353293e-10
openml-sick-38,onehot_linear,independent_pair32,log_loss,0.09163043196156902,1.2124292658711143e-11,1.2652746587646215e-09
openml-sick-38,onehot_linear,independent_pair32,roc_auc,0.9635739253081499,0.0,0.0
openml-sick-38,onehot_linear,independent_pair32,accuracy,0.9682119205298013,0.0,0.0
openml-sick-38,onehot_linear,mutually_disjoint_pack64,brier,0.04890711227679456,1.6019836221188143e-11,4.800810533940185e-10
openml-sick-38,onehot_linear,mutually_disjoint_pack64,log_loss,0.09163043196156902,2.2896504990924625e-11,6.591942857556293e-10
openml-sick-38,onehot_linear,mutually_disjoint_pack64,roc_auc,0.9635739253081499,0.0,0.0
openml-sick-38,onehot_linear,mutually_disjoint_pack64,accuracy,0.9682119205298013,0.0,0.0
openml-sick-38,onehot_linear,two_disjoint_pairs64,brier,0.04890711227679456,3.421790845462014e-14,5.915432467432952e-10
openml-sick-38,onehot_linear,two_disjoint_pairs64,log_loss,0.09163043196156902,1.1171552872775263e-11,8.138183895118429e-10
openml-sick-38,onehot_linear,two_disjoint_pairs64,roc_auc,0.9635739253081499,0.0,0.0
openml-sick-38,onehot_linear,two_disjoint_pairs64,accuracy,0.9682119205298013,0.0,0.0
openml-sick-38,ordinal_forest,disjoint_pair32,brier,0.02621479212076419,3.673205141234759e-06,8.735006004433506e-05
openml-sick-38,ordinal_forest,disjoint_pair32,log_loss,0.05559351894582967,3.0391103446245874e-06,0.0001832474420609912
openml-sick-38,ordinal_forest,disjoint_pair32,roc_auc,0.9974550806402158,2.1648822208252634e-05,4.726253470571657e-05
openml-sick-38,ordinal_forest,disjoint_pair32,accuracy,0.9841059602649007,-0.00036475579470200085,0.0006950685274729849
openml-sick-38,ordinal_forest,independent_pair32,brier,0.02621479212076419,1.5332860590893905e-06,9.367294273935526e-05
openml-sick-38,ordinal_forest,independent_pair32,log_loss,0.05559351894582967,-1.708449690356551e-06,0.0001959285323385162
openml-sick-38,ordinal_forest,independent_pair32,roc_auc,0.9974550806402158,2.3205860596675187e-05,4.977914088987928e-05
openml-sick-38,ordinal_forest,independent_pair32,accuracy,0.9841059602649007,-0.00038415769867551196,0.0007228579965469221
openml-sick-38,ordinal_forest,mutually_disjoint_pack64,brier,0.02621479212076419,-6.107545460206856e-07,4.88643363981246e-05
