panel,dataset,task,model,method,product_cells,score_bias,score_rmse,prediction_residual,max_absolute_score_error,mean_pack_sampling_attempts
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,two_disjoint_pairs64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,ordinal_forest,independent_four64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,two_disjoint_pairs64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,native_histgb,independent_four64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,catboost_native,independent_four64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,1.6511034627493314e-48,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,1.6511034627493314e-48,0.0,1.0
confirmation,polish_bankruptcy_2year,binclass,onehot_adam_mlp,independent_four64,32,7.746082273885069e-06,0.00016391434193460056,3.4228702289392163e-06,0.000472920158785195,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,two_disjoint_pairs64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_linear,independent_four64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,two_disjoint_pairs64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,ordinal_forest,independent_four64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,mutually_disjoint_pack64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,two_disjoint_pairs64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,native_histgb,independent_four64,32,-6.938893903907228e-18,9.815475686691304e-18,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,mutually_disjoint_pack64,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,two_disjoint_pairs64,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,catboost_native,independent_four64,32,-1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,4.352446668985738e-60,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,4.352446668985738e-60,0.0,1.0
confirmation,polish_bankruptcy_3year,binclass,onehot_adam_mlp,independent_four64,32,3.0562427985741936e-06,0.00021592835649269875,3.2311009108552076e-06,0.0009058985902399563,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,mutually_disjoint_pack64,32,-2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,two_disjoint_pairs64,32,-2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_linear,independent_four64,32,-2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,two_disjoint_pairs64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,ordinal_forest,independent_four64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,mutually_disjoint_pack64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,two_disjoint_pairs64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,native_histgb,independent_four64,32,0.0,0.0,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,two_disjoint_pairs64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,catboost_native,independent_four64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,-5.551115123125783e-17,7.852380549353044e-17,2.4421352930417287e-38,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,-5.551115123125783e-17,7.852380549353044e-17,2.4421352930417287e-38,0.0,1.0
confirmation,polish_bankruptcy_4year,binclass,onehot_adam_mlp,independent_four64,32,3.0174536373828165e-05,0.002519912930534122,5.708610557336364e-05,0.008336719900827405,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,two_disjoint_pairs64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_linear,independent_four64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,two_disjoint_pairs64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,ordinal_forest,independent_four64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,mutually_disjoint_pack64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,two_disjoint_pairs64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,native_histgb,independent_four64,32,2.7755575615628914e-17,3.926190274676522e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,mutually_disjoint_pack64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,two_disjoint_pairs64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,catboost_native,independent_four64,32,1.3877787807814457e-17,1.963095137338261e-17,0.0,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,mutually_disjoint_pack64,32,0.0,0.0,1.0897599383527949e-35,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,two_disjoint_pairs64,32,0.0,0.0,1.0897599383527949e-35,0.0,1.0
confirmation,polish_bankruptcy_5year,binclass,onehot_adam_mlp,independent_four64,32,5.255389014742484e-05,0.0012992752615100243,6.656822708296009e-05,0.0044296728992282985,1.0
menu_repeat,compustat_kor_direction,binclass,onehot_linear,mutually_disjoint_pack64,128,-1.621732748091631e-10,2.0154601795921325e-09,5.1149592308653725e-15,7.862220874343961e-09,1.0
menu_repeat,compustat_kor_direction,binclass,onehot_linear,two_disjoint_pairs64,128,-7.260048118240547e-11,2.5570623653369338e-09,7.649612434367509e-15,7.467671814254118e-09,1.0
menu_repeat,compustat_kor_direction,binclass,onehot_linear,independent_four64,128,2.935429677108914e-11,2.82452202381154e-09,9.229822602578631e-15,8.160179421068392e-09,1.0
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,mutually_disjoint_pack64,128,1.199373413673932e-05,9.839467151529566e-05,1.2851068828121509e-05,0.0003266707098494859,1.0
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,two_disjoint_pairs64,128,1.9400648214706884e-05,0.00013224053193808187,2.101526573754778e-05,0.000487300400630053,1.0
menu_repeat,compustat_kor_direction,binclass,ordinal_forest,independent_four64,128,2.0702654302540147e-05,0.0001441891026904098,2.5232411231295312e-05,0.0004732543063112882,1.0
menu_repeat,compustat_kor_direction,binclass,native_histgb,mutually_disjoint_pack64,128,5.389047324499963e-07,7.464809400793315e-05,1.9208594380737284e-06,0.0002642181725980297,1.0
menu_repeat,compustat_kor_direction,binclass,native_histgb,two_disjoint_pairs64,128,5.864617851070175e-06,9.081840174052912e-05,2.8971954346910613e-06,0.00031026445717868834,1.0
menu_repeat,compustat_kor_direction,binclass,native_histgb,independent_four64,128,2.695909187389045e-06,9.990865046367769e-05,3.5889742888526036e-06,0.00031115900019051956,1.0
menu_repeat,compustat_kor_direction,binclass,catboost_native,mutually_disjoint_pack64,128,1.4309347711183307e-06,6.747763620575654e-05,3.806884587303368e-06,0.0002696011376390195,1.0
menu_repeat,compustat_kor_direction,binclass,catboost_native,two_disjoint_pairs64,128,4.643577385776698e-06,8.552486045730063e-05,5.783610738000038e-06,0.0003004060780403828,1.0
menu_repeat,compustat_kor_direction,binclass,catboost_native,independent_four64,128,1.1796986263135079e-05,9.039719267400542e-05,6.889075674515734e-06,0.00029857071104139044,1.0
