panel,dataset,validation_winner,test_winner,same_winner,validation_winner_test_loss,test_oracle_loss,validation_winner_test_regret,candidate_rank_spearman,validation_margin
subsample_repeat,kdd17_stock_return,ordinal_forest,catboost_native,False,0.5928629684379454,0.5916101088249675,0.0012528596129779412,0.7999999999999999,0.004195365654314609
subsample_repeat,polish_bankruptcy_3year,native_histgb,native_histgb,True,0.04718666235909834,0.04718666235909834,0.0,0.9999999999999999,0.0006024263368280339
openml_external,openml-breast-w-15,ordinal_forest,onehot_linear,False,0.06126037506958221,0.05158632809206445,0.00967404697751776,0.7999999999999999,0.0006358921729433323
openml_external,openml-sonar-40,onehot_linear,ordinal_forest,False,0.6285220360909533,0.3386218286984114,0.28990020739254185,-0.7999999999999999,0.0005832261354221102
openml_external,openml-pc4-1049,onehot_adam_mlp,ordinal_forest,False,0.14836156708987752,0.1331912093523656,0.015170357737511908,0.6000000000000001,0.002535412893969219
openml_external,openml-kc1-1067,ordinal_forest,onehot_linear,False,0.23313242896154443,0.2268284170701103,0.006304011891434119,0.19999999999999998,0.017052920030655644
openml_external,openml-blood-transfusion-1464,onehot_linear,ordinal_forest,False,0.3191275439041962,0.29988185377599097,0.019245690128205206,0.6000000000000001,0.05944711006767667
openml_external,openml-ilpd-1480,onehot_linear,onehot_linear,True,0.34234189059616504,0.34234189059616504,0.0,1.0,0.0013127812365951175
openml_external,openml-wdbc-1510,native_histgb,onehot_linear,False,0.08285136154455239,0.04688443378226214,0.03596692776229025,0.7999999999999999,0.01086573162494122
openml_external,openml-mammography-310,native_histgb,native_histgb,True,0.022872225483169403,0.022872225483169403,0.0,1.0,0.0008470816195149493
openml_taskbalanced,openml-credit-g-31,ordinal_forest,ordinal_forest,True,0.34323034525996277,0.34323034525996277,0.0,1.0,0.005511719951080296
openml_taskbalanced,openml-spambase-44,onehot_adam_mlp,onehot_adam_mlp,True,0.09119974422643382,0.09119974422643382,0.0,1.0,0.0022038478188696337
openml_taskbalanced,openml-banknote-1462,ordinal_forest,ordinal_forest,True,0.01435467780672189,0.01435467780672189,0.0,1.0,0.0028340771978346974
openml_taskbalanced,openml-qsar-biodeg-1494,onehot_linear,onehot_linear,True,0.16329829842495674,0.16329829842495674,0.0,1.0,0.0024334662722158007
openml_taskbalanced,openml-abalone-183,onehot_adam_mlp,onehot_adam_mlp,True,0.3873039005996162,0.3873039005996162,0.0,1.0,0.039331283985491516
openml_taskbalanced,openml-kin8nm-189,onehot_adam_mlp,onehot_adam_mlp,True,0.07546624343946241,0.07546624343946241,0.0,1.0,0.2727714711106461
openml_taskbalanced,openml-pol-201,onehot_adam_mlp,onehot_adam_mlp,True,0.004683229606752407,0.004683229606752407,0.0,1.0,0.03178730657015838
openml_taskbalanced,openml-puma32h-308,onehot_adam_mlp,onehot_adam_mlp,True,0.12412627891311481,0.12412627891311481,0.0,1.0,0.2594540629799855
