dataset,model,task,total_nuisance_variance,quotient_test_loss,schema_only_variance,seed_only_variance,schema_seed_interaction_variance,feature_total_variance,category_total_variance,class_total_variance,seed_total_variance,main_pair_fraction,higher_order_fraction,iid16_residual_mean,srswor16_residual_mean,strength2_16_residual_mean,strength2_vs_iid16_reduction,wall_seconds,actions
heloc_credit_risk,catboost_native,classification,0.002998900550494003,0.38188060080779096,0.0006227347149095744,0.0005543035687084392,0.0018218622668759892,0.0024109587911446285,0.0,0.00013455276256374047,0.0023761658355844284,0.974685872091252,0.025314127908747985,0.00018839044613659116,9.767356160668863e-05,8.448842269075595e-06,0.9551524907852821,4.0349489625077695,32
heloc_credit_risk,xgboost,classification,0.001471347958839144,0.3990815715702738,0.001471347958839144,0.0,0.0,0.0014713479588388818,0.0,7.091427597048783e-16,0.0,1.0,0.0,9.147000353283981e-05,4.670039660788499e-05,0.0,1.0,2.401520014507696,32
heloc_credit_risk,lightgbm,classification,2.249842445246577e-06,0.3987590714041341,2.249842445246577e-06,0.0,0.0,2.249842445246577e-06,0.0,0.0,0.0,1.0,0.0,1.4487205686859978e-07,6.9895617958405e-08,0.0,1.0,1.9474454186856747,32
lendingclub_loan_default,onehot_linear,classification,0.0,0.2524505559933971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932608554372564,128
lendingclub_loan_default,native_histgb,classification,0.001339779581121635,0.26278680672948795,0.001339779581121635,0.0,0.0,0.0,0.0,0.001339779581121635,0.0,1.0,0.0,7.555885821267032e-05,7.23696856257719e-05,0.0,1.0,16.37275180546567,128
lendingclub_loan_default,catboost_native,classification,0.0005317218924213595,0.25400677348808487,0.00010491090055025264,0.00010678336148106986,0.00032002763039003706,0.0004004581090618493,0.0,0.00010501395264612162,0.00042681099187110686,0.8855492000787579,0.11445079992124207,3.3485026563492124e-05,2.8640482846643223e-05,6.735094375440752e-06,0.7988625046281476,17.048312878469005,128
lendingclub_loan_default,xgboost,classification,0.0019029925548874603,0.2615683434251911,0.0019029925548874603,0.0,0.0,0.000880682630869062,0.0016750665311197955,8.022026564947926e-16,0.0,0.9999999999997717,2.282618538629322e-13,0.00011968417960215192,0.00010446676415131406,4.8217611866288174e-17,0.9999999999995971,9.084572812076658,128
lendingclub_loan_default,lightgbm,classification,0.0011323333706372827,0.2642362187657644,0.0011323333706372827,0.0,0.0,0.0011323333706372827,0.0,0.0,0.0,1.0,0.0,7.059805530432033e-05,6.465441090278186e-05,0.0,1.0,8.214133340632543,128
fremtpl_claim_count,onehot_linear,regression,5.092893793899325e-14,0.9738450158351278,5.092893793899325e-14,0.0,0.0,2.151665965434661e-14,4.4687430050274906e-14,0.0,0.0,1.0,0.0,3.0349893854769115e-15,2.5555688385055062e-15,0.0,1.0,0.054672978818416595,64
fremtpl_claim_count,native_histgb,regression,0.0,1.0212590941435469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.752613729098812,64
fremtpl_claim_count,catboost_native,regression,0.0016065032364008993,0.9739941902419583,0.00029647294218832637,0.00039924548431887147,0.0009107848098937015,0.0012072577520820277,0.0,0.0,0.001310030294212573,1.0,0.0,9.896803958213823e-05,7.40064590906669e-05,0.0,1.0,5.625346837565303,64
