dataset,seed,channels,n_test,n_train,n_validation,rows,target,target_mean,target_scale,epochs,fit_wall_seconds,parameters,phase_spread_rms,phase_materiality,method,rmse,mae,quotient_mse,rmse_sd_design
Exchange,20261122,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.3469564118422568,167064,0.02646501734852791,0.024395719305883818,phasecover4,1.0779194831848145,0.9015921950340271,0.0001137515646405518,
Exchange,20261122,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.3469564118422568,167064,0.02646501734852791,0.024395719305883818,full16,1.0791773796081543,0.9039684534072876,0.0,
Exchange,20261123,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.468463733093813,167064,0.025209378451108932,0.024819138507635403,canonical,1.0157233476638794,0.8703954815864563,0.0006002709269523621,
Exchange,20261123,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.468463733093813,167064,0.025209378451108932,0.024819138507635403,iid4,1.0067801205441356,0.859772227704525,0.000129786803938714,0.0030824446466825957
Exchange,20261123,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.468463733093813,167064,0.025209378451108932,0.024819138507635403,phasecover4,1.008575201034546,0.8618842959403992,7.515025936299935e-05,
Exchange,20261123,8,1495,4433,1495,7588,0,0.7025927305221558,0.08939016610383987,8,1.468463733093813,167064,0.025209378451108932,0.024819138507635403,full16,1.006442666053772,0.859347403049469,0.0,
Solar,20261121,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,15.128939071903005,365208,0.13474008440971375,0.3352707945664965,canonical,0.4018843472003937,0.23292429745197296,0.01806599274277687,
Solar,20261121,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,15.128939071903005,365208,0.13474008440971375,0.3352707945664965,iid4,0.3759719645604491,0.22156250779516995,0.003996829939751478,0.006784268257044398
Solar,20261121,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,15.128939071903005,365208,0.13474008440971375,0.3352707945664965,phasecover4,0.3767656981945038,0.22111935913562775,0.0006912316312082112,
Solar,20261121,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,15.128939071903005,365208,0.13474008440971375,0.3352707945664965,full16,0.3706279993057251,0.2184559851884842,0.0,
Solar,20261122,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,14.939789097057655,365208,0.09863997250795364,0.2523236850906409,canonical,0.390926331281662,0.24815553426742554,0.024960756301879883,
Solar,20261122,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,14.939789097057655,365208,0.09863997250795364,0.2523236850906409,iid4,0.361440516076982,0.21479635871946812,0.0020553209324134514,0.003627318176408907
Solar,20261122,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,14.939789097057655,365208,0.09863997250795364,0.2523236850906409,phasecover4,0.3591947853565216,0.21635675430297852,0.0008461364195682108,
Solar,20261122,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,15,14.939789097057655,365208,0.09863997250795364,0.2523236850906409,full16,0.35831335186958313,0.21305334568023682,0.0,
Solar,20261123,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,21,20.05278944107704,365208,0.11012428253889084,0.28727035775566145,canonical,0.38334718346595764,0.22451071441173553,0.023883551359176636,
Solar,20261123,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,21,20.05278944107704,365208,0.11012428253889084,0.28727035775566145,iid4,0.3654475477524102,0.2146559616085142,0.002524526300476282,0.0035109937782189
Solar,20261123,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,21,20.05278944107704,365208,0.11012428253889084,0.28727035775566145,phasecover4,0.36514225602149963,0.21553201973438263,0.000674969982355833,
Solar,20261123,137,2048,20000,2048,52560,73,20.846406936645508,26.490713119506836,21,20.05278944107704,365208,0.11012428253889084,0.28727035775566145,full16,0.3618201017379761,0.2128935605287552,0.0,
