dataset,seed,phase,rmse,mae,quotient_mse
Solar,20261121,15,0.39607489109039307,0.23397137224674225,0.02378694713115692
Solar,20261122,0,0.390926331281662,0.24815553426742554,0.024960756301879883
Solar,20261122,1,0.362049400806427,0.21363915503025055,0.02096114493906498
Solar,20261122,2,0.371801495552063,0.22431325912475586,0.011043019592761993
Solar,20261122,3,0.3753063678741455,0.22485141456127167,0.011002142913639545
Solar,20261122,4,0.3705023527145386,0.21866512298583984,0.0066894530318677425
Solar,20261122,5,0.36824938654899597,0.21633882820606232,0.006198155228048563
Solar,20261122,6,0.36363813281059265,0.21216155588626862,0.006218906491994858
Solar,20261122,7,0.3722042739391327,0.22044475376605988,0.0052275024354457855
Solar,20261122,8,0.3650851249694824,0.2142152190208435,0.008279494009912014
Solar,20261122,9,0.3686780631542206,0.21651674807071686,0.00473875692114234
Solar,20261122,10,0.3732756972312927,0.22045151889324188,0.0046196929179131985
Solar,20261122,11,0.37480026483535767,0.22083719074726105,0.007021291647106409
Solar,20261122,12,0.3712765872478485,0.21759741008281708,0.008600187487900257
Solar,20261122,13,0.36755889654159546,0.2154356986284256,0.008680126629769802
Solar,20261122,14,0.3758923411369324,0.22243164479732513,0.010810120962560177
Solar,20261122,15,0.37415003776550293,0.22769691050052643,0.010626736097037792
Solar,20261123,0,0.38334718346595764,0.22451071441173553,0.023883551359176636
Solar,20261123,1,0.36554357409477234,0.21447217464447021,0.014467034488916397
Solar,20261123,2,0.38413047790527344,0.22521571815013885,0.014949352480471134
Solar,20261123,3,0.3764948546886444,0.21752671897411346,0.010100149549543858
Solar,20261123,4,0.3979663550853729,0.23208291828632355,0.016550028696656227
Solar,20261123,5,0.38224247097969055,0.22182579338550568,0.011583447456359863
Solar,20261123,6,0.3758039176464081,0.21963025629520416,0.009173442609608173
Solar,20261123,7,0.3696270287036896,0.21581678092479706,0.00703774206340313
Solar,20261123,8,0.3770449757575989,0.22237074375152588,0.008505487814545631
Solar,20261123,9,0.3772028088569641,0.2242412120103836,0.01077072974294424
Solar,20261123,10,0.373891144990921,0.22094576060771942,0.009047274477779865
Solar,20261123,11,0.37646692991256714,0.22067570686340332,0.011245399713516235
Solar,20261123,12,0.3752957880496979,0.22065986692905426,0.008787514641880989
Solar,20261123,13,0.38066282868385315,0.223307803273201,0.011199946515262127
Solar,20261123,14,0.37888863682746887,0.2234782725572586,0.01307703461498022
Solar,20261123,15,0.3757164180278778,0.22192299365997314,0.013659561984241009
