candidate,dataset,family,features,fit_seconds,input_dimension,invariant_dimension_fraction,invariant_feature_fraction,model,predict_seconds,problem_type,raw_input_dimension,seed,selected_blocks,selected_dimensions,selection_key,validation_C,validation_method_loss,validation_raw_loss,stage
very_safe_plus_safe_gram,steel-plates-fault,BlockGuard-Grouped,"[""V10"",""V6"",""V8"",""V9"",""V4"",""V7"",""V5"",""V1"",""V27"",""V11"",""V14"",""V3""]",0.41148374788463116,307,0.5,0.5,tabm_d,0.13795330305583775,classification,211,0,12,96,n12__d4edd8fdb2aba6c1,0.05510334491194823,0.03580561570346713,0.0002218636186270856,
all_except_dangerous_gram,steel-plates-fault,BlockGuard-Grouped,"[""V10"",""V6"",""V8"",""V9"",""V4"",""V7"",""V5"",""V1"",""V27"",""V11"",""V14"",""V3"",""V2"",""V19"",""V16"",""V17"",""V15"",""V26""]",0.42045069485902786,355,0.75,0.75,tabm_d,0.1830166399013251,classification,211,0,18,144,n18__c38d87265df1aba3,0.08200273474267541,0.053176271160038424,0.0002218636186270856,
all_gram,steel-plates-fault,BlockGuard-Grouped,"[""V10"",""V6"",""V8"",""V9"",""V4"",""V7"",""V5"",""V1"",""V27"",""V11"",""V14"",""V3"",""V2"",""V19"",""V16"",""V17"",""V15"",""V26"",""V18"",""V25"",""V20"",""V24"",""V23"",""V22""]",0.0,403,1.0,1.0,tabm_d,0.0,classification,211,0,24,192,n24__13a3e3b0860a6402,0.17581691651060652,0.11375808504822467,0.0002218636186270856,
stage_0_raw,steel-plates-fault,BlockGuard-Greedy,[],0.0,211,0.0,0.0,tabm_d,0.0,classification,211,0,0,0,n0__4f53cda18c2baa0c,0.0,0.0002218636186270856,0.0002218636186270856,0.0
stage_1,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8""]",0.31267426698468626,235,0.125,0.125,tabm_d,0.11175835505127907,classification,211,0,3,24,n3__296f38b0fd68c1a8,0.04455424662391972,0.028993388627240713,0.0002218636186270856,1.0
stage_2,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11""]",0.34082654397934675,259,0.25,0.25,tabm_d,0.13491799915209413,classification,211,0,6,48,n6__73b0140a11bc7a49,0.06206451294661135,0.04030088687007566,0.0002218636186270856,2.0
stage_3,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14""]",0.34558929107151926,283,0.375,0.375,tabm_d,0.15945270587690175,classification,211,0,9,72,n9__d267727b0febe052,0.08544099627046614,0.05539657640653935,0.0002218636186270856,3.0
stage_4,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14"",""V22"",""V15"",""V7""]",0.3923905841074884,307,0.5,0.5,tabm_d,0.1948516760021448,classification,211,0,12,96,n12__f5690da6b17e163a,0.06561579433619492,0.04259417626570811,0.0002218636186270856,4.0
stage_5,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14"",""V22"",""V15"",""V7"",""V4"",""V19"",""V3""]",0.4180163978599012,331,0.625,0.625,tabm_d,0.14173704897984862,classification,211,0,15,120,n15__43b8dc5a35b0c2e2,0.05774357320228495,0.03751057987725455,0.0002218636186270856,5.0
stage_6,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14"",""V22"",""V15"",""V7"",""V4"",""V19"",""V3"",""V27"",""V16"",""V25""]",0.42292632907629013,355,0.75,0.75,tabm_d,0.16351965186186135,classification,211,0,18,144,n18__3969cf126a746390,0.055555059345260484,0.03609731658721225,0.0002218636186270856,6.0
stage_7,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14"",""V22"",""V15"",""V7"",""V4"",""V19"",""V3"",""V27"",""V16"",""V25"",""V24"",""V17"",""V20""]",0.40241302200593054,379,0.875,0.875,tabm_d,0.17563804890960455,classification,211,0,21,168,n21__35768b414aabebac,0.05657807518469842,0.036757943307198004,0.0002218636186270856,7.0
stage_8,steel-plates-fault,BlockGuard-Greedy,"[""V6"",""V10"",""V8"",""V9"",""V1"",""V11"",""V5"",""V2"",""V14"",""V22"",""V15"",""V7"",""V4"",""V19"",""V3"",""V27"",""V16"",""V25"",""V24"",""V17"",""V20"",""V23"",""V26"",""V18""]",0.0,403,1.0,1.0,tabm_d,0.0,classification,211,0,24,192,n24__13a3e3b0860a6402,0.17581691651060652,0.11375808504822467,0.0002218636186270856,8.0
