stage,dataset,model,seed,embedding,k,maximum_coordinate_error,passes_1e_minus_6
dimension,steel-plates-fault,resnet_tabular,0,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,resnet_tabular,0,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,resnet_tabular,0,RBF,32,1.8048254832882856e-15,True
dimension,steel-plates-fault,resnet_tabular,1,PLE,4,2.601085671887508e-15,True
dimension,steel-plates-fault,resnet_tabular,1,PLE,8,2.1564628234719632e-15,True
dimension,steel-plates-fault,resnet_tabular,1,PLE,16,3.723022678026724e-15,True
dimension,steel-plates-fault,resnet_tabular,1,PLE,32,7.569323390542564e-15,True
dimension,steel-plates-fault,resnet_tabular,1,RBF,4,2.542389328820958e-15,True
dimension,steel-plates-fault,resnet_tabular,1,RBF,8,9.3338706002943e-16,True
dimension,steel-plates-fault,resnet_tabular,1,RBF,16,1.5550870031189595e-15,True
dimension,steel-plates-fault,resnet_tabular,1,RBF,32,1.8048254832882856e-15,True
dimension,cardiotocography,controlled_mlp,0,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,controlled_mlp,0,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,controlled_mlp,0,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,controlled_mlp,0,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,controlled_mlp,0,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,controlled_mlp,0,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,controlled_mlp,0,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,controlled_mlp,0,RBF,32,1.5543972705773256e-15,True
dimension,cardiotocography,controlled_mlp,1,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,controlled_mlp,1,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,controlled_mlp,1,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,controlled_mlp,1,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,controlled_mlp,1,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,controlled_mlp,1,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,controlled_mlp,1,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,controlled_mlp,1,RBF,32,1.5543972705773256e-15,True
dimension,cardiotocography,tabm_d,0,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,tabm_d,0,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,tabm_d,0,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,tabm_d,0,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,tabm_d,0,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,tabm_d,0,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,tabm_d,0,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,tabm_d,0,RBF,32,1.5543972705773256e-15,True
dimension,cardiotocography,tabm_d,1,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,tabm_d,1,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,tabm_d,1,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,tabm_d,1,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,tabm_d,1,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,tabm_d,1,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,tabm_d,1,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,tabm_d,1,RBF,32,1.5543972705773256e-15,True
dimension,cardiotocography,resnet_tabular,0,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,resnet_tabular,0,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,resnet_tabular,0,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,resnet_tabular,0,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,resnet_tabular,0,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,resnet_tabular,0,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,resnet_tabular,0,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,resnet_tabular,0,RBF,32,1.5543972705773256e-15,True
dimension,cardiotocography,resnet_tabular,1,PLE,4,1.1455895528842772e-15,True
dimension,cardiotocography,resnet_tabular,1,PLE,8,1.7553569433902088e-15,True
dimension,cardiotocography,resnet_tabular,1,PLE,16,1.100863744284972e-15,True
dimension,cardiotocography,resnet_tabular,1,PLE,32,1.613882322612966e-15,True
dimension,cardiotocography,resnet_tabular,1,RBF,4,2.4123883948142402e-14,True
dimension,cardiotocography,resnet_tabular,1,RBF,8,1.186261389573777e-15,True
dimension,cardiotocography,resnet_tabular,1,RBF,16,3.134465595416298e-15,True
dimension,cardiotocography,resnet_tabular,1,RBF,32,1.5543972705773256e-15,True
dimension,california_housing,controlled_mlp,0,PLE,4,1.806572406209866e-15,True
dimension,california_housing,controlled_mlp,0,PLE,8,7.546119829130262e-15,True
dimension,california_housing,controlled_mlp,0,PLE,16,3.616353515683813e-15,True
dimension,california_housing,controlled_mlp,0,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,controlled_mlp,0,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,controlled_mlp,0,RBF,8,8.299772117821142e-16,True
dimension,california_housing,controlled_mlp,0,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,controlled_mlp,0,RBF,32,1.192467265576901e-15,True
dimension,california_housing,controlled_mlp,1,PLE,4,1.806572406209866e-15,True
dimension,california_housing,controlled_mlp,1,PLE,8,7.546119829130262e-15,True
dimension,california_housing,controlled_mlp,1,PLE,16,3.616353515683813e-15,True
dimension,california_housing,controlled_mlp,1,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,controlled_mlp,1,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,controlled_mlp,1,RBF,8,8.299772117821142e-16,True
dimension,california_housing,controlled_mlp,1,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,controlled_mlp,1,RBF,32,1.192467265576901e-15,True
dimension,california_housing,tabm_d,0,PLE,4,1.806572406209866e-15,True
dimension,california_housing,tabm_d,0,PLE,8,7.546119829130262e-15,True
dimension,california_housing,tabm_d,0,PLE,16,3.616353515683813e-15,True
dimension,california_housing,tabm_d,0,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,tabm_d,0,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,tabm_d,0,RBF,8,8.299772117821142e-16,True
dimension,california_housing,tabm_d,0,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,tabm_d,0,RBF,32,1.192467265576901e-15,True
dimension,california_housing,tabm_d,1,PLE,4,1.806572406209866e-15,True
dimension,california_housing,tabm_d,1,PLE,8,7.546119829130262e-15,True
dimension,california_housing,tabm_d,1,PLE,16,3.616353515683813e-15,True
dimension,california_housing,tabm_d,1,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,tabm_d,1,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,tabm_d,1,RBF,8,8.299772117821142e-16,True
dimension,california_housing,tabm_d,1,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,tabm_d,1,RBF,32,1.192467265576901e-15,True
dimension,california_housing,resnet_tabular,0,PLE,4,1.806572406209866e-15,True
dimension,california_housing,resnet_tabular,0,PLE,8,7.546119829130262e-15,True
dimension,california_housing,resnet_tabular,0,PLE,16,3.616353515683813e-15,True
dimension,california_housing,resnet_tabular,0,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,resnet_tabular,0,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,resnet_tabular,0,RBF,8,8.299772117821142e-16,True
dimension,california_housing,resnet_tabular,0,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,resnet_tabular,0,RBF,32,1.192467265576901e-15,True
dimension,california_housing,resnet_tabular,1,PLE,4,1.806572406209866e-15,True
dimension,california_housing,resnet_tabular,1,PLE,8,7.546119829130262e-15,True
dimension,california_housing,resnet_tabular,1,PLE,16,3.616353515683813e-15,True
dimension,california_housing,resnet_tabular,1,PLE,32,2.7671621800458354e-15,True
dimension,california_housing,resnet_tabular,1,RBF,4,1.4354662292914243e-15,True
dimension,california_housing,resnet_tabular,1,RBF,8,8.299772117821142e-16,True
dimension,california_housing,resnet_tabular,1,RBF,16,1.3868559405832186e-15,True
dimension,california_housing,resnet_tabular,1,RBF,32,1.192467265576901e-15,True
dimension,phoneme,controlled_mlp,0,PLE,4,9.645275938464143e-15,True
dimension,phoneme,controlled_mlp,0,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,controlled_mlp,0,PLE,16,8.464653241923487e-15,True
dimension,phoneme,controlled_mlp,0,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,controlled_mlp,0,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,controlled_mlp,0,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,controlled_mlp,0,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,controlled_mlp,0,RBF,32,1.812476266313323e-15,True
dimension,phoneme,controlled_mlp,1,PLE,4,9.645275938464143e-15,True
dimension,phoneme,controlled_mlp,1,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,controlled_mlp,1,PLE,16,8.464653241923487e-15,True
dimension,phoneme,controlled_mlp,1,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,controlled_mlp,1,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,controlled_mlp,1,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,controlled_mlp,1,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,controlled_mlp,1,RBF,32,1.812476266313323e-15,True
dimension,phoneme,tabm_d,0,PLE,4,9.645275938464143e-15,True
dimension,phoneme,tabm_d,0,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,tabm_d,0,PLE,16,8.464653241923487e-15,True
dimension,phoneme,tabm_d,0,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,tabm_d,0,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,tabm_d,0,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,tabm_d,0,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,tabm_d,0,RBF,32,1.812476266313323e-15,True
dimension,phoneme,tabm_d,1,PLE,4,9.645275938464143e-15,True
dimension,phoneme,tabm_d,1,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,tabm_d,1,PLE,16,8.464653241923487e-15,True
dimension,phoneme,tabm_d,1,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,tabm_d,1,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,tabm_d,1,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,tabm_d,1,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,tabm_d,1,RBF,32,1.812476266313323e-15,True
dimension,phoneme,resnet_tabular,0,PLE,4,9.645275938464143e-15,True
dimension,phoneme,resnet_tabular,0,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,resnet_tabular,0,PLE,16,8.464653241923487e-15,True
dimension,phoneme,resnet_tabular,0,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,resnet_tabular,0,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,resnet_tabular,0,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,resnet_tabular,0,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,resnet_tabular,0,RBF,32,1.812476266313323e-15,True
dimension,phoneme,resnet_tabular,1,PLE,4,9.645275938464143e-15,True
dimension,phoneme,resnet_tabular,1,PLE,8,3.2760839346736568e-15,True
dimension,phoneme,resnet_tabular,1,PLE,16,8.464653241923487e-15,True
dimension,phoneme,resnet_tabular,1,PLE,32,1.6155744903233471e-15,True
dimension,phoneme,resnet_tabular,1,RBF,4,1.7415928067017511e-15,True
dimension,phoneme,resnet_tabular,1,RBF,8,1.4799970300555038e-15,True
dimension,phoneme,resnet_tabular,1,RBF,16,1.6487886045062024e-15,True
dimension,phoneme,resnet_tabular,1,RBF,32,1.812476266313323e-15,True
