dataset,problem_type,model,seed,embedding,k,default_task_error,mean_random_basis_error,best_random_basis_error,worst_random_basis_error,validation_selected_member,validation_selected_basis_error,oracle_best_test_member,oracle_best_test_error,default_is_best_test_basis,default_minus_best_random,validation_selected_minus_default,raw_disagreement
california_housing,regression,tabm_d,0,PLE,16,59249.830171233276,60844.62587397505,60018.41502324557,61623.166928040344,2,61431.217913913184,-1,59249.830171233276,True,-768.5848520122963,2181.387742679908,0.1918679248746874
california_housing,regression,tabm_d,0,RBF,8,61213.62526426933,62938.7774437541,61538.467170061325,64289.387195266834,-1,61213.62526426933,-1,61213.62526426933,True,-324.8419057919964,0.0,0.17276179499191405
california_housing,regression,tabm_d,0,RBF,16,62916.062424364405,67559.44361971348,66091.32735662203,69113.95506472631,-1,62916.062424364405,-1,62916.062424364405,True,-3175.2649322576253,0.0,0.22983531620926445
california_housing,regression,tabm_d,1,PLE,8,63146.46409252835,59400.556129622404,58156.02979228483,60746.81033129611,7,59645.09759482222,1,58156.02979228483,False,4990.43430024352,-3501.3664977061344,0.220935923872802
california_housing,regression,tabm_d,1,PLE,16,59101.930521243674,60645.34173483553,59816.883166610896,61559.806844287334,3,61559.806844287334,-1,59101.930521243674,True,-714.9526453672224,2457.87632304366,0.1895641300992096
california_housing,regression,tabm_d,1,RBF,8,60757.61536706057,62850.05918620023,60878.955874935426,64587.18989594557,-1,60757.61536706057,-1,60757.61536706057,True,-121.34050787485467,0.0,0.17321425483330943
california_housing,regression,tabm_d,1,RBF,16,63274.20578361083,67546.37094547795,66229.40985906901,68896.94530621218,-1,63274.20578361083,-1,63274.20578361083,True,-2955.204075458183,0.0,0.21745600457237604
cardiotocography,classification,controlled_mlp,0,PLE,8,0.0073000932241841085,0.012408700109105542,0.008672011155470685,0.01555398552088851,4,0.008672011155470685,-1,0.0073000932241841085,True,-0.0013719179312865768,0.0013719179312865768,0.009555865269567886
cardiotocography,classification,controlled_mlp,0,PLE,16,0.037552817189119875,0.05214062758098244,0.043253392125225845,0.06471439885897098,1,0.05248578291262404,-1,0.037552817189119875,True,-0.0057005749361059704,0.014932965723504166,0.024851282931043658
cardiotocography,classification,controlled_mlp,0,RBF,8,0.00264772893606118,0.009694559359225382,0.004616997388196891,0.01506124113816147,4,0.006169908147197197,-1,0.00264772893606118,True,-0.0019692684521357105,0.003522179211136017,0.018728878310444824
