absolute_task_difference,dataset,denominator_sensitive,disagreement_reduction,family,fit_seconds,inference_passes,input_dimension,input_dimension_ratio,invariant_dimension_fraction,invariant_feature_fraction,maximum_method_disagreement,method,method_disagreement,method_loss,model,normalized_excess_risk,panel,predict_seconds,problem_type,raw_disagreement,raw_fallback,raw_input_dimension,raw_loss,relative_task_difference,safety_denominator,seed,selected_blocks,selected_candidate,selected_features,selection_key,split,tau,trivial_loss
0.0015818840618496365,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0023137325016073106,tabicl_v2,0.002451568247040624,guarded_development,0.0,classification,0.0066374765847776575,False,211,0.000731848439757674,2.161491336066006,0.6452539364381088,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003119724539127197,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0005801749063004824,tabicl_v2,0.0004834313124202145,guarded_development,0.0,classification,0.005357505840964585,False,211,0.0002682024523877627,1.1631976185723873,0.6453294312916638,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.0015818840618496365,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0023137325016073106,tabicl_v2,0.002451568247040624,guarded_development,0.0,classification,0.0066374765847776575,False,211,0.000731848439757674,2.161491336066006,0.6452539364381088,0,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003119724539127197,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0005801749063004824,tabicl_v2,0.0004834313124202145,guarded_development,0.0,classification,0.005357505840964585,False,211,0.0002682024523877627,1.1631976185723873,0.6453294312916638,0,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.0015818840618496365,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0023137325016073106,tabicl_v2,0.002451568247040624,guarded_development,0.0,classification,0.0066374765847776575,False,211,0.000731848439757674,2.161491336066006,0.6452539364381088,1,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003119724539127197,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,0.0005801749063004824,tabicl_v2,0.0004834313124202145,guarded_development,0.0,classification,0.005357505840964585,False,211,0.0002682024523877627,1.1631976185723873,0.6453294312916638,1,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
0.0015818840618496365,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0023137325016073106,tabicl_v2,0.002451568247040624,guarded_development,0.0,classification,0.0066374765847776575,False,211,0.000731848439757674,2.161491336066006,0.6452539364381088,1,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
0.0003119724539127197,steel-plates-fault,False,1.0,BlockGuard-Greedy,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Greedy-t01,0.0,0.0005801749063004824,tabicl_v2,0.0004834313124202145,guarded_development,0.0,classification,0.005357505840964585,False,211,0.0002682024523877627,1.1631976185723873,0.6453294312916638,1,24,stage_8,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
-0.0004394337684465274,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,9.387448263258193e-05,tabpfn_2_6,-0.0006808150628580146,guarded_development,0.0,classification,0.007475011557811494,False,211,0.0005333082510791094,-0.8239770668414863,0.6454524766267874,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,validation,0.01,0.6459857848778665
-0.00023561624850998512,steel-plates-fault,False,1.0,BlockGuard-Grouped,0.0,1,403,1.9099526066350712,1.0,1.0,0.0,BlockGuard-Grouped-t01,0.0,9.956454239640943e-05,tabpfn_2_6,-0.0003651479292366235,guarded_development,0.0,classification,0.005904457062140062,False,211,0.00033518079090639455,-0.7029527195542221,0.6452624529531451,0,24,all_gram,"[""V1"",""V10"",""V11"",""V14"",""V15"",""V16"",""V17"",""V18"",""V19"",""V2"",""V20"",""V22"",""V23"",""V24"",""V25"",""V26"",""V27"",""V3"",""V4"",""V5"",""V6"",""V7"",""V8"",""V9""]",n24__13a3e3b0860a6402,test,0.01,0.6455976337440515
