dataset,problem_type,model,method,family,tau,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,invariant_feature_fraction,invariant_dimension_fraction,input_dimension_ratio,fit_seconds,predict_seconds,predictive_rank
cardiotocography,classification,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.0030396822863849107,0.006087868719974099,0.021795661313739154,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,1.3930909117038867e-06,2.811174048487144e-06,4.8639422462674475e-05,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
cardiotocography,classification,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,1.3930909117038867e-06,2.811174048487144e-06,4.8639422462674475e-05,False,1.0,1.0,1.6940639269406392,0.0,0.0,1.5
debutanizer,regression,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.16249162447944782,0.047807178447806756,0.00331376807237644,0.090935425240139,False,0.42857142857142855,0.42857142857142855,1.4285714285714286,2.7619197694584727,0.021510836435481906,2.0
debutanizer,regression,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.09338375843217306,0.003764245945680743,0.0002686902684817527,0.08789034743624433,False,0.2857142857142857,0.2857142857142857,1.2857142857142858,1.9840315205510706,0.003927225014194846,1.0
debutanizer,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.4857019893957169,-0.02020491095525736,0.09487046913599456,False,1.0,1.0,2.0,0.0,0.0,1.5
debutanizer,regression,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.4857019893957169,-0.02020491095525736,0.09487046913599456,False,1.0,1.0,2.0,0.0,0.0,1.5
debutanizer,regression,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.3467133411710769,0.0015173586895101147,0.00013801639051691517,0.06612155408305379,False,0.7142857142857143,0.7142857142857143,1.7142857142857142,0.4950631615938619,0.0703345345100388,1.0
debutanizer,regression,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.016356939158380032,0.0014877996337657323,0.0674713373263026,False,1.0,1.0,2.0,0.0,0.0,2.0
debutanizer,regression,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.2435771429420397,0.00025512638571319364,2.478049708341118e-05,0.08338557179100828,False,0.5,0.5,1.5,0.5011772669386119,0.042173582944087684,2.0
debutanizer,regression,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.19674086275512637,-0.0020735187930550902,-0.00014508580472282623,0.08321570548920204,False,0.42857142857142855,0.42857142857142855,1.4285714285714286,0.5193868074566126,0.04533631051890552,1.0
debutanizer,regression,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.44573344770541057,-0.006346941611274443,-0.000668642514153335,0.054557432850729504,False,0.5714285714285714,0.5714285714285714,1.5714285714285714,0.3253485650056973,0.04614893451798707,1.0
debutanizer,regression,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.6896361148800481,0.022217072349738534,0.002334660642382861,0.0575607360072657,False,0.9285714285714286,0.9285714285714286,1.9285714285714286,0.45323711552191526,0.08812739350832999,2.0
phoneme,classification,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.21437495466894446,0.01577840018371971,0.004820470991042269,0.3041180594695758,False,0.30000000000000004,0.30000000000000004,1.2999999999999998,0.9949358884477988,0.0028851645765826106,1.0
phoneme,classification,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.6796129584772248,0.016150503714717757,0.00493326466030905,0.30423085313884257,False,0.9,0.9,1.9,0.7167451165150851,0.0006470686057582498,2.0
phoneme,classification,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.0,0.0,0.0,0.35462497219948774,True,0.0,0.0,1.0,0.0,0.0,1.0
phoneme,classification,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.6630090598153946,0.13066397502139052,0.033097998638967896,0.38772297083845564,False,0.9,0.9,1.9,0.13540400052443147,0.00023258442524820566,2.0
phoneme,classification,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.0784986099735121,0.01774293036304858,0.005847948574875417,0.28104557718614676,False,0.4,0.4,1.4,0.2155115514760837,0.052880363538861275,1.5
phoneme,classification,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.0784986099735121,0.01774293036304858,0.005847948574875417,0.28104557718614676,False,0.4,0.4,1.4,0.2155115514760837,0.052880363538861275,1.5
phoneme,classification,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.7922209040446304,-0.049637705819936304,-0.013436700744582336,0.3198399484008382,False,0.9,0.9,1.9,0.17372476099990308,0.021634993492625654,1.5
phoneme,classification,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.7922209040446304,-0.049637705819936304,-0.013436700744582336,0.3198399484008382,False,0.9,0.9,1.9,0.17372476099990308,0.021634993492625654,1.5
phoneme,classification,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.6712074424140545,0.011188405106081089,0.0037079828180651697,0.27644003613707746,False,0.9,0.9,1.9,0.07298399705905467,0.04291027900762856,1.5
phoneme,classification,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.6712074424140545,0.011188405106081089,0.0037079828180651697,0.27644003613707746,False,0.9,0.9,1.9,0.07298399705905467,0.04291027900762856,1.5
space-ga,regression,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.052007643785084934,-0.011563729727165677,-0.0009672513485636317,0.1024579904538653,False,0.16666666666666666,0.16666666666666666,1.1666666666666667,1.9826329139759764,0.0167695339769125,1.0
space-ga,regression,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.0050253606248646995,0.00042074826258434866,0.10384599006501327,False,1.0,1.0,2.0,0.0,0.0,2.0
space-ga,regression,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.5,-0.119714976346703,-0.008419449123704861,0.09926113483949295,True,0.5,0.5,1.5,0.0,0.0,1.0
space-ga,regression,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.11192227519424847,-0.007729371165701639,0.09995121279749616,False,1.0,1.0,2.0,0.0,0.0,2.0
space-ga,regression,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,0.00427699408302631,0.00038633063643289667,0.09718106828320726,False,1.0,1.0,2.0,0.0,0.0,1.5
space-ga,regression,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.00427699408302631,0.00038633063643289667,0.09718106828320726,False,1.0,1.0,2.0,0.0,0.0,1.5
space-ga,regression,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.05846389010977848,-0.004794592234639433,0.10034906712661595,False,1.0,1.0,2.0,0.0,0.0,1.5
space-ga,regression,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.05846389010977848,-0.004794592234639433,0.10034906712661595,False,1.0,1.0,2.0,0.0,0.0,1.5
space-ga,regression,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.1676164047255127,-0.0009167421903914369,-7.552047113423832e-05,0.09210701536637458,False,0.16666666666666666,0.16666666666666666,1.1666666666666667,0.6155371210770682,0.14218129648361355,2.0
space-ga,regression,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.26430702037973197,-0.003703219644009609,-0.0003497007965994267,0.0918328350409094,True,0.4166666666666667,0.4166666666666667,1.4166666666666665,0.0738886115141213,0.06759396148845553,1.0
steel-plates-fault,classification,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,0.0004357288509807835,0.00028058028801092967,0.001951473986379146,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
steel-plates-fault,classification,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.0004357288509807835,0.00028058028801092967,0.001951473986379146,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
steel-plates-fault,classification,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,-0.7535336458066861,0.022984287894455717,0.014809755829532735,0.015525702953050566,False,0.125,0.125,1.113744075829384,0.21128962351940572,0.0005815965123474598,2.0
steel-plates-fault,classification,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.0,0.0,0.0,0.0007159471235178309,True,0.0,0.0,1.0,0.0,0.0,1.0
steel-plates-fault,classification,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,0.0004834313124202145,0.0003119724539127197,0.0005801749063004824,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
steel-plates-fault,classification,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,0.0004834313124202145,0.0003119724539127197,0.0005801749063004824,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
steel-plates-fault,classification,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.0,0.0,0.0,0.000929436312625209,True,0.0,0.0,1.0,0.0,0.0,1.5
steel-plates-fault,classification,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.0,0.0,0.0,0.000929436312625209,True,0.0,0.0,1.0,0.0,0.0,1.5
steel-plates-fault,classification,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.00028323222576346404,-0.00018277062795970923,9.525038258427094e-05,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
steel-plates-fault,classification,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.00028323222576346404,-0.00018277062795970923,9.525038258427094e-05,False,1.0,1.0,1.9099526066350712,0.0,0.0,1.5
sylvine,classification,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.6125701182050551,0.010998218447846634,0.00530927454270895,0.2144519963787589,False,0.725,0.725,1.725,1.1427220324985683,0.00528165849391371,2.0
sylvine,classification,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.5,0.008384819935282735,0.004038078316763866,0.2131808001528138,True,0.5,0.5,1.5,0.0,0.0,1.0
sylvine,classification,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.7962031480516151,0.07016109138358148,0.030880085978846533,0.28348519643111997,False,0.8500000000000001,0.8500000000000001,1.85,0.11258330394048244,0.0007517245830968022,2.0
sylvine,classification,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.7223683242017095,0.023799381665530563,0.010524107323228282,0.2631292177755017,False,0.75,0.75,1.75,0.12749327451456338,0.0007088449783623219,1.0
sylvine,classification,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.006978523933569523,-0.0038356549511193716,0.13967452677755168,False,1.0,1.0,2.0,0.0,0.0,1.5
sylvine,classification,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.006978523933569523,-0.0038356549511193716,0.13967452677755168,False,1.0,1.0,2.0,0.0,0.0,1.5
sylvine,classification,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.0,0.0,0.0,0.21964250886367878,True,0.0,0.0,1.0,0.0,0.0,1.5
sylvine,classification,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.0,0.0,0.0,0.21964250886367878,True,0.0,0.0,1.0,0.0,0.0,1.5
sylvine,classification,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.5659317673843055,-0.00026776487806714523,1.0637993684406433e-05,0.14577354001818732,False,0.575,0.575,1.575,0.22626356198452413,0.22698143601883203,2.0
sylvine,classification,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.0008657893227104096,-0.00048010782327187473,0.14528279420123102,False,1.0,1.0,2.0,0.0,0.0,1.0
wall-robot-navigation,classification,catboost,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.41756062585552745,0.003282396466223149,0.0036325512019623543,0.08658027318735734,False,0.75,0.75,1.75,18.135631088516675,0.004804548458196223,1.5
wall-robot-navigation,classification,catboost,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.41756062585552745,0.003282396466223149,0.0036325512019623543,0.08658027318735734,False,0.75,0.75,1.75,18.135631088516675,0.004804548458196223,1.5
wall-robot-navigation,classification,controlled_mlp,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.2853940183591783,0.020918371993452717,0.01997167953629088,0.2574034403072609,False,0.5,0.5,1.5,0.14163707836996764,0.00047977897338569164,2.0
wall-robot-navigation,classification,controlled_mlp,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.19586008400254973,0.017899247488583923,0.017198952679925522,0.25463071345089555,False,0.75,0.75,1.75,0.31696592061780393,0.0005289125256240368,1.0
wall-robot-navigation,classification,tabicl_v2,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.33175475721089376,0.006682799564884224,0.00761950150107249,0.05580089295825405,False,0.625,0.625,1.625,1.1731592065189034,0.15208578458987176,2.0
wall-robot-navigation,classification,tabicl_v2,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.1152476992479341,0.0001167290217999433,0.00013309047326467288,0.04831448193044623,False,0.5,0.5,1.5,0.5937530554365367,0.14581415802240372,1.0
wall-robot-navigation,classification,tabm_d,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,1.0,-0.007449869465258469,-0.007880810018215292,0.12039220348695226,False,1.0,1.0,2.0,0.0,0.0,1.5
wall-robot-navigation,classification,tabm_d,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,1.0,-0.007449869465258469,-0.007880810018215292,0.12039220348695226,False,1.0,1.0,2.0,0.0,0.0,1.5
wall-robot-navigation,classification,tabpfn_2_6,BlockGuard-Greedy-t01,BlockGuard-Greedy,0.01,0.6304216534795419,0.0019414336507602113,0.002260227310995188,0.03956113708290893,False,0.5625,0.5625,1.5625,0.09265461901668459,0.09863696503452957,2.0
wall-robot-navigation,classification,tabpfn_2_6,BlockGuard-Grouped-t01,BlockGuard-Grouped,0.01,0.6015558888440129,0.0002855065713654936,0.0003445392348349653,0.03764544900674871,False,0.75,0.75,1.75,1.4482121345354244,0.14348573051393032,1.0
