stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,validation,GuardedGram-G2-after-embedding,0.75,0.00036712145835114543,9.178035748366594e-05,0.7500000193508722,2.601085671887508e-15,0.23683512886054814,7.1030132877958095e-06,2.799437649215608e-06,0.6459857848778665,-4.303575638580201e-06,-0.6058802742174901,0.6459786818645787,-6.662101644218642e-06,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,test,Raw embedding,0.0,0.0007319761887987759,0.0007319761887987759,0.0,2.601085671887508e-15,0.0,3.1772383338810076e-05,3.1772383338810076e-05,0.6455976337440515,0.0,0.0,0.6455658613607127,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,test,Gram-after-embedding,1.0,0.0007319761887987759,0.0,1.0,2.601085671887508e-15,0.23683512886054814,3.1772383338810076e-05,0.0002855513789744078,0.6455976337440515,0.0002537789956355977,7.98740821327073,0.6455658613607127,0.00039311092922523296,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,4,test,GuardedGram-G2-after-embedding,0.75,0.0007319761887987759,0.0001829940424752876,0.7500000064543171,2.601085671887508e-15,0.23683512886054814,3.1772383338810076e-05,0.00022043768741187152,0.6455976337440515,0.00018866530407306143,5.938028068627956,0.6455658613607127,0.00029224795697126225,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,Raw embedding,0.0,0.036071863134953086,0.036071863134953086,0.0,2.1564628234719632e-15,0.0,0.003866928515065683,0.003866928515065683,0.6459857848778665,0.0,0.0,0.6421188563628009,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,Gram-after-embedding,1.0,0.036071863134953086,0.0,1.0,2.1564628234719632e-15,0.26815658202394843,0.003866928515065683,0.0013902203470445814,0.6459857848778665,-0.0024767081680211016,-0.6404846012466389,0.6421188563628009,-0.0038570868048480845,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,validation,GuardedGram-G2-after-embedding,0.75,0.036071863134953086,0.009017965832288075,0.7499999986540811,2.1564628234719632e-15,0.26815658202394843,0.003866928515065683,0.001919485384341604,0.6459857848778665,-0.0019474431307240792,-0.5036149810209254,0.6421188563628009,-0.0030328390319435856,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,Raw embedding,0.0,0.04423913499115628,0.04423913499115628,0.0,2.1564628234719632e-15,0.0,0.007988466725483074,0.007988466725483074,0.6455976337440515,0.0,0.0,0.6376091670185685,0.0,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,Gram-after-embedding,1.0,0.04423913499115628,0.0,1.0,2.1564628234719632e-15,0.26815658202394843,0.007988466725483074,4.888993497049006e-06,0.6455976337440515,-0.007983577731986026,-0.9993879935080092,0.6376091670185685,-0.01252111504186314,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,8,test,GuardedGram-G2-after-embedding,0.75,0.04423913499115628,0.01105978353173363,0.750000004883808,2.1564628234719632e-15,0.26815658202394843,0.007988466725483074,0.0018126149938255893,0.6455976337440515,-0.006175851731657485,-0.7730960075175155,0.6376091670185685,-0.009685951913984372,False
dimension,steel-plates-fault,classification,controlled_mlp,1,PLE,16,validation,Raw embedding,0.0,0.04644572256339907,0.04644572256339907,0.0,3.723022678026724e-15,0.0,0.07829626929371485,0.07829626929371485,0.6459857848778665,0.0,0.0,0.5676895155841517,0.0,False
