dataset,problem_type,model,method,family,alpha,disagreement_reduction,normalized_excess_risk,absolute_task_difference,method_loss,raw_fallback,predictive_rank
cardiotocography,classification,tabicl_v2,GuardedGram-G2-g0p0-t01,G2,0.75,0.7500000787447965,3.2724151718490767e-06,6.603594275789881e-06,1.6931057078492697e-05,False,5.5
cardiotocography,classification,tabicl_v2,GuardedGram-G3,G3,0.75,0.7500000787447965,3.2724151718490767e-06,6.603594275789881e-06,1.6931057078492697e-05,False,5.5
cardiotocography,classification,tabicl_v2,PureGram,fixed,1.0,1.0,4.3637806416850066e-06,8.805923256354717e-06,1.9133386059057533e-05,False,8.5
cardiotocography,classification,tabicl_v2,Raw,fixed,0.0,0.0,0.0,0.0,1.0327462802702816e-05,True,1.0
cardiotocography,classification,tabicl_v2,Raw+Gram@0.5,fixed,0.5,0.500000045722766,2.1813300132917792e-06,4.401830951432405e-06,1.4729293754135221e-05,False,3.0
cardiotocography,classification,tabicl_v2,Raw+Gram@0.75,fixed,0.75,0.7500000787447965,3.2724151718490767e-06,6.603594275789881e-06,1.6931057078492697e-05,False,5.5
cardiotocography,classification,tabicl_v2,SafeGram-t01,safety_reference,1.0,1.0,4.3637806416850066e-06,8.805923256354717e-06,1.9133386059057533e-05,False,8.5
cardiotocography,classification,tabicl_v2,SafeRankGram-t01,safety_reference,1.0,1.0,8.096830701222652e-07,1.6339059093293932e-06,1.1961368712032209e-05,False,2.0
cardiotocography,classification,tabm_d,GuardedGram-G1-t0,G1,0.375,0.3750000002412854,-0.0003059657243296771,-0.0006124894844792197,0.015095303109285835,True,2.0
cardiotocography,classification,tabm_d,GuardedGram-G2-g0p0-t01,G2,0.75,0.7499999998130907,0.0021540545044100388,0.004314183029567432,0.020021975623332487,False,6.0
cardiotocography,classification,tabm_d,GuardedGram-G3,G3,0.75,0.7499999998130907,0.0021540545044100388,0.004314183029567432,0.020021975623332487,False,6.0
cardiotocography,classification,tabm_d,PureGram,fixed,1.0,1.0,0.0030396822863849107,0.006087868719974099,0.021795661313739154,False,8.5
cardiotocography,classification,tabm_d,Raw,fixed,0.0,0.0,0.0,0.0,0.015707792593765053,True,3.0
cardiotocography,classification,tabm_d,Raw+Gram@0.5,fixed,0.5,0.4999999989721366,0.0013604062657923634,0.0027246806647574576,0.01843247325852251,False,4.0
cardiotocography,classification,tabm_d,Raw+Gram@0.75,fixed,0.75,0.7499999998130907,0.0021540545044100388,0.004314183029567432,0.020021975623332487,False,6.0
cardiotocography,classification,tabm_d,SafeGram-t01,safety_reference,1.0,1.0,0.0030396822863849107,0.006087868719974099,0.021795661313739154,False,8.5
