stage,dataset,problem_type,model,seed,embedding,k,split,method,alpha,raw_disagreement,method_disagreement,disagreement_reduction,coordinate_error,fit_seconds,raw_loss,method_loss,trivial_loss,absolute_task_difference,relative_task_difference,safety_denominator,normalized_excess_risk,denominator_sensitive
full,wall-robot-navigation,classification,resnet_tabular,0,PLE,16,test,Gram-after-embedding,1.0,0.0880195885479321,0.0,1.0,6.370025626176797e-15,0.21325733908452094,0.1380939845719639,0.12644780782915133,1.1883474890774524,-0.01164617674281257,-0.08433514884019791,1.0502535045054884,-0.011088919668300626,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,8,validation,Raw embedding,0.0,0.10759551623434743,0.10759551623434743,0.0,1.221085231699213e-15,0.0,0.23941353780002633,0.23941353780002633,1.186659531323706,0.0,0.0,0.9472459935236797,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,8,validation,Gram-after-embedding,1.0,0.10759551623434743,0.0,1.0,1.221085231699213e-15,0.4285264238715172,0.23941353780002633,0.2655927264513739,1.186659531323706,0.02617918865134755,0.10934715259591588,0.9472459935236797,0.027637159544969998,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,8,test,Raw embedding,0.0,0.12601551260583296,0.12601551260583296,0.0,1.221085231699213e-15,0.0,0.2681480640428162,0.2681480640428162,1.1883474890774524,0.0,0.0,0.9201994250346361,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,8,test,Gram-after-embedding,1.0,0.12601551260583296,0.0,1.0,1.221085231699213e-15,0.4285264238715172,0.2681480640428162,0.24939496138838135,1.1883474890774524,-0.01875310265443486,-0.06993562575727,0.9201994250346361,-0.020379389667331077,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,16,validation,Raw embedding,0.0,0.13420444411463522,0.13420444411463522,0.0,1.251224186014419e-15,0.0,0.309888032881541,0.309888032881541,1.186659531323706,0.0,0.0,0.8767714984421651,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,16,validation,Gram-after-embedding,1.0,0.13420444411463522,0.0,1.0,1.251224186014419e-15,0.22774818819016218,0.309888032881541,0.29790138960244084,1.186659531323706,-0.011986643279100151,-0.03868056203281078,0.8767714984421651,-0.013671342305718018,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,16,test,Raw embedding,0.0,0.12524479454069157,0.12524479454069157,0.0,1.251224186014419e-15,0.0,0.2316337678367263,0.2316337678367263,1.1883474890774524,0.0,0.0,0.9567137212407261,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,0,RBF,16,test,Gram-after-embedding,1.0,0.12524479454069157,0.0,1.0,1.251224186014419e-15,0.22774818819016218,0.2316337678367263,0.23517595368754576,1.1883474890774524,0.0035421858508194737,0.015292182499558032,0.9567137212407261,0.0037024511849017344,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,8,validation,Raw embedding,0.0,0.09408665779745823,0.09408665779745823,0.0,4.478283517856647e-15,0.0,0.18773348301577206,0.18773348301577206,1.186659531323706,0.0,0.0,0.998926048307934,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,8,validation,Gram-after-embedding,1.0,0.09408665779745823,0.0,1.0,4.478283517856647e-15,0.1886642388999462,0.18773348301577206,0.16940748384345844,1.186659531323706,-0.018325999172313617,-0.09761710525966215,0.998926048307934,-0.01834570156955638,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,8,test,Raw embedding,0.0,0.11173716861758574,0.11173716861758574,0.0,4.478283517856647e-15,0.0,0.17102469591750213,0.17102469591750213,1.1883474890774524,0.0,0.0,1.0173227931599502,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,8,test,Gram-after-embedding,1.0,0.11173716861758574,0.0,1.0,4.478283517856647e-15,0.1886642388999462,0.17102469591750213,0.14708512944184188,1.1883474890774524,-0.023939566475660257,-0.1399772491758037,1.0173227931599502,-0.023531927758445807,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,16,validation,Raw embedding,0.0,0.09664580542791316,0.09664580542791316,0.0,6.370025626176797e-15,0.0,0.1694602957568479,0.1694602957568479,1.186659531323706,0.0,0.0,1.0171992355668582,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,16,validation,Gram-after-embedding,1.0,0.09664580542791316,0.0,1.0,6.370025626176797e-15,0.2533943981397897,0.1694602957568479,0.1732053715410818,1.186659531323706,0.0037450757842338867,0.02210001916677611,1.0171992355668582,0.0036817524564367716,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,16,test,Raw embedding,0.0,0.1062243598217309,0.1062243598217309,0.0,6.370025626176797e-15,0.0,0.16603848797339418,0.16603848797339418,1.1883474890774524,0.0,0.0,1.022309001104058,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,PLE,16,test,Gram-after-embedding,1.0,0.1062243598217309,0.0,1.0,6.370025626176797e-15,0.2533943981397897,0.16603848797339418,0.10144266044994267,1.1883474890774524,-0.06459582752345151,-0.3890412898351753,1.022309001104058,-0.06318620637565577,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,8,validation,Raw embedding,0.0,0.10656214851723811,0.10656214851723811,0.0,1.221085231699213e-15,0.0,0.2654272141450164,0.2654272141450164,1.186659531323706,0.0,0.0,0.9212323171786896,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,8,validation,Gram-after-embedding,1.0,0.10656214851723811,0.0,1.0,1.221085231699213e-15,0.4434968950226903,0.2654272141450164,0.28371149552128316,1.186659531323706,0.018284281376266753,0.0688862347260184,0.9212323171786896,0.019847633474543196,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,8,test,Raw embedding,0.0,0.10904786355021198,0.10904786355021198,0.0,1.221085231699213e-15,0.0,0.2037738418675593,0.2037738418675593,1.1883474890774524,0.0,0.0,0.984573647209893,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,8,test,Gram-after-embedding,1.0,0.10904786355021198,0.0,1.0,1.221085231699213e-15,0.4434968950226903,0.2037738418675593,0.33869752994113145,1.1883474890774524,0.13492368807357213,0.662124671336689,0.984573647209893,0.13703767966563185,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,16,validation,Raw embedding,0.0,0.1242881012594242,0.1242881012594242,0.0,1.251224186014419e-15,0.0,0.30292278087062585,0.30292278087062585,1.186659531323706,0.0,0.0,0.8837367504530802,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,16,validation,Gram-after-embedding,1.0,0.1242881012594242,0.0,1.0,1.251224186014419e-15,0.452851640060544,0.30292278087062585,0.3047465751713856,1.186659531323706,0.0018237943007597401,0.006020657461013662,0.8837367504530802,0.002063730290524531,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,16,test,Raw embedding,0.0,0.12476810932715333,0.12476810932715333,0.0,1.251224186014419e-15,0.0,0.20433943362668472,0.20433943362668472,1.1883474890774524,0.0,0.0,0.9840080554507676,0.0,False
full,wall-robot-navigation,classification,resnet_tabular,1,RBF,16,test,Gram-after-embedding,1.0,0.12476810932715333,0.0,1.0,1.251224186014419e-15,0.452851640060544,0.20433943362668472,0.23559784597639968,1.1883474890774524,0.031258412349714965,0.1529729812544265,0.9840080554507676,0.031766419163505415,False
full,california_housing,regression,resnet_tabular,0,PLE,8,validation,Raw embedding,0.0,0.20846146086153894,0.20846146086153894,0.0,7.546119829130262e-15,0.0,53431.594123795534,53431.594123795534,109670.020675679,0.0,0.0,56238.426551883465,0.0,False
full,california_housing,regression,resnet_tabular,0,PLE,8,validation,Gram-after-embedding,1.0,0.20846146086153894,0.0,1.0,7.546119829130262e-15,0.7026103180833161,53431.594123795534,59983.053539888846,109670.020675679,6551.459416093312,0.12261396133744862,56238.426551883465,0.11649435835565529,False
full,california_housing,regression,resnet_tabular,0,PLE,8,test,Raw embedding,0.0,0.21167207602035992,0.21167207602035992,0.0,7.546119829130262e-15,0.0,62932.27015741245,62932.27015741245,113685.69177493482,0.0,0.0,50753.42161752237,0.0,False
full,california_housing,regression,resnet_tabular,0,PLE,8,test,Gram-after-embedding,1.0,0.21167207602035992,0.0,1.0,7.546119829130262e-15,0.7026103180833161,62932.27015741245,71149.5186080998,113685.69177493482,8217.248450687344,0.130572890984761,50753.42161752237,0.16190530980576057,False
full,california_housing,regression,resnet_tabular,0,PLE,16,validation,Raw embedding,0.0,0.2050023817687076,0.2050023817687076,0.0,3.616353515683813e-15,0.0,55204.261726305944,55204.261726305944,109670.020675679,0.0,0.0,54465.758949373056,0.0,False
full,california_housing,regression,resnet_tabular,0,PLE,16,validation,Gram-after-embedding,1.0,0.2050023817687076,0.0,1.0,3.616353515683813e-15,0.330219694878906,55204.261726305944,57859.961834622256,109670.020675679,2655.7001083163123,0.0481067951145304,54465.758949373056,0.048759076519705444,False
full,california_housing,regression,resnet_tabular,0,PLE,16,test,Raw embedding,0.0,0.19818348580522596,0.19818348580522596,0.0,3.616353515683813e-15,0.0,62482.29867548172,62482.29867548172,113685.69177493482,0.0,0.0,51203.393099453104,0.0,False
full,california_housing,regression,resnet_tabular,0,PLE,16,test,Gram-after-embedding,1.0,0.19818348580522596,0.0,1.0,3.616353515683813e-15,0.330219694878906,62482.29867548172,69349.35757071695,113685.69177493482,6867.058895235234,0.10990406948536119,51203.393099453104,0.13411335615780862,False
full,california_housing,regression,resnet_tabular,0,RBF,8,validation,Raw embedding,0.0,0.22271197072917978,0.22271197072917978,0.0,8.299772117821142e-16,0.0,62892.00742381718,62892.00742381718,109670.020675679,0.0,0.0,46778.01325186182,0.0,False
full,california_housing,regression,resnet_tabular,0,RBF,8,validation,Gram-after-embedding,1.0,0.22271197072917978,0.0,1.0,8.299772117821142e-16,0.5613602879457176,62892.00742381718,59166.51654791286,109670.020675679,-3725.4908759043174,-0.059236316799350174,46778.01325186182,-0.07964192185430274,False
full,california_housing,regression,resnet_tabular,0,RBF,8,test,Raw embedding,0.0,0.2252717236654071,0.2252717236654071,0.0,8.299772117821142e-16,0.0,65713.18727065451,65713.18727065451,113685.69177493482,0.0,0.0,47972.50450428031,0.0,False
full,california_housing,regression,resnet_tabular,0,RBF,8,test,Gram-after-embedding,1.0,0.2252717236654071,0.0,1.0,8.299772117821142e-16,0.5613602879457176,65713.18727065451,63619.85743163426,113685.69177493482,-2093.3298390202544,-0.03185555176921195,47972.50450428031,-0.04363603402931524,False
full,california_housing,regression,resnet_tabular,0,RBF,16,validation,Raw embedding,0.0,0.2775725823251801,0.2775725823251801,0.0,1.3868559405832186e-15,0.0,62829.11658303405,62829.11658303405,109670.020675679,0.0,0.0,46840.90409264495,0.0,False
full,california_housing,regression,resnet_tabular,0,RBF,16,validation,Gram-after-embedding,1.0,0.2775725823251801,0.0,1.0,1.3868559405832186e-15,0.3614288931712508,62829.11658303405,61506.06725235733,109670.020675679,-1323.0493306767166,-0.021057901218906903,46840.90409264495,-0.02824559765242585,False
