stage,dataset,problem_type,model,seed,embedding,k,split,condition,rotation_member,default_task_error,task_error,task_effect,disagreement,fit_seconds,source,interface_location
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,1,0.26395913951306876,0.23791271161929614,-0.026046427893772622,0.1259561479965594,0.23090112907812,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,2,0.26395913951306876,0.2532042285663745,-0.010754910946694285,0.13357636526203107,0.1377001889050007,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,3,0.26395913951306876,0.25935466458652573,-0.004604474926543034,0.15955885277409018,0.16904588718898594,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,4,0.26395913951306876,0.22941381136835484,-0.03454532814471392,0.11723280923803536,0.19040423189289868,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,5,0.26395913951306876,0.22038296749760194,-0.04357617201546682,0.13431184101437746,0.29432317498140037,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,6,0.26395913951306876,0.23217714577241755,-0.031781993740651215,0.13788114437204846,0.17188966600224376,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,validation,random_orthogonal,7,0.26395913951306876,0.19400447135229526,-0.0699546681607735,0.1124541578988199,0.2501083919778466,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,default,-1,0.2480600572872164,0.2480600572872164,0.0,0.0,0.21388641116209328,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,0,0.2480600572872164,0.1942480504684918,-0.053812006818724584,0.12439245431413429,0.22088861791417003,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,1,0.2480600572872164,0.21077071323881832,-0.037289344048398065,0.13034604901644292,0.23090112907812,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,2,0.2480600572872164,0.22289097117646056,-0.02516908611075583,0.13247379096227313,0.1377001889050007,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,3,0.2480600572872164,0.21947890149549315,-0.02858115579172324,0.13829007848615896,0.16904588718898594,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,4,0.2480600572872164,0.20902685890792835,-0.03903319837928804,0.11010889034479773,0.19040423189289868,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,5,0.2480600572872164,0.18476532738595047,-0.06329472990126592,0.12120360205573745,0.29432317498140037,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,6,0.2480600572872164,0.19611460635602146,-0.05194545093119493,0.1239986344528385,0.17188966600224376,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,PLE,32,test,random_orthogonal,7,0.2480600572872164,0.14366797970388687,-0.10439207758332952,0.10378408358501873,0.2501083919778466,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,default,-1,1.73281867569632e-05,1.73281867569632e-05,0.0,0.0,0.5724820049945265,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,0,1.73281867569632e-05,8.361944089604799e-06,-8.966242667358401e-06,6.337398364756222e-05,0.5126927110832185,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,1,1.73281867569632e-05,8.697150678783813e-06,-8.631036078179387e-06,6.372625658433914e-05,0.44550884212367237,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,2,1.73281867569632e-05,0.00012889648998050927,0.00011156830322354607,0.001049910502794892,0.15767653891816735,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,3,1.73281867569632e-05,7.4919625608378e-06,-9.836224196125402e-06,7.119410123897393e-05,0.43257565703243017,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,4,1.73281867569632e-05,1.4077803973169442e-05,-3.250382783793758e-06,8.826999278279235e-05,0.47889253799803555,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,5,1.73281867569632e-05,4.538316044255405e-05,2.8054973685590847e-05,0.00024367505241979824,0.42932796478271484,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,6,1.73281867569632e-05,1.7019864537321036e-05,-3.0832221964216395e-07,0.00015333254525449236,0.3951756649184972,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,validation,random_orthogonal,7,1.73281867569632e-05,2.5083053489540403e-05,7.754866732577203e-06,0.00020978197158447626,0.1755600639153272,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,default,-1,1.6149702914033488e-05,1.6149702914033488e-05,0.0,0.0,0.5724820049945265,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,0,1.6149702914033488e-05,1.2530880603510756e-05,-3.6188223105227326e-06,5.832006897246865e-05,0.5126927110832185,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,1,1.6149702914033488e-05,1.0005618199262e-05,-6.144084714771489e-06,6.060328813326925e-05,0.44550884212367237,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,2,1.6149702914033488e-05,0.00013866955590463855,0.00012251985299060507,0.001295156807245472,0.15767653891816735,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,3,1.6149702914033488e-05,1.015431555085329e-05,-5.995387363180199e-06,6.369606302905044e-05,0.43257565703243017,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,4,1.6149702914033488e-05,1.8157623939969887e-05,2.0079210259363985e-06,7.212373911825912e-05,0.47889253799803555,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,5,1.6149702914033488e-05,4.703419237871032e-05,3.088448946467683e-05,0.000495913300337266,0.42932796478271484,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,6,1.6149702914033488e-05,1.1300505347868474e-05,-4.849197566165014e-06,5.029500197833943e-05,0.3951756649184972,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,4,test,random_orthogonal,7,1.6149702914033488e-05,4.209423866981246e-05,2.594453575577897e-05,0.00030593751644854484,0.1755600639153272,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,default,-1,0.0009342786878791279,0.0009342786878791279,0.0,0.0,0.4913403650280088,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,0,0.0009342786878791279,0.00033365838129818175,-0.0006006203065809461,0.006136650108664521,0.1862922259606421,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
dimension,steel-plates-fault,classification,controlled_mlp,0,RBF,8,validation,random_orthogonal,1,0.0009342786878791279,0.0012310663123159104,0.0002967876244367825,0.006346257260791514,0.14767712797038257,frozen_safe_basis_embedding,between_numerical_embedding_and_backbone
